date,close,open,volume,high,low
2021-02-24,162.98,163.0,154600,163.0,162.98
2021-02-25,168.56,164.2,495500,168.56,164.2
2021-02-26,169.73,169.0,182200,169.73,169.0
2021-03-01,168.6,170.0,224400,170.0,168.6
2021-03-02,169.93,168.6,59900,169.93,168.6
2021-03-03,171.22,170.7,96800,171.22,170.7
2021-03-04,162.4,166.0,106100,166.0,162.4
2021-03-05,162.09,164.99,39900,164.99,162.09
2021-03-08,153.83,163.0,125200,163.0,153.83
2021-03-09,142.0,153.0,235600,153.0,142.0
2021-03-10,139.53,144.9,72000,144.9,139.53
2021-03-11,134.02,139.0,117900,139.0,134.02
2021-03-12,142.19,134.0,223000,142.19,134.0
2021-03-15,148.04,144.26,327900,148.04,144.26
2021-03-16,146.61,145.51,37100,146.61,145.51
2021-03-17,146.43,150.49,66100,150.49,146.43
2021-03-18,143.13,145.0,41900,145.0,143.13
2021-03-19,143.11,140.0,230400,143.11,140.0
2021-03-22,152.13,143.0,161800,152.13,143.0
2021-03-24,153.46,150.0,195800,153.46,150.0
2021-03-25,149.8,154.99,154000,154.99,149.8
2021-03-26,145.64,145.5,48600,145.64,145.5
2021-03-29,140.1,146.1,56900,146.1,140.1
2021-03-30,145.9,140.0,14100,145.9,140.0
2021-03-31,149.69,144.0,80800,149.69,144.0
2021-04-01,144.4,147.0,28900,147.0,144.4
2021-04-02,144.94,144.4,42400,144.94,144.4
2021-04-05,140.04,141.5,12500,141.5,140.04
2021-04-06,148.86,140.4,36300,148.86,140.4
2021-04-07,146.22,145.1,45700,146.22,145.1
2021-04-08,149.78,147.0,81800,149.78,147.0
2021-04-09,149.87,146.52,64900,149.87,146.52
2021-04-12,151.84,149.0,151300,151.84,149.0
2021-04-13,150.0,152.0,10700,152.0,150.0
2021-04-14,149.0,150.0,11400,150.0,149.0
2021-04-15,147.92,149.0,73300,149.0,147.92
2021-04-16,150.31,147.04,188900,150.31,147.04
2021-04-19,148.0,146.1,18700,148.0,146.1
2021-04-20,148.31,148.5,37000,148.5,148.31
2021-04-21,148.88,148.03,31100,148.88,148.03
2021-04-22,150.44,147.3,77600,150.44,147.3
2021-04-23,149.05,147.01,51500,149.05,147.01
2021-04-26,150.01,146.25,168100,150.01,146.25
2021-04-27,148.25,147.5,90400,148.25,147.5
2021-04-28,147.98,147.9,54100,147.98,147.9
2021-04-29,144.93,146.44,62500,146.44,144.93
2021-04-30,144.97,145.01,37700,145.01,144.97
2021-05-03,140.97,144.0,40000,144.0,140.97
2021-05-04,143.33,141.5,13000,143.33,141.5
2021-05-05,141.88,141.08,143000,141.88,141.08
2021-05-06,141.22,144.0,10800,144.0,141.22
2021-05-17,140.19,143.5,165200,143.5,140.19
2021-05-18,139.9,140.0,45000,140.0,139.9
2021-05-19,140.15,140.99,55000,140.99,140.15
2021-05-20,139.02,141.0,66700,141.0,139.02
2021-05-21,139.09,138.08,39600,139.09,138.08
2021-05-24,141.41,141.75,158900,141.75,141.41
2021-05-25,145.24,142.35,144100,145.24,142.35
2021-05-26,148.54,146.0,165700,148.54,146.0
2021-05-27,150.57,149.9,57600,150.57,149.9
2021-05-28,153.98,150.0,187300,153.98,150.0
2021-05-31,161.28,154.9,389300,161.28,154.9
2021-06-01,159.24,158.25,236600,159.24,158.25
2021-06-02,158.79,161.0,147300,161.0,158.79
2021-06-03,159.64,157.01,61300,159.64,157.01
2021-06-04,158.32,158.13,162500,158.32,158.13
2021-06-07,158.13,158.1,46100,158.13,158.1
2021-06-08,158.72,159.45,13800,159.45,158.72
2021-06-09,158.59,159.99,21200,159.99,158.59
2021-06-10,158.06,158.5,49800,158.5,158.06
2021-06-11,157.17,158.0,27500,158.0,157.17
2021-06-14,159.78,158.19,55600,159.78,158.19
2021-06-15,160.14,159.39,188700,160.14,159.39
2021-06-16,158.88,159.8,45700,159.8,158.88
2021-06-17,159.57,158.25,56300,159.57,158.25
2021-06-18,160.41,159.0,63900,160.41,159.0
2021-06-21,160.82,158.51,11400,160.82,158.51
2021-06-22,160.54,160.0,86100,160.54,160.0
2021-06-23,159.81,160.54,81200,160.54,159.81
2021-06-24,159.6,160.0,43800,160.0,159.6
2021-06-25,158.54,160.5,58900,160.5,158.54
2021-06-28,159.16,158.25,64800,159.16,158.25
2021-06-29,159.66,160.0,73000,160.0,159.66
2021-06-30,159.82,160.0,552200,160.0,159.82
2021-07-01,159.08,161.5,43200,161.5,159.08
2021-07-02,158.73,159.95,21900,159.95,158.73
2021-07-05,158.49,158.0,57200,158.49,158.0
2021-07-06,157.68,158.5,9100,158.5,157.68
2021-07-07,157.79,157.75,39500,157.79,157.75
2021-07-08,158.77,157.46,22600,158.77,157.46
2021-07-09,157.78,158.0,60100,158.0,157.78
2021-07-12,157.88,158.25,8000,158.25,157.88
2021-07-13,158.31,156.51,14700,158.31,156.51
2021-07-14,157.81,156.24,35700,157.81,156.24
2021-07-15,157.94,159.4,35100,159.4,157.94
2021-07-16,159.27,158.0,7500,159.27,158.0
2021-07-19,159.9,156.65,19400,159.9,156.65
2021-07-23,159.92,156.8,59000,159.92,156.8
2021-07-26,158.19,159.92,10300,159.92,158.19
2021-07-27,158.11,159.5,30500,159.5,158.11
2021-07-28,157.77,156.0,33500,157.77,156.0
2021-07-29,154.99,158.5,71800,158.5,154.99
2021-07-30,157.88,154.95,180900,157.88,154.95
2021-08-02,153.92,155.3,113600,155.3,153.92
2021-08-03,152.1,154.5,24000,154.5,152.1
2021-08-04,149.47,151.5,32700,151.5,149.47
2021-08-05,148.26,150.0,5800,150.0,148.26
2021-08-06,141.78,146.01,35400,146.01,141.78
2021-08-09,140.56,143.0,40800,143.0,140.56
2021-08-10,141.21,141.0,23600,141.21,141.0
2021-08-11,143.16,142.85,98600,143.16,142.85
2021-08-12,138.77,140.0,40100,140.0,138.77
2021-08-13,136.65,136.0,9200,136.65,136.0
2021-08-16,134.03,136.65,112200,136.65,134.03
2021-08-17,135.01,141.5,32000,141.5,135.01
2021-08-20,142.05,135.2,133700,142.05,135.2
2021-08-23,141.88,142.05,34700,142.05,141.88
2021-08-24,143.08,144.4,33500,144.4,143.08
2021-08-25,139.88,140.14,13000,140.14,139.88
2021-08-26,140.63,139.0,27900,140.63,139.0
2021-08-27,138.87,140.0,25100,140.0,138.87
2021-08-30,142.47,140.0,39100,142.47,140.0
2021-08-31,148.94,142.48,123300,148.94,142.48
2021-09-01,142.79,144.1,56200,144.1,142.79
2021-09-02,138.19,143.99,23500,143.99,138.19
2021-09-03,132.76,138.0,367800,138.0,132.76
2021-09-06,130.08,133.7,24800,133.7,130.08
2021-09-07,128.01,129.0,88900,129.0,128.01
2021-09-08,123.56,128.06,46600,128.06,123.56
2021-09-09,123.46000000000001,122.1,179600,123.46000000000001,122.1
2021-09-10,124.19,125.0,118700,125.0,124.19
2021-09-13,125.19,124.00999999999999,27000,125.19,124.00999999999999
2021-09-14,121.28,125.19,99900,125.19,121.28
2021-09-15,121.15,120.00999999999999,34400,121.15,120.00999999999999
2021-09-16,122.72,122.0,16500,122.72,122.0
2021-09-17,121.44,122.0,25400,122.0,121.44
2021-09-20,119.13,119.00999999999999,7800,119.13,119.00999999999999
2021-09-21,118.59,119.1,21400,119.1,118.59
2021-09-22,118.91,117.00999999999999,32000,118.91,117.00999999999999
2021-09-23,119.4,118.5,12600,119.4,118.5
2021-09-24,116.50999999999999,116.5,12000,116.50999999999999,116.5
2021-09-27,117.03,117.0,21300,117.03,117.0
2021-09-28,116.75999999999999,115.0,9900,116.75999999999999,115.0
2021-09-29,116.07,115.1,17200,116.07,115.1
2021-09-30,120.86000000000001,116.5,96600,120.86000000000001,116.5
2021-10-01,121.03999999999999,121.9,22400,121.9,121.03999999999999
2021-10-04,119.88,119.99000000000001,2200,119.99000000000001,119.88
2021-10-05,116.03999999999999,117.11000000000001,11700,117.11000000000001,116.03999999999999
2021-10-06,108.5,114.0,26900,114.0,108.5
2021-10-07,116.13,111.5,44700,116.13,111.5
2021-10-08,112.0,113.50999999999999,33200,113.50999999999999,112.0
2021-10-11,107.35,112.0,46500,112.0,107.35
2021-10-12,107.86,100.51,21500,107.86,100.51
2021-10-13,109.02,114.0,2500,114.0,109.02
2021-10-14,117.32,111.02,19000,117.32,111.02
2021-10-15,121.0,119.99000000000001,500,121.0,119.99000000000001
2021-10-20,125.4,121.0,20000,125.4,121.0
2021-10-21,121.93,127.78999999999999,49800,127.78999999999999,121.93
2021-10-22,119.25999999999999,126.88999999999999,33800,126.88999999999999,119.25999999999999
2021-10-25,120.53999999999999,118.0,1800,120.53999999999999,118.0
2021-10-26,118.88,118.00999999999999,4300,118.88,118.00999999999999
2021-10-27,120.94,119.99000000000001,30500,120.94,119.99000000000001
2021-10-28,123.75,120.0,23800,123.75,120.0
2021-10-29,125.08000000000001,123.0,87400,125.08000000000001,123.0
2021-11-01,132.07,129.74,58200,132.07,129.74
2021-11-02,129.99,136.0,32100,136.0,129.99
2021-11-03,125.32,129.1,43200,129.1,125.32
2021-11-04,123.85,124.0,17600,124.0,123.85
2021-11-05,122.97,125.5,47600,125.5,122.97
2021-11-08,123.08000000000001,122.16999999999999,30200,123.08000000000001,122.16999999999999
2021-11-09,115.74000000000001,121.11000000000001,65400,121.11000000000001,115.74000000000001
2021-11-10,116.0,116.0,14600,116.0,116.0
2021-11-11,114.0,118.0,55300,118.0,114.0
2021-11-12,113.18,114.0,17200,114.0,113.18
2021-11-15,111.01,113.5,56800,113.5,111.01
2021-11-16,117.49000000000001,113.75,56000,117.49000000000001,113.75
2021-11-17,114.0,114.1,36500,114.1,114.0
2021-11-18,115.96000000000001,114.25,80800,115.96000000000001,114.25
2021-11-19,116.0,114.35,29500,116.0,114.35
2021-11-22,110.36,114.1,9200,114.1,110.36
2021-11-23,108.81,113.88999999999999,80000,113.88999999999999,108.81
2021-11-24,107.0,108.25,5600,108.25,107.0
2021-11-25,105.79,106.11,5700,106.11,105.79
2021-11-26,105.51,106.1,12800,106.1,105.51
2021-11-29,111.44,103.11,54300,111.44,103.11
2021-11-30,113.43,113.0,43000,113.43,113.0
2021-12-01,119.00999999999999,115.9,88500,119.00999999999999,115.9
2021-12-02,108.89,114.16,78800,114.16,108.89
2021-12-03,104.94,104.6,15600,104.94,104.6
2021-12-06,105.25,106.0,600,106.0,105.25
2021-12-07,110.26,105.1,89200,110.26,105.1
2021-12-08,107.97,110.26,21400,110.26,107.97
2021-12-09,109.24,110.0,21600,110.0,109.24
2021-12-10,108.07,108.5,1800,108.5,108.07
2021-12-13,108.21,110.5,6600,110.5,108.21
2021-12-14,112.0,108.49,3700,112.0,108.49
