date,close,open,volume,high,low
2021-02-26,117.02,117.9,304200,117.9,117.02
2021-03-01,114.28,117.02,168700,117.02,114.28
2021-03-02,114.57,112.1,162900,114.57,112.1
2021-03-03,115.84,113.89,180700,115.84,113.89
2021-03-04,114.08,112.0,189000,114.08,112.0
2021-03-05,114.26,114.1,127600,114.26,114.1
2021-03-08,106.6,115.79,257600,115.79,106.6
2021-03-09,104.92,106.0,227400,106.0,104.92
2021-03-10,102.22,104.22,85400,104.22,102.22
2021-03-11,98.57,99.15,499500,99.15,98.57
2021-03-12,99.64,99.8,221300,99.8,99.64
2021-03-15,101.3,99.1,253500,101.3,99.1
2021-03-16,100.74,101.31,67800,101.31,100.74
2021-03-17,102.99,102.0,103000,102.99,102.0
2021-03-18,104.9,104.8,445100,104.9,104.8
2021-03-19,109.33,106.25,276000,109.33,106.25
2021-03-22,109.67,114.67,293200,114.67,109.67
2021-03-24,110.39,109.5,120500,110.39,109.5
2021-03-25,109.23,110.5,54600,110.5,109.23
2021-03-26,109.36,110.0,220100,110.0,109.36
2021-03-29,103.09,108.05,286700,108.05,103.09
2021-03-30,104.56,102.05,354800,104.56,102.05
2021-03-31,106.13,105.0,98700,106.13,105.0
2021-04-01,108.02,105.52,143900,108.02,105.52
2021-04-02,104.52,108.05,881000,108.05,104.52
2021-04-05,104.92,106.94,305200,106.94,104.92
2021-04-06,106.02,105.5,36000,106.02,105.5
2021-04-07,104.27,105.01,13000,105.01,104.27
2021-04-08,105.87,104.26,76400,105.87,104.26
2021-04-09,106.04,107.95,36800,107.95,106.04
2021-04-12,102.57,106.48,224500,106.48,102.57
2021-04-13,103.08,103.03,51000,103.08,103.03
2021-04-14,103.37,102.2,17600,103.37,102.2
2021-04-15,103.0,102.36,53800,103.0,102.36
2021-04-16,103.56,103.1,34200,103.56,103.1
2021-04-19,103.93,102.9,38600,103.93,102.9
2021-04-20,104.75,104.87,388000,104.87,104.75
2021-04-21,107.04,104.0,177700,107.04,104.0
2021-04-22,104.26,106.51,83700,106.51,104.26
2021-04-23,102.03,104.0,61600,104.0,102.03
2021-04-26,106.22,102.0,184400,106.22,102.0
2021-04-27,102.89,107.0,193800,107.0,102.89
2021-04-28,102.14,103.99,49800,103.99,102.14
2021-04-29,101.4,102.25,95700,102.25,101.4
2021-04-30,104.0,101.4,128500,104.0,101.4
2021-05-03,101.0,104.0,150800,104.0,101.0
2021-05-04,104.09,101.23,454000,104.09,101.23
2021-05-05,104.85,104.0,546600,104.85,104.0
2021-05-06,102.68,105.48,27700,105.48,102.68
2021-05-17,101.76,103.0,56500,103.0,101.76
2021-05-18,99.59,101.51,304600,101.51,99.59
2021-05-19,97.47,99.99,211400,99.99,97.47
2021-05-20,96.77,97.23,104600,97.23,96.77
2021-05-21,96.39,96.6,182000,96.6,96.39
2021-05-24,95.98,97.85,140200,97.85,95.98
2021-05-25,94.32,96.0,337600,96.0,94.32
2021-05-26,94.61,95.9,188500,95.9,94.61
2021-05-27,94.55,95.0,248900,95.0,94.55
2021-05-28,96.4,94.55,247000,96.4,94.55
2021-05-31,96.91,97.7,404500,97.7,96.91
2021-06-01,99.66,97.0,713700,99.66,97.0
2021-06-02,98.53,100.89,175800,100.89,98.53
2021-06-03,98.94,98.34,559800,98.94,98.34
2021-06-04,100.04,98.55,759400,100.04,98.55
2021-06-07,99.15,100.8,179600,100.8,99.15
2021-06-08,97.73,99.0,124600,99.0,97.73
2021-06-09,95.08,97.1,295600,97.1,95.08
2021-06-10,95.36,96.0,143500,96.0,95.36
2021-06-11,95.52,95.55,96100,95.55,95.52
2021-06-14,102.98,97.98,2828700,102.98,97.98
2021-06-15,102.03,103.64,468300,103.64,102.03
2021-06-16,102.49,102.74,261800,102.74,102.49
2021-06-17,102.04,101.0,299200,102.04,101.0
2021-06-18,102.88,101.5,258600,102.88,101.5
2021-06-21,101.06,101.51,107600,101.51,101.06
2021-06-22,101.02,100.2,178900,101.02,100.2
2021-06-23,101.33,99.86,72200,101.33,99.86
2021-06-24,100.97,101.3,80800,101.3,100.97
2021-06-25,101.04,101.0,418400,101.04,101.0
2021-06-28,99.51,100.25,118000,100.25,99.51
2021-06-29,102.15,98.61,200100,102.15,98.61
2021-06-30,110.33,103.0,3065000,110.33,103.0
2021-07-01,119.12,114.0,984400,119.12,114.0
2021-07-02,128.57,121.0,3228600,128.57,121.0
2021-07-05,129.72,128.49,2074200,129.72,128.49
2021-07-06,139.97,130.05,2366900,139.97,130.05
2021-07-07,147.07,139.26,7801500,147.07,139.26
2021-07-08,143.66,146.99,999900,146.99,143.66
2021-07-09,141.91,147.4,660600,147.4,141.91
2021-07-12,142.94,141.0,422700,142.94,141.0
2021-07-13,142.41,144.69,819500,144.69,142.41
2021-07-14,139.75,142.42,97200,142.42,139.75
2021-07-15,137.84,138.5,151300,138.5,137.84
2021-07-16,137.72,138.0,432400,138.0,137.72
2021-07-19,134.6,135.01,141000,135.01,134.6
2021-07-23,133.68,133.01,248000,133.68,133.01
2021-07-26,129.51,132.1,175400,132.1,129.51
2021-07-27,126.34,128.5,253200,128.5,126.34
2021-07-28,120.14,126.9,185500,126.9,120.14
2021-07-29,122.25999999999999,122.0,752100,122.25999999999999,122.0
2021-07-30,119.66,122.5,1182600,122.5,119.66
2021-08-02,117.29,119.0,121700,119.0,117.29
2021-08-03,114.68,118.3,382900,118.3,114.68
2021-08-04,115.8,115.49,942300,115.8,115.49
2021-08-05,114.21,116.38,780100,116.38,114.21
2021-08-06,116.06,114.61,615300,116.06,114.61
2021-08-09,114.29,117.49,437600,117.49,114.29
2021-08-10,115.99,114.0,429400,115.99,114.0
2021-08-11,119.8,116.65,1294900,119.8,116.65
2021-08-12,118.21,121.1,313000,121.1,118.21
2021-08-13,116.37,117.28,121800,117.28,116.37
2021-08-16,113.98,115.01,197200,115.01,113.98
2021-08-17,117.0,113.28,186400,117.0,113.28
2021-08-20,116.02,116.1,48700,116.1,116.02
2021-08-23,116.0,116.0,50200,116.0,116.0
2021-08-24,115.36,116.0,76300,116.0,115.36
2021-08-25,116.13,115.4,536200,116.13,115.4
2021-08-26,113.85,115.6,186300,115.6,113.85
2021-08-27,113.57,113.8,183400,113.8,113.57
