date,close,open,volume,high,low
2020-12-18,5.68,6.0,120500,6.0,5.68
2020-12-21,5.91,5.6,468500,5.91,5.6
2020-12-22,5.85,5.8,410000,5.85,5.8
2020-12-23,6.01,5.85,121000,6.01,5.85
2020-12-24,5.94,6.15,122500,6.15,5.94
2020-12-28,5.75,6.0,59500,6.0,5.75
2020-12-29,5.69,5.75,118500,5.75,5.69
2020-12-30,6.0,5.75,72500,6.0,5.75
2020-12-31,6.99,6.2,1930500,6.99,6.2
2021-01-01,6.65,7.0,260500,7.0,6.65
2021-01-04,6.9,6.56,350500,6.9,6.56
2021-01-05,6.53,6.54,384500,6.54,6.53
2021-01-06,6.75,6.75,225500,6.75,6.75
2021-01-07,6.6,6.75,137500,6.75,6.6
2021-01-08,6.47,6.77,38000,6.77,6.47
2021-01-11,6.34,6.47,63500,6.47,6.34
2021-01-12,6.24,6.3,112000,6.3,6.24
2021-01-13,6.28,6.25,82500,6.28,6.25
2021-01-14,6.36,6.11,94000,6.36,6.11
2021-01-15,6.13,6.36,33000,6.36,6.13
2021-01-18,6.15,6.13,49000,6.15,6.13
2021-01-19,6.61,6.15,296500,6.61,6.15
2021-01-20,6.23,6.55,75500,6.55,6.23
2021-01-21,6.31,6.23,17000,6.31,6.23
2021-01-22,6.21,6.44,57500,6.44,6.21
2021-01-25,6.17,6.44,50000,6.44,6.17
2021-01-26,6.2,6.39,78500,6.39,6.2
2021-01-27,6.16,6.1,87500,6.16,6.1
2021-01-28,6.09,6.12,29000,6.12,6.09
2021-01-29,6.02,6.03,60500,6.03,6.02
2021-02-01,6.05,6.03,220000,6.05,6.03
2021-02-02,5.85,6.01,72000,6.01,5.85
2021-02-03,5.69,5.98,101000,5.98,5.69
2021-02-04,5.2,5.8,451000,5.8,5.2
2021-02-08,5.5,5.28,170000,5.5,5.28
2021-02-09,6.5,5.51,741500,6.5,5.51
2021-02-10,6.97,6.81,720500,6.97,6.81
2021-02-11,6.39,6.75,121000,6.75,6.39
2021-02-12,6.32,6.41,84500,6.41,6.32
2021-02-15,6.12,6.3,36000,6.3,6.12
2021-02-16,6.55,6.49,110500,6.55,6.49
2021-02-17,6.35,6.55,114000,6.55,6.35
2021-02-18,6.23,6.3,10000,6.3,6.23
2021-02-19,6.2,6.34,54500,6.34,6.2
2021-02-22,6.49,6.04,157000,6.49,6.04
2021-02-23,6.3,6.17,45500,6.3,6.17
2021-02-24,6.3,6.5,57000,6.5,6.3
2021-02-25,6.5,6.12,124000,6.5,6.12
2021-02-26,6.53,6.5,87000,6.53,6.5
2021-03-01,6.39,6.5,42000,6.5,6.39
2021-03-02,6.6,6.35,52500,6.6,6.35
2021-03-03,6.5,6.6,30500,6.6,6.5
2021-03-04,6.49,6.45,213500,6.49,6.45
2021-03-05,6.5,6.5,19500,6.5,6.5
2021-03-08,6.49,6.6,121500,6.6,6.49
2021-03-09,6.48,6.5,116000,6.5,6.48
2021-03-10,6.15,6.4,54000,6.4,6.15
2021-03-11,6.06,6.29,200500,6.29,6.06
2021-03-12,6.03,5.66,4000,6.03,5.66
2021-03-15,6.44,6.03,89500,6.44,6.03
2021-03-16,6.23,6.49,61500,6.49,6.23
2021-03-17,7.23,6.3,522000,7.23,6.3
2021-03-18,7.45,7.35,567000,7.45,7.35
2021-03-19,7.42,7.51,88500,7.51,7.42
2021-03-22,7.32,7.3,53500,7.32,7.3
2021-03-24,8.23,7.49,382000,8.23,7.49
2021-03-25,7.83,8.51,302500,8.51,7.83
2021-03-26,7.14,7.7,131500,7.7,7.14
2021-03-29,6.2,6.61,1150500,6.61,6.2
2021-03-30,6.36,6.4,45000,6.4,6.36
2021-03-31,6.31,6.8,46000,6.8,6.31
2021-04-01,6.11,6.11,72500,6.11,6.11
2021-04-02,6.14,6.6,62500,6.6,6.14
2021-04-05,5.79,6.39,110500,6.39,5.79
2021-04-06,6.15,5.99,40500,6.15,5.99
2021-04-07,5.98,6.12,41000,6.12,5.98
2021-04-08,6.3,6.0,31500,6.3,6.0
2021-04-09,6.19,6.35,23500,6.35,6.19
2021-04-12,6.06,6.11,20500,6.11,6.06
2021-04-13,5.95,6.06,16000,6.06,5.95
2021-04-14,6.25,6.14,3000,6.25,6.14
2021-04-15,7.25,6.3,559500,7.25,6.3
2021-04-16,7.28,7.5,570500,7.5,7.28
2021-04-19,7.0,7.01,155000,7.01,7.0
2021-04-20,7.3,7.1,348000,7.3,7.1
2021-04-21,7.15,7.4,71000,7.4,7.15
2021-04-22,6.51,7.02,211000,7.02,6.51
2021-04-23,7.01,6.36,265500,7.01,6.36
2021-04-26,6.65,7.3,232000,7.3,6.65
2021-04-27,6.26,6.7,424000,6.7,6.26
2021-04-28,6.62,6.4,223500,6.62,6.4
2021-04-29,6.6,6.27,60000,6.6,6.27
2021-04-30,6.38,6.51,27500,6.51,6.38
2021-05-03,7.04,6.7,564500,7.04,6.7
2021-05-04,7.4,7.35,156500,7.4,7.35
2021-05-05,7.46,7.5,457500,7.5,7.46
2021-05-06,7.33,7.5,141000,7.5,7.33
2021-05-17,7.85,7.64,575500,7.85,7.64
2021-05-18,8.74,8.19,1764000,8.74,8.19
2021-05-19,8.77,8.88,1337500,8.88,8.77
2021-05-20,8.69,8.9,1855000,8.9,8.69
2021-05-21,9.16,8.9,638000,9.16,8.9
2021-05-24,8.68,9.5,775500,9.5,8.68
2021-05-25,8.9,8.67,244000,8.9,8.67
2021-05-26,8.57,8.9,487500,8.9,8.57
2021-05-27,8.46,8.99,162000,8.99,8.46
2021-05-28,8.44,8.5,177000,8.5,8.44
2021-05-31,8.65,8.68,283000,8.68,8.65
2021-06-01,8.38,8.51,158000,8.51,8.38
2021-06-02,8.47,8.38,219000,8.47,8.38
2021-06-03,9.03,8.63,1159500,9.03,8.63
2021-06-04,9.15,9.15,268500,9.15,9.15
2021-06-07,8.71,9.16,182000,9.16,8.71
2021-06-08,8.46,8.84,161000,8.84,8.46
2021-06-09,8.49,8.5,86500,8.5,8.49
2021-06-10,8.78,8.6,68000,8.78,8.6
2021-06-11,8.51,8.95,92500,8.95,8.51
2021-06-14,9.51,8.79,497500,9.51,8.79
2021-06-15,10.51,10.51,501500,10.51,10.51
2021-06-16,11.02,11.51,976000,11.51,11.02
2021-06-17,10.92,10.51,402500,10.92,10.51
2021-06-18,11.3,10.6,564000,11.3,10.6
2021-06-21,11.59,11.31,465000,11.59,11.31
2021-06-22,11.15,11.84,228500,11.84,11.15
2021-06-23,11.14,11.0,104500,11.14,11.0
2021-06-24,11.03,11.1,221500,11.1,11.03
2021-06-25,10.09,11.25,628000,11.25,10.09
2021-06-28,9.67,9.55,127500,9.67,9.55
2021-06-29,10.27,9.6,288000,10.27,9.6
2021-06-30,10.36,10.6,258000,10.6,10.36
2021-07-01,10.32,10.55,328500,10.55,10.32
2021-07-02,10.29,10.4,67000,10.4,10.29
2021-07-05,9.28,10.2,597000,10.2,9.28
2021-07-06,8.71,8.29,2883000,8.71,8.29
2021-07-07,9.66,8.65,1742500,9.66,8.65
2021-07-08,9.35,9.89,665000,9.89,9.35
2021-07-09,8.94,9.43,412500,9.43,8.94
2021-07-12,9.94,9.3,1286500,9.94,9.3
2021-07-13,10.49,10.6,1702500,10.6,10.49
2021-07-14,9.98,10.66,340000,10.66,9.98
2021-07-15,9.8,9.75,469500,9.8,9.75
2021-07-16,9.66,9.8,193000,9.8,9.66
2021-07-19,9.72,9.85,140500,9.85,9.72
2021-07-23,9.58,9.72,43000,9.72,9.58
2021-07-26,10.58,9.85,991000,10.58,9.85
2021-07-27,10.52,10.84,1332000,10.84,10.52
2021-07-28,10.08,10.84,240000,10.84,10.08
2021-07-29,9.9,10.08,129500,10.08,9.9
2021-07-30,9.72,10.29,211000,10.29,9.72
2021-08-02,10.3,10.24,371000,10.3,10.24
2021-08-03,10.03,10.45,270500,10.45,10.03
2021-08-04,10.1,10.25,585000,10.25,10.1
2021-08-05,10.62,10.1,1183500,10.62,10.1
2021-08-06,10.84,10.89,2292500,10.89,10.84
2021-08-09,10.31,10.84,906500,10.84,10.31
2021-08-10,10.02,10.25,365000,10.25,10.02
2021-08-11,10.09,10.19,245500,10.19,10.09
2021-08-12,9.88,10.0,160500,10.0,9.88
2021-08-13,9.92,9.99,35500,9.99,9.92
2021-08-16,9.47,9.76,127500,9.76,9.47
2021-08-17,10.47,9.95,1016500,10.47,9.95
2021-08-20,11.47,11.47,266000,11.47,11.47
2021-08-23,12.47,12.47,102500,12.47,12.47
2021-08-24,13.47,13.47,214500,13.47,13.47
2021-08-25,14.48,13.79,2156000,14.48,13.79
2021-08-26,15.56,15.56,309000,15.56,15.56
2021-08-27,14.4,15.97,2112000,15.97,14.4
2021-08-30,14.16,13.9,3372500,14.16,13.9
