date,close,open,volume,high,low
2023-09-25,11.600000000000001,11.719999999999999,295913,11.719999999999999,11.600000000000001
2023-09-26,13.0,11.61,4233167,13.0,11.61
2023-09-27,13.129999999999999,13.23,2948063,13.23,13.129999999999999
2023-09-28,12.620000000000001,13.3,2672703,13.3,12.620000000000001
2023-10-02,12.629999999999999,12.7,515589,12.7,12.629999999999999
2023-10-03,12.64,12.8,1191585,12.8,12.64
2023-10-04,14.32,12.850000000000001,6076059,14.32,12.850000000000001
2023-10-05,15.68,15.100000000000001,9770180,15.68,15.100000000000001
2023-10-06,15.43,15.809999999999999,1844825,15.809999999999999,15.43
2023-10-09,16.45,15.2,2429685,16.45,15.2
2023-10-10,16.84,16.5,3162153,16.84,16.5
2023-10-11,16.19,16.65,1349302,16.65,16.19
2023-10-12,16.9,16.25,2286433,16.9,16.25
2023-10-13,17.96,17.01,4094811,17.96,17.01
2023-10-16,18.69,18.01,3649896,18.69,18.01
2023-10-17,20.48,18.55,8969556,20.48,18.55
2023-10-18,17.61,18.49,6125696,18.49,17.61
2023-10-19,22.26,19.8,7912825,22.26,19.8
2023-10-20,24.57,23.03,5318992,24.57,23.03
2023-10-23,26.72,26.47,11015397,26.72,26.47
2023-10-24,26.92,27.0,5702345,27.0,26.92
2023-10-25,26.6,26.630000000000003,3530493,26.630000000000003,26.6
2023-10-26,28.79,26.869999999999997,9558819,28.79,26.869999999999997
2023-10-27,27.71,28.509999999999998,8133715,28.509999999999998,27.71
2023-10-30,29.36,28.5,10667882,29.36,28.5
2023-10-31,29.03,29.700000000000003,2801623,29.700000000000003,29.03
2023-11-01,28.97,29.0,5128438,29.0,28.97
2023-11-02,30.9,29.189999999999998,12317264,30.9,29.189999999999998
2023-11-03,32.56,31.799999999999997,14276345,32.56,31.799999999999997
2023-11-06,31.990000000000002,33.0,6948853,33.0,31.990000000000002
2023-11-07,32.18,32.5,9205262,32.5,32.18
2023-11-08,35.23,32.5,7118353,35.23,32.5
2023-11-10,38.51,36.35,7088830,38.51,36.35
2023-11-13,40.99,40.0,15772961,40.99,40.0
2023-11-14,40.27,41.2,8186052,41.2,40.27
2023-11-15,40.22,40.8,4953378,40.8,40.22
2023-11-16,43.87,40.65,15209583,43.87,40.65
2023-11-17,47.8,45.25,6180458,47.8,45.25
2023-11-20,52.02,52.0,4067604,52.02,52.0
2023-11-21,48.45,54.49,22874215,54.49,48.45
2023-11-22,52.72,48.99,15161698,52.72,48.99
2023-11-23,54.25,54.5,23885914,54.5,54.25
2023-11-24,53.4,54.15,10957486,54.15,53.4
2023-11-27,53.87,54.6,6344367,54.6,53.87
2023-11-28,52.98,53.9,7077404,53.9,52.98
2023-11-29,50.59,53.25,9247585,53.25,50.59
2023-11-30,49.08,51.61,10842057,51.61,49.08
2023-12-01,53.4,48.98,13542140,53.4,48.98
2023-12-04,57.64,56.349999999999994,16382549,57.64,56.349999999999994
2023-12-05,58.629999999999995,58.5,10152943,58.629999999999995,58.5
2023-12-06,58.08,58.5,6908396,58.5,58.08
2023-12-07,60.53,58.0,13323815,60.53,58.0
2023-12-08,62.629999999999995,61.89,8594591,62.629999999999995,61.89
2023-12-11,60.68000000000001,61.55,4791742,61.55,60.68000000000001
2023-12-12,61.56,61.349999999999994,5468564,61.56,61.349999999999994
2023-12-13,56.61,62.19,9979219,62.19,56.61
2023-12-14,54.28,56.61,5621166,56.61,54.28
2023-12-15,55.14,54.28,4564071,55.14,54.28
2023-12-18,51.51,56.0,3404332,56.0,51.51
2023-12-19,47.09,49.0,13624325,49.0,47.09
2023-12-20,42.99,46.5,14751083,46.5,42.99
2023-12-21,46.85,42.55,10310745,46.85,42.55
2023-12-22,45.01,48.5,11808059,48.5,45.01
2023-12-26,41.0,44.5,5735625,44.5,41.0
2023-12-27,44.71,40.51,7673294,44.71,40.51
2023-12-28,48.7,46.0,3040913,48.7,46.0
2023-12-29,52.26,51.48,14235677,52.26,51.48
2024-01-01,56.61,54.25,14241089,56.61,54.25
2024-01-02,53.39,57.0,8209228,57.0,53.39
2024-01-03,53.57,53.51,4992986,53.57,53.51
2024-01-04,55.84,54.2,12477264,55.84,54.2
2024-01-05,53.93,56.0,8511840,56.0,53.93
2024-01-08,50.91,53.72,5550001,53.72,50.91
2024-01-09,52.4,52.25,9006159,52.4,52.25
2024-01-10,51.34,52.49,5375413,52.49,51.34
2024-01-11,50.42,51.35,5676174,51.35,50.42
2024-01-12,49.34,51.49,7429626,51.49,49.34
2024-01-15,47.62,49.6,3792941,49.6,47.62
2024-01-16,50.17,47.6,13863778,50.17,47.6
2024-01-17,47.43,49.9,4544397,49.9,47.43
2024-01-18,45.44,46.05,6253413,46.05,45.44
2024-01-19,45.59,45.98,8663452,45.98,45.59
2024-01-22,45.8,46.29,2894013,46.29,45.8
2024-01-23,49.87,46.1,9602002,49.87,46.1
2024-01-24,54.25,51.5,12364533,54.25,51.5
2024-01-25,53.44,55.61,12481170,55.61,53.44
2024-01-26,52.25,53.49,3524855,53.49,52.25
2024-01-29,51.58,51.62,6107650,51.62,51.58
2024-01-30,48.82,54.49,14758559,54.49,48.82
2024-01-31,48.63,48.42,7485942,48.63,48.42
2024-02-01,48.99,48.8,4598946,48.99,48.8
2024-02-02,51.45,48.84,13080690,51.45,48.84
2024-02-06,52.27,52.0,4923902,52.27,52.0
2024-02-07,51.74,50.98,5759651,51.74,50.98
2024-02-09,53.33,50.55,7248718,53.33,50.55
2024-02-12,49.24,53.6,5717423,53.6,49.24
2024-02-13,50.33,48.5,7220456,50.33,48.5
