date,close,open,volume,high,low
2021-02-26,30.73,29.0,4599000,30.73,29.0
2021-03-01,31.43,31.05,31768500,31.43,31.05
2021-03-02,32.88,31.89,31310000,32.88,31.89
2021-03-03,33.85,33.2,32036000,33.85,33.2
2021-03-04,32.9,32.49,14854000,32.9,32.49
2021-03-05,33.95,33.0,29246500,33.95,33.0
2021-03-08,34.83,34.51,48203500,34.83,34.51
2021-03-09,33.47,34.9,15892000,34.9,33.47
2021-03-10,31.38,33.75,4577000,33.75,31.38
2021-03-11,29.03,30.99,3247000,30.99,29.03
2021-03-12,28.03,28.5,6696000,28.5,28.03
2021-03-15,30.13,29.52,6038500,30.13,29.52
2021-03-16,31.89,30.4,10610500,31.89,30.4
2021-03-17,33.03,32.6,14838500,33.03,32.6
2021-03-18,32.51,33.0,20486000,33.0,32.51
2021-03-19,33.1,32.6,12252000,33.1,32.6
2021-03-22,32.29,33.2,9161500,33.2,32.29
2021-03-24,33.31,31.95,21617000,33.31,31.95
2021-03-25,35.75,33.75,19158000,35.75,33.75
2021-03-26,38.19,36.25,21669000,38.19,36.25
2021-03-29,38.17,38.55,45630000,38.55,38.17
2021-03-30,37.97,38.2,5900500,38.2,37.97
2021-03-31,36.95,38.6,9000500,38.6,36.95
2021-04-01,34.92,37.89,5095000,37.89,34.92
2021-04-02,33.69,34.92,3004000,34.92,33.69
2021-04-05,31.25,33.74,5045500,33.74,31.25
2021-04-06,33.06,31.3,15868500,33.06,31.3
2021-04-07,33.04,33.2,22930000,33.2,33.04
2021-04-08,33.86,32.85,5393000,33.86,32.85
2021-04-09,34.65,33.94,6370000,34.65,33.94
2021-04-12,34.82,34.55,14351500,34.82,34.55
2021-04-13,35.54,34.36,11818000,35.54,34.36
2021-04-14,36.54,35.77,7572500,36.54,35.77
2021-04-15,36.01,36.45,810500,36.45,36.01
2021-04-16,35.6,36.0,429000,36.0,35.6
2021-04-19,34.22,34.6,937500,34.6,34.22
2021-04-20,34.46,34.96,1391000,34.96,34.46
2021-04-21,33.5,34.46,892500,34.46,33.5
2021-04-22,32.92,33.51,933000,33.51,32.92
2021-04-23,32.51,32.2,932500,32.51,32.2
2021-04-26,32.75,32.4,2303000,32.75,32.4
2021-04-27,34.02,32.95,11943000,34.02,32.95
2021-04-28,34.77,34.05,25605500,34.77,34.05
2021-04-29,34.56,34.95,12405000,34.95,34.56
2021-04-30,34.39,34.5,4633500,34.5,34.39
2021-05-03,32.54,34.48,1293500,34.48,32.54
2021-05-04,33.45,32.38,4515500,33.45,32.38
2021-05-05,34.09,33.7,6697500,34.09,33.7
2021-05-06,34.1,33.9,1011000,34.1,33.9
2021-05-17,34.54,34.2,2259500,34.54,34.2
2021-05-18,33.18,33.6,2633000,33.6,33.18
2021-05-19,30.8,32.96,4571000,32.96,30.8
2021-05-20,31.49,31.2,4169500,31.49,31.2
2021-05-21,31.23,31.79,24111000,31.79,31.23
2021-05-24,31.48,31.41,3386500,31.48,31.41
2021-05-25,31.16,31.26,2355000,31.26,31.16
2021-05-26,31.43,31.3,20919500,31.43,31.3
2021-05-27,31.55,31.5,12212500,31.55,31.5
2021-05-28,31.43,31.65,3529500,31.65,31.43
2021-05-31,31.91,31.5,3327500,31.91,31.5
2021-06-01,31.76,32.15,1953500,32.15,31.76
2021-06-02,33.09,32.08,30770000,33.09,32.08
2021-06-03,32.33,33.0,2533500,33.0,32.33
2021-06-04,32.72,32.64,13353000,32.72,32.64
2021-06-07,32.92,32.89,2850000,32.92,32.89
2021-06-08,32.04,33.0,2239000,33.0,32.04
2021-06-09,31.55,32.38,722500,32.38,31.55
2021-06-10,31.71,31.15,9884500,31.71,31.15
2021-06-11,32.33,31.88,28910000,32.33,31.88
2021-06-14,31.87,32.8,9879500,32.8,31.87
2021-06-15,31.06,31.87,6817500,31.87,31.06
2021-06-16,31.91,31.29,32428000,31.91,31.29
2021-06-17,31.45,31.89,14313000,31.89,31.45
2021-06-18,31.38,31.25,1964500,31.38,31.25
2021-06-21,31.6,31.4,10943000,31.6,31.4
2021-06-22,33.96,31.4,33370500,33.96,31.4
2021-06-23,34.69,34.0,31449500,34.69,34.0
2021-06-24,34.53,34.69,13075000,34.69,34.53
2021-06-25,35.36,34.5,18357000,35.36,34.5
2021-06-28,34.6,35.5,14377500,35.5,34.6
2021-06-29,33.79,34.75,1597000,34.75,33.79
2021-06-30,33.89,34.0,5434500,34.0,33.89
2021-07-01,33.96,33.92,1081500,33.96,33.92
2021-07-02,34.36,34.01,3004500,34.36,34.01
2021-07-05,33.75,34.45,676000,34.45,33.75
2021-07-06,32.79,33.75,10992000,33.75,32.79
2021-07-07,32.72,32.51,1362500,32.72,32.51
2021-07-08,32.51,32.95,1117500,32.95,32.51
2021-07-09,31.94,32.55,642000,32.55,31.94
2021-07-12,32.21,31.73,903000,32.21,31.73
2021-07-13,31.64,32.0,701000,32.0,31.64
2021-07-14,32.06,31.99,9555000,32.06,31.99
2021-07-15,31.76,32.05,1131500,32.05,31.76
2021-07-16,31.85,32.15,731000,32.15,31.85
2021-07-19,31.98,32.27,532000,32.27,31.98
2021-07-23,31.53,32.0,546500,32.0,31.53
2021-07-26,31.57,31.65,693500,31.65,31.57
2021-07-27,31.41,31.4,731500,31.41,31.4
2021-07-28,29.88,31.83,1455000,31.83,29.88
2021-07-29,29.2,29.5,2305500,29.5,29.2
2021-07-30,27.97,29.55,3017500,29.55,27.97
2021-08-02,28.4,28.0,665500,28.4,28.0
2021-08-03,29.62,28.85,1633000,29.62,28.85
2021-08-04,31.84,30.5,5024000,31.84,30.5
2021-08-05,31.41,31.74,7233000,31.74,31.41
2021-08-06,30.62,31.5,803500,31.5,30.62
2021-08-09,29.33,30.62,736000,30.62,29.33
2021-08-10,30.02,29.45,28426500,30.02,29.45
2021-08-11,29.56,30.15,1561500,30.15,29.56
2021-08-12,28.95,29.7,415500,29.7,28.95
2021-08-13,28.88,29.0,467500,29.0,28.88
2021-08-16,27.34,28.5,13289500,28.5,27.34
2021-08-17,28.43,27.34,8735000,28.43,27.34
2021-08-20,28.3,28.5,1168000,28.5,28.3
2021-08-23,27.9,28.23,15224500,28.23,27.9
2021-08-24,27.72,28.0,18776500,28.0,27.72
2021-08-25,28.17,27.85,33387500,28.17,27.85
2021-08-26,26.87,27.94,8932500,27.94,26.87
2021-08-27,25.43,26.87,3999000,26.87,25.43
2021-08-30,25.89,25.69,1790500,25.89,25.69
2021-08-31,26.1,26.0,15638000,26.1,26.0
2021-09-01,25.82,25.98,2117000,25.98,25.82
2021-09-02,25.85,26.05,42158500,26.05,25.85
2021-09-03,25.31,25.98,3543500,25.98,25.31
2021-09-06,24.3,25.31,15073000,25.31,24.3
2021-09-07,24.94,24.4,15820000,24.94,24.4
2021-09-08,25.35,25.05,20835500,25.35,25.05
2021-09-09,24.94,25.2,2124000,25.2,24.94
2021-09-10,24.69,25.0,39673500,25.0,24.69
2021-09-13,24.16,24.8,1967500,24.8,24.16
2021-09-14,24.12,24.09,22090500,24.12,24.09
2021-09-15,23.8,24.2,1983500,24.2,23.8
2021-09-16,23.86,23.8,947000,23.86,23.8
2021-09-17,23.17,23.98,1923500,23.98,23.17
2021-09-20,22.51,23.19,2434500,23.19,22.51
2021-09-21,24.14,22.6,10855500,24.14,22.6
2021-09-22,22.53,24.35,36194500,24.35,22.53
2021-09-23,20.85,22.5,9232500,22.5,20.85
2021-09-24,19.37,20.84,12717000,20.84,19.37
2021-09-27,18.27,19.35,6547500,19.35,18.27
2021-09-28,19.64,18.89,9006500,19.64,18.89
2021-09-29,18.98,19.97,25858500,19.97,18.98
2021-09-30,20.14,18.51,20829500,20.14,18.51
