date,close,open,volume,high,low
2021-02-25,218.51999999999998,222.89999999999998,10400,222.89999999999998,218.51999999999998
2021-02-26,215.57999999999998,217.0,7900,217.0,215.57999999999998
2021-03-01,214.68,218.0,11800,218.0,214.68
2021-03-02,209.83999999999997,215.89999999999998,44600,215.89999999999998,209.83999999999997
2021-03-03,211.01,212.94,5000,212.94,211.01
2021-03-04,207.99,209.0,9300,209.0,207.99
2021-03-05,212.55,204.05,23800,212.55,204.05
2021-03-08,210.57,216.89,49500,216.89,210.57
2021-03-09,208.0,216.99,70900,216.99,208.0
2021-03-10,204.93,208.0,5500,208.0,204.93
2021-03-11,193.07999999999998,204.0,42400,204.0,193.07999999999998
2021-03-12,208.49,194.5,102400,208.49,194.5
2021-03-15,213.74,211.0,70500,213.74,211.0
2021-03-16,216.62,213.0,14600,216.62,213.0
2021-03-17,214.0,215.39999999999998,20800,215.39999999999998,214.0
2021-03-18,217.5,216.0,90700,217.5,216.0
2021-03-19,214.0,217.0,6700,217.0,214.0
2021-03-22,221.8,215.10000000000002,51200,221.8,215.10000000000002
2021-03-24,217.70999999999998,214.39999999999998,41200,217.70999999999998,214.39999999999998
2021-03-25,216.0,213.01,2800,216.0,213.01
2021-03-26,213.0,213.0,10200,213.0,213.0
2021-03-29,203.05,212.58999999999997,59100,212.58999999999997,203.05
2021-03-30,203.0,198.25,32700,203.0,198.25
2021-03-31,205.01999999999998,203.10000000000002,5100,205.01999999999998,203.10000000000002
2021-04-01,201.88,203.0,19600,203.0,201.88
2021-04-02,200.88,205.98000000000002,26100,205.98000000000002,200.88
2021-04-05,199.63,201.0,14400,201.0,199.63
2021-04-06,200.85000000000002,198.39999999999998,4800,200.85000000000002,198.39999999999998
2021-04-07,203.2,199.01,8400,203.2,199.01
2021-04-08,215.61,202.98000000000002,179600,215.61,202.98000000000002
2021-04-09,213.49,213.0,16200,213.49,213.0
2021-04-12,210.0,211.0,5200,211.0,210.0
2021-04-13,209.10000000000002,208.0,14600,209.10000000000002,208.0
2021-04-14,210.0,209.5,6400,210.0,209.5
2021-04-15,209.0,210.60000000000002,1000,210.60000000000002,209.0
2021-04-16,209.2,209.10000000000002,1100,209.2,209.10000000000002
2021-04-19,211.0,209.0,8700,211.0,209.0
2021-04-20,211.07,211.0,4000,211.07,211.0
2021-04-21,218.43,211.0,45700,218.43,211.0
2021-04-22,210.26999999999998,218.0,16600,218.0,210.26999999999998
2021-04-23,201.48000000000002,208.0,21300,208.0,201.48000000000002
2021-04-26,213.10000000000002,202.0,78700,213.10000000000002,202.0
2021-04-27,208.51,214.0,11300,214.0,208.51
2021-04-28,209.79000000000002,209.2,1500,209.79000000000002,209.2
2021-04-29,205.86,212.89,1800,212.89,205.86
2021-04-30,204.14,204.14999999999998,100,204.14999999999998,204.14
2021-05-03,204.5,208.0,2900,208.0,204.5
2021-05-04,212.27999999999997,207.45,24100,212.27999999999997,207.45
2021-05-05,207.16000000000003,212.0,7800,212.0,207.16000000000003
2021-05-06,208.0,206.0,1800,208.0,206.0
2021-05-17,202.56,203.06,83200,203.06,202.56
2021-05-18,203.36,202.5,11800,203.36,202.5
2021-05-19,204.01,207.0,4200,207.0,204.01
2021-05-20,205.0,207.0,24800,207.0,205.0
2021-05-21,208.01,204.0,13700,208.01,204.0
2021-05-24,205.47000000000003,207.89999999999998,4500,207.89999999999998,205.47000000000003
2021-05-25,208.0,208.0,12400,208.0,208.0
2021-05-26,204.95,208.0,20400,208.0,204.95
2021-05-27,198.82,205.0,22800,205.0,198.82
2021-05-28,202.42000000000002,202.98000000000002,8500,202.98000000000002,202.42000000000002
2021-05-31,215.45999999999998,206.0,74800,215.45999999999998,206.0
2021-06-01,210.77999999999997,217.95999999999998,58300,217.95999999999998,210.77999999999997
2021-06-02,212.24,214.3,33000,214.3,212.24
2021-06-03,209.45999999999998,215.77999999999997,17400,215.77999999999997,209.45999999999998
2021-06-04,213.48000000000002,211.88,20100,213.48000000000002,211.88
2021-06-07,220.44,215.11,55500,220.44,215.11
2021-06-08,217.55,220.0,9300,220.0,217.55
2021-06-09,211.35000000000002,215.11,8000,215.11,211.35000000000002
2021-06-10,210.63,216.0,7300,216.0,210.63
2021-06-11,206.61,212.0,22100,212.0,206.61
2021-06-14,209.51,212.39999999999998,58100,212.39999999999998,209.51
2021-06-15,206.51,207.01,48200,207.01,206.51
2021-06-16,207.0,208.0,13700,208.0,207.0
2021-06-17,203.22000000000003,207.0,41000,207.0,203.22000000000003
2021-06-18,206.67000000000002,206.0,8700,206.67000000000002,206.0
2021-06-21,205.95,206.39999999999998,28000,206.39999999999998,205.95
2021-06-22,205.97000000000003,206.0,39900,206.0,205.97000000000003
2021-06-23,205.07999999999998,207.0,10200,207.0,205.07999999999998
2021-06-24,203.0,207.0,16100,207.0,203.0
2021-06-25,200.11,204.0,25500,204.0,200.11
2021-06-28,196.44,193.11,53100,196.44,193.11
2021-06-29,197.38,197.0,75800,197.38,197.0
2021-06-30,199.01999999999998,197.48000000000002,34900,199.01999999999998,197.48000000000002
2021-07-01,201.51999999999998,202.99,8800,202.99,201.51999999999998
2021-07-02,208.31,205.0,49200,208.31,205.0
2021-07-05,202.45,204.05,16700,204.05,202.45
2021-07-06,202.54000000000002,203.0,4500,203.0,202.54000000000002
2021-07-07,202.97000000000003,201.0,7900,202.97000000000003,201.0
2021-07-08,205.0,201.99,2400,205.0,201.99
2021-07-09,200.19,206.0,13400,206.0,200.19
2021-07-12,200.64,200.19,15900,200.64,200.19
2021-07-13,204.39,203.0,46300,204.39,203.0
2021-07-14,212.32,206.0,32700,212.32,206.0
2021-07-15,209.10000000000002,212.0,6100,212.0,209.10000000000002
2021-07-16,206.5,208.05,5300,208.05,206.5
2021-07-19,206.14999999999998,208.0,3500,208.0,206.14999999999998
2021-07-23,204.0,203.05,7900,204.0,203.05
2021-07-26,202.75,200.14999999999998,6400,202.75,200.14999999999998
2021-07-27,203.39,201.5,3200,203.39,201.5
2021-07-28,204.75,202.60000000000002,16400,204.75,202.60000000000002
2021-07-29,200.11,201.0,5800,201.0,200.11
2021-07-30,200.3,200.0,5600,200.3,200.0
2021-08-02,203.94,199.05,12200,203.94,199.05
2021-08-03,208.0,202.0,13400,208.0,202.0
2021-08-04,210.62,203.10000000000002,17100,210.62,203.10000000000002
2021-08-05,211.0,211.0,15000,211.0,211.0
2021-08-06,213.27999999999997,208.10000000000002,8800,213.27999999999997,208.10000000000002
2021-08-09,207.18,213.0,7500,213.0,207.18
2021-08-10,211.66000000000003,207.0,22200,211.66000000000003,207.0
2021-08-11,216.75,212.99,210800,216.75,212.99
2021-08-12,210.01999999999998,218.0,31100,218.0,210.01999999999998
2021-08-13,209.72000000000003,210.0,8800,210.0,209.72000000000003
2021-08-16,205.69,209.99,30400,209.99,205.69
2021-08-17,210.43,204.10000000000002,14600,210.43,204.10000000000002
2021-08-20,212.76,211.0,15400,212.76,211.0
2021-08-23,212.99,210.43,21400,212.99,210.43
2021-08-24,211.82,213.01,5400,213.01,211.82
2021-08-25,208.61,215.22000000000003,19900,215.22000000000003,208.61
2021-08-26,206.01,208.0,21900,208.0,206.01
2021-08-27,204.62,205.0,22800,205.0,204.62
2021-08-30,205.22000000000003,204.62,28100,205.22000000000003,204.62
2021-08-31,206.0,206.99,8400,206.99,206.0
2021-09-01,207.29000000000002,207.99,10400,207.99,207.29000000000002
2021-09-02,206.8,206.01999999999998,14000,206.8,206.01999999999998
2021-09-03,211.69,211.85000000000002,14200,211.85000000000002,211.69
2021-09-06,213.5,213.83999999999997,7100,213.83999999999997,213.5
2021-09-07,212.76999999999998,213.5,3700,213.5,212.76999999999998
2021-09-08,211.91000000000003,213.0,7600,213.0,211.91000000000003
2021-09-09,214.35000000000002,213.05,29600,214.35000000000002,213.05
2021-09-10,212.64,213.99,6300,213.99,212.64
2021-09-13,220.06,214.5,60400,220.06,214.5
2021-09-14,192.07999999999998,196.99,11100,196.99,192.07999999999998
2021-09-15,215.55,219.49,15600,219.49,215.55
2021-09-16,214.51999999999998,218.5,8600,218.5,214.51999999999998
2021-09-17,211.04000000000002,214.60000000000002,7000,214.60000000000002,211.04000000000002
2021-09-20,209.5,209.5,6700,209.5,209.5
2021-09-21,205.31,207.67000000000002,7200,207.67000000000002,205.31
2021-09-22,197.60000000000002,204.0,24100,204.0,197.60000000000002
2021-09-23,197.29000000000002,199.5,18400,199.5,197.29000000000002
2021-09-24,201.79000000000002,201.49,12300,201.79000000000002,201.49
2021-09-27,196.86,201.79000000000002,4900,201.79000000000002,196.86
2021-09-28,197.14,196.5,31700,197.14,196.5
2021-09-29,191.35000000000002,197.5,8900,197.5,191.35000000000002
2021-09-30,192.5,192.39999999999998,4600,192.5,192.39999999999998
2021-10-01,198.55,192.61,13000,198.55,192.61
2021-10-04,202.60000000000002,197.51,6100,202.60000000000002,197.51
