date,close,open,volume,high,low
2023-09-13,18.91,19.44,166586,19.44,18.91
2023-09-14,18.93,19.1,43512,19.1,18.93
2023-09-15,18.98,19.1,702373,19.1,18.98
2023-09-18,18.52,19.0,437633,19.0,18.52
2023-09-19,18.55,18.56,63079,18.56,18.55
2023-09-20,18.29,18.88,123451,18.88,18.29
2023-09-21,18.5,18.74,55892,18.74,18.5
2023-09-22,18.77,18.5,244321,18.77,18.5
2023-09-25,18.55,18.99,82434,18.99,18.55
2023-09-26,19.05,18.61,337684,19.05,18.61
2023-09-27,19.37,19.06,572234,19.37,19.06
2023-09-28,19.89,19.45,710011,19.89,19.45
2023-10-02,19.45,19.7,579046,19.7,19.45
2023-10-03,19.27,19.6,78091,19.6,19.27
2023-10-04,19.23,19.27,93715,19.27,19.23
2023-10-05,20.53,19.36,1600745,20.53,19.36
2023-10-06,20.17,20.44,867630,20.44,20.17
2023-10-09,19.8,20.2,126582,20.2,19.8
2023-10-10,21.3,19.99,3887158,21.3,19.99
2023-10-11,21.31,21.5,581672,21.5,21.31
2023-10-12,21.28,21.39,171532,21.39,21.28
2023-10-13,22.16,21.49,1997816,22.16,21.49
2023-10-16,22.83,22.25,2304498,22.83,22.25
2023-10-17,21.89,22.72,402940,22.72,21.89
2023-10-18,22.31,21.65,2162347,22.31,21.65
2023-10-19,22.88,22.53,812753,22.88,22.53
2023-10-20,22.69,23.0,1137826,23.0,22.69
2023-10-23,22.49,22.6,945588,22.6,22.49
2023-10-24,22.49,22.4,525065,22.49,22.4
2023-10-25,22.12,22.6,325739,22.6,22.12
2023-10-26,21.51,22.16,392698,22.16,21.51
2023-10-27,20.54,22.1,595035,22.1,20.54
2023-10-30,22.03,20.56,1060369,22.03,20.56
2023-10-31,21.25,21.8,513172,21.8,21.25
2023-11-01,21.63,21.47,1698678,21.63,21.47
2023-11-02,22.64,21.93,2651613,22.64,21.93
2023-11-03,23.02,22.88,2025088,23.02,22.88
2023-11-06,23.58,23.1,1784792,23.58,23.1
2023-11-07,22.32,23.65,1655804,23.65,22.32
2023-11-08,22.13,22.35,947126,22.35,22.13
2023-11-10,22.35,22.44,936550,22.44,22.35
2023-11-13,22.63,22.41,639310,22.63,22.41
2023-11-14,22.22,22.6,873231,22.6,22.22
2023-11-15,22.39,22.38,1586822,22.39,22.38
2023-11-16,23.1,22.64,2859534,23.1,22.64
2023-11-17,23.15,23.37,1792532,23.37,23.15
2023-11-20,23.23,23.0,1009720,23.23,23.0
2023-11-21,24.97,23.44,3570629,24.97,23.44
2023-11-22,25.66,25.6,3364481,25.66,25.6
2023-11-23,26.31,25.66,3033038,26.31,25.66
2023-11-24,25.65,25.9,1058772,25.9,25.65
2023-11-27,27.23,25.6,1635257,27.23,25.6
2023-11-28,26.74,28.0,1456426,28.0,26.74
2023-11-29,25.72,27.18,1014908,27.18,25.72
2023-11-30,25.5,26.19,837538,26.19,25.5
2023-12-01,26.4,25.41,1572109,26.4,25.41
2023-12-04,26.4,26.65,1380428,26.65,26.4
2023-12-05,26.55,26.59,2458086,26.59,26.55
2023-12-06,26.86,26.74,5210782,26.86,26.74
2023-12-07,26.83,27.0,1290054,27.0,26.83
2023-12-08,27.02,26.66,1860550,27.02,26.66
2023-12-11,26.24,27.19,1112296,27.19,26.24
2023-12-12,26.78,26.59,900798,26.78,26.59
2023-12-13,27.53,26.8,1804584,27.53,26.8
2023-12-14,26.98,27.2,910957,27.2,26.98
2023-12-15,26.98,27.27,584596,27.27,26.98
2023-12-18,26.28,26.9,210764,26.9,26.28
2023-12-19,24.56,26.22,596511,26.22,24.56
2023-12-20,24.17,24.92,302185,24.92,24.17
2023-12-21,24.67,24.1,222597,24.67,24.1
2023-12-22,24.02,24.7,146290,24.7,24.02
2023-12-26,22.27,24.0,604370,24.0,22.27
2023-12-27,23.03,22.1,1032882,23.03,22.1
2023-12-28,23.32,23.1,270312,23.32,23.1
2023-12-29,23.06,23.51,385573,23.51,23.06
2024-01-01,24.02,23.39,976912,24.02,23.39
2024-01-02,23.73,24.0,162959,24.0,23.73
2024-01-03,25.51,23.52,1186300,25.51,23.52
2024-01-04,24.22,26.01,2100167,26.01,24.22
2024-01-05,23.55,24.49,1213769,24.49,23.55
2024-01-08,23.58,23.33,317610,23.58,23.33
2024-01-09,23.62,23.49,203423,23.62,23.49
2024-01-10,23.65,23.54,112938,23.65,23.54
2024-01-11,23.85,23.8,567775,23.85,23.8
2024-01-12,23.79,24.0,600951,24.0,23.79
