date,close,open,volume,high,low
2021-02-26,199.39,199.0,21000,199.39,199.0
2021-03-01,190.99,200.0,5600,200.0,190.99
2021-03-02,197.07,195.0,5800,197.07,195.0
2021-03-03,201.43,198.0,34300,201.43,198.0
2021-03-04,194.39,191.0,16200,194.39,191.0
2021-03-05,190.72000000000003,191.76999999999998,16200,191.76999999999998,190.72000000000003
2021-03-08,190.22000000000003,205.0,35700,205.0,190.22000000000003
2021-03-09,173.85,190.99,26600,190.99,173.85
2021-03-10,168.23,173.85,18000,173.85,168.23
2021-03-11,151.32,161.0,35000,161.0,151.32
2021-03-12,159.49,152.0,20300,159.49,152.0
2021-03-15,172.89,170.7,17000,172.89,170.7
2021-03-16,184.57999999999998,180.98000000000002,62400,184.57999999999998,180.98000000000002
2021-03-17,187.7,188.86,58700,188.86,187.7
2021-03-18,178.76999999999998,185.0,16800,185.0,178.76999999999998
2021-03-19,175.2,175.0,18400,175.2,175.0
2021-03-22,175.5,171.1,6000,175.5,171.1
2021-03-24,173.25,178.47000000000003,5500,178.47000000000003,173.25
2021-03-25,173.73,177.0,7800,177.0,173.73
2021-03-26,175.98,178.99,8600,178.99,175.98
2021-03-29,163.03,171.0,13100,171.0,163.03
2021-03-30,165.9,162.0,3900,165.9,162.0
2021-03-31,165.5,168.45,25100,168.45,165.5
2021-04-01,163.9,171.0,7300,171.0,163.9
2021-04-02,168.9,168.5,6100,168.9,168.5
2021-04-05,161.62,162.49,3700,162.49,161.62
2021-04-06,162.43,165.99,14600,165.99,162.43
2021-04-07,159.44,166.9,4500,166.9,159.44
2021-04-08,164.61,161.0,5000,164.61,161.0
2021-04-09,164.78,161.55,10200,164.78,161.55
2021-04-12,164.49,161.0,9900,164.49,161.0
2021-04-13,167.56,161.05,9900,167.56,161.05
2021-04-14,172.0,166.1,9700,172.0,166.1
2021-04-15,174.02,167.2,4100,174.02,167.2
2021-04-16,179.31,173.05,15700,179.31,173.05
2021-04-19,181.51,176.05,17000,181.51,176.05
2021-04-20,183.85000000000002,185.8,15200,185.8,183.85000000000002
2021-04-21,185.29000000000002,187.0,16700,187.0,185.29000000000002
2021-04-22,183.26999999999998,186.0,54500,186.0,183.26999999999998
2021-04-23,183.26999999999998,181.0,21500,183.26999999999998,181.0
2021-04-26,184.74,182.89999999999998,107100,184.74,182.89999999999998
2021-04-27,180.89,182.0,29400,182.0,180.89
2021-04-28,176.22,178.05,17600,178.05,176.22
2021-04-29,172.9,176.22,9000,176.22,172.9
2021-04-30,170.36,171.0,4900,171.0,170.36
2021-05-03,163.48,166.0,21600,166.0,163.48
2021-05-04,164.2,165.99,3300,165.99,164.2
2021-05-05,166.0,164.2,4900,166.0,164.2
2021-05-06,171.07,168.0,5600,171.07,168.0
2021-05-17,189.82,173.5,25100,189.82,173.5
2021-05-18,196.16000000000003,194.39999999999998,66500,196.16000000000003,194.39999999999998
2021-05-19,191.47000000000003,196.14999999999998,22600,196.14999999999998,191.47000000000003
2021-05-20,190.99,191.0,11700,191.0,190.99
2021-05-21,190.51999999999998,189.57,12600,190.51999999999998,189.57
2021-05-24,180.41000000000003,185.0,14100,185.0,180.41000000000003
2021-05-25,190.5,189.5,11200,190.5,189.5
2021-05-26,191.04000000000002,189.57999999999998,22300,191.04000000000002,189.57999999999998
2021-05-27,191.07999999999998,191.0,6400,191.07999999999998,191.0
2021-05-28,190.76,191.0,18600,191.0,190.76
2021-05-31,192.17000000000002,190.0,18700,192.17000000000002,190.0
2021-06-01,195.0,193.0,14900,195.0,193.0
2021-06-02,197.69,196.02999999999997,45800,197.69,196.02999999999997
2021-06-03,196.01999999999998,197.0,18400,197.0,196.01999999999998
2021-06-04,197.63,197.0,21000,197.63,197.0
2021-06-07,211.14,201.0,126600,211.14,201.0
2021-06-08,204.11,212.98000000000002,24200,212.98000000000002,204.11
2021-06-09,203.51999999999998,211.0,15100,211.0,203.51999999999998
2021-06-10,200.8,205.0,39100,205.0,200.8
2021-06-11,204.05,201.01,13800,204.05,201.01
2021-06-14,205.01999999999998,208.0,21600,208.0,205.01999999999998
2021-06-15,201.48000000000002,205.02999999999997,4900,205.02999999999997,201.48000000000002
2021-06-16,200.36,201.0,6400,201.0,200.36
2021-06-17,199.32999999999998,201.0,4600,201.0,199.32999999999998
2021-06-18,201.62,199.35000000000002,6400,201.62,199.35000000000002
2021-06-21,201.04000000000002,204.0,29600,204.0,201.04000000000002
2021-06-22,203.75,201.0,3700,203.75,201.0
2021-06-23,202.0,203.95,1800,203.95,202.0
2021-06-24,201.32,205.0,9700,205.0,201.32
2021-06-25,203.5,201.0,23900,203.5,201.0
2021-06-28,204.39,206.0,51300,206.0,204.39
2021-06-29,224.89,204.39999999999998,117600,224.89,204.39999999999998
2021-06-30,246.94,242.99,92200,246.94,242.99
2021-07-01,268.67,270.63,285200,270.63,268.67
2021-07-02,268.48,267.95,150500,268.48,267.95
2021-07-05,285.09,270.0,201200,285.09,270.0
2021-07-06,311.64,290.0,191000,311.64,290.0
2021-07-07,336.47,323.0,368800,336.47,323.0
2021-07-08,341.94,341.0,155400,341.94,341.0
2021-07-09,318.55,343.0,92700,343.0,318.55
2021-07-12,299.4,318.5,108700,318.5,299.4
2021-07-13,294.61,299.4,31300,299.4,294.61
2021-07-14,321.42,291.1,137700,321.42,291.1
