date,close,open,volume,high,low
2023-09-25,234.57,231.0,1149447,234.57,231.0
2023-09-26,245.69,235.75,3644476,245.69,235.75
2023-09-27,242.39,246.0,1464283,246.0,242.39
2023-09-28,234.54,232.0,1637188,234.54,232.0
2023-10-02,239.97000000000003,235.5,1963454,239.97000000000003,235.5
2023-10-03,235.46,241.01,1648796,241.01,235.46
2023-10-04,239.51999999999998,237.0,2118205,239.51999999999998,237.0
2023-10-05,237.54000000000002,239.88,1175927,239.88,237.54000000000002
2023-10-06,237.97000000000003,237.37,501101,237.97000000000003,237.37
2023-10-09,245.07,236.89,2426134,245.07,236.89
2023-10-10,264.95,245.07,4905886,264.95,245.07
2023-10-11,266.37,270.0,2478661,270.0,266.37
2023-10-12,272.39,267.0,2782032,272.39,267.0
2023-10-13,268.72,272.1,2019042,272.1,268.72
2023-10-16,266.29,269.0,2006732,269.0,266.29
2023-10-17,263.57,268.0,1399817,268.0,263.57
2023-10-18,263.48,263.6,1784562,263.6,263.48
2023-10-19,266.73,263.4,1387387,266.73,263.4
2023-10-20,267.25,268.74,2384647,268.74,267.25
2023-10-23,262.38,268.11,1070876,268.11,262.38
2023-10-24,264.64,262.03,2934856,264.64,262.03
2023-10-25,263.35,265.8,860336,265.8,263.35
2023-10-26,260.81,264.0,551961,264.0,260.81
2023-10-27,261.32,260.06,945998,261.32,260.06
2023-10-30,263.52,261.99,752034,263.52,261.99
2023-10-31,279.39,264.39,5671101,279.39,264.39
2023-11-01,276.1,283.99,4344914,283.99,276.1
2023-11-02,273.12,276.47,2288999,276.47,273.12
2023-11-03,276.45,273.99,1867171,276.45,273.99
2023-11-06,274.83,278.0,1259952,278.0,274.83
2023-11-07,262.31,277.11,1294046,277.11,262.31
2023-11-08,269.89,260.1,2287648,269.89,260.1
2023-11-10,274.62,269.0,2077004,274.62,269.0
2023-11-13,272.42,275.0,984807,275.0,272.42
2023-11-14,273.12,272.42,1128260,273.12,272.42
2023-11-15,286.83,274.05,4152913,286.83,274.05
2023-11-16,285.72,291.14,2986395,291.14,285.72
2023-11-17,278.6,284.01,1207640,284.01,278.6
2023-11-20,277.08,278.0,1075114,278.0,277.08
2023-11-21,276.52,278.0,1131307,278.0,276.52
2023-11-22,277.31,276.05,627158,277.31,276.05
2023-11-23,284.2,278.0,2943804,284.2,278.0
2023-11-24,277.38,285.99,1188665,285.99,277.38
2023-11-27,275.27,278.02,730896,278.02,275.27
2023-11-28,290.86,275.0,3423952,290.86,275.0
2023-11-29,293.8,292.0,4154754,293.8,292.0
2023-11-30,291.7,295.55,972948,295.55,291.7
2023-12-01,296.56,292.0,1232830,296.56,292.0
