date,close,open,volume,high,low
2024-08-05,52.32,46.15,449216,52.32,46.15
2024-08-06,53.02,53.0,301253,53.02,53.0
2024-08-07,54.44,53.47,129985,54.44,53.47
2024-08-08,59.88,54.95,419065,59.88,54.95
2024-08-09,65.87,65.87,27487,65.87,65.87
2024-08-12,72.45,72.46,20179,72.46,72.45
2024-08-13,72.78,79.71,747019,79.71,72.78
2024-08-15,80.06,72.02,353227,80.06,72.02
2024-08-16,80.72,87.9,671917,87.9,80.72
2024-08-19,78.95,81.56,254565,81.56,78.95
2024-08-20,80.28,79.95,238431,80.28,79.95
2024-08-21,83.55,80.99,481034,83.55,80.99
2024-08-22,79.94,85.7,141747,85.7,79.94
2024-08-23,75.28,80.94,82327,80.94,75.28
2024-08-26,71.43,77.75,44331,77.75,71.43
2024-08-27,70.2,70.31,67279,70.31,70.2
2024-08-28,73.26,70.0,115838,73.26,70.0
2024-08-29,72.27,74.0,38607,74.0,72.27
2024-08-30,75.15,72.01,168273,75.15,72.01
2024-09-02,70.73,75.1,80102,75.1,70.73
2024-09-03,77.09,71.99,213952,77.09,71.99
2024-09-04,79.55,77.5,155236,79.55,77.5
2024-09-05,76.31,78.0,32022,78.0,76.31
2024-09-06,77.73,75.0,49619,77.73,75.0
2024-09-09,74.15,79.79,10590,79.79,74.15
2024-09-10,75.87,75.75,9643,75.87,75.75
2024-09-11,78.7,76.99,33305,78.7,76.99
2024-09-12,76.56,79.0,22742,79.0,76.56
2024-09-13,76.98,78.5,874269,78.5,76.98
2024-09-16,74.39,76.0,44381,76.0,74.39
2024-09-18,71.15,74.0,46142,74.0,71.15
2024-09-19,70.58,77.4,40549,77.4,70.58
2024-09-20,70.43,70.0,3043,70.43,70.0
2024-09-23,74.95,70.5,1947799,74.95,70.5
2024-09-24,77.34,76.25,2104323,77.34,76.25
2024-09-25,79.39,78.23,1721080,79.39,78.23
2024-09-26,78.76,79.99,1531651,79.99,78.76
2024-09-27,79.29,79.9,2012817,79.9,79.29
2024-09-30,78.76,80.99,418166,80.99,78.76
2024-10-01,76.73,77.99,612844,77.99,76.73
2024-10-02,76.98,76.01,384924,76.98,76.01
2024-10-03,76.04,77.98,441621,77.98,76.04
2024-10-04,76.39,78.5,488199,78.5,76.39
2024-10-07,72.29,76.99,605001,76.99,72.29
2024-10-08,74.92,72.98,224329,74.92,72.98
2024-10-09,74.73,73.0,332850,74.73,73.0
2024-10-10,72.06,75.0,430915,75.0,72.06
2024-10-11,72.95,73.0,152284,73.0,72.95
2024-10-14,69.34,73.4,293930,73.4,69.34
2024-10-15,70.68,69.85,756628,70.68,69.85
2024-10-16,69.73,69.49,232827,69.73,69.49
2024-10-17,67.66,69.95,684701,69.95,67.66
2024-10-18,70.7,69.98,259003,70.7,69.98
2024-10-21,68.76,69.51,122112,69.51,68.76
2024-10-22,68.98,69.0,541909,69.0,68.98
2024-10-23,68.38,68.0,312428,68.38,68.0
2024-10-24,67.69,68.49,1736619,68.49,67.69
2024-10-25,68.36,65.06,1186530,68.36,65.06
2024-10-28,66.93,70.95,277358,70.95,66.93
2024-10-29,66.09,66.85,907257,66.85,66.09
2024-10-30,66.92,65.0,829420,66.92,65.0
2024-10-31,68.5,65.11,1064578,68.5,65.11
2024-11-01,70.91,66.01,1467461,70.91,66.01
2024-11-04,71.23,71.11,264090,71.23,71.11
2024-11-05,71.14,72.25,1480382,72.25,71.14
2024-11-06,69.81,69.99,796889,69.99,69.81
2024-11-07,69.13,70.3,471983,70.3,69.13
2024-11-08,67.87,69.97,730403,69.97,67.87
2024-11-11,66.25,69.45,577350,69.45,66.25
2024-11-12,70.81,65.1,932014,70.81,65.1
2024-11-13,65.51,71.0,2809654,71.0,65.51
2024-11-14,63.51,65.45,1845244,65.45,63.51
2024-11-15,65.38,64.99,1071232,65.38,64.99
2024-11-18,66.0,65.39,1544250,66.0,65.39
2024-11-19,64.84,65.01,1738244,65.01,64.84
2024-11-20,63.15,64.49,1136493,64.49,63.15
2024-11-21,63.72,63.0,1555393,63.72,63.0
2024-11-22,61.83,63.5,633936,63.5,61.83
2024-11-25,62.74,61.99,1088644,62.74,61.99
2024-11-26,58.34,63.0,1222867,63.0,58.34
2024-11-27,60.11,59.99,1116251,60.11,59.99
2024-11-28,56.3,59.99,3635789,59.99,56.3
2024-11-29,57.73,56.0,487199,57.73,56.0
2024-12-02,58.77,57.73,1052202,58.77,57.73
2024-12-03,56.95,59.0,735002,59.0,56.95
2024-12-04,59.04,57.25,1819347,59.04,57.25
2024-12-05,58.3,59.5,684431,59.5,58.3
2024-12-06,57.83,58.0,761338,58.0,57.83
2024-12-09,56.27,58.2,809612,58.2,56.27
2024-12-10,56.15,56.58,968444,56.58,56.15
2024-12-11,55.62,55.81,984999,55.81,55.62
2024-12-12,55.97,55.02,872260,55.97,55.02
2024-12-13,54.23,55.87,1606404,55.87,54.23
2024-12-16,55.22,54.5,1821488,55.22,54.5
2024-12-17,53.14,55.45,437813,55.45,53.14
2024-12-18,52.79,53.3,1274553,53.3,52.79
2024-12-19,48.22,52.27,391319,52.27,48.22
2024-12-20,51.06,48.21,1482249,51.06,48.21
2024-12-23,51.84,52.0,185356,52.0,51.84
2024-12-24,49.1,52.5,966253,52.5,49.1
2024-12-26,49.87,49.1,1122147,49.87,49.1
2024-12-27,50.85,52.0,1935224,52.0,50.85
2024-12-30,54.94,51.0,5611297,54.94,51.0
2024-12-31,57.0,57.0,4472751,57.0,57.0
2025-01-01,62.7,58.3,8216861,62.7,58.3
2025-01-02,63.6,64.27,6655008,64.27,63.6
2025-01-03,62.06,63.9,3130724,63.9,62.06
2025-01-06,61.44,62.5,7293905,62.5,61.44
2025-01-07,61.34,62.0,4181403,62.0,61.34
2025-01-08,61.3,63.0,16011857,63.0,61.3
2025-01-09,57.85,60.94,5883163,60.94,57.85
2025-01-10,53.2,56.75,3099240,56.75,53.2
2025-01-13,54.24,53.81,1894068,54.24,53.81
2025-01-14,55.79,54.69,2923448,55.79,54.69
2025-01-15,56.25,56.5,3073333,56.5,56.25
2025-01-16,55.61,57.0,3509380,57.0,55.61
2025-01-17,55.41,55.0,2720691,55.41,55.0
2025-01-20,53.83,54.25,2558544,54.25,53.83
2025-01-21,51.34,54.0,1811960,54.0,51.34
2025-01-22,50.9,51.34,6778420,51.34,50.9
2025-01-23,50.99,50.5,1509439,50.99,50.5
2025-01-24,50.0,51.4,1659053,51.4,50.0
2025-01-27,48.69,50.0,2126685,50.0,48.69
2025-01-28,49.3,48.88,563932,49.3,48.88
2025-01-29,48.98,49.74,3108577,49.74,48.98
2025-01-30,49.92,48.98,2522690,49.92,48.98
2025-01-31,50.54,50.03,2331859,50.54,50.03
2025-02-03,50.13,50.6,1000091,50.6,50.13
2025-02-04,46.48,49.75,2548803,49.75,46.48
2025-02-06,49.19,45.95,3412897,49.19,45.95
2025-02-07,47.49,49.0,1084782,49.0,47.49
2025-02-10,47.53,47.66,3512092,47.66,47.53
2025-02-11,47.83,47.98,2320633,47.98,47.83
2025-02-12,46.3,47.98,2046939,47.98,46.3
2025-02-13,46.6,46.02,1876061,46.6,46.02
2025-02-14,46.55,46.6,2329828,46.6,46.55
2025-02-17,46.97,46.86,1627789,46.97,46.86
2025-02-18,47.17,46.98,1537467,47.17,46.98
2025-02-19,46.23,47.5,1535637,47.5,46.23
2025-02-20,47.25,46.01,1206765,47.25,46.01
2025-02-21,51.98,47.55,15348524,51.98,47.55
2025-02-24,52.24,52.9,6388244,52.9,52.24
2025-02-25,51.46,51.9,2573818,51.9,51.46
2025-02-26,48.42,51.9,4189371,51.9,48.42
2025-02-27,45.58,48.79,4817213,48.79,45.58
2025-02-28,47.09,45.58,3174452,47.09,45.58
2025-03-03,46.13,47.49,906254,47.49,46.13
2025-03-04,46.27,46.01,1436704,46.27,46.01
