date,close,open,volume,high,low
2023-09-22,32.1,31.29,26000,32.1,31.29
2023-09-25,32.56,32.02,21000,32.56,32.02
2023-09-26,34.09,32.95,121000,34.09,32.95
2023-09-27,34.15,33.96,7500,34.15,33.96
2023-09-28,33.45,34.3,11000,34.3,33.45
2023-10-02,33.22,34.65,36500,34.65,33.22
2023-10-03,33.11,33.5,7500,33.5,33.11
2023-10-04,32.81,33.02,14000,33.02,32.81
2023-10-05,34.29,32.98,47500,34.29,32.98
2023-10-06,34.9,34.5,46500,34.9,34.5
2023-10-09,37.52,34.52,134500,37.52,34.52
2023-10-10,36.27,37.61,100000,37.61,36.27
2023-10-11,37.24,37.0,56000,37.24,37.0
2023-10-12,39.44,37.6,121000,39.44,37.6
2023-10-13,41.97,39.9,230000,41.97,39.9
2023-10-16,44.71,42.97,204000,44.71,42.97
2023-10-17,44.16,44.35,145500,44.35,44.16
2023-10-18,44.14,43.11,49500,44.14,43.11
2023-10-19,45.47,43.3,75000,45.47,43.3
2023-10-20,45.5,46.0,44000,46.0,45.5
2023-10-23,43.8,44.01,51000,44.01,43.8
2023-10-24,43.06,43.1,144000,43.1,43.06
2023-10-25,43.08,43.0,126500,43.08,43.0
2023-10-26,42.46,43.25,47000,43.25,42.46
2023-10-27,41.63,42.11,13500,42.11,41.63
2023-10-30,42.42,41.9,1500,42.42,41.9
2023-10-31,42.3,42.5,15500,42.5,42.3
2023-11-01,43.03,42.88,28500,43.03,42.88
2023-11-02,43.15,43.25,74000,43.25,43.15
2023-11-03,42.65,42.6,17500,42.65,42.6
2023-11-06,43.95,43.7,17000,43.95,43.7
2023-11-07,43.7,42.65,24500,43.7,42.65
2023-11-08,43.11,42.11,13000,43.11,42.11
2023-11-10,46.05,43.4,441000,46.05,43.4
2023-11-13,45.68,46.85,55500,46.85,45.68
2023-11-14,45.16,45.0,19500,45.16,45.0
2023-11-15,46.0,45.88,124500,46.0,45.88
2023-11-16,46.58,46.5,39500,46.58,46.5
2023-11-17,46.68,47.0,39000,47.0,46.68
2023-11-20,47.31,46.3,93000,47.31,46.3
2023-11-21,50.86,47.8,99500,50.86,47.8
2023-11-22,51.38,52.89,98000,52.89,51.38
2023-11-23,54.28,52.0,341000,54.28,52.0
2023-11-24,53.11,54.5,131500,54.5,53.11
2023-11-27,52.03,51.11,30000,52.03,51.11
2023-11-28,50.89,52.0,30000,52.0,50.89
2023-11-29,50.01,51.25,53500,51.25,50.01
2023-11-30,51.88,50.01,43000,51.88,50.01
2023-12-01,54.75,52.2,411500,54.75,52.2
2023-12-04,58.66,55.45,529000,58.66,55.45
2023-12-05,57.56,60.66,251500,60.66,57.56
2023-12-06,58.36,55.69,58000,58.36,55.69
2023-12-07,56.26,57.01,31500,57.01,56.26
2023-12-08,55.93,56.6,84000,56.6,55.93
2023-12-11,56.08,56.5,64500,56.5,56.08
2023-12-12,55.92,58.0,77000,58.0,55.92
2023-12-13,52.89,56.29,77000,56.29,52.89
2023-12-14,53.9,50.01,43000,53.9,50.01
2023-12-15,53.2,54.9,10500,54.9,53.2
2023-12-18,52.3,53.25,19500,53.25,52.3
2023-12-19,48.58,51.15,35500,51.15,48.58
2023-12-20,47.0,49.9,19500,49.9,47.0
2023-12-21,49.37,48.8,11000,49.37,48.8
2023-12-22,48.12,51.7,1000,51.7,48.12
2023-12-26,47.0,49.87,8500,49.87,47.0
2023-12-27,47.26,47.1,6000,47.26,47.1
2023-12-28,48.0,48.2,7500,48.2,48.0
2023-12-29,48.9,48.5,4000,48.9,48.5
2024-01-01,50.25,49.96,17000,50.25,49.96
2024-01-02,49.0,50.51,14000,50.51,49.0
2024-01-03,49.08,50.0,22000,50.0,49.08
2024-01-04,49.0,49.5,7000,49.5,49.0
2024-01-05,49.5,49.51,16000,49.51,49.5
2024-01-08,47.34,48.15,7500,48.15,47.34
2024-01-09,44.38,48.0,39000,48.0,44.38
2024-01-10,43.92,44.41,78000,44.41,43.92
2024-01-11,44.13,45.5,9500,45.5,44.13
2024-01-12,44.01,44.01,1500,44.01,44.01
2024-01-15,43.65,43.55,2000,43.65,43.55
2024-01-17,43.0,43.0,2000,43.0,43.0
2024-01-18,42.0,43.0,48500,43.0,42.0
2024-01-19,42.0,41.0,5500,42.0,41.0
2024-01-22,41.4,42.0,7000,42.0,41.4
2024-01-23,42.77,40.9,6500,42.77,40.9
2024-01-24,44.54,44.43,11000,44.54,44.43
2024-01-25,43.87,45.29,7500,45.29,43.87
2024-01-26,43.11,43.11,5500,43.11,43.11
2024-01-29,41.22,42.02,7000,42.02,41.22
2024-01-30,42.4,41.0,16500,42.4,41.0
2024-01-31,40.25,40.7,3000,40.7,40.25
2024-02-01,41.01,41.0,1000,41.01,41.0
2024-02-02,41.94,40.2,4000,41.94,40.2
2024-02-06,42.37,42.0,3500,42.37,42.0
2024-02-07,43.25,42.88,14500,43.25,42.88
2024-02-09,41.39,42.02,7000,42.02,41.39
2024-02-12,40.0,41.0,11000,41.0,40.0
2024-02-13,40.01,40.5,7000,40.5,40.01
