date,close,open,volume,high,low
2021-02-09,99.3,99.51,85000,99.51,99.3
2021-02-10,98.55,99.0,51500,99.0,98.55
2021-02-11,95.02,97.01,40000,97.01,95.02
2021-02-12,90.86,94.0,130000,94.0,90.86
2021-02-15,92.17,91.0,77000,92.17,91.0
2021-02-16,94.7,93.95,12000,94.7,93.95
2021-02-17,95.2,98.5,22500,98.5,95.2
2021-02-18,94.31,95.0,15500,95.0,94.31
2021-02-19,93.45,92.1,31000,93.45,92.1
2021-02-22,94.97,93.45,52500,94.97,93.45
2021-02-23,91.89,96.45,130500,96.45,91.89
2021-02-24,90.94,96.05,42000,96.05,90.94
2021-02-25,88.97,90.98,166500,90.98,88.97
2021-02-26,85.45,90.85,54000,90.85,85.45
2021-03-01,83.76,87.0,19500,87.0,83.76
2021-03-02,86.8,85.1,26000,86.8,85.1
2021-03-03,85.0,87.25,184500,87.25,85.0
2021-03-04,84.33,80.21,34500,84.33,80.21
2021-03-05,84.43,84.0,21500,84.43,84.0
2021-03-08,81.93,86.75,57500,86.75,81.93
2021-03-09,80.01,81.7,31000,81.7,80.01
2021-03-10,77.56,78.1,117000,78.1,77.56
2021-03-11,76.03,76.5,22000,76.5,76.03
2021-03-12,76.26,72.05,65000,76.26,72.05
2021-03-15,78.33,77.0,26500,78.33,77.0
2021-03-16,77.92,78.01,37500,78.01,77.92
2021-03-17,81.55,80.5,32500,81.55,80.5
2021-03-18,78.07,81.0,47500,81.0,78.07
2021-03-19,82.0,78.0,45000,82.0,78.0
2021-03-22,80.02,80.0,13000,80.02,80.0
2021-03-24,79.05,80.0,14500,80.0,79.05
2021-03-25,78.0,80.0,45500,80.0,78.0
2021-03-26,77.79,78.0,18000,78.0,77.79
2021-03-29,73.22,77.0,127500,77.0,73.22
2021-03-30,73.3,73.22,30000,73.3,73.22
2021-03-31,74.22,73.3,31500,74.22,73.3
2021-04-01,73.7,75.1,8000,75.1,73.7
2021-04-02,74.49,74.49,38000,74.49,74.49
2021-04-05,73.76,73.1,40500,73.76,73.1
2021-04-06,74.01,74.05,8000,74.05,74.01
2021-04-07,77.01,75.7,35000,77.01,75.7
2021-04-08,77.11,77.01,11000,77.11,77.01
2021-04-09,78.22,77.4,21000,78.22,77.4
2021-04-12,78.82,79.9,27000,79.9,78.82
2021-04-13,77.2,78.36,10500,78.36,77.2
2021-04-14,77.75,78.48,62000,78.48,77.75
2021-04-15,77.88,78.0,30000,78.0,77.88
2021-04-16,77.92,78.01,5500,78.01,77.92
2021-04-19,78.0,77.01,11000,78.0,77.01
2021-04-20,79.63,79.99,34000,79.99,79.63
2021-04-21,77.94,79.0,6000,79.0,77.94
2021-04-22,77.0,77.01,8500,77.01,77.0
2021-04-23,75.22,75.0,8500,75.22,75.0
2021-04-26,75.11,73.22,9500,75.11,73.22
2021-04-27,78.65,75.15,29000,78.65,75.15
2021-04-28,75.74,79.0,30500,79.0,75.74
2021-04-29,75.96,76.95,14000,76.95,75.96
2021-04-30,74.11,74.5,5500,74.5,74.11
2021-05-03,72.76,73.0,3000,73.0,72.76
2021-05-04,73.0,72.7,11500,73.0,72.7
2021-05-05,73.17,73.11,10000,73.17,73.11
2021-05-06,73.52,78.0,7000,78.0,73.52
2021-05-17,75.0,74.5,6000,75.0,74.5
2021-05-18,77.07,76.89,32000,77.07,76.89
2021-05-19,77.16,77.5,33000,77.5,77.16
2021-05-20,79.49,77.0,14000,79.49,77.0
2021-05-21,78.08,78.11,8500,78.11,78.08
2021-05-24,78.35,78.2,12500,78.35,78.2
2021-05-25,77.35,77.14,12000,77.35,77.14
2021-05-26,78.39,78.0,14000,78.39,78.0
2021-05-27,77.05,78.0,27000,78.0,77.05
2021-05-28,78.0,77.15,16500,78.0,77.15
2021-05-31,79.6,79.0,22500,79.6,79.0
2021-06-01,80.8,80.0,22500,80.8,80.0
2021-06-02,80.65,81.1,56500,81.1,80.65
2021-06-03,80.65,81.0,20500,81.0,80.65
2021-06-04,80.35,81.99,20000,81.99,80.35
2021-06-07,82.96,82.99,34500,82.99,82.96
2021-06-08,82.48,82.85,23500,82.85,82.48
2021-06-09,80.46,81.2,8000,81.2,80.46
2021-06-10,81.5,79.2,6500,81.5,79.2
2021-06-11,81.05,82.0,6500,82.0,81.05
2021-06-14,83.15,84.99,68000,84.99,83.15
2021-06-15,82.84,82.3,40000,82.84,82.3
2021-06-16,82.6,82.05,25000,82.6,82.05
2021-06-17,81.11,82.0,22000,82.0,81.11
2021-06-18,82.92,81.25,12500,82.92,81.25
2021-06-21,81.02,81.25,9500,81.25,81.02
2021-06-22,81.0,82.4,8000,82.4,81.0
2021-06-23,81.0,81.0,2000,81.0,81.0
2021-06-24,79.6,80.95,10500,80.95,79.6
2021-06-25,79.03,79.1,7000,79.1,79.03
2021-06-28,78.06,80.11,17000,80.11,78.06
2021-06-29,79.34,79.2,39500,79.34,79.2
2021-06-30,79.28,80.0,42000,80.0,79.28
2021-07-01,85.82,80.5,109500,85.82,80.5
2021-07-02,92.72,87.0,404000,92.72,87.0
2021-07-05,90.62,92.9,148500,92.9,90.62
2021-07-06,86.99,90.11,62000,90.11,86.99
2021-07-07,85.49,86.84,49000,86.84,85.49
2021-07-08,87.23,86.0,36000,87.23,86.0
2021-07-09,85.26,86.2,8000,86.2,85.26
2021-07-12,82.76,85.5,47500,85.5,82.76
2021-07-13,84.04,81.5,28000,84.04,81.5
2021-07-14,88.63,84.1,162000,88.63,84.1
2021-07-15,88.06,89.0,28000,89.0,88.06
2021-07-16,90.1,88.0,41000,90.1,88.0
2021-07-19,97.45,90.7,261000,97.45,90.7
2021-07-23,98.57,99.4,137000,99.4,98.57
2021-07-26,96.04,100.0,66000,100.0,96.04
2021-07-27,93.05,94.8,47000,94.8,93.05
2021-07-28,87.99,92.25,85000,92.25,87.99
2021-07-29,90.3,85.15,69000,90.3,85.15
2021-07-30,88.73,90.5,78500,90.5,88.73
2021-08-02,89.23,89.75,23500,89.75,89.23
2021-08-03,93.93,90.99,104000,93.93,90.99
2021-08-04,93.0,94.0,42000,94.0,93.0
2021-08-05,98.6,93.59,244500,98.6,93.59
2021-08-06,97.5,99.5,88500,99.5,97.5
2021-08-09,94.0,98.0,54500,98.0,94.0
2021-08-10,93.79,92.5,50500,93.79,92.5
2021-08-11,95.88,94.5,62500,95.88,94.5
2021-08-12,95.79,95.0,41000,95.79,95.0
2021-08-13,93.61,94.2,17500,94.2,93.61
2021-08-16,91.84,92.0,22000,92.0,91.84
2021-08-17,93.5,94.0,4500,94.0,93.5
2021-08-20,95.41,93.99,36000,95.41,93.99
2021-08-23,96.03,97.0,55500,97.0,96.03
2021-08-24,95.0,97.95,26500,97.95,95.0
2021-08-25,94.3,95.3,10500,95.3,94.3
2021-08-26,93.95,93.0,19000,93.95,93.0
2021-08-27,92.18,92.25,16000,92.25,92.18
2021-08-30,90.79,92.02,25000,92.02,90.79
2021-08-31,92.06,89.0,24500,92.06,89.0
2021-09-01,99.56,93.4,517000,99.56,93.4
2021-09-02,107.62,102.0,627500,107.62,102.0
2021-09-03,116.29,113.5,466500,116.29,113.5
2021-09-06,125.61000000000001,125.61000000000001,173000,125.61000000000001,125.61000000000001
2021-09-07,135.63,135.63,105000,135.63,135.63
2021-09-08,146.4,146.4,111000,146.4,146.4
2021-09-09,135.11,157.98,2110000,157.98,135.11
2021-09-10,127.30000000000001,132.0,977000,132.0,127.30000000000001
2021-09-13,118.47,125.12,884500,125.12,118.47
2021-09-14,127.94,118.7,761000,127.94,118.7
2021-09-15,118.98,136.99,1636500,136.99,118.98
2021-09-16,111.57,115.99,415500,115.99,111.57
2021-09-17,116.84,111.6,757000,116.84,111.6
2021-09-20,112.17,117.0,284500,117.0,112.17
2021-09-21,103.16,112.0,584000,112.0,103.16
2021-09-22,95.04,101.0,411500,101.0,95.04
2021-09-23,89.41,94.75,233500,94.75,89.41
2021-09-24,94.42,89.25,445500,94.42,89.25
2021-09-27,93.19,97.0,207000,97.0,93.19
2021-09-28,95.5,94.98,154500,95.5,94.98
2021-09-29,89.09,95.0,188500,95.0,89.09
2021-09-30,87.88,88.5,66000,88.5,87.88
2021-10-01,90.12,87.5,262500,90.12,87.5
2021-10-04,97.47,88.1,471000,97.47,88.1
2021-10-05,94.74,98.55,452000,98.55,94.74
2021-10-06,90.59,94.74,96500,94.74,90.59
2021-10-07,90.99,91.9,108500,91.9,90.99
2021-10-08,89.67,90.99,36500,90.99,89.67
2021-10-11,87.16,90.1,59500,90.1,87.16
2021-10-12,84.6,87.0,147000,87.0,84.6
2021-10-13,81.47,85.49,112500,85.49,81.47
2021-10-14,83.64,79.31,130500,83.64,79.31
2021-10-15,84.89,84.99,90000,84.99,84.89
2021-10-18,79.7,81.0,53500,81.0,79.7
2021-10-20,89.76,84.5,204000,89.76,84.5
2021-10-21,96.03,89.99,479000,96.03,89.99
2021-10-22,91.02,95.48,201000,95.48,91.02
2021-10-25,90.0,88.2,22500,90.0,88.2
2021-10-26,87.06,90.0,57500,90.0,87.06
2021-10-27,90.3,89.4,174000,90.3,89.4
2021-10-28,87.83,90.25,51500,90.25,87.83
2021-10-29,88.16,88.5,67500,88.5,88.16
2021-11-01,91.62,90.25,96000,91.62,90.25
2021-11-02,92.39,92.1,460500,92.39,92.1
2021-11-03,90.51,92.01,200000,92.01,90.51
2021-11-04,90.98,90.8,79500,90.98,90.8
2021-11-05,90.06,92.1,74000,92.1,90.06
2021-11-08,88.44,90.5,64500,90.5,88.44
