date,close,open,volume,high,low
2024-10-21,76.55,78.48,5237439,78.48,76.55
2024-10-22,83.86,76.5,6084146,83.86,76.5
2024-10-23,85.86,85.85,7359678,85.86,85.85
2024-10-24,84.77,85.79,2255061,85.79,84.77
2024-10-25,86.11,84.7,2362772,86.11,84.7
2024-10-28,91.8,91.0,3654507,91.8,91.0
2024-10-29,94.06,93.0,1462857,94.06,93.0
2024-10-30,93.69,95.4,1682856,95.4,93.69
2024-10-31,89.81,95.0,865080,95.0,89.81
2024-11-01,91.14,89.89,471897,91.14,89.89
2024-11-04,91.33,93.99,493370,93.99,91.33
2024-11-05,93.16,93.0,553801,93.16,93.0
2024-11-06,93.41,93.99,1158867,93.99,93.41
2024-11-07,94.33,93.59,369350,94.33,93.59
2024-11-08,94.73,94.0,220796,94.73,94.0
2024-11-11,99.11,94.0,1971014,99.11,94.0
2024-11-12,96.75,100.12,1544819,100.12,96.75
2024-11-13,98.07,97.25,735672,98.07,97.25
2024-11-14,102.73,99.88,1432093,102.73,99.88
2024-11-15,113.0,104.24,845275,113.0,104.24
2024-11-18,124.3,124.3,4768093,124.3,124.3
2024-11-19,136.72,128.49,2585327,136.72,128.49
2024-11-20,149.9,139.9,6253351,149.9,139.9
2024-11-21,150.22,153.89,4539616,153.89,150.22
2024-11-22,140.31,148.98,3486346,148.98,140.31
2024-11-25,148.91,140.5,3750423,148.91,140.5
2024-11-26,141.57,150.0,4161311,150.0,141.57
2024-11-27,148.94,150.0,3938584,150.0,148.94
2024-11-28,163.83,149.89,2827002,163.83,149.89
2024-11-29,180.21,180.21,1325482,180.21,180.21
2024-12-02,198.23,189.74,2040978,198.23,189.74
2024-12-03,214.29,214.9,6887099,214.9,214.29
2024-12-04,231.04,224.34,3921887,231.04,224.34
2024-12-05,243.36,233.89,3518287,243.36,233.89
2024-12-06,234.71,246.0,3544612,246.0,234.71
2024-12-09,214.33,235.38,3468774,235.38,214.33
2024-12-10,192.9,217.96,3464878,217.96,192.9
2024-12-11,188.18,186.0,2232494,188.18,186.0
2024-12-12,207.0,189.98,2342419,207.0,189.98
2024-12-13,216.77,218.0,4003067,218.0,216.77
2024-12-16,206.98,220.0,2417475,220.0,206.98
2024-12-17,205.13,202.98,2128086,205.13,202.98
2024-12-18,197.36,206.0,2166819,206.0,197.36
2024-12-19,191.26,200.0,1345141,200.0,191.26
2024-12-20,210.39,191.26,2177492,210.39,191.26
2024-12-23,231.43,221.0,3384624,231.43,221.0
2024-12-24,233.6,235.0,3936196,235.0,233.6
2024-12-26,236.73,234.9,1579225,236.73,234.9
2024-12-27,236.97,242.0,1900465,242.0,236.97
2024-12-30,240.51,240.0,1304751,240.51,240.0
2024-12-31,234.85,243.8,849042,243.8,234.85
2025-01-01,231.15,235.0,726019,235.0,231.15
2025-01-02,234.11,233.0,1468431,234.11,233.0
2025-01-03,242.93,235.5,2292081,242.93,235.5
2025-01-06,237.2,246.99,1933849,246.99,237.2
2025-01-07,228.33,240.0,1117414,240.0,228.33
2025-01-08,220.04,230.01,792094,230.01,220.04
2025-01-09,208.22,222.99,606266,222.99,208.22
2025-01-10,191.19,208.8,1663918,208.8,191.19
2025-01-13,191.15,193.0,2143102,193.0,191.15
2025-01-14,210.27,193.0,1596341,210.27,193.0
2025-01-15,231.3,219.89,2981826,231.3,219.89
2025-01-16,223.45,240.0,3535573,240.0,223.45
2025-01-17,227.81,226.0,2121771,227.81,226.0
2025-01-20,229.23,228.0,1944566,229.23,228.0
2025-01-21,229.04,231.9,2930614,231.9,229.04
2025-01-22,223.92,230.0,1979699,230.0,223.92
2025-01-23,222.84,224.74,2203924,224.74,222.84
2025-01-24,225.13,224.03,2313182,225.13,224.03
2025-01-27,212.98,225.94,1171042,225.94,212.98
2025-01-28,212.8,213.01,1340623,213.01,212.8
2025-01-29,219.32,213.89,3196788,219.32,213.89
2025-01-30,224.61,219.11,2377059,224.61,219.11
2025-01-31,223.48,227.99,1568926,227.99,223.48
2025-02-03,213.41,224.0,522180,224.0,213.41
2025-02-04,209.19,216.85,572955,216.85,209.19
2025-02-06,203.1,210.11,759479,210.11,203.1
2025-02-07,205.72,204.05,1344941,205.72,204.05
2025-02-10,212.6,206.98,2464924,212.6,206.98
2025-02-11,217.55,213.98,2281446,217.55,213.98
2025-02-12,218.83,220.0,1991499,220.0,218.83
2025-02-13,217.05,220.0,759673,220.0,217.05
2025-02-14,212.78,218.0,1486264,218.0,212.78
2025-02-17,199.22,213.0,1108105,213.0,199.22
2025-02-18,195.94,198.99,1378780,198.99,195.94
2025-02-19,201.23,195.94,4503274,201.23,195.94
2025-02-20,197.16,201.99,2568154,201.99,197.16
2025-02-21,190.72,198.0,1784921,198.0,190.72
2025-02-24,195.82,191.11,3172431,195.82,191.11
2025-02-25,190.38,196.98,2407159,196.98,190.38
2025-02-26,185.01,192.0,2166419,192.0,185.01
2025-02-27,166.52,183.99,2869426,183.99,166.52
2025-02-28,166.12,156.57,2064275,166.12,156.57
2025-03-03,157.88,168.01,404731,168.01,157.88
2025-03-04,173.67,155.0,1191277,173.67,155.0
