date,close,open,volume,high,low
2023-09-25,10.1,10.1,114500,10.1,10.1
2023-09-26,10.11,10.04,67500,10.11,10.04
2023-09-27,10.11,10.03,83500,10.11,10.03
2023-09-28,9.91,9.96,199500,9.96,9.91
2023-10-02,9.94,10.2,197500,10.2,9.94
2023-10-03,9.94,9.9,36000,9.94,9.9
2023-10-04,9.91,10.0,110000,10.0,9.91
2023-10-05,10.19,9.93,259000,10.19,9.93
2023-10-06,10.19,10.29,128500,10.29,10.19
2023-10-09,10.09,10.0,96000,10.09,10.0
2023-10-10,10.18,10.5,136000,10.5,10.18
2023-10-11,10.01,10.16,205500,10.16,10.01
2023-10-12,9.78,10.09,98500,10.09,9.78
2023-10-13,9.89,9.89,631000,9.89,9.89
2023-10-16,9.9,10.08,656500,10.08,9.9
2023-10-17,10.02,9.99,1949000,10.02,9.99
2023-10-18,9.98,9.92,314000,9.98,9.92
2023-10-19,9.93,10.1,234500,10.1,9.93
2023-10-20,10.32,9.99,1564500,10.32,9.99
2023-10-23,10.51,10.35,1661000,10.51,10.35
2023-10-24,10.35,10.65,625000,10.65,10.35
2023-10-25,10.22,10.32,102500,10.32,10.22
2023-10-26,10.02,10.3,366000,10.3,10.02
2023-10-27,9.9,10.0,177500,10.0,9.9
2023-10-30,9.86,9.85,127500,9.86,9.85
2023-10-31,9.53,10.0,1771000,10.0,9.53
2023-11-01,9.53,9.69,271000,9.69,9.53
2023-11-02,9.65,9.7,550500,9.7,9.65
2023-11-03,9.81,9.6,487000,9.81,9.6
2023-11-06,10.14,9.9,1268500,10.14,9.9
2023-11-07,9.77,10.1,532500,10.1,9.77
2023-11-08,9.8,9.88,122500,9.88,9.8
2023-11-10,9.89,9.7,439500,9.89,9.7
2023-11-13,9.94,9.89,905000,9.94,9.89
2023-11-14,9.89,9.87,203500,9.89,9.87
2023-11-15,10.18,9.91,817000,10.18,9.91
2023-11-16,10.13,10.21,1103500,10.21,10.13
2023-11-17,10.1,10.25,985500,10.25,10.1
2023-11-20,10.42,10.2,1268500,10.42,10.2
2023-11-21,10.34,10.51,1775500,10.51,10.34
2023-11-22,10.3,10.6,403000,10.6,10.3
2023-11-23,10.34,10.31,667000,10.34,10.31
2023-11-24,11.03,10.35,4782000,11.03,10.35
2023-11-27,11.05,11.15,3287500,11.15,11.05
2023-11-28,10.78,11.25,1146500,11.25,10.78
2023-11-29,10.37,11.0,774500,11.0,10.37
2023-11-30,10.37,10.3,541500,10.37,10.3
2023-12-01,10.77,10.6,800500,10.77,10.6
2023-12-04,10.91,10.83,1952000,10.91,10.83
2023-12-05,10.95,10.86,2202000,10.95,10.86
2023-12-06,10.83,11.02,624000,11.02,10.83
2023-12-07,11.59,10.98,6013500,11.59,10.98
2023-12-08,11.33,11.44,3761000,11.44,11.33
2023-12-11,10.98,11.39,1321000,11.39,10.98
2023-12-12,11.06,10.81,860000,11.06,10.81
2023-12-13,10.56,10.99,1558500,10.99,10.56
2023-12-14,10.55,10.56,361000,10.56,10.55
2023-12-15,10.72,10.55,1099500,10.72,10.55
2023-12-18,10.37,10.95,387500,10.95,10.37
2023-12-19,9.64,10.38,703000,10.38,9.64
2023-12-20,9.75,9.46,348000,9.75,9.46
2023-12-21,10.08,9.96,335000,10.08,9.96
2023-12-22,10.01,10.02,196500,10.02,10.01
2023-12-26,9.21,10.0,246500,10.0,9.21
2023-12-27,9.44,9.4,252500,9.44,9.4
2023-12-28,9.56,9.5,348000,9.56,9.5
2023-12-29,9.97,9.56,304000,9.97,9.56
2024-01-01,10.16,10.08,441500,10.16,10.08
2024-01-02,10.16,10.4,228000,10.4,10.16
