date,close,open,volume,high,low
2021-02-24,7.4399999999999995,8.03,277500,8.03,7.4399999999999995
2021-02-25,7.1899999999999995,7.49,315000,7.49,7.1899999999999995
2021-02-26,7.039999999999999,7.1899999999999995,234500,7.1899999999999995,7.039999999999999
2021-03-01,6.99,6.83,547000,6.99,6.83
2021-03-02,6.890000000000001,6.949999999999999,653000,6.949999999999999,6.890000000000001
2021-03-03,5.99,6.949999999999999,5926500,6.949999999999999,5.99
2021-03-04,5.220000000000001,5.550000000000001,2446000,5.550000000000001,5.220000000000001
2021-03-05,5.460000000000001,5.4399999999999995,881000,5.460000000000001,5.4399999999999995
2021-03-08,5.35,5.48,1859500,5.48,5.35
2021-03-09,5.16,5.41,2421000,5.41,5.16
2021-03-10,5.01,5.5,544000,5.5,5.01
2021-03-11,4.880000000000001,5.109999999999999,418500,5.109999999999999,4.880000000000001
2021-03-12,4.8100000000000005,5.199999999999999,241500,5.199999999999999,4.8100000000000005
2021-03-15,5.6,4.869999999999999,3298500,5.6,4.869999999999999
2021-03-16,5.98,5.550000000000001,1497500,5.98,5.550000000000001
2021-03-17,6.550000000000001,5.949999999999999,1299500,6.550000000000001,5.949999999999999
2021-03-18,6.949999999999999,6.4,3189500,6.949999999999999,6.4
2021-03-19,6.84,6.359999999999999,619500,6.84,6.359999999999999
2021-03-22,6.390000000000001,6.57,180500,6.57,6.390000000000001
2021-03-24,6.390000000000001,6.630000000000001,47500,6.630000000000001,6.390000000000001
2021-03-25,6.52,6.300000000000001,296000,6.52,6.300000000000001
2021-03-26,6.4399999999999995,6.32,410000,6.4399999999999995,6.32
2021-03-29,5.74,6.07,536500,6.07,5.74
2021-03-30,6.3100000000000005,5.51,727000,6.3100000000000005,5.51
2021-03-31,6.51,6.25,452500,6.51,6.25
2021-04-01,6.140000000000001,6.16,110000,6.16,6.140000000000001
2021-04-02,5.83,6.140000000000001,67000,6.140000000000001,5.83
2021-04-05,5.76,5.9,318500,5.9,5.76
2021-04-06,5.74,5.85,426500,5.85,5.74
2021-04-07,5.369999999999999,5.5600000000000005,491500,5.5600000000000005,5.369999999999999
2021-04-08,5.59,5.6,141000,5.6,5.59
2021-04-09,5.75,5.640000000000001,503500,5.75,5.640000000000001
2021-04-12,6.02,5.85,806500,6.02,5.85
2021-04-13,5.960000000000001,6.15,161000,6.15,5.960000000000001
2021-04-14,5.970000000000001,6.130000000000001,38500,6.130000000000001,5.970000000000001
2021-04-15,6.130000000000001,5.960000000000001,77500,6.130000000000001,5.960000000000001
2021-04-16,6.02,6.130000000000001,26000,6.130000000000001,6.02
2021-04-19,5.65,5.85,158500,5.85,5.65
2021-04-20,5.75,5.65,3121000,5.75,5.65
2021-04-21,5.890000000000001,5.75,2281500,5.890000000000001,5.75
2021-04-22,6.4,5.52,1690500,6.4,5.52
2021-04-23,6.48,6.26,509000,6.48,6.26
2021-04-26,6.25,6.050000000000001,169000,6.25,6.050000000000001
2021-04-27,5.49,6.1,751500,6.1,5.49
2021-04-28,5.75,5.75,2097500,5.75,5.75
2021-04-29,6.0,5.699999999999999,1543500,6.0,5.699999999999999
2021-04-30,5.99,5.76,1184000,5.99,5.76
2021-05-03,5.73,5.5600000000000005,20000,5.73,5.5600000000000005
2021-05-04,5.960000000000001,5.699999999999999,144500,5.960000000000001,5.699999999999999
2021-05-05,6.0,6.02,444500,6.02,6.0
2021-05-06,6.0,5.99,27500,6.0,5.99
2021-05-17,6.0,5.859999999999999,115500,6.0,5.859999999999999
2021-05-18,5.300000000000001,5.75,5104000,5.75,5.300000000000001
2021-05-19,5.15,5.3100000000000005,997000,5.3100000000000005,5.15
2021-05-20,5.41,5.25,9684500,5.41,5.25
2021-05-21,5.720000000000001,5.49,659500,5.720000000000001,5.49
2021-05-24,5.619999999999999,5.720000000000001,2827500,5.720000000000001,5.619999999999999
2021-05-25,5.6,5.73,254000,5.73,5.6
2021-05-26,5.800000000000001,5.619999999999999,898000,5.800000000000001,5.619999999999999
2021-05-27,5.76,5.84,564500,5.84,5.76
2021-05-28,5.65,5.75,278500,5.75,5.65
2021-05-31,5.880000000000001,5.85,680000,5.880000000000001,5.85
2021-06-01,5.890000000000001,5.949999999999999,163000,5.949999999999999,5.890000000000001
