date,close,open,volume,high,low
2021-01-07,38.3,39.33,176500,39.33,38.3
2021-01-08,41.39,38.5,567500,41.39,38.5
2021-01-11,44.71,43.94,344500,44.71,43.94
2021-01-12,48.28,48.28,713500,48.28,48.28
2021-01-13,52.12,50.0,1471000,52.12,50.0
2021-01-14,56.0,55.49,1299500,56.0,55.49
2021-01-15,52.01,54.1,1106500,54.1,52.01
2021-01-18,53.15,51.25,299000,53.15,51.25
2021-01-19,53.45,53.1,199500,53.45,53.1
2021-01-20,52.55,52.2,235500,52.55,52.2
2021-01-21,52.08,53.0,165000,53.0,52.08
2021-01-22,50.53,52.1,148500,52.1,50.53
2021-01-25,48.58,50.5,179500,50.5,48.58
2021-01-26,49.33,49.65,143000,49.65,49.33
2021-01-27,49.65,49.05,91000,49.65,49.05
2021-01-28,49.0,49.0,68500,49.0,49.0
2021-01-29,48.94,48.9,56000,48.94,48.9
2021-02-01,49.37,47.5,164000,49.37,47.5
2021-02-02,49.0,48.5,29000,49.0,48.5
2021-02-03,48.49,49.0,162500,49.0,48.49
2021-02-04,48.14,48.3,50000,48.3,48.14
2021-02-08,48.38,48.14,44500,48.38,48.14
2021-02-09,50.18,47.25,949000,50.18,47.25
2021-02-10,50.22,51.5,582000,51.5,50.22
2021-02-11,48.43,51.5,247500,51.5,48.43
2021-02-12,48.01,48.1,66000,48.1,48.01
2021-02-15,48.5,48.5,35500,48.5,48.5
2021-02-16,49.03,48.54,147500,49.03,48.54
2021-02-17,48.9,49.0,117000,49.0,48.9
2021-02-18,47.75,49.95,56500,49.95,47.75
2021-02-19,49.78,48.0,115500,49.78,48.0
2021-02-22,52.12,50.25,397500,52.12,50.25
2021-02-23,53.64,52.5,371000,53.64,52.5
2021-02-24,52.0,53.25,420500,53.25,52.0
2021-02-25,53.05,54.0,1112000,54.0,53.05
2021-02-26,54.59,54.9,1906500,54.9,54.59
2021-03-01,52.39,54.0,239500,54.0,52.39
2021-03-02,51.55,53.0,285500,53.0,51.55
2021-03-03,52.11,51.06,438500,52.11,51.06
2021-03-04,50.79,49.01,237500,50.79,49.01
2021-03-05,51.05,51.45,142500,51.45,51.05
2021-03-08,49.87,52.8,221500,52.8,49.87
2021-03-09,47.7,49.1,200000,49.1,47.7
2021-03-10,48.73,47.5,256500,48.73,47.5
2021-03-11,34.15,38.0,91000,38.0,34.15
2021-03-12,37.57,37.16,416000,37.57,37.16
2021-03-15,37.11,37.6,308500,37.6,37.11
2021-03-16,35.04,36.9,559500,36.9,35.04
2021-03-17,36.74,35.8,501500,36.74,35.8
2021-03-18,35.88,37.0,150500,37.0,35.88
2021-03-19,36.0,35.45,15000,36.0,35.45
2021-03-22,35.35,35.3,100000,35.35,35.3
2021-03-24,35.47,35.0,505000,35.47,35.0
2021-03-25,36.02,35.6,117500,36.02,35.6
2021-03-26,35.75,36.0,40000,36.0,35.75
