date,close,open,volume,high,low
2023-08-01,21.27,21.5,15000,21.5,21.27
2023-08-02,21.02,21.5,19000,21.5,21.02
2023-08-03,21.5,21.5,7500,21.5,21.5
2023-08-08,20.5,20.6,6000,20.6,20.5
2023-08-10,20.6,20.45,4500,20.6,20.45
2023-08-11,21.0,20.99,2500,21.0,20.99
2023-08-15,20.7,21.0,1500,21.0,20.7
2023-08-18,20.39,20.0,113000,20.39,20.0
2023-08-21,19.89,20.03,1500,20.03,19.89
2023-08-24,20.2,20.2,500,20.2,20.2
2023-08-25,19.5,20.0,5500,20.0,19.5
2023-08-28,19.7,19.7,500,19.7,19.7
2023-08-29,19.2,19.2,1000,19.2,19.2
2023-08-31,19.5,19.4,1500,19.5,19.4
2023-09-04,20.0,20.0,1000,20.0,20.0
2023-09-11,19.5,19.22,1000,19.5,19.22
2023-09-13,19.64,19.65,500,19.65,19.64
2023-09-18,19.25,19.65,4000,19.65,19.25
2023-09-19,19.6,19.5,3000,19.6,19.5
2023-09-20,20.0,19.01,3500,20.0,19.01
2023-09-21,20.19,20.19,1000,20.19,20.19
2023-09-22,20.39,20.4,500,20.4,20.39
2023-09-26,20.41,19.4,5500,20.41,19.4
2023-09-27,20.3,20.4,8000,20.4,20.3
2023-10-02,19.7,19.7,500,19.7,19.7
2023-10-05,20.0,19.41,11000,20.0,19.41
2023-10-09,19.5,20.0,4000,20.0,19.5
2023-10-10,19.5,20.0,9500,20.0,19.5
2023-10-11,20.0,20.0,500,20.0,20.0
2023-10-13,19.8,19.8,500,19.8,19.8
2023-10-16,19.19,19.63,33500,19.63,19.19
2023-10-17,19.68,19.2,68000,19.68,19.2
2023-10-18,19.82,19.9,55500,19.9,19.82
2023-10-19,19.95,19.89,2000,19.95,19.89
2023-10-20,20.25,20.0,13000,20.25,20.0
2023-10-24,20.1,20.5,1500,20.5,20.1
2023-10-25,20.14,20.15,500,20.15,20.14
2023-10-26,20.14,20.0,6000,20.14,20.0
2023-10-27,20.99,20.99,500,20.99,20.99
2023-10-30,20.85,20.94,11500,20.94,20.85
2023-11-01,22.4,20.5,123000,22.4,20.5
2023-11-02,22.0,22.05,35000,22.05,22.0
2023-11-03,21.75,21.5,6500,21.75,21.5
2023-11-06,21.95,21.79,12000,21.95,21.79
2023-11-07,22.45,21.99,4000,22.45,21.99
2023-11-08,21.35,21.5,40500,21.5,21.35
2023-11-10,20.74,20.62,25500,20.74,20.62
2023-11-13,20.6,20.74,6000,20.74,20.6
2023-11-14,21.0,21.0,500,21.0,21.0
2023-11-15,21.5,21.38,24000,21.5,21.38
2023-11-16,21.6,21.5,8000,21.6,21.5
2023-11-17,23.22,22.31,56500,23.22,22.31
2023-11-20,24.96,24.96,47000,24.96,24.96
2023-11-21,26.83,26.83,28500,26.83,26.83
2023-11-22,28.84,28.84,62500,28.84,28.84
2023-11-23,31.0,30.9,126500,31.0,30.9
2023-11-24,33.33,33.33,12000,33.33,33.33
2023-11-27,31.78,35.83,224000,35.83,31.78
2023-11-28,29.92,31.25,55500,31.25,29.92
2023-11-29,28.1,29.0,69500,29.0,28.1
2023-11-30,30.21,28.1,111000,30.21,28.1
2023-12-01,31.11,31.7,101000,31.7,31.11
2023-12-04,30.6,31.39,41500,31.39,30.6
2023-12-05,29.6,30.05,15500,30.05,29.6
2023-12-06,29.86,29.6,10500,29.86,29.6
2023-12-07,29.25,29.65,28000,29.65,29.25
2023-12-08,28.5,30.0,42000,30.0,28.5
2023-12-11,27.23,27.2,25000,27.23,27.2
2023-12-12,29.18,27.0,66500,29.18,27.0
2023-12-13,27.5,30.0,129000,30.0,27.5
2023-12-14,28.0,27.5,9000,28.0,27.5
2023-12-15,27.66,28.0,9000,28.0,27.66
2023-12-18,27.07,27.76,13000,27.76,27.07
2023-12-19,25.04,26.31,31000,26.31,25.04
