date,close,open,volume,high,low
2021-02-23,112.74,113.51,354400,113.51,112.74
2021-02-24,111.56,111.51,469200,111.56,111.51
2021-02-25,111.99,112.5,207800,112.5,111.99
2021-02-26,111.72,112.5,310100,112.5,111.72
2021-03-01,110.29,111.5,251400,111.5,110.29
2021-03-02,111.09,109.5,370200,111.09,109.5
2021-03-03,110.74,111.5,274300,111.5,110.74
2021-03-04,105.09,105.0,363800,105.09,105.0
2021-03-05,105.63,106.99,277600,106.99,105.63
2021-03-08,102.9,106.0,454800,106.0,102.9
2021-03-09,96.11,103.0,434700,103.0,96.11
2021-03-10,92.57,96.5,257400,96.5,92.57
2021-03-11,89.98,93.5,166000,93.5,89.98
2021-03-12,93.06,88.6,374500,93.06,88.6
2021-03-15,96.98,93.95,304600,96.98,93.95
2021-03-16,96.39,97.48,449500,97.48,96.39
2021-03-17,102.49,97.5,833900,102.49,97.5
2021-03-18,97.24,103.5,558400,103.5,97.24
2021-03-19,98.34,97.24,246000,98.34,97.24
2021-03-22,97.24,98.3,168000,98.3,97.24
2021-03-24,97.09,97.5,91300,97.5,97.09
2021-03-25,96.84,97.89,120300,97.89,96.84
2021-03-26,94.79,96.5,218900,96.5,94.79
2021-03-29,90.49,94.5,191500,94.5,90.49
2021-03-30,91.75,91.22,114400,91.75,91.22
2021-03-31,93.14,92.5,162000,93.14,92.5
2021-04-01,92.8,94.79,54300,94.79,92.8
2021-04-02,92.16,92.5,280100,92.5,92.16
2021-04-05,89.44,92.1,53600,92.1,89.44
2021-04-06,93.13,88.7,142000,93.13,88.7
2021-04-07,91.45,93.4,65900,93.4,91.45
2021-04-08,95.32,93.0,220700,95.32,93.0
2021-04-09,97.7,95.55,514400,97.7,95.55
2021-04-12,98.68,97.59,580300,98.68,97.59
2021-04-13,101.12,98.5,411800,101.12,98.5
2021-04-14,101.48,101.5,226500,101.5,101.48
2021-04-15,100.48,102.49,92900,102.49,100.48
2021-04-16,99.41,101.4,60400,101.4,99.41
2021-04-19,101.07,97.5,217000,101.07,97.5
2021-04-20,101.53,102.4,221300,102.4,101.53
2021-04-21,99.09,100.75,276700,100.75,99.09
2021-04-22,96.59,99.5,80400,99.5,96.59
2021-04-23,97.33,95.55,66700,97.33,95.55
2021-04-26,98.24,97.5,850100,98.24,97.5
2021-04-27,99.22,100.3,376200,100.3,99.22
2021-04-28,96.48,99.65,103100,99.65,96.48
2021-04-29,95.4,95.85,148900,95.85,95.4
2021-04-30,93.74,96.4,132100,96.4,93.74
2021-05-03,93.5,93.8,60800,93.8,93.5
2021-05-04,95.82,93.75,188100,95.82,93.75
2021-05-05,96.47,97.5,57500,97.5,96.47
2021-05-06,98.46,95.7,102700,98.46,95.7
2021-05-17,99.18,99.5,200900,99.5,99.18
2021-05-18,99.18,98.8,71400,99.18,98.8
2021-05-19,105.08,98.55,795100,105.08,98.55
2021-05-20,104.27,106.3,364100,106.3,104.27
2021-05-21,104.72,105.0,103700,105.0,104.72
2021-05-24,105.23,105.5,91600,105.5,105.23
2021-05-25,110.71,105.5,661900,110.71,105.5
2021-05-26,109.19,113.25,361900,113.25,109.19
2021-05-27,108.32,107.6,334700,108.32,107.6
2021-05-28,107.39,109.25,89300,109.25,107.39
2021-05-31,110.0,108.25,268500,110.0,108.25
2021-06-01,113.18,110.0,400300,113.18,110.0
2021-06-02,113.19,111.57,268400,113.19,111.57
2021-06-03,115.54,112.62,273000,115.54,112.62
2021-06-04,117.56,116.0,615200,117.56,116.0
2021-06-07,117.7,118.5,218800,118.5,117.7
2021-06-08,119.32,116.06,1153300,119.32,116.06
2021-06-09,119.02,118.51,280200,119.02,118.51
2021-06-10,122.49,119.5,1163700,122.49,119.5
2021-06-11,125.07,123.5,568900,125.07,123.5
2021-06-14,125.93,128.49,1070200,128.49,125.93
2021-06-15,128.01,126.35,604000,128.01,126.35
2021-06-16,125.56,127.5,222100,127.5,125.56
2021-06-17,124.76,124.52,177500,124.76,124.52
2021-06-18,125.77,126.3,638700,126.3,125.77
2021-06-21,122.7,125.0,139500,125.0,122.7
2021-06-22,119.8,122.0,157200,122.0,119.8
2021-06-23,117.51,119.8,184800,119.8,117.51
2021-06-24,116.02,117.6,128400,117.6,116.02
2021-06-25,113.85,116.02,214000,116.02,113.85
2021-06-28,115.47,112.7,148400,115.47,112.7
2021-06-29,117.27,116.48,155000,117.27,116.48
2021-06-30,120.57,119.49,163500,120.57,119.49
2021-07-01,121.4,121.49,56700,121.49,121.4
2021-07-02,119.55,122.0,112200,122.0,119.55
2021-07-05,117.66,118.5,55500,118.5,117.66
2021-07-06,116.43,118.0,40600,118.0,116.43
2021-07-07,115.22,116.49,54900,116.49,115.22
2021-07-08,116.66,115.22,120800,116.66,115.22
2021-07-09,117.38,117.45,26500,117.45,117.38
2021-07-12,114.41,120.3,89100,120.3,114.41
