date,close,open,volume,high,low
2023-09-25,10.74,10.74,1000,10.74,10.74
2023-09-26,10.9,10.99,5500,10.99,10.9
2023-09-27,10.95,10.61,3000,10.95,10.61
2023-09-28,10.62,10.75,3500,10.75,10.62
2023-10-02,10.81,10.65,13500,10.81,10.65
2023-10-03,10.72,10.74,4500,10.74,10.72
2023-10-04,10.65,10.7,8500,10.7,10.65
2023-10-05,10.83,10.6,11000,10.83,10.6
2023-10-06,10.92,10.8,3000,10.92,10.8
2023-10-09,10.65,10.61,13000,10.65,10.61
2023-10-10,11.0,10.85,124000,11.0,10.85
2023-10-11,11.12,11.28,20500,11.28,11.12
2023-10-12,11.15,11.07,4000,11.15,11.07
2023-10-13,12.17,10.81,128000,12.17,10.81
2023-10-16,12.56,12.94,222000,12.94,12.56
2023-10-17,11.92,12.51,79500,12.51,11.92
2023-10-18,11.54,12.0,43500,12.0,11.54
2023-10-19,11.91,11.85,18500,11.91,11.85
2023-10-20,11.67,11.7,25000,11.7,11.67
2023-10-23,11.6,11.7,11000,11.7,11.6
2023-10-24,11.7,11.5,14000,11.7,11.5
2023-10-25,11.52,11.33,14000,11.52,11.33
2023-10-26,11.58,11.61,11500,11.61,11.58
2023-10-27,11.38,11.75,24000,11.75,11.38
2023-10-30,11.56,11.5,14000,11.56,11.5
2023-10-31,12.07,11.51,58500,12.07,11.51
2023-11-01,11.75,12.05,11500,12.05,11.75
2023-11-02,11.88,12.0,43500,12.0,11.88
2023-11-03,11.97,11.75,12500,11.97,11.75
2023-11-06,12.2,12.3,38000,12.3,12.2
2023-11-07,11.9,12.35,26000,12.35,11.9
2023-11-08,12.01,11.9,23000,12.01,11.9
2023-11-10,12.14,12.0,37000,12.14,12.0
2023-11-13,12.45,12.25,41500,12.45,12.25
2023-11-14,12.64,12.75,19500,12.75,12.64
2023-11-15,13.38,12.64,203000,13.38,12.64
2023-11-16,13.66,13.26,98500,13.66,13.26
2023-11-17,13.719999999999999,13.899999999999999,164500,13.899999999999999,13.719999999999999
2023-11-20,13.46,13.600000000000001,36000,13.600000000000001,13.46
2023-11-21,13.600000000000001,13.35,177000,13.600000000000001,13.35
2023-11-22,14.8,13.5,420500,14.8,13.5
2023-11-23,16.11,16.11,663000,16.11,16.11
2023-11-24,17.51,17.4,171500,17.51,17.4
2023-11-27,19.01,19.01,92000,19.01,19.01
2023-11-28,20.62,20.62,74500,20.62,20.62
2023-11-29,22.35,22.35,1385000,22.35,22.35
2023-11-30,22.87,24.2,889500,24.2,22.87
2023-12-01,21.12,22.87,443500,22.87,21.12
2023-12-04,20.35,21.12,493500,21.12,20.35
2023-12-05,22.06,20.35,343000,22.06,20.35
2023-12-06,23.9,23.9,349000,23.9,23.9
2023-12-07,25.88,25.88,1198000,25.88,25.88
2023-12-08,26.06,26.98,1302500,26.98,26.06
2023-12-11,24.89,24.26,703000,24.89,24.26
2023-12-12,24.95,25.3,277000,25.3,24.95
2023-12-13,26.35,25.01,1691500,26.35,25.01
2023-12-14,28.51,26.5,601500,28.51,26.5
2023-12-15,28.26,30.840000000000003,1446000,30.840000000000003,28.26
2023-12-18,28.48,27.68,1672500,28.48,27.68
2023-12-19,26.18,28.5,890500,28.5,26.18
2023-12-20,24.48,26.51,379500,26.51,24.48
2023-12-21,24.44,24.85,529000,24.85,24.44
2023-12-22,22.73,24.55,355500,24.55,22.73
2023-12-26,20.84,22.0,261500,22.0,20.84
