date,close,open,volume,high,low
2021-02-26,10.26,10.34,26514500,10.34,10.26
2021-03-01,9.78,10.16,18210500,10.16,9.78
2021-03-02,9.97,9.89,29471500,9.97,9.89
2021-03-03,10.24,9.97,27598000,10.24,9.97
2021-03-04,9.67,9.75,22435000,9.75,9.67
2021-03-05,9.82,9.75,10616000,9.82,9.75
2021-03-08,9.56,10.11,19808000,10.11,9.56
2021-03-09,9.01,9.5,16176000,9.5,9.01
2021-03-10,8.83,9.13,8433500,9.13,8.83
2021-03-11,8.36,8.8,11903000,8.8,8.36
2021-03-12,8.59,8.42,9149500,8.59,8.42
2021-03-15,9.36,8.95,21024000,9.36,8.95
2021-03-16,9.1,9.43,10334000,9.43,9.1
2021-03-17,10.1,9.27,32419000,10.1,9.27
2021-03-18,10.03,10.35,57881500,10.35,10.03
2021-03-19,11.04,10.02,101377500,11.04,10.02
2021-03-22,11.14,11.11,68673500,11.14,11.11
2021-03-24,10.89,11.2,29224500,11.2,10.89
2021-03-25,11.0,10.95,38401500,11.0,10.95
2021-03-26,11.54,10.95,83516500,11.54,10.95
2021-03-29,10.63,11.55,80249000,11.55,10.63
2021-03-30,10.63,10.49,46118000,10.63,10.49
2021-03-31,10.46,10.94,74031500,10.94,10.46
2021-04-01,10.06,10.46,30343500,10.46,10.06
2021-04-02,10.23,10.14,12979000,10.23,10.14
2021-04-05,9.91,10.28,18385500,10.28,9.91
2021-04-06,10.19,9.95,15776500,10.19,9.95
2021-04-07,9.84,10.22,13326500,10.22,9.84
2021-04-08,9.77,9.86,26027500,9.86,9.77
2021-04-09,10.32,9.5,50206500,10.32,9.5
2021-04-12,10.01,10.1,18902000,10.1,10.01
2021-04-13,10.13,10.01,28550000,10.13,10.01
2021-04-14,10.24,10.11,9727000,10.24,10.11
2021-04-15,10.07,10.28,4931500,10.28,10.07
2021-04-16,10.02,10.11,2828500,10.11,10.02
2021-04-19,10.19,9.8,24252500,10.19,9.8
2021-04-20,10.19,10.35,10373500,10.35,10.19
2021-04-21,9.97,10.28,11581500,10.28,9.97
2021-04-22,9.99,10.1,9419000,10.1,9.99
2021-04-23,9.94,9.99,7092000,9.99,9.94
2021-04-26,9.89,10.09,10513000,10.09,9.89
2021-04-27,9.91,9.97,6939500,9.97,9.91
2021-04-28,9.85,9.86,7830500,9.86,9.85
2021-04-29,9.74,9.8,5626000,9.8,9.74
2021-04-30,9.49,9.87,10586000,9.87,9.49
2021-05-03,9.34,9.5,5897500,9.5,9.34
2021-05-04,9.27,9.27,3888000,9.27,9.27
2021-05-05,9.36,9.41,3659000,9.41,9.36
2021-05-06,9.4,9.34,3007000,9.4,9.34
2021-05-17,9.68,9.45,7520500,9.68,9.45
2021-05-18,9.72,9.7,15640500,9.72,9.7
2021-05-19,9.58,9.68,28248000,9.68,9.58
2021-05-20,10.26,9.76,120149000,10.26,9.76
2021-05-21,10.11,10.34,67670000,10.34,10.11
2021-05-24,10.06,10.16,20780000,10.16,10.06
2021-05-25,10.13,10.1,20367500,10.13,10.1
2021-05-26,10.27,10.26,36865500,10.27,10.26
2021-05-27,10.49,10.51,123980500,10.51,10.49
2021-05-28,10.76,10.5,38752500,10.76,10.5
2021-05-31,11.25,11.05,94526000,11.25,11.05
2021-06-01,11.5,11.39,94618000,11.5,11.39
2021-06-02,11.41,11.65,59112500,11.65,11.41
2021-06-03,11.17,11.4,24664500,11.4,11.17
