date,close,open,volume,high,low
2021-07-09,27.15,26.259999999999998,14909500,27.15,26.259999999999998
2021-07-12,29.72,29.6,6925500,29.72,29.6
2021-07-13,29.72,31.75,17619000,31.75,29.72
2021-07-14,29.42,29.770000000000003,10806000,29.770000000000003,29.42
2021-07-15,29.53,29.759999999999998,7227500,29.759999999999998,29.53
2021-07-16,29.310000000000002,29.58,3797000,29.58,29.310000000000002
2021-07-19,30.04,29.299999999999997,4592000,30.04,29.299999999999997
2021-07-23,30.189999999999998,30.35,3368500,30.35,30.189999999999998
2021-07-26,30.880000000000003,30.25,6580000,30.880000000000003,30.25
2021-07-27,31.92,31.200000000000003,12666000,31.92,31.200000000000003
2021-07-28,31.67,32.15,5310500,32.15,31.67
2021-07-29,32.75,31.65,6207000,32.75,31.65
2021-07-30,35.33,33.6,9173000,35.33,33.6
2021-08-02,38.52,36.75,4272500,38.52,36.75
2021-08-03,41.05,40.75,16016000,41.05,40.75
2021-08-04,40.4,41.5,5010500,41.5,40.4
2021-08-05,43.97,40.4,7611000,43.97,40.4
2021-08-06,43.85,46.55,15185000,46.55,43.85
2021-08-09,41.72,44.7,8499000,44.7,41.72
2021-08-10,44.05,41.81,8470500,44.05,41.81
2021-08-11,42.5,44.65,5671500,44.65,42.5
2021-08-12,42.28,42.86,3701500,42.86,42.28
2021-08-13,43.03,42.45,7472000,43.03,42.45
2021-08-16,42.41,43.5,3744000,43.5,42.41
2021-08-17,42.39,42.55,1728500,42.55,42.39
2021-08-20,41.59,42.55,2357000,42.55,41.59
2021-08-23,41.88,41.7,5240500,41.88,41.7
2021-08-24,41.64,42.24,1610000,42.24,41.64
2021-08-25,41.81,42.25,1580000,42.25,41.81
2021-08-26,41.38,41.9,1718500,41.9,41.38
2021-08-27,40.24,41.25,1941000,41.25,40.24
2021-08-30,40.93,40.62,1654000,40.93,40.62
2021-08-31,44.54,41.15,9780500,44.54,41.15
2021-09-01,46.05,45.75,7527500,46.05,45.75
2021-09-02,45.9,46.55,5189500,46.55,45.9
2021-09-03,44.58,46.24,3094000,46.24,44.58
2021-09-06,42.97,44.64,1960000,44.64,42.97
2021-09-07,42.71,43.0,2963500,43.0,42.71
2021-09-08,44.31,43.05,4019000,44.31,43.05
2021-09-09,45.13,44.65,8759000,45.13,44.65
2021-09-10,45.21,45.22,3835500,45.22,45.21
2021-09-13,42.05,46.04,8456000,46.04,42.05
2021-09-14,40.87,40.75,4975500,40.87,40.75
2021-09-15,41.39,41.1,2150500,41.39,41.1
2021-09-16,41.96,41.65,4166500,41.96,41.65
2021-09-17,41.0,42.23,2234500,42.23,41.0
2021-09-20,41.05,41.14,975500,41.14,41.05
2021-09-21,40.0,41.15,1841500,41.15,40.0
2021-09-22,37.99,40.0,4607000,40.0,37.99
2021-09-23,36.51,38.1,2833500,38.1,36.51
2021-09-24,36.47,36.0,2042000,36.47,36.0
2021-09-27,35.16,36.46,1885500,36.46,35.16
2021-09-28,38.34,35.35,2293500,38.34,35.35
2021-09-29,36.45,39.05,3396500,39.05,36.45
2021-09-30,37.67,36.3,3883500,37.67,36.3
2021-10-01,37.3,37.8,2156500,37.8,37.3
2021-10-04,37.8,37.1,1767000,37.8,37.1
2021-10-05,37.55,37.76,1719000,37.76,37.55
2021-10-06,36.43,37.55,1255000,37.55,36.43
2021-10-07,36.34,36.7,960500,36.7,36.34
2021-10-08,35.86,37.1,796500,37.1,35.86
2021-10-11,34.61,36.0,601500,36.0,34.61
2021-10-12,34.5,34.31,1035500,34.5,34.31
2021-10-13,33.84,34.74,932000,34.74,33.84
2021-10-14,35.59,34.15,2498000,35.59,34.15
2021-10-15,36.06,35.55,5011500,36.06,35.55
2021-10-18,30.07,31.240000000000002,3177000,31.240000000000002,30.07
2021-10-20,31.22,31.869999999999997,2200000,31.869999999999997,31.22
2021-10-21,30.35,31.060000000000002,2203500,31.060000000000002,30.35
2021-10-22,30.47,30.409999999999997,1169000,30.47,30.409999999999997
2021-10-25,30.54,30.549999999999997,563000,30.549999999999997,30.54
2021-10-26,30.79,30.450000000000003,976000,30.79,30.450000000000003
2021-10-27,31.15,31.5,1027000,31.5,31.15
2021-10-28,30.700000000000003,31.35,837000,31.35,30.700000000000003
2021-10-29,30.11,31.14,1034000,31.14,30.11
