date,close,open,volume,high,low
2021-02-12,33.29,33.02,88500,33.29,33.02
2021-02-15,34.45,33.5,564000,34.45,33.5
2021-02-16,33.77,34.9,18000,34.9,33.77
2021-02-17,33.79,33.8,155000,33.8,33.79
2021-02-18,33.32,33.5,19000,33.5,33.32
2021-02-19,35.89,33.0,1646000,35.89,33.0
2021-02-22,36.74,36.29,468500,36.74,36.29
2021-02-23,36.49,36.5,403000,36.5,36.49
2021-02-24,35.0,36.5,250500,36.5,35.0
2021-02-25,36.38,34.21,160000,36.38,34.21
2021-02-26,37.39,35.3,407500,37.39,35.3
2021-03-01,36.2,37.0,77000,37.0,36.2
2021-03-02,37.96,36.5,312000,37.96,36.5
2021-03-03,37.5,37.5,607500,37.5,37.5
2021-03-04,35.95,35.6,143500,35.95,35.6
2021-03-05,36.88,35.5,7500,36.88,35.5
2021-03-08,36.04,36.87,6000,36.87,36.04
2021-03-09,34.79,36.9,130500,36.9,34.79
2021-03-10,34.22,34.26,12500,34.26,34.22
2021-03-11,31.82,35.25,24000,35.25,31.82
2021-03-12,31.71,32.5,45500,32.5,31.71
2021-03-15,33.35,32.89,97500,33.35,32.89
2021-03-16,33.03,32.5,20000,33.03,32.5
2021-03-17,32.9,33.0,130500,33.0,32.9
2021-03-18,32.29,33.0,230500,33.0,32.29
2021-03-19,32.25,32.1,12500,32.25,32.1
2021-03-22,32.49,32.0,8500,32.49,32.0
2021-03-24,32.0,32.11,211000,32.11,32.0
2021-03-25,31.32,32.0,12000,32.0,31.32
2021-03-26,30.64,31.990000000000002,206500,31.990000000000002,30.64
2021-03-29,30.0,30.799999999999997,176000,30.799999999999997,30.0
2021-03-30,29.75,30.5,75000,30.5,29.75
2021-03-31,28.51,30.299999999999997,159000,30.299999999999997,28.51
2021-04-01,28.5,28.69,84000,28.69,28.5
2021-04-02,28.7,28.25,4000,28.7,28.25
2021-04-05,27.82,28.89,12000,28.89,27.82
2021-04-06,28.09,28.48,280500,28.48,28.09
2021-04-07,28.5,28.75,11500,28.75,28.5
2021-04-08,27.86,27.51,34000,27.86,27.51
2021-04-09,27.88,28.3,187000,28.3,27.88
2021-04-12,28.0,27.88,47000,28.0,27.88
2021-04-13,27.8,27.35,131500,27.8,27.35
2021-04-14,27.54,28.3,6000,28.3,27.54
2021-04-15,27.3,27.8,12500,27.8,27.3
2021-04-16,27.11,27.3,58000,27.3,27.11
2021-04-19,27.62,27.35,6000,27.62,27.35
2021-04-20,27.7,26.7,20500,27.7,26.7
2021-04-21,27.4,27.11,15000,27.4,27.11
2021-04-22,27.02,26.7,8500,27.02,26.7
2021-04-23,27.14,26.95,21000,27.14,26.95
2021-04-26,27.15,27.1,21000,27.15,27.1
2021-04-27,27.2,27.4,38500,27.4,27.2
2021-04-28,27.1,27.65,15500,27.65,27.1
2021-04-29,27.97,27.0,251000,27.97,27.0
2021-04-30,26.64,27.31,24000,27.31,26.64
2021-05-03,24.5,26.1,76000,26.1,24.5
2021-05-04,22.52,24.89,367000,24.89,22.52
2021-05-05,21.03,22.4,164000,22.4,21.03
2021-05-06,21.55,21.15,33500,21.55,21.15
2021-05-17,21.99,21.8,260500,21.99,21.8
2021-05-18,21.96,21.98,161500,21.98,21.96
2021-05-19,21.84,21.51,181500,21.84,21.51
2021-05-20,22.28,21.51,245000,22.28,21.51
2021-05-21,22.39,22.15,88000,22.39,22.15
2021-05-24,22.4,22.21,16000,22.4,22.21
2021-05-25,22.4,22.05,49000,22.4,22.05
2021-05-26,23.29,22.69,201000,23.29,22.69
2021-05-27,23.0,23.0,230500,23.0,23.0
2021-05-28,22.85,23.1,29500,23.1,22.85
2021-05-31,24.35,23.24,309500,24.35,23.24
2021-06-01,26.24,24.4,3528500,26.24,24.4
2021-06-02,25.74,26.4,2041500,26.4,25.74
2021-06-03,25.01,25.5,995500,25.5,25.01
2021-06-04,23.98,25.1,1103500,25.1,23.98
2021-06-07,24.84,24.1,1377500,24.84,24.1
2021-06-08,24.55,24.85,493000,24.85,24.55
2021-06-09,23.64,24.68,326500,24.68,23.64
2021-06-10,23.24,24.0,750000,24.0,23.24
2021-06-11,23.12,23.75,1239000,23.75,23.12
2021-06-14,25.0,23.9,2115500,25.0,23.9
2021-06-15,25.73,25.59,3122000,25.73,25.59
2021-06-16,25.84,25.75,1734000,25.84,25.75
2021-06-17,25.15,25.9,339500,25.9,25.15
2021-06-18,25.91,25.3,875000,25.91,25.3
2021-06-21,26.34,25.99,2519000,26.34,25.99
2021-06-22,26.93,26.34,2564000,26.93,26.34
2021-06-23,26.06,27.0,6833500,27.0,26.06
2021-06-24,26.58,26.0,2939500,26.58,26.0
2021-06-25,25.99,26.5,686000,26.5,25.99
2021-06-28,24.72,26.0,2782000,26.0,24.72
2021-06-29,24.96,24.99,1777000,24.99,24.96
2021-06-30,25.29,25.43,2221500,25.43,25.29
2021-07-01,25.58,25.47,730000,25.58,25.47
2021-07-02,25.19,25.5,275500,25.5,25.19
2021-07-05,24.93,25.21,470000,25.21,24.93
2021-07-06,24.84,24.56,666500,24.84,24.56
2021-07-07,24.29,24.51,237000,24.51,24.29
2021-07-08,24.83,24.51,701000,24.83,24.51
2021-07-09,24.51,25.0,273000,25.0,24.51
2021-07-12,23.91,24.45,306000,24.45,23.91
2021-07-13,24.12,23.65,759000,24.12,23.65
2021-07-14,24.8,24.38,870500,24.8,24.38
2021-07-15,24.52,24.85,115500,24.85,24.52
2021-07-16,24.6,24.7,150000,24.7,24.6
2021-07-19,24.76,24.52,266500,24.76,24.52
2021-07-23,24.65,24.77,87000,24.77,24.65
2021-07-26,25.86,24.6,2647500,25.86,24.6
2021-07-27,25.78,26.08,3173500,26.08,25.78
2021-07-28,24.7,26.0,529000,26.0,24.7
2021-07-29,24.14,24.69,1023500,24.69,24.14
2021-07-30,24.02,24.26,504000,24.26,24.02
2021-08-02,25.94,24.45,2196000,25.94,24.45
2021-08-03,26.69,26.25,2751500,26.69,26.25
2021-08-04,27.21,26.85,3512500,27.21,26.85
2021-08-05,27.19,27.6,3154500,27.6,27.19
2021-08-06,27.19,27.0,1259000,27.19,27.0
2021-08-09,26.55,27.39,1791500,27.39,26.55
2021-08-10,26.18,26.49,1161000,26.49,26.18
2021-08-11,26.29,26.5,649500,26.5,26.29
2021-08-12,25.6,26.46,821000,26.46,25.6
2021-08-13,25.18,25.3,521000,25.3,25.18
2021-08-16,24.54,24.9,342000,24.9,24.54
2021-08-17,25.32,24.7,167000,25.32,24.7
