date,close,open,volume,high,low
2021-02-18,73.42,74.0,38000,74.0,73.42
2021-02-19,73.33,72.5,53000,73.33,72.5
2021-02-22,73.04,73.33,165500,73.33,73.04
2021-02-23,72.28,72.8,100000,72.8,72.28
2021-02-24,70.9,71.78,63000,71.78,70.9
2021-02-25,70.58,70.9,26500,70.9,70.58
2021-02-26,69.91,71.1,25000,71.1,69.91
2021-03-01,67.5,69.5,54500,69.5,67.5
2021-03-02,67.43,67.75,257000,67.75,67.43
2021-03-03,67.78,68.0,84000,68.0,67.78
2021-03-04,64.44,64.01,39000,64.44,64.01
2021-03-05,64.84,64.5,45500,64.84,64.5
2021-03-08,65.06,66.38,84000,66.38,65.06
2021-03-09,60.5,64.38,97500,64.38,60.5
2021-03-10,59.86,59.760000000000005,37000,59.86,59.760000000000005
2021-03-11,59.42,59.7,16500,59.7,59.42
2021-03-12,60.650000000000006,58.5,80000,60.650000000000006,58.5
2021-03-15,64.0,61.0,176000,64.0,61.0
2021-03-16,64.44,64.0,27500,64.44,64.0
2021-03-17,66.68,65.5,96000,66.68,65.5
2021-03-18,64.06,67.14,25500,67.14,64.06
2021-03-19,63.61,63.599999999999994,86500,63.61,63.599999999999994
2021-03-22,63.5,63.5,34500,63.5,63.5
2021-03-24,64.5,63.95,58000,64.5,63.95
2021-03-25,64.0,64.5,9000,64.5,64.0
2021-03-26,63.2,64.38,2000,64.38,63.2
2021-03-29,58.510000000000005,62.5,208000,62.5,58.510000000000005
2021-03-30,59.510000000000005,59.5,182000,59.510000000000005,59.5
2021-03-31,58.61,60.95,82000,60.95,58.61
2021-04-01,57.480000000000004,60.0,48500,60.0,57.480000000000004
2021-04-02,57.510000000000005,57.379999999999995,33000,57.510000000000005,57.379999999999995
2021-04-05,54.91,58.0,19000,58.0,54.91
2021-04-06,58.2,56.0,31000,58.2,56.0
2021-04-07,56.1,58.5,12500,58.5,56.1
2021-04-08,59.86,56.7,23500,59.86,56.7
2021-04-09,61.91,60.489999999999995,30500,61.91,60.489999999999995
2021-04-12,61.5,59.5,159000,61.5,59.5
2021-04-13,62.5,60.0,16500,62.5,60.0
2021-04-14,60.400000000000006,61.5,100500,61.5,60.400000000000006
