date,close,open,volume,high,low
2021-01-19,5.31,5.32,179500,5.32,5.31
2021-01-20,5.63,5.28,1253500,5.63,5.28
2021-01-21,6.46,5.77,9389500,6.46,5.77
2021-01-22,6.5,6.6,2177000,6.6,6.5
2021-01-25,6.86,6.51,1273500,6.86,6.51
2021-01-26,7.18,7.0,2565500,7.18,7.0
2021-01-27,6.91,7.22,916500,7.22,6.91
2021-01-28,6.84,6.81,2076500,6.84,6.81
2021-01-29,6.73,7.0,131500,7.0,6.73
2021-02-01,7.04,6.88,1178500,7.04,6.88
2021-02-02,7.05,6.93,360500,7.05,6.93
2021-02-03,6.92,7.01,523000,7.01,6.92
2021-02-04,7.47,6.95,1477500,7.47,6.95
2021-02-08,7.48,7.85,359000,7.85,7.48
2021-02-09,7.71,7.5,1182000,7.71,7.5
2021-02-10,7.27,7.94,658000,7.94,7.27
2021-02-11,7.23,7.7,870500,7.7,7.23
2021-02-12,6.91,6.97,457000,6.97,6.91
2021-02-15,7.03,6.85,327500,7.03,6.85
2021-02-16,6.94,7.35,148000,7.35,6.94
2021-02-17,7.18,7.14,510500,7.18,7.14
2021-02-18,7.0,7.29,254500,7.29,7.0
2021-02-19,6.83,6.65,973000,6.83,6.65
2021-02-22,6.86,6.83,745500,6.86,6.83
2021-02-23,6.74,7.1,148500,7.1,6.74
2021-02-24,6.21,6.94,612000,6.94,6.21
2021-02-25,6.45,6.26,114000,6.45,6.26
2021-02-26,6.27,6.4,101000,6.4,6.27
2021-03-01,6.74,6.6,764500,6.74,6.6
2021-03-02,6.66,6.88,314000,6.88,6.66
2021-03-03,6.61,6.62,427000,6.62,6.61
2021-03-04,6.25,6.55,248500,6.55,6.25
2021-03-05,6.3,6.12,158500,6.3,6.12
2021-03-08,6.07,6.48,429500,6.48,6.07
2021-03-09,6.0,6.0,165000,6.0,6.0
2021-03-10,5.8,5.81,26000,5.81,5.8
2021-03-11,5.5,5.6,183000,5.6,5.5
2021-03-12,5.74,5.79,63000,5.79,5.74
2021-03-15,5.66,5.89,231000,5.89,5.66
2021-03-16,5.51,5.6,107000,5.6,5.51
2021-03-17,5.68,5.51,88000,5.68,5.51
2021-03-18,5.62,5.65,158000,5.65,5.62
2021-03-19,5.57,5.56,54500,5.57,5.56
2021-03-22,5.73,5.51,42000,5.73,5.51
2021-03-24,5.63,5.68,68000,5.68,5.63
2021-03-25,5.51,5.6,95000,5.6,5.51
2021-03-26,5.6,5.51,72000,5.6,5.51
2021-03-29,5.29,5.34,71500,5.34,5.29
2021-03-30,5.32,5.5,26000,5.5,5.32
2021-03-31,5.42,5.36,44000,5.42,5.36
2021-04-01,5.39,5.37,77500,5.39,5.37
2021-04-02,5.35,5.4,52000,5.4,5.35
2021-04-05,5.15,5.21,26500,5.21,5.15
2021-04-06,5.16,5.18,45000,5.18,5.16
2021-04-07,5.22,5.17,5000,5.22,5.17
2021-04-08,5.24,5.17,73000,5.24,5.17
2021-04-09,5.33,5.2,9500,5.33,5.2
2021-04-12,5.3,5.12,7000,5.3,5.12
2021-04-13,5.07,5.25,124000,5.25,5.07
2021-04-14,5.17,5.2,28000,5.2,5.17
2021-04-15,5.25,5.25,66500,5.25,5.25
2021-04-16,5.24,5.3,31000,5.3,5.24
2021-04-19,5.19,5.29,15000,5.29,5.19
2021-04-20,5.28,5.46,14500,5.46,5.28
2021-04-21,5.09,5.16,35500,5.16,5.09
2021-04-22,5.05,5.12,73500,5.12,5.05
2021-04-23,4.97,5.01,94000,5.01,4.97
2021-04-26,5.01,5.15,47500,5.15,5.01
2021-04-27,5.05,5.0,12500,5.05,5.0
2021-04-28,5.01,4.96,22500,5.01,4.96
2021-04-29,5.55,5.01,295000,5.55,5.01
2021-04-30,5.31,5.72,65000,5.72,5.31
2021-05-03,5.12,5.22,110500,5.22,5.12
2021-05-04,5.13,5.23,453000,5.23,5.13
2021-05-05,5.08,5.23,360500,5.23,5.08
2021-05-06,5.09,5.2,116000,5.2,5.09
2021-05-17,5.05,4.9,148500,5.05,4.9
2021-05-18,4.95,5.0,146500,5.0,4.95
2021-05-19,4.84,4.95,287000,4.95,4.84
2021-05-20,4.98,4.86,201000,4.98,4.86
2021-05-21,5.05,5.0,413000,5.05,5.0
2021-05-24,5.13,5.09,279500,5.13,5.09
2021-05-25,5.01,5.08,784000,5.08,5.01
2021-05-26,5.12,5.06,726000,5.12,5.06
2021-05-27,5.25,5.21,1385000,5.25,5.21
2021-05-28,5.2,5.17,144500,5.2,5.17
2021-05-31,5.52,5.25,743500,5.52,5.25
2021-06-01,6.52,5.75,6353000,6.52,5.75
2021-06-02,6.54,6.75,6020500,6.75,6.54
2021-06-03,6.28,6.7,1028500,6.7,6.28
2021-06-04,6.16,6.28,436500,6.28,6.16
2021-06-07,6.05,6.4,1075500,6.4,6.05
2021-06-08,5.94,6.15,435500,6.15,5.94
2021-06-09,5.83,5.89,357000,5.89,5.83
2021-06-10,6.37,5.83,1358000,6.37,5.83
2021-06-11,6.96,6.75,4724500,6.96,6.75
2021-06-14,6.6,7.15,1122500,7.15,6.6
2021-06-15,6.41,6.73,423500,6.73,6.41
2021-06-16,7.4,6.58,4295000,7.4,6.58
2021-06-17,6.72,7.5,2363000,7.5,6.72
2021-06-18,7.16,6.94,1333500,7.16,6.94
2021-06-21,7.33,7.2,1989500,7.33,7.2
2021-06-22,7.24,7.4,446500,7.4,7.24
2021-06-23,7.07,7.35,180000,7.35,7.07
2021-06-24,7.0,6.91,268500,7.0,6.91
2021-06-25,7.21,7.0,1237000,7.21,7.0
2021-06-28,7.1,7.45,359500,7.45,7.1
2021-06-29,7.25,7.3,352000,7.3,7.25
2021-06-30,7.38,7.3,1219500,7.38,7.3
2021-07-01,7.69,7.46,2816500,7.69,7.46
2021-07-02,7.53,7.52,1315000,7.53,7.52
2021-07-05,7.32,7.7,468500,7.7,7.32
