date,close,open,volume,high,low
2023-09-25,3.99,4.0,208000,4.0,3.99
2023-09-26,4.09,4.01,2105500,4.09,4.01
2023-09-27,4.01,4.05,1027000,4.05,4.01
2023-09-28,4.03,4.05,228000,4.05,4.03
2023-10-02,4.03,3.94,51500,4.03,3.94
2023-10-03,4.01,4.01,108000,4.01,4.01
2023-10-04,4.09,4.04,591500,4.09,4.04
2023-10-05,4.23,4.15,1611000,4.23,4.15
2023-10-06,4.17,4.25,420000,4.25,4.17
2023-10-09,4.08,4.01,497000,4.08,4.01
2023-10-10,4.29,4.08,4341000,4.29,4.08
2023-10-11,4.66,4.45,2841000,4.66,4.45
2023-10-12,4.32,4.84,3062500,4.84,4.32
2023-10-13,4.63,4.35,3785000,4.63,4.35
2023-10-16,4.62,4.7,800000,4.7,4.62
2023-10-17,4.63,4.51,556500,4.63,4.51
2023-10-18,4.63,4.65,264500,4.65,4.63
2023-10-19,4.63,4.62,405000,4.63,4.62
2023-10-20,5.45,4.69,11179000,5.45,4.69
2023-10-23,5.75,5.5,6800000,5.75,5.5
2023-10-24,5.62,5.75,2467000,5.75,5.62
2023-10-25,5.72,5.6,4196000,5.72,5.6
2023-10-26,5.86,5.67,11199500,5.86,5.67
2023-10-27,5.97,5.87,15488500,5.97,5.87
2023-10-30,5.9,6.08,2748000,6.08,5.9
2023-10-31,6.18,6.0,7859000,6.18,6.0
2023-11-01,6.16,6.19,3389000,6.19,6.16
2023-11-02,6.38,6.28,10640500,6.38,6.28
2023-11-03,6.15,6.48,3809500,6.48,6.15
2023-11-06,6.17,6.02,4349000,6.17,6.02
2023-11-07,5.99,6.19,2409000,6.19,5.99
2023-11-08,5.86,6.0,2235500,6.0,5.86
2023-11-10,5.97,5.9,2863500,5.97,5.9
2023-11-13,5.9,6.0,3968500,6.0,5.9
2023-11-14,6.87,5.85,14178000,6.87,5.85
2023-11-15,7.11,7.19,15218500,7.19,7.11
2023-11-16,7.06,7.13,3692000,7.13,7.06
2023-11-17,7.02,7.15,2301500,7.15,7.02
2023-11-20,6.94,7.15,1463000,7.15,6.94
2023-11-21,6.95,6.99,2337000,6.99,6.95
2023-11-22,7.05,7.18,1504500,7.18,7.05
2023-11-23,6.99,7.08,2675500,7.08,6.99
2023-11-24,6.74,6.8,1561500,6.8,6.74
2023-11-27,6.94,6.7,2847000,6.94,6.7
2023-11-28,6.93,7.03,3306500,7.03,6.93
2023-11-29,7.93,7.05,21032000,7.93,7.05
2023-11-30,7.92,8.23,17398000,8.23,7.92
