date,close,open,volume,high,low
2023-09-25,11.319999999999999,11.379999999999999,557500,11.379999999999999,11.319999999999999
2023-09-26,11.399999999999999,11.44,359500,11.44,11.399999999999999
2023-09-27,11.25,11.399999999999999,1795500,11.399999999999999,11.25
2023-09-28,11.25,11.25,435500,11.25,11.25
2023-10-02,11.25,11.389999999999999,478000,11.389999999999999,11.25
2023-10-03,11.25,11.25,104500,11.25,11.25
2023-10-04,11.25,11.37,110000,11.37,11.25
2023-10-05,11.25,11.35,206500,11.35,11.25
2023-10-06,11.239999999999998,11.25,330000,11.25,11.239999999999998
2023-10-09,11.25,11.37,344000,11.37,11.25
2023-10-10,11.25,11.33,1209000,11.33,11.25
2023-10-11,11.25,11.43,566500,11.43,11.25
2023-10-12,11.04,11.19,290500,11.19,11.04
2023-10-13,11.54,11.54,177500,11.54,11.54
2023-10-16,11.469999999999999,11.54,735500,11.54,11.469999999999999
2023-10-17,11.459999999999999,11.549999999999999,219000,11.549999999999999,11.459999999999999
2023-10-18,11.42,11.469999999999999,180500,11.469999999999999,11.42
2023-10-19,11.489999999999998,11.43,184000,11.489999999999998,11.43
2023-10-20,11.44,11.549999999999999,209500,11.549999999999999,11.44
2023-10-23,11.43,11.69,329000,11.69,11.43
2023-10-24,11.45,11.549999999999999,357000,11.549999999999999,11.45
2023-10-25,11.52,11.61,209000,11.61,11.52
2023-10-26,11.45,11.649999999999999,543500,11.649999999999999,11.45
2023-10-27,11.42,11.549999999999999,257500,11.549999999999999,11.42
2023-10-30,11.41,11.53,262500,11.53,11.41
2023-10-31,11.41,11.43,203000,11.43,11.41
2023-11-01,11.51,11.479999999999999,525500,11.51,11.479999999999999
2023-11-02,11.45,11.54,360500,11.54,11.45
2023-11-03,11.45,11.53,204500,11.53,11.45
2023-11-06,11.54,11.53,279500,11.54,11.53
2023-11-07,11.45,11.52,308000,11.52,11.45
2023-11-08,11.479999999999999,11.45,1731000,11.479999999999999,11.45
2023-11-10,11.52,11.549999999999999,340000,11.549999999999999,11.52
2023-11-13,11.469999999999999,11.5,1677500,11.5,11.469999999999999
2023-11-14,11.5,11.549999999999999,878000,11.549999999999999,11.5
2023-11-15,11.5,11.53,584000,11.53,11.5
2023-11-16,11.469999999999999,11.53,1218500,11.53,11.469999999999999
2023-11-17,11.54,11.5,567500,11.54,11.5
2023-11-20,11.559999999999999,11.559999999999999,238000,11.559999999999999,11.559999999999999
2023-11-21,11.459999999999999,11.569999999999999,1317000,11.569999999999999,11.459999999999999
2023-11-22,11.469999999999999,11.479999999999999,413000,11.479999999999999,11.469999999999999
2023-11-23,11.489999999999998,11.54,593500,11.54,11.489999999999998
2023-11-24,11.559999999999999,11.59,295000,11.59,11.559999999999999
2023-11-27,11.6,11.54,359000,11.6,11.54
2023-11-28,11.54,11.6,2191500,11.6,11.54
2023-11-29,11.649999999999999,11.54,848000,11.649999999999999,11.54
2023-11-30,11.489999999999998,11.649999999999999,1668000,11.649999999999999,11.489999999999998
2023-12-01,11.44,11.639999999999999,1033500,11.639999999999999,11.44
