date,close,open,volume,high,low
2021-02-26,134.19,134.5,5497643,134.5,134.19
2021-03-01,133.22,134.2,3306140,134.2,133.22
2021-03-02,133.22,133.21,1480847,133.22,133.21
2021-03-03,135.07,133.95,2262347,135.07,133.95
2021-03-04,130.02,130.5,4239482,130.5,130.02
2021-03-05,132.3,130.1,1866278,132.3,130.1
2021-03-08,125.18,136.0,6041109,136.0,125.18
2021-03-09,115.88,125.5,10734525,125.5,115.88
2021-03-10,113.93,115.9,6654364,115.9,113.93
2021-03-11,113.14,113.11,3813232,113.14,113.11
2021-03-12,120.98,115.0,4991790,120.98,115.0
2021-03-15,125.57,125.4,7604184,125.57,125.4
2021-03-16,122.84,126.0,3251898,126.0,122.84
2021-03-17,124.88,124.25,3851239,124.88,124.25
2021-03-18,122.25,125.5,2952116,125.5,122.25
2021-03-19,123.27,123.0,1761491,123.27,123.0
2021-03-22,122.2,123.0,1547741,123.0,122.2
2021-03-24,122.93,122.75,1360090,122.93,122.75
2021-03-25,124.44,123.99,2064692,124.44,123.99
2021-03-26,121.89,125.5,1521170,125.5,121.89
2021-03-29,117.23,121.0,2525609,121.0,117.23
2021-03-30,118.83,117.23,2057358,118.83,117.23
2021-03-31,118.51,120.95,1654833,120.95,118.51
2021-04-01,115.71,118.3,793632,118.3,115.71
2021-04-02,115.52,116.4,1302450,116.4,115.52
2021-04-05,113.43,116.5,1439979,116.5,113.43
2021-04-06,118.05,114.0,1977843,118.05,114.0
2021-04-07,117.86,118.5,4606410,118.5,117.86
2021-04-08,122.5,118.5,3367453,122.5,118.5
2021-04-09,124.4,123.3,3411988,124.4,123.3
2021-04-12,122.26,124.19,1605214,124.19,122.26
2021-04-13,122.56,122.9,3932352,122.9,122.56
2021-04-14,122.89,122.56,1723398,122.89,122.56
2021-04-15,121.82,123.85,884928,123.85,121.82
2021-04-16,120.51,122.0,514100,122.0,120.51
2021-04-19,120.11,120.0,1158555,120.11,120.0
2021-04-20,119.93,121.0,1099387,121.0,119.93
2021-04-21,118.28,120.5,763363,120.5,118.28
2021-04-22,114.51,117.0,1347495,117.0,114.51
2021-04-23,113.8,114.1,779464,114.1,113.8
2021-04-26,116.44,113.8,2983618,116.44,113.8
2021-04-27,114.03,116.49,2507904,116.49,114.03
2021-04-28,113.44,115.0,899459,115.0,113.44
2021-04-29,112.23,114.25,1223803,114.25,112.23
2021-04-30,108.63,112.88,1290670,112.88,108.63
2021-05-03,108.12,107.0,2926294,108.12,107.0
2021-05-04,107.45,107.7,1611289,107.7,107.45
2021-05-05,108.57,108.6,1646981,108.6,108.57
2021-05-06,109.07,108.8,805299,109.07,108.8
2021-05-17,113.5,110.9,3085910,113.5,110.9
2021-05-18,113.15,113.5,2371958,113.5,113.15
2021-05-19,109.7,112.1,2007534,112.1,109.7
2021-05-20,110.56,108.0,784400,110.56,108.0
2021-05-21,111.8,110.99,1354735,111.8,110.99
2021-05-24,114.28,112.5,3149208,114.28,112.5
2021-05-25,118.43,115.0,6626554,118.43,115.0
2021-05-26,121.4,120.1,9278123,121.4,120.1
2021-05-27,121.11,121.61,1874951,121.61,121.11
2021-05-28,119.52,121.0,3073318,121.0,119.52
2021-05-31,128.41,121.0,12848456,128.41,121.0
2021-06-01,129.11,129.01,8357144,129.11,129.01
2021-06-02,127.55000000000001,129.25,3163339,129.25,127.55000000000001
2021-06-03,127.41,127.94999999999999,2665171,127.94999999999999,127.41
2021-06-04,127.97,127.50999999999999,2858328,127.97,127.50999999999999
2021-06-07,128.33,129.5,6027497,129.5,128.33
2021-06-08,128.8,128.55,4997490,128.8,128.55
2021-06-09,127.19,129.0,6923101,129.0,127.19
2021-06-10,126.53,127.5,5015829,127.5,126.53
2021-06-11,124.09,126.52000000000001,3567605,126.52000000000001,124.09
2021-06-14,126.86000000000001,126.99000000000001,7023458,126.99000000000001,126.86000000000001
2021-06-15,128.58,127.75,8627487,128.58,127.75
2021-06-16,125.84,129.0,2993552,129.0,125.84
2021-06-17,123.59,126.4,2609922,126.4,123.59
2021-06-18,125.28,124.0,3256045,125.28,124.0
2021-06-21,123.37,125.0,1622745,125.0,123.37
2021-06-22,122.91,123.9,1507180,123.9,122.91
2021-06-23,121.94,123.5,1300182,123.5,121.94
2021-06-24,121.33,122.9,2769344,122.9,121.33
2021-06-25,119.1,121.0,5998538,121.0,119.1
2021-06-28,115.85,118.1,3515303,118.1,115.85
2021-06-29,115.16,115.85,2195251,115.85,115.16
2021-06-30,115.92,115.95,2384678,115.95,115.92
2021-07-01,118.39,116.3,3066547,118.39,116.3
2021-07-02,116.21,119.0,1898136,119.0,116.21
2021-07-05,113.42,116.98,1450507,116.98,113.42
2021-07-06,114.22,113.61,2340971,114.22,113.61
2021-07-07,113.69,114.22,2404963,114.22,113.69
2021-07-08,116.63,114.88,3434342,116.63,114.88
2021-07-09,114.54,116.63,1100344,116.63,114.54
2021-07-12,112.87,114.54,1754312,114.54,112.87
2021-07-13,113.1,113.1,782930,113.1,113.1
2021-07-14,112.74,113.9,870113,113.9,112.74
2021-07-15,112.63,112.98,547810,112.98,112.63
2021-07-16,113.29,113.07,944266,113.29,113.07
2021-07-19,113.33,113.5,1140431,113.5,113.33
2021-07-23,111.77,113.51,1878176,113.51,111.77
2021-07-26,110.11,111.8,1378011,111.8,110.11
