date,close,open,volume,high,low
2023-06-20,10.0,10.0,52500,10.0,10.0
2023-06-22,9.71,9.71,500,9.71,9.71
2023-06-23,9.71,0.0,500,9.71,0.0
2023-06-26,10.45,10.45,500,10.45,10.45
2023-06-27,10.3,10.55,50000,10.55,10.3
2023-07-03,11.25,11.0,25000,11.25,11.0
2023-07-05,11.2,11.0,1000,11.2,11.0
2023-07-06,10.62,10.62,28000,10.62,10.62
2023-07-07,10.11,10.25,22500,10.25,10.11
2023-07-10,11.1,10.7,14500,11.1,10.7
2023-07-11,11.0,11.85,8000,11.85,11.0
2023-07-12,10.55,11.0,2500,11.0,10.55
2023-07-13,10.31,10.31,500,10.31,10.31
2023-07-17,11.13,11.13,1000,11.13,11.13
2023-07-18,11.53,11.5,1000,11.53,11.5
2023-07-21,11.1,11.0,1500,11.1,11.0
2023-07-25,11.0,11.0,5000,11.0,11.0
2023-07-26,10.52,10.52,500,10.52,10.52
2023-07-31,10.99,10.21,3500,10.99,10.21
2023-08-01,11.45,11.4,56500,11.45,11.4
2023-08-02,11.12,11.12,500,11.12,11.12
2023-08-03,11.01,10.93,12500,11.01,10.93
2023-08-04,11.02,11.99,1000,11.99,11.02
2023-08-07,11.15,11.64,7000,11.64,11.15
2023-08-08,10.7,11.6,6000,11.6,10.7
2023-08-09,11.11,11.7,7000,11.7,11.11
2023-08-10,11.93,11.93,500,11.93,11.93
2023-08-15,11.12,11.99,9000,11.99,11.12
2023-08-16,10.5,10.5,500,10.5,10.5
2023-08-17,11.43,10.5,2500,11.43,10.5
2023-08-18,10.79,10.5,17000,10.79,10.5
2023-08-22,10.31,10.59,4500,10.59,10.31
2023-08-29,10.0,10.75,1500,10.75,10.0
2023-08-31,9.75,10.0,2000,10.0,9.75
2023-09-01,10.1,10.4,1000,10.4,10.1
2023-09-08,10.55,10.55,500,10.55,10.55
2023-09-12,9.61,9.61,500,9.61,9.61
2023-09-14,9.3,9.3,500,9.3,9.3
2023-09-28,10.29,9.8,1000,10.29,9.8
2023-10-02,9.34,9.7,1000,9.7,9.34
2023-10-03,9.21,9.21,5500,9.21,9.21
2023-10-05,10.21,9.8,20000,10.21,9.8
2023-10-10,10.19,10.2,1000,10.2,10.19
2023-10-11,10.7,10.7,500,10.7,10.7
2023-10-13,10.51,10.2,2000,10.51,10.2
2023-10-16,11.4,11.3,3000,11.4,11.3
2023-10-17,11.56,12.0,2000,12.0,11.56
2023-10-18,11.26,11.66,10000,11.66,11.26
2023-10-19,11.35,11.5,37000,11.5,11.35
2023-10-20,12.3,12.0,19000,12.3,12.0
2023-10-23,11.36,12.5,1000,12.5,11.36
2023-10-24,12.35,12.35,5000,12.35,12.35
2023-10-25,11.77,13.0,5500,13.0,11.77
2023-10-26,11.06,11.06,1000,11.06,11.06
2023-10-27,10.62,10.62,500,10.62,10.62
2023-10-30,11.62,10.72,50500,11.62,10.72
2023-10-31,11.25,12.2,3500,12.2,11.25
2023-11-01,12.25,12.25,69000,12.25,12.25
2023-11-02,13.25,13.25,12000,13.25,13.25
2023-11-03,14.25,14.25,37500,14.25,14.25
2023-11-06,15.32,15.32,252000,15.32,15.32
2023-11-07,14.81,15.6,101500,15.6,14.81
2023-11-08,14.8,15.25,75000,15.25,14.8
