date,close,open,volume,high,low
2023-09-25,17.82,18.14,134500,18.14,17.82
2023-09-26,17.62,17.99,367000,17.99,17.62
2023-09-27,17.58,17.5,910500,17.58,17.5
2023-09-28,17.46,17.52,345000,17.52,17.46
2023-10-02,17.64,17.57,165000,17.64,17.57
2023-10-03,17.77,17.53,256000,17.77,17.53
2023-10-04,17.84,17.55,146500,17.84,17.55
2023-10-05,18.1,17.83,482000,18.1,17.83
2023-10-06,18.13,18.24,346000,18.24,18.13
2023-10-09,17.92,17.95,877500,17.95,17.92
2023-10-10,16.49,16.84,796500,16.84,16.49
2023-10-11,18.53,18.77,690500,18.77,18.53
2023-10-12,18.41,18.65,244000,18.65,18.41
2023-10-13,18.25,18.45,1107500,18.45,18.25
2023-10-16,18.5,18.6,658500,18.6,18.5
2023-10-17,18.4,18.5,710500,18.5,18.4
2023-10-18,18.37,18.5,368000,18.5,18.37
2023-10-19,17.53,18.0,1816500,18.0,17.53
2023-10-20,17.41,17.6,782500,17.6,17.41
2023-10-23,17.99,17.5,1410000,17.99,17.5
2023-10-24,17.86,17.9,331000,17.9,17.86
2023-10-25,18.05,18.0,562000,18.05,18.0
2023-10-26,17.67,18.11,448500,18.11,17.67
2023-10-27,17.31,17.66,427500,17.66,17.31
2023-10-30,17.48,17.48,211500,17.48,17.48
2023-10-31,17.57,17.64,456500,17.64,17.57
2023-11-01,17.95,17.7,789500,17.95,17.7
2023-11-02,18.46,18.03,1801500,18.46,18.03
2023-11-03,18.83,18.7,2287000,18.83,18.7
2023-11-06,18.72,18.9,770000,18.9,18.72
2023-11-07,18.14,18.88,641000,18.88,18.14
2023-11-08,18.35,18.36,456000,18.36,18.35
2023-11-10,18.41,18.45,638000,18.45,18.41
2023-11-13,18.53,18.49,931000,18.53,18.49
2023-11-14,18.96,18.56,1719500,18.96,18.56
2023-11-15,18.8,19.19,1146500,19.19,18.8
2023-11-16,19.11,18.95,1461000,19.11,18.95
2023-11-17,20.46,19.02,6879000,20.46,19.02
2023-11-20,20.54,20.8,3305500,20.8,20.54
2023-11-21,20.92,20.51,2001000,20.92,20.51
2023-11-22,21.0,21.2,2506000,21.2,21.0
2023-11-23,20.8,21.05,984500,21.05,20.8
2023-11-24,20.24,20.85,891500,20.85,20.24
2023-11-27,20.17,20.4,581000,20.4,20.17
2023-11-28,20.33,20.35,1070500,20.35,20.33
2023-11-29,21.08,20.6,5039000,21.08,20.6
2023-11-30,21.04,21.12,1335500,21.12,21.04
2023-12-01,21.05,21.25,1292000,21.25,21.05
2023-12-04,21.07,21.2,1098000,21.2,21.07
2023-12-05,21.11,21.39,845500,21.39,21.11
2023-12-06,21.67,21.03,2443500,21.67,21.03
2023-12-07,21.92,21.8,2623500,21.92,21.8
2023-12-08,21.71,21.96,1116500,21.96,21.71
2023-12-11,21.46,21.71,815500,21.71,21.46
2023-12-12,21.84,21.46,865000,21.84,21.46
2023-12-13,20.56,22.0,1513500,22.0,20.56
2023-12-14,21.11,20.5,694500,21.11,20.5
2023-12-15,20.91,20.8,425500,20.91,20.8
2023-12-18,20.49,20.53,375000,20.53,20.49
2023-12-19,19.3,20.3,682500,20.3,19.3
2023-12-20,18.59,19.4,387500,19.4,18.59
2023-12-21,19.21,18.61,266500,19.21,18.61
2023-12-22,19.0,19.45,666500,19.45,19.0
2023-12-26,18.24,19.01,895000,19.01,18.24
2023-12-27,18.49,18.43,579500,18.49,18.43
2023-12-28,18.69,18.51,558500,18.69,18.51
2023-12-29,18.6,18.61,665500,18.61,18.6
2024-01-01,19.77,18.89,829000,19.77,18.89
2024-01-02,19.64,19.89,463500,19.89,19.64
2024-01-03,21.41,19.51,2322500,21.41,19.51
2024-01-04,21.87,22.12,3327500,22.12,21.87
2024-01-05,21.49,22.0,1826500,22.0,21.49
2024-01-08,21.61,21.97,2651500,21.97,21.61
2024-01-09,20.83,21.98,1654000,21.98,20.83
2024-01-10,20.54,21.0,1623000,21.0,20.54
2024-01-11,20.57,20.21,1039000,20.57,20.21
2024-01-12,20.9,20.73,781000,20.9,20.73
2024-01-15,20.98,21.26,530500,21.26,20.98
2024-01-16,20.82,20.67,414000,20.82,20.67
2024-01-17,20.76,20.75,1963000,20.76,20.75
2024-01-18,20.52,20.89,787000,20.89,20.52
2024-01-19,20.6,20.95,371000,20.95,20.6
2024-01-22,20.45,20.5,121000,20.5,20.45
2024-01-23,20.88,20.69,268000,20.88,20.69
2024-01-24,20.78,20.65,524500,20.78,20.65
2024-01-25,20.89,20.97,1658000,20.97,20.89
2024-01-26,20.38,20.76,329000,20.76,20.38
2024-01-29,19.93,20.21,338500,20.21,19.93
2024-01-30,19.09,20.15,271500,20.15,19.09
2024-01-31,19.21,19.35,98500,19.35,19.21
2024-02-01,19.42,19.27,110500,19.42,19.27
2024-02-02,21.07,19.49,1821500,21.07,19.49
2024-02-06,20.88,21.4,543500,21.4,20.88
2024-02-07,20.86,20.65,321500,20.86,20.65
2024-02-09,20.64,20.26,80500,20.64,20.26
2024-02-12,19.9,20.6,215500,20.6,19.9
