date,close,open,volume,high,low
2021-02-26,-10.840000000000003,-10.75,1620127,-10.75,-10.840000000000003
2021-03-01,-10.769999999999996,-10.89,1232218,-10.769999999999996,-10.89
2021-03-02,-10.64,-10.519999999999996,1124315,-10.519999999999996,-10.64
2021-03-03,-10.370000000000005,-10.599999999999994,916403,-10.370000000000005,-10.599999999999994
2021-03-04,-10.75,-11.030000000000001,1445260,-10.75,-11.030000000000001
2021-03-05,-10.219999999999999,-11.0,719790,-10.219999999999999,-11.0
2021-03-08,-10.189999999999998,-10.0,1307690,-10.0,-10.189999999999998
2021-03-09,-10.75,-10.099999999999994,1599381,-10.099999999999994,-10.75
2021-03-10,-11.090000000000003,-10.799999999999997,1778084,-10.799999999999997,-11.090000000000003
2021-03-11,-11.849999999999994,-11.0,1708915,-11.0,-11.849999999999994
2021-03-12,-11.530000000000001,-11.989999999999995,3280064,-11.530000000000001,-11.989999999999995
2021-03-15,-10.780000000000001,-10.900000000000006,2104811,-10.780000000000001,-10.900000000000006
2021-03-16,-9.299999999999997,-10.700000000000003,3427766,-9.299999999999997,-10.700000000000003
2021-03-17,-8.730000000000004,-9.200000000000003,6919848,-8.730000000000004,-9.200000000000003
2021-03-18,-8.989999999999995,-8.5,4567328,-8.5,-8.989999999999995
2021-03-19,-13.439999999999998,-13.0,3481133,-13.0,-13.439999999999998
2021-03-22,-8.579999999999998,-9.600000000000001,1287895,-8.579999999999998,-9.600000000000001
2021-03-24,-8.950000000000003,-8.939999999999998,1354651,-8.939999999999998,-8.950000000000003
2021-03-25,-8.969999999999999,-8.950000000000003,1241255,-8.950000000000003,-8.969999999999999
2021-03-26,-9.409999999999997,-8.86,1637742,-8.86,-9.409999999999997
2021-03-29,-9.68,-9.490000000000002,1645044,-9.490000000000002,-9.68
2021-03-30,-9.530000000000001,-9.5,1112256,-9.5,-9.530000000000001
2021-03-31,-9.600000000000001,-9.490000000000002,1569429,-9.490000000000002,-9.600000000000001
2021-04-01,-9.5,-9.75,1007154,-9.5,-9.75
2021-04-02,-9.530000000000001,-9.310000000000002,525749,-9.310000000000002,-9.530000000000001
2021-04-05,-9.780000000000001,-9.100000000000001,1161236,-9.100000000000001,-9.780000000000001
2021-04-06,-9.689999999999998,-9.799999999999997,789040,-9.689999999999998,-9.799999999999997
