date,close,open,volume,high,low
2023-09-13,111.44,107.0,237700,111.44,107.0
2023-09-14,113.68,109.51,61800,113.68,109.51
2023-09-15,114.28,114.0,60300,114.28,114.0
2023-09-18,112.28,112.07,143300,112.28,112.07
2023-09-19,112.41,112.01,129400,112.41,112.01
2023-09-20,113.33,111.02,156200,113.33,111.02
2023-09-21,112.78,113.0,6400,113.0,112.78
2023-09-22,114.29,113.23,21600,114.29,113.23
2023-09-25,112.33,114.99,1100,114.99,112.33
2023-09-26,112.51,114.0,36300,114.0,112.51
2023-09-27,111.72,112.55,5200,112.55,111.72
2023-09-28,111.15,112.94,7600,112.94,111.15
2023-10-02,111.78,112.99,52600,112.99,111.78
2023-10-03,110.93,112.97,15800,112.97,110.93
2023-10-04,110.07,110.5,1900,110.5,110.07
2023-10-05,111.81,109.0,10300,111.81,109.0
2023-10-06,114.1,112.88,20300,114.1,112.88
2023-10-09,112.24,114.8,14900,114.8,112.24
2023-10-10,112.65,111.0,5300,112.65,111.0
2023-10-11,113.28,112.65,4100,113.28,112.65
2023-10-12,114.16,113.49,19400,114.16,113.49
2023-10-13,117.0,115.39,17900,117.0,115.39
2023-10-16,118.35,117.99,64300,118.35,117.99
2023-10-17,116.6,117.99,8400,117.99,116.6
2023-10-18,116.0,116.5,14400,116.5,116.0
2023-10-19,116.74,116.0,34100,116.74,116.0
2023-10-20,116.02,117.77,9500,117.77,116.02
2023-10-23,115.91,118.0,16400,118.0,115.91
2023-10-24,115.67,115.5,10500,115.67,115.5
2023-10-25,115.5,114.01,22300,115.5,114.01
2023-10-26,112.79,115.45,54300,115.45,112.79
2023-10-27,111.42,113.49,7700,113.49,111.42
2023-10-30,117.11,112.99,127800,117.11,112.99
2023-10-31,117.09,118.9,58300,118.9,117.09
2023-11-01,117.59,121.89,18000,121.89,117.59
2023-11-02,116.15,118.0,8800,118.0,116.15
2023-11-03,116.38,116.11,14500,116.38,116.11
2023-11-06,117.43,115.65,43500,117.43,115.65
2023-11-07,115.44,116.0,15700,116.0,115.44
2023-11-08,115.14,115.89,4500,115.89,115.14
2023-11-10,117.46,116.59,19700,117.46,116.59
2023-11-13,117.02,117.5,42800,117.5,117.02
2023-11-14,116.8,112.15,11400,116.8,112.15
2023-11-15,116.89,116.0,20500,116.89,116.0
2023-11-16,119.71,116.88,76200,119.71,116.88
2023-11-17,116.61,119.99,126300,119.99,116.61
2023-11-20,121.17,120.49,126400,121.17,120.49
2023-11-21,121.21,120.0,28000,121.21,120.0
2023-11-22,120.54,121.0,11000,121.0,120.54
2023-11-23,122.43,122.0,27300,122.43,122.0
2023-11-24,121.41,122.0,20400,122.0,121.41
2023-11-27,121.17,119.0,9100,121.17,119.0
2023-11-28,120.49,121.5,79800,121.5,120.49
2023-11-29,122.0,121.94,35800,122.0,121.94
2023-11-30,122.07,122.0,81400,122.07,122.0
2023-12-01,126.73,122.0,119000,126.73,122.0
2023-12-04,127.49,126.73,161200,127.49,126.73
2023-12-05,126.32,128.0,26400,128.0,126.32
2023-12-06,128.97,125.0,142000,128.97,125.0
2023-12-07,129.25,129.58,119200,129.58,129.25
2023-12-08,131.36,129.55,113500,131.36,129.55
2023-12-11,132.77,134.03,202600,134.03,132.77
2023-12-12,135.4,133.2,151700,135.4,133.2
2023-12-13,133.8,135.12,58200,135.12,133.8
2023-12-14,131.76,126.02,39100,131.76,126.02
2023-12-15,132.38,132.99,32700,132.99,132.38
2023-12-18,126.97,131.12,60600,131.12,126.97
2023-12-19,117.45,125.5,69000,125.5,117.45
2023-12-20,116.32,115.5,284600,116.32,115.5
2023-12-21,109.26,112.62,635900,112.62,109.26
2023-12-22,108.94,109.35,104100,109.35,108.94
2023-12-26,106.23,110.0,26000,110.0,106.23
2023-12-27,107.68,105.5,36000,107.68,105.5
2023-12-28,107.74,106.51,56100,107.74,106.51
2023-12-29,107.64,106.03,60600,107.64,106.03
2024-01-01,110.79,109.0,133600,110.79,109.0
2024-01-02,108.08,111.98,165500,111.98,108.08
2024-01-03,108.52,108.08,82000,108.52,108.08
2024-01-04,109.04,110.49,81900,110.49,109.04
2024-01-05,110.26,109.0,93100,110.26,109.0
2024-01-08,114.06,110.0,157600,114.06,110.0
2024-01-09,115.11,115.98,53900,115.98,115.11
2024-01-10,113.66,113.6,34700,113.66,113.6
2024-01-11,114.44,114.0,34800,114.44,114.0
2024-01-12,114.03,115.74,37300,115.74,114.03
2024-01-15,114.19,114.99,34200,114.99,114.19
2024-01-16,113.46,113.99,22400,113.99,113.46
2024-01-17,114.0,114.0,20300,114.0,114.0
2024-01-18,113.0,112.56,10200,113.0,112.56
2024-01-19,114.6,113.01,90200,114.6,113.01
2024-01-22,114.25,114.84,13100,114.84,114.25
2024-01-23,116.19,114.25,27700,116.19,114.25
2024-01-24,115.96,116.19,11100,116.19,115.96
2024-01-25,115.4,115.99,32300,115.99,115.4
2024-01-26,114.49,114.05,16700,114.49,114.05
2024-01-29,114.69,114.5,27000,114.69,114.5
2024-01-30,114.0,113.75,83000,114.0,113.75
2024-01-31,114.01,113.25,17800,114.01,113.25
2024-02-01,114.4,115.0,18900,115.0,114.4
2024-02-02,114.16,114.5,8000,114.5,114.16
2024-02-06,115.78,115.02,9200,115.78,115.02
2024-02-07,114.9,116.0,7400,116.0,114.9
2024-02-09,115.0,114.0,15400,115.0,114.0
2024-02-12,113.0,114.0,194400,114.0,113.0
2024-02-13,113.0,111.5,3900,113.0,111.5
2024-02-14,114.17,115.0,21900,115.0,114.17
2024-02-15,113.29,113.02,4400,113.29,113.02
2024-02-16,112.76,114.0,10800,114.0,112.76
2024-02-19,111.45,111.5,12500,111.5,111.45
2024-02-20,112.6,111.2,3600,112.6,111.2
2024-02-21,113.95,112.6,16100,113.95,112.6
2024-02-22,114.46,114.0,9600,114.46,114.0
2024-02-23,114.25,113.65,25600,114.25,113.65
2024-02-26,113.01,114.97,21800,114.97,113.01
2024-02-27,114.13,114.45,317500,114.45,114.13
2024-02-28,114.89,114.85,300700,114.89,114.85
2024-02-29,116.02,115.0,62700,116.02,115.0
2024-03-01,124.72,115.0,227400,124.72,115.0
2024-03-04,123.13,128.98,203300,128.98,123.13
2024-03-05,128.35,122.0,161200,128.35,122.0
