date,close,open,volume,high,low
2023-09-25,36.21,36.1,316564,36.21,36.1
2023-09-26,36.07,36.45,409367,36.45,36.07
2023-09-27,36.11,36.4,481223,36.4,36.11
2023-09-28,35.81,36.2,716061,36.2,35.81
2023-10-02,36.1,35.95,331642,36.1,35.95
2023-10-03,36.88,36.25,1289402,36.88,36.25
2023-10-04,37.04,37.24,890648,37.24,37.04
2023-10-05,37.56,37.12,823990,37.56,37.12
2023-10-06,38.35,37.65,1270331,38.35,37.65
2023-10-09,38.2,38.1,454646,38.2,38.1
2023-10-10,38.67,38.3,561529,38.67,38.3
2023-10-11,38.59,38.8,1069459,38.8,38.59
2023-10-12,38.58,38.5,664666,38.58,38.5
2023-10-13,38.49,38.65,1834658,38.65,38.49
2023-10-16,38.38,38.7,2978592,38.7,38.38
2023-10-17,38.68,38.5,2519020,38.68,38.5
2023-10-18,39.98,39.49,4780598,39.98,39.49
2023-10-19,40.29,40.2,2766814,40.29,40.2
2023-10-20,40.28,40.32,2185876,40.32,40.28
2023-10-23,40.13,40.4,1872459,40.4,40.13
2023-10-24,40.05,40.25,1694038,40.25,40.05
2023-10-25,40.6,40.03,3240518,40.6,40.03
2023-10-26,37.98,38.4,1545501,38.4,37.98
2023-10-27,40.41,40.5,997253,40.5,40.41
2023-10-30,40.3,40.6,402844,40.6,40.3
2023-10-31,38.15,40.25,6900785,40.25,38.15
2023-11-01,38.54,38.4,2248707,38.54,38.4
2023-11-02,39.06,39.4,2019042,39.4,39.06
2023-11-03,39.57,39.35,1787306,39.57,39.35
2023-11-06,40.18,39.9,1491617,40.18,39.9
2023-11-07,39.93,40.29,1764417,40.29,39.93
2023-11-08,39.93,40.0,758129,40.0,39.93
2023-11-10,40.4,39.89,1742203,40.4,39.89
2023-11-13,40.65,40.4,2981673,40.65,40.4
2023-11-14,43.77,40.52,7831208,43.77,40.52
2023-11-15,45.76,45.49,8574854,45.76,45.49
2023-11-16,44.75,46.0,4091361,46.0,44.75
2023-11-17,44.62,44.7,2369013,44.7,44.62
2023-11-20,44.0,44.59,2421924,44.59,44.0
2023-11-21,44.05,44.2,1772938,44.2,44.05
2023-11-22,44.32,44.11,1594812,44.32,44.11
2023-11-23,44.53,44.3,4122262,44.53,44.3
2023-11-24,44.5,44.5,1313938,44.5,44.5
2023-11-27,44.11,45.0,2945897,45.0,44.11
2023-11-28,44.25,44.26,2348446,44.26,44.25
2023-11-29,43.94,44.45,1750772,44.45,43.94
2023-11-30,44.04,44.1,1050179,44.1,44.04
2023-12-01,44.01,44.15,2382640,44.15,44.01
2023-12-04,47.39,44.11,14269096,47.39,44.11
2023-12-05,48.37,48.0,15097108,48.37,48.0
2023-12-06,48.04,48.4,3873636,48.4,48.04
2023-12-07,47.25,48.11,5262933,48.11,47.25
2023-12-08,48.44,47.89,7478771,48.44,47.89
2023-12-11,50.02,48.03,9779033,50.02,48.03
2023-12-12,50.25,50.49,2328039,50.49,50.25
2023-12-13,48.95,50.75,6950956,50.75,48.95
2023-12-14,49.0,49.0,6453073,49.0,49.0
2023-12-15,48.59,49.17,4292768,49.17,48.59
2023-12-18,47.91,48.95,1857022,48.95,47.91
2023-12-19,44.91,48.0,4556231,48.0,44.91
2023-12-20,44.34,44.66,1776821,44.66,44.34
2023-12-21,44.77,44.61,826614,44.77,44.61
2023-12-22,44.78,44.9,1396705,44.9,44.78
2023-12-26,42.55,44.78,1437244,44.78,42.55
2023-12-27,43.5,42.03,1272100,43.5,42.03
2023-12-28,44.27,43.6,1608043,44.27,43.6
2023-12-29,45.59,44.2,3658820,45.59,44.2
2024-01-01,47.08,46.0,2277482,47.08,46.0
2024-01-02,46.38,47.5,4370264,47.5,46.38
2024-01-03,46.14,46.96,1135857,46.96,46.14
