date,close,open,volume,high,low
2021-02-26,11.66,11.95,36500,11.95,11.66
2021-03-01,11.71,11.66,22500,11.71,11.66
2021-03-02,12.75,11.600000000000001,819500,12.75,11.600000000000001
2021-03-03,13.18,12.309999999999999,404000,13.18,12.309999999999999
2021-03-04,12.25,11.75,177500,12.25,11.75
2021-03-05,12.25,11.969999999999999,52500,12.25,11.969999999999999
2021-03-08,11.71,12.25,82500,12.25,11.71
2021-03-09,12.07,11.95,917000,12.07,11.95
2021-03-10,12.25,12.239999999999998,1034500,12.25,12.239999999999998
2021-03-11,11.809999999999999,12.05,631500,12.05,11.809999999999999
2021-03-12,12.129999999999999,11.850000000000001,198500,12.129999999999999,11.850000000000001
2021-03-15,11.75,12.25,88500,12.25,11.75
2021-03-16,11.96,11.75,22500,11.96,11.75
2021-03-17,12.0,11.850000000000001,144000,12.0,11.850000000000001
2021-03-18,11.73,11.670000000000002,359000,11.73,11.670000000000002
2021-03-19,12.14,11.489999999999998,9500,12.14,11.489999999999998
2021-03-22,11.780000000000001,11.600000000000001,171000,11.780000000000001,11.600000000000001
2021-03-24,11.920000000000002,12.170000000000002,26000,12.170000000000002,11.920000000000002
2021-03-25,12.2,12.030000000000001,40500,12.2,12.030000000000001
2021-03-26,13.02,12.25,3608500,13.02,12.25
2021-03-29,12.420000000000002,13.149999999999999,174000,13.149999999999999,12.420000000000002
2021-03-30,12.350000000000001,12.239999999999998,222500,12.350000000000001,12.239999999999998
2021-03-31,12.629999999999999,12.489999999999998,551000,12.629999999999999,12.489999999999998
2021-04-01,12.739999999999998,12.45,3558500,12.739999999999998,12.45
2021-04-02,12.510000000000002,12.75,5071000,12.75,12.510000000000002
2021-04-05,12.5,12.5,565500,12.5,12.5
2021-04-06,12.5,12.5,51000,12.5,12.5
2021-04-07,12.41,12.27,18500,12.41,12.27
2021-04-08,12.309999999999999,12.350000000000001,299000,12.350000000000001,12.309999999999999
2021-04-09,12.27,12.5,317500,12.5,12.27
2021-04-12,12.25,12.27,232000,12.27,12.25
2021-04-13,12.25,12.25,99000,12.25,12.25
2021-04-14,12.25,12.29,97500,12.29,12.25
2021-04-15,12.440000000000001,12.29,256500,12.440000000000001,12.29
2021-04-16,10.3,10.649999999999999,117000,10.649999999999999,10.3
2021-04-19,12.75,13.239999999999998,72000,13.239999999999998,12.75
2021-04-20,12.649999999999999,12.75,30500,12.75,12.649999999999999
2021-04-21,12.39,12.579999999999998,43500,12.579999999999998,12.39
2021-04-22,12.350000000000001,12.16,23500,12.350000000000001,12.16
2021-04-23,12.079999999999998,12.350000000000001,85000,12.350000000000001,12.079999999999998
2021-04-26,12.149999999999999,11.75,34000,12.149999999999999,11.75
2021-04-27,11.850000000000001,12.600000000000001,100500,12.600000000000001,11.850000000000001
2021-04-28,11.79,12.0,42000,12.0,11.79
2021-04-29,11.850000000000001,11.850000000000001,39500,11.850000000000001,11.850000000000001
2021-04-30,11.780000000000001,11.8,119500,11.8,11.780000000000001
2021-05-03,11.870000000000001,11.780000000000001,25500,11.870000000000001,11.780000000000001
2021-05-04,11.82,11.95,31000,11.95,11.82
2021-05-05,11.760000000000002,12.34,122000,12.34,11.760000000000002
2021-05-06,11.79,11.760000000000002,59000,11.79,11.760000000000002
2021-05-17,12.149999999999999,12.25,162000,12.25,12.149999999999999
2021-05-18,12.32,12.149999999999999,181000,12.32,12.149999999999999
2021-05-19,12.780000000000001,12.5,131000,12.780000000000001,12.5
2021-05-20,12.989999999999998,12.809999999999999,55000,12.989999999999998,12.809999999999999
2021-05-21,13.2,13.149999999999999,71500,13.2,13.149999999999999
2021-05-24,13.760000000000002,13.45,164000,13.760000000000002,13.45
2021-05-25,14.0,13.850000000000001,68500,14.0,13.850000000000001
2021-05-26,14.25,14.25,38500,14.25,14.25
2021-05-27,14.5,14.25,98000,14.5,14.25
2021-05-28,15.0,14.5,174500,15.0,14.5
2021-05-31,15.190000000000001,14.36,1075000,15.190000000000001,14.36
2021-06-01,14.75,14.36,98500,14.75,14.36
2021-06-02,14.940000000000001,14.75,27500,14.940000000000001,14.75
2021-06-03,14.8,14.940000000000001,10000,14.940000000000001,14.8
2021-06-04,14.5,14.73,34000,14.73,14.5
2021-06-07,14.579999999999998,14.75,350000,14.75,14.579999999999998
2021-06-08,14.219999999999999,14.48,63500,14.48,14.219999999999999
2021-06-09,14.329999999999998,14.2,19500,14.329999999999998,14.2
2021-06-10,14.649999999999999,14.55,76500,14.649999999999999,14.55
2021-06-11,14.91,14.649999999999999,77000,14.91,14.649999999999999
2021-06-14,15.0,15.190000000000001,139000,15.190000000000001,15.0
2021-06-15,14.55,14.05,18000,14.55,14.05
2021-06-16,14.73,14.54,7000,14.73,14.54
2021-06-17,14.39,14.73,37500,14.73,14.39
2021-06-18,14.260000000000002,14.260000000000002,8000,14.260000000000002,14.260000000000002
2021-06-21,14.66,14.27,65000,14.66,14.27
2021-06-22,14.5,14.309999999999999,10000,14.5,14.309999999999999
2021-06-23,14.52,14.45,42000,14.52,14.45
2021-06-24,14.55,14.690000000000001,128000,14.690000000000001,14.55
2021-06-25,14.399999999999999,14.739999999999998,27500,14.739999999999998,14.399999999999999
2021-06-28,14.39,14.350000000000001,20000,14.39,14.350000000000001
2021-06-29,14.5,14.350000000000001,19000,14.5,14.350000000000001
2021-06-30,14.5,14.5,24500,14.5,14.5
2021-07-01,14.5,14.649999999999999,188500,14.649999999999999,14.5
2021-07-02,14.489999999999998,14.5,82000,14.5,14.489999999999998
2021-07-05,14.399999999999999,14.489999999999998,131000,14.489999999999998,14.399999999999999
2021-07-06,14.34,14.3,130500,14.34,14.3
2021-07-07,14.18,14.25,94000,14.25,14.18
2021-07-08,14.5,14.48,26000,14.5,14.48
2021-07-09,14.350000000000001,14.45,34000,14.45,14.350000000000001
2021-07-12,14.16,14.2,59500,14.2,14.16
2021-07-13,13.879999999999999,14.120000000000001,18000,14.120000000000001,13.879999999999999
2021-07-14,14.0,14.350000000000001,19000,14.350000000000001,14.0
2021-07-15,14.0,13.95,6500,14.0,13.95
2021-07-16,14.0,14.149999999999999,5500,14.149999999999999,14.0
2021-07-19,14.04,14.440000000000001,7500,14.440000000000001,14.04
2021-07-23,14.18,14.149999999999999,5500,14.18,14.149999999999999
2021-07-26,13.98,13.96,15000,13.98,13.96
2021-07-27,13.989999999999998,14.219999999999999,8000,14.219999999999999,13.989999999999998
2021-07-28,13.989999999999998,14.23,16000,14.23,13.989999999999998
2021-07-29,14.149999999999999,13.86,27000,14.149999999999999,13.86
2021-07-30,13.95,14.440000000000001,5000,14.440000000000001,13.95
2021-08-02,13.649999999999999,13.89,102500,13.89,13.649999999999999
2021-08-03,13.95,14.149999999999999,42500,14.149999999999999,13.95
2021-08-04,14.25,13.95,64000,14.25,13.95
2021-08-05,14.05,14.54,2068000,14.54,14.05
2021-08-06,14.149999999999999,14.25,4000,14.25,14.149999999999999
