date,close,open,volume,high,low
2023-09-25,9.84,10.04,480500,10.04,9.84
2023-09-26,9.91,9.76,704500,9.91,9.76
2023-09-27,10.32,9.85,2737000,10.32,9.85
2023-09-28,10.31,10.35,2165000,10.35,10.31
2023-10-02,10.26,10.4,566500,10.4,10.26
2023-10-03,10.22,10.25,1335000,10.25,10.22
2023-10-04,10.21,10.22,826500,10.22,10.21
2023-10-05,10.99,10.26,9535000,10.99,10.26
2023-10-06,10.9,11.17,3159500,11.17,10.9
2023-10-09,10.99,10.66,1542500,10.99,10.66
2023-10-10,11.12,11.0,3892000,11.12,11.0
2023-10-11,11.25,11.2,1429000,11.25,11.2
2023-10-12,11.03,11.28,1446000,11.28,11.03
2023-10-13,11.46,11.05,4095500,11.46,11.05
2023-10-16,11.58,11.41,3173000,11.58,11.41
2023-10-17,11.71,11.57,8278000,11.71,11.57
2023-10-18,11.47,11.8,2885000,11.8,11.47
2023-10-19,11.97,11.58,7675500,11.97,11.58
2023-10-20,11.77,11.8,3279000,11.8,11.77
2023-10-23,11.77,11.89,1691000,11.89,11.77
2023-10-24,11.66,11.75,1333500,11.75,11.66
2023-10-25,12.59,11.83,21267000,12.59,11.83
2023-10-26,12.46,12.66,5323000,12.66,12.46
2023-10-27,12.65,12.4,10327000,12.65,12.4
2023-10-30,12.79,12.89,4242000,12.89,12.79
2023-10-31,12.92,12.8,8857000,12.92,12.8
2023-11-01,12.84,12.95,6142000,12.95,12.84
2023-11-02,13.23,12.85,8773500,13.23,12.85
2023-11-03,13.15,13.34,7325500,13.34,13.15
2023-11-06,13.57,13.2,8051000,13.57,13.2
2023-11-07,13.94,13.7,18585000,13.94,13.7
2023-11-08,14.44,14.1,10943000,14.44,14.1
2023-11-10,15.16,14.6,21100000,15.16,14.6
2023-11-13,15.46,15.329999999999998,8862000,15.46,15.329999999999998
2023-11-14,15.45,15.5,8555000,15.5,15.45
2023-11-15,15.32,15.5,3749500,15.5,15.32
2023-11-16,15.030000000000001,15.489999999999998,9231500,15.489999999999998,15.030000000000001
2023-11-17,15.18,15.04,4748000,15.18,15.04
2023-11-20,14.99,15.079999999999998,2396000,15.079999999999998,14.99
2023-11-21,15.170000000000002,14.86,6649000,15.170000000000002,14.86
2023-11-22,15.719999999999999,15.239999999999998,7117000,15.719999999999999,15.239999999999998
2023-11-23,16.1,15.989999999999998,11990000,16.1,15.989999999999998
2023-11-24,16.05,16.25,6293000,16.25,16.05
2023-11-27,16.3,16.05,5736500,16.3,16.05
2023-11-28,16.22,16.4,7572000,16.4,16.22
2023-11-29,15.98,16.3,8509500,16.3,15.98
2023-11-30,16.54,16.0,18711500,16.54,16.0
2023-12-01,17.86,16.75,27255000,17.86,16.75
2023-12-04,19.07,19.25,41984500,19.25,19.07
2023-12-05,19.51,19.15,23813500,19.51,19.15
2023-12-06,19.49,19.5,20735000,19.5,19.49
2023-12-07,19.26,19.41,13410500,19.41,19.26
2023-12-08,19.25,19.39,19038000,19.39,19.25
2023-12-11,18.84,19.2,8574500,19.2,18.84
2023-12-12,18.76,18.95,21975000,18.95,18.76
2023-12-13,19.07,18.84,36196500,19.07,18.84
2023-12-14,18.86,19.05,6115000,19.05,18.86
2023-12-15,19.03,18.99,9792500,19.03,18.99
2023-12-18,18.87,19.25,10733000,19.25,18.87
2023-12-19,17.48,18.97,13346000,18.97,17.48
2023-12-20,17.55,17.25,15694000,17.55,17.25
2023-12-21,17.64,17.61,5003500,17.64,17.61
2023-12-22,17.11,17.8,2917500,17.8,17.11
2023-12-26,15.82,17.25,10135500,17.25,15.82
2023-12-27,16.98,15.850000000000001,8017000,16.98,15.850000000000001
2023-12-28,17.6,17.02,11945500,17.6,17.02
2023-12-29,17.92,17.65,5959000,17.92,17.65
2024-01-01,18.96,17.95,9793000,18.96,17.95
2024-01-02,19.3,19.27,30470000,19.3,19.27
2024-01-03,19.13,19.55,12248500,19.55,19.13
2024-01-04,19.17,19.33,5233500,19.33,19.17
2024-01-05,18.89,19.06,11359000,19.06,18.89
2024-01-08,18.35,18.95,2659000,18.95,18.35
2024-01-09,18.3,18.5,2430000,18.5,18.3
2024-01-10,18.37,18.35,2759000,18.37,18.35
2024-01-11,18.6,18.4,7111000,18.6,18.4
2024-01-12,18.64,18.99,7579500,18.99,18.64
2024-01-15,18.14,18.95,4504000,18.95,18.14
2024-01-16,17.96,18.01,6092500,18.01,17.96
2024-01-17,17.66,17.97,5784500,17.97,17.66
2024-01-18,17.71,17.6,4089000,17.71,17.6
2024-01-19,17.75,17.9,3892500,17.9,17.75
2024-01-22,17.44,17.85,745500,17.85,17.44
2024-01-23,17.82,17.6,5421000,17.82,17.6
2024-01-24,17.97,17.95,8621000,17.97,17.95
2024-01-25,17.82,18.29,6972500,18.29,17.82
2024-01-26,17.5,18.0,2356500,18.0,17.5
2024-01-29,17.19,17.5,3292500,17.5,17.19
2024-01-30,16.87,17.1,8022000,17.1,16.87
2024-01-31,16.87,17.38,2152000,17.38,16.87
2024-02-01,16.88,17.12,1333500,17.12,16.88
2024-02-02,17.05,17.0,1147500,17.05,17.0
2024-02-06,17.05,17.0,7078000,17.05,17.0
2024-02-07,17.59,17.19,7703000,17.59,17.19
2024-02-09,16.96,17.28,8548500,17.28,16.96
2024-02-12,16.28,16.82,3917500,16.82,16.28
2024-02-13,16.8,16.25,3567500,16.8,16.25
2024-02-14,17.27,17.2,3523000,17.27,17.2
2024-02-15,16.64,17.48,1239500,17.48,16.64
2024-02-16,15.98,16.8,3867500,16.8,15.98
2024-02-19,16.07,15.559999999999999,2527000,16.07,15.559999999999999
2024-02-20,16.0,16.1,1084500,16.1,16.0
2024-02-21,16.72,16.49,2834500,16.72,16.49
2024-02-22,16.59,16.94,984000,16.94,16.59
2024-02-23,16.82,16.5,1096000,16.82,16.5
2024-02-26,16.84,17.01,3498000,17.01,16.84
2024-02-27,16.73,16.85,3639000,16.85,16.73
