date,close,open,volume,high,low
2021-02-26,70.64,71.9,149000,71.9,70.64
2021-03-01,70.19,71.9,81500,71.9,70.19
2021-03-02,71.0,69.26,147000,71.0,69.26
2021-03-03,71.72,71.99,76000,71.99,71.72
2021-03-04,70.44,70.0,173500,70.44,70.0
2021-03-05,70.67,70.05,113500,70.67,70.05
2021-03-08,72.0,71.3,170500,72.0,71.3
2021-03-09,68.87,70.27,184500,70.27,68.87
2021-03-10,67.95,69.4,124000,69.4,67.95
2021-03-11,67.34,68.01,324000,68.01,67.34
2021-03-12,68.77,68.05,49500,68.77,68.05
2021-03-15,71.91,70.0,150000,71.91,70.0
2021-03-16,75.88,71.07,1435500,75.88,71.07
2021-03-17,76.27,79.0,113500,79.0,76.27
2021-03-18,74.29,76.82,111500,76.82,74.29
2021-03-19,73.87,74.0,9500,74.0,73.87
2021-03-22,73.69,73.87,19000,73.87,73.69
2021-03-24,72.25,73.31,89500,73.31,72.25
2021-03-25,72.18,72.01,51500,72.18,72.01
2021-03-26,72.0,71.9,15000,72.0,71.9
2021-03-29,68.86,72.1,117500,72.1,68.86
2021-03-30,69.59,68.02,66500,69.59,68.02
2021-03-31,68.95,70.0,92500,70.0,68.95
2021-04-01,68.59,69.15,397000,69.15,68.59
2021-04-02,68.93,69.0,108500,69.0,68.93
2021-04-05,66.4,69.0,111500,69.0,66.4
2021-04-06,68.22,66.99,102000,68.22,66.99
2021-04-07,68.45,68.01,51500,68.45,68.01
2021-04-08,69.48,67.52,54000,69.48,67.52
2021-04-09,71.17,69.5,379000,71.17,69.5
2021-04-12,70.11,71.5,75500,71.5,70.11
2021-04-13,72.2,69.01,194500,72.2,69.01
2021-04-14,72.88,72.94,295000,72.94,72.88
2021-04-15,72.8,73.0,71500,73.0,72.8
2021-04-16,72.02,72.0,18500,72.02,72.0
2021-04-19,70.34,70.0,145000,70.34,70.0
2021-04-20,75.61,70.2,559500,75.61,70.2
2021-04-21,73.41,76.5,315500,76.5,73.41
2021-04-22,70.98,73.0,143000,73.0,70.98
2021-04-23,71.72,70.02,99000,71.72,70.02
2021-04-26,74.54,69.25,209500,74.54,69.25
2021-04-27,75.06,73.5,363000,75.06,73.5
2021-04-28,76.0,76.0,223000,76.0,76.0
2021-04-29,76.54,75.02,149500,76.54,75.02
2021-04-30,76.01,76.9,180000,76.9,76.01
2021-05-03,79.45,76.0,361000,79.45,76.0
2021-05-04,80.09,79.0,182500,80.09,79.0
2021-05-05,79.97,79.95,503500,79.97,79.95
2021-05-06,80.23,80.5,278000,80.5,80.23
2021-05-17,81.17,81.0,427500,81.17,81.0
2021-05-18,81.09,80.95,708000,81.09,80.95
2021-05-19,83.59,80.35,731000,83.59,80.35
2021-05-20,82.43,83.0,69000,83.0,82.43
2021-05-21,83.52,82.43,315500,83.52,82.43
2021-05-24,84.29,83.9,196500,84.29,83.9
2021-05-25,85.14,84.94,614500,85.14,84.94
2021-05-26,86.79,86.0,483000,86.79,86.0
2021-05-27,85.19,86.0,125000,86.0,85.19
2021-05-28,84.43,85.0,165000,85.0,84.43
2021-05-31,85.36,85.5,188500,85.5,85.36
2021-06-01,86.13,85.15,366500,86.13,85.15
2021-06-02,86.03,85.15,726500,86.03,85.15
