date,close,open,volume,high,low
2023-09-07,19.71,19.71,500,19.71,19.71
2023-09-08,19.71,19.71,3000,19.71,19.71
2023-09-12,19.5,19.49,10000,19.5,19.49
2023-09-14,19.5,19.5,2000,19.5,19.5
2023-09-15,20.0,20.0,500,20.0,20.0
2023-09-19,19.5,19.5,2000,19.5,19.5
2023-09-20,19.5,19.5,2000,19.5,19.5
2023-09-21,19.5,19.5,2000,19.5,19.5
2023-09-22,19.5,20.0,2000,20.0,19.5
2023-09-25,19.5,19.5,1500,19.5,19.5
2023-09-27,19.5,19.5,1000,19.5,19.5
2023-10-03,19.0,20.5,3000,20.5,19.0
2023-10-04,19.5,19.0,4500,19.5,19.0
2023-10-05,19.3,19.05,6000,19.3,19.05
2023-10-09,18.61,18.61,500,18.61,18.61
2023-10-11,18.37,18.37,2000,18.37,18.37
2023-10-12,18.25,19.3,5500,19.3,18.25
2023-10-13,18.09,18.25,4500,18.25,18.09
2023-10-16,19.1,17.5,27500,19.1,17.5
2023-10-17,18.8,20.0,7000,20.0,18.8
2023-10-20,19.98,18.85,53000,19.98,18.85
2023-10-23,20.53,21.0,12500,21.0,20.53
2023-10-24,20.5,20.5,9500,20.5,20.5
2023-10-25,20.0,20.01,16500,20.01,20.0
2023-10-27,19.0,19.12,10000,19.12,19.0
2023-10-30,19.66,19.68,1000,19.68,19.66
2023-10-31,19.97,19.93,1000,19.97,19.93
2023-11-01,20.77,19.51,2000,20.77,19.51
2023-11-02,20.8,20.21,2000,20.8,20.21
2023-11-03,20.01,20.5,4000,20.5,20.01
2023-11-06,21.51,20.0,41500,21.51,20.0
2023-11-07,22.36,22.49,82000,22.49,22.36
2023-11-08,22.97,22.9,7000,22.97,22.9
2023-11-10,23.5,23.0,23500,23.5,23.0
2023-11-13,23.72,24.03,42500,24.03,23.72
2023-11-14,23.5,23.5,1000,23.5,23.5
2023-11-15,23.06,24.99,6000,24.99,23.06
2023-11-16,23.0,23.16,3500,23.16,23.0
2023-11-17,22.5,22.51,6000,22.51,22.5
2023-11-20,22.05,22.5,3500,22.5,22.05
2023-11-21,23.17,22.0,21500,23.17,22.0
2023-11-22,23.93,23.0,16500,23.93,23.0
2023-11-23,23.9,22.5,11000,23.9,22.5
2023-11-24,24.2,24.0,15500,24.2,24.0
2023-11-27,26.02,23.05,208500,26.02,23.05
2023-11-28,26.27,26.25,172500,26.27,26.25
2023-11-29,28.17,26.85,230500,28.17,26.85
2023-11-30,29.77,29.0,359500,29.77,29.0
2023-12-01,32.0,29.5,257000,32.0,29.5
2023-12-04,34.27,32.5,226000,34.27,32.5
2023-12-05,36.84,34.0,231500,36.84,34.0
2023-12-06,39.38,38.5,356000,39.38,38.5
2023-12-07,42.33,41.99,405000,42.33,41.99
2023-12-08,42.83,40.5,162500,42.83,40.5
2023-12-11,41.86,41.85,98500,41.86,41.85
2023-12-12,44.06,41.51,283500,44.06,41.51
2023-12-13,45.69,44.1,373000,45.69,44.1
2023-12-14,49.12,45.0,244500,49.12,45.0
2023-12-15,46.33,50.0,138500,50.0,46.33
2023-12-18,42.86,43.51,294500,43.51,42.86
2023-12-19,39.65,40.26,126000,40.26,39.65
2023-12-20,37.78,37.1,77500,37.78,37.1
2023-12-21,38.31,36.51,21000,38.31,36.51
2023-12-22,38.08,38.0,71500,38.08,38.0
2023-12-26,35.4,35.25,17500,35.4,35.25
2023-12-27,35.28,33.99,159000,35.28,33.99
2023-12-28,37.5,36.0,196500,37.5,36.0
2023-12-29,40.06,38.5,74000,40.06,38.5
2024-01-01,43.06,40.0,206500,43.06,40.0
2024-01-02,44.9,45.97,592500,45.97,44.9
2024-01-03,44.69,44.5,38500,44.69,44.5
2024-01-04,45.49,44.0,36000,45.49,44.0
2024-01-05,46.64,45.45,275500,46.64,45.45
2024-01-08,45.61,44.13,11000,45.61,44.13
2024-01-09,46.26,44.61,86500,46.26,44.61
2024-01-10,49.2,46.01,328000,49.2,46.01
2024-01-11,50.24,47.5,158000,50.24,47.5
2024-01-12,50.0,50.5,118500,50.5,50.0
2024-01-15,50.5,48.76,137000,50.5,48.76
2024-01-16,50.4,50.4,500,50.4,50.4
2024-01-17,50.25,50.0,91000,50.25,50.0
2024-01-18,50.22,47.56,112000,50.22,47.56
2024-01-19,51.37,50.9,97000,51.37,50.9
2024-01-22,51.05,50.51,9500,51.05,50.51
2024-01-23,50.99,47.76,37500,50.99,47.76
2024-01-24,50.5,50.84,7000,50.84,50.5
2024-01-25,49.84,50.35,153500,50.35,49.84
2024-01-26,48.0,48.0,3000,48.0,48.0
2024-01-29,48.48,47.01,1000,48.48,47.01
2024-01-30,45.47,47.06,14000,47.06,45.47
2024-01-31,45.98,45.98,1500,45.98,45.98
2024-02-01,45.65,45.0,2000,45.65,45.0
2024-02-02,44.4,44.0,160000,44.4,44.0
2024-02-07,44.62,44.0,7500,44.62,44.0
2024-02-09,43.9,42.03,3500,43.9,42.03
2024-02-12,45.5,42.99,8000,45.5,42.99
2024-02-13,44.83,45.0,7000,45.0,44.83
2024-02-14,46.12,46.5,1500,46.5,46.12
2024-02-15,45.11,42.7,8000,45.11,42.7
2024-02-16,43.28,47.9,5000,47.9,43.28
2024-02-19,44.49,40.52,6000,44.49,40.52
2024-02-20,44.75,46.0,39000,46.0,44.75
2024-02-21,46.8,44.75,7500,46.8,44.75
2024-02-22,47.25,43.5,5500,47.25,43.5
2024-02-23,44.54,48.5,27000,48.5,44.54
2024-02-26,47.84,46.74,17500,47.84,46.74
2024-02-27,45.59,45.56,4000,45.59,45.56
2024-02-28,45.34,46.49,12000,46.49,45.34
