date,close,open,volume,high,low
2023-09-25,142.66,146.99,32300,146.99,142.66
2023-09-26,139.9,143.75,35000,143.75,139.9
2023-09-27,137.52,139.05,36100,139.05,137.52
2023-09-28,136.91,137.33,26700,137.33,136.91
2023-10-02,138.35,137.22,18700,138.35,137.22
2023-10-03,134.99,138.35,148300,138.35,134.99
2023-10-04,136.33,134.55,74500,136.33,134.55
2023-10-05,141.94,136.5,208400,141.94,136.5
2023-10-06,142.44,144.5,79200,144.5,142.44
2023-10-09,145.94,140.01,169700,145.94,140.01
2023-10-10,152.31,146.99,204000,152.31,146.99
2023-10-11,150.84,153.99,59200,153.99,150.84
2023-10-12,159.06,152.85,246900,159.06,152.85
2023-10-13,166.77,165.99,295800,166.77,165.99
2023-10-16,167.02,166.8,89400,167.02,166.8
2023-10-17,163.14,166.0,69700,166.0,163.14
2023-10-18,160.38,162.53,38100,162.53,160.38
2023-10-19,162.07,159.72,33500,162.07,159.72
2023-10-20,167.88,162.0,142600,167.88,162.0
2023-10-23,170.4,170.9,119200,170.9,170.4
2023-10-24,177.47,170.15,140300,177.47,170.15
2023-10-25,177.32,180.0,229900,180.0,177.32
2023-10-26,174.89,177.5,65400,177.5,174.89
2023-10-27,171.39,173.0,63700,173.0,171.39
2023-10-30,176.77,173.0,156600,176.77,173.0
2023-10-31,181.92,176.0,211200,181.92,176.0
2023-11-01,182.4,182.5,120300,182.5,182.4
2023-11-02,179.74,182.99,38800,182.99,179.74
2023-11-03,193.45,177.17,362800,193.45,177.17
2023-11-06,200.08,199.0,414300,200.08,199.0
2023-11-07,191.84,200.5,145100,200.5,191.84
2023-11-08,193.57,188.01,153400,193.57,188.01
2023-11-10,194.35,196.99,256500,196.99,194.35
2023-11-13,196.11,189.0,188400,196.11,189.0
2023-11-14,193.07,196.25,150600,196.25,193.07
2023-11-15,195.51,193.03,187300,195.51,193.03
2023-11-16,200.18,195.0,282600,200.18,195.0
2023-11-17,202.15,202.0,279600,202.15,202.0
2023-11-20,208.62,202.2,497400,208.62,202.2
2023-11-21,209.28,210.99,187400,210.99,209.28
2023-11-22,217.34,209.28,298400,217.34,209.28
2023-11-23,225.86,221.49,256800,225.86,221.49
2023-11-24,221.15,224.0,163900,224.0,221.15
2023-11-27,231.92,222.99,390900,231.92,222.99
2023-11-28,225.52,235.0,149900,235.0,225.52
2023-11-29,217.75,225.0,190100,225.0,217.75
2023-11-30,214.17,219.48,122000,219.48,214.17
2023-12-01,217.89,214.0,63900,217.89,214.0
2023-12-04,224.93,216.7,213800,224.93,216.7
2023-12-05,226.23,228.5,94600,228.5,226.23
2023-12-06,225.11,228.0,321300,228.0,225.11
2023-12-07,221.1,226.97,141000,226.97,221.1
2023-12-08,226.35,223.87,252800,226.35,223.87
2023-12-11,223.02,227.3,64800,227.3,223.02
2023-12-12,226.38,223.11,117900,226.38,223.11
2023-12-13,217.2,228.4,183100,228.4,217.2
2023-12-14,218.5,217.0,51800,218.5,217.0
2023-12-15,217.35,219.5,89300,219.5,217.35
2023-12-18,217.51,217.52,61700,217.52,217.51
2023-12-19,212.38,217.0,53600,217.0,212.38
2023-12-20,209.32,209.57,63200,209.57,209.32
2023-12-21,210.8,212.48,40100,212.48,210.8
2023-12-22,207.18,212.39,19200,212.39,207.18
2023-12-26,192.22,205.02,22900,205.02,192.22
2023-12-27,196.68,195.0,34100,196.68,195.0
2023-12-28,211.66,197.0,168700,211.66,197.0
2023-12-29,217.64,212.0,92700,217.64,212.0
2024-01-01,229.2,218.75,239000,229.2,218.75
2024-01-02,226.06,230.0,109800,230.0,226.06
2024-01-03,227.48,226.06,221600,227.48,226.06
2024-01-04,224.48,228.0,84800,228.0,224.48
2024-01-05,232.07,226.99,502000,232.07,226.99
2024-01-08,227.25,235.49,134600,235.49,227.25
2024-01-09,225.45,228.4,73600,228.4,225.45
2024-01-10,223.02,224.0,45900,224.0,223.02
2024-01-11,220.36,225.75,53100,225.75,220.36
2024-01-12,219.5,223.5,64400,223.5,219.5
2024-01-15,215.53,219.0,22600,219.0,215.53
2024-01-16,214.35,212.02,21100,214.35,212.02
2024-01-17,212.31,212.35,26600,212.35,212.31
2024-01-18,205.01,210.06,59100,210.06,205.01
2024-01-19,207.33,205.99,29500,207.33,205.99
2024-01-22,205.9,207.98,18900,207.98,205.9
2024-01-23,215.41,207.01,96800,215.41,207.01
2024-01-24,211.91,217.99,42700,217.99,211.91
2024-01-25,209.01,212.0,10200,212.0,209.01
2024-01-26,208.57,211.5,12500,211.5,208.57
2024-01-29,199.17,206.01,50100,206.01,199.17
2024-01-30,196.62,201.75,11400,201.75,196.62
2024-01-31,195.13,200.8,18600,200.8,195.13
2024-02-01,199.43,194.55,105300,199.43,194.55
2024-02-02,214.61,201.4,223100,214.61,201.4
2024-02-06,230.93,219.21,355400,230.93,219.21
2024-02-07,237.58,233.02,375800,237.58,233.02
