date,close,open,volume,high,low
2023-09-25,6.06,5.95,1923001,6.06,5.95
2023-09-26,6.3,6.08,10427869,6.3,6.08
2023-09-27,6.38,6.42,2664379,6.42,6.38
2023-09-28,6.44,6.43,6502449,6.44,6.43
2023-10-02,6.35,6.59,1090128,6.59,6.35
2023-10-03,6.45,6.42,4971746,6.45,6.42
2023-10-04,6.6,6.44,2822034,6.6,6.44
2023-10-05,6.58,6.67,2864858,6.67,6.58
2023-10-06,6.6,6.64,4486647,6.64,6.6
2023-10-09,6.43,6.51,2800294,6.51,6.43
2023-10-10,6.51,6.48,3894663,6.51,6.48
2023-10-11,6.62,6.55,5820433,6.62,6.55
2023-10-12,6.61,6.62,1687139,6.62,6.61
2023-10-13,6.75,6.56,6239767,6.75,6.56
2023-10-16,6.77,6.8,3284193,6.8,6.77
2023-10-17,6.74,6.84,3309952,6.84,6.74
2023-10-18,6.71,6.7,1323810,6.71,6.7
2023-10-19,6.73,6.71,1942353,6.73,6.71
2023-10-20,6.65,6.79,3283121,6.79,6.65
2023-10-23,6.73,6.79,19278577,6.79,6.73
2023-10-24,6.98,6.73,29104963,6.98,6.73
2023-10-25,7.05,7.03,8464204,7.05,7.03
2023-10-26,6.86,7.05,5812895,7.05,6.86
2023-10-27,6.7,6.87,7461013,6.87,6.7
2023-10-30,6.77,6.79,1671296,6.79,6.77
2023-10-31,6.77,6.88,2128144,6.88,6.77
2023-11-01,6.87,6.84,4445622,6.87,6.84
2023-11-02,7.06,6.88,11745740,7.06,6.88
2023-11-03,7.09,7.13,10294618,7.13,7.09
2023-11-06,7.05,7.12,4981944,7.12,7.05
2023-11-07,6.98,7.04,6544999,7.04,6.98
2023-11-08,7.05,7.0,6877884,7.05,7.0
2023-11-10,7.22,7.06,8413625,7.22,7.06
2023-11-13,7.42,7.3,13744640,7.42,7.3
2023-11-14,7.31,7.44,6622734,7.44,7.31
2023-11-15,7.64,7.35,17607053,7.64,7.35
2023-11-16,7.81,7.67,23310648,7.81,7.67
2023-11-17,8.81,7.9,46456334,8.81,7.9
2023-11-20,9.34,9.1,50193356,9.34,9.1
2023-11-21,8.77,9.4,37518492,9.4,8.77
2023-11-22,8.99,8.94,20177342,8.99,8.94
2023-11-23,8.86,9.0,11278013,9.0,8.86
2023-11-24,8.74,8.9,14218078,8.9,8.74
2023-11-27,8.8,8.71,10040545,8.8,8.71
2023-11-28,8.68,8.85,9216630,8.85,8.68
2023-11-29,8.51,8.76,9934549,8.76,8.51
2023-11-30,9.05,8.61,34548158,9.05,8.61
2023-12-01,8.96,9.15,8063466,9.15,8.96
2023-12-04,9.14,9.09,20839226,9.14,9.09
2023-12-05,9.5,9.35,37662460,9.5,9.35
2023-12-06,9.59,9.59,16686547,9.59,9.59
2023-12-07,9.61,9.64,18545185,9.64,9.61
