date,close,open,volume,high,low
2023-08-08,1.31,1.48,5000,1.48,1.31
2023-08-09,1.37,1.37,16000,1.37,1.37
2023-08-10,1.35,1.33,8000,1.35,1.33
2023-08-11,1.36,1.5,7500,1.5,1.36
2023-08-15,1.69,1.48,63000,1.69,1.48
2023-08-16,1.69,1.69,3000,1.69,1.69
2023-08-17,1.6,1.8,3000,1.8,1.6
2023-08-18,1.45,1.45,2500,1.45,1.45
2023-08-21,1.41,1.66,4500,1.66,1.41
2023-08-22,1.41,0.0,45000,1.41,0.0
2023-08-23,1.48,1.34,3000,1.48,1.34
2023-08-25,1.5,1.5,1000,1.5,1.5
2023-08-29,1.17,1.32,9500,1.32,1.17
2023-08-31,1.38,1.35,2500,1.38,1.35
2023-09-04,1.21,1.2,3500,1.21,1.2
2023-09-06,1.45,1.45,1000,1.45,1.45
2023-09-07,1.29,1.33,10000,1.33,1.29
2023-09-11,1.29,0.0,500,1.29,0.0
2023-09-12,1.2,1.25,17000,1.25,1.2
2023-09-13,1.3,1.3,1500,1.3,1.3
2023-09-14,1.3,1.22,1000,1.3,1.22
2023-09-15,1.35,1.35,500,1.35,1.35
2023-09-19,1.21,1.4,51000,1.4,1.21
2023-09-22,1.4,1.4,2500,1.4,1.4
2023-09-25,1.4,0.0,500,1.4,0.0
2023-09-26,1.3,1.23,7000,1.3,1.23
2023-10-02,1.79,1.5,126500,1.79,1.5
2023-10-03,1.4,1.6,15000,1.6,1.4
2023-10-04,1.59,1.59,1000,1.59,1.59
2023-10-05,1.35,1.3,6000,1.35,1.3
2023-10-06,1.5,1.48,15500,1.5,1.48
2023-10-11,1.4,1.54,9500,1.54,1.4
2023-10-13,1.5,1.3,51000,1.5,1.3
2023-10-16,1.5,1.38,9000,1.5,1.38
2023-10-17,1.37,1.52,2000,1.52,1.37
2023-10-18,1.33,1.35,8500,1.35,1.33
2023-10-19,1.47,1.35,19500,1.47,1.35
2023-10-20,1.4,1.36,3000,1.4,1.36
2023-10-23,1.36,1.36,1000,1.36,1.36
2023-10-25,1.53,1.49,51500,1.53,1.49
2023-10-27,1.55,1.55,1500,1.55,1.55
2023-10-31,1.4,1.4,7500,1.4,1.4
2023-11-02,1.36,1.37,3000,1.37,1.36
2023-11-03,1.36,0.0,500,1.36,0.0
2023-11-06,1.79,1.6,13500,1.79,1.6
2023-11-07,1.5,1.4,12500,1.5,1.4
2023-11-08,1.66,1.4,12000,1.66,1.4
2023-11-10,1.6,1.41,5500,1.6,1.41
2023-11-13,1.51,1.47,3500,1.51,1.47
2023-11-14,1.48,1.51,2500,1.51,1.48
2023-11-15,1.5,1.45,7000,1.5,1.45
2023-11-16,1.6,1.55,63000,1.6,1.55
2023-11-20,1.55,1.6,28000,1.6,1.55
2023-11-21,1.56,1.55,2000,1.56,1.55
2023-11-22,1.68,1.68,4500,1.68,1.68
2023-11-23,1.68,1.68,1000,1.68,1.68
2023-11-24,1.6,1.69,2500,1.69,1.6
2023-11-27,1.69,1.6,6500,1.69,1.6
2023-11-28,1.6,1.6,1500,1.6,1.6
2023-12-05,1.8,1.6,3500,1.8,1.6
2023-12-06,1.77,1.88,89000,1.88,1.77
2023-12-07,1.71,1.68,12500,1.71,1.68
2023-12-08,1.98,1.89,2500,1.98,1.89
2023-12-11,1.9,1.98,10500,1.98,1.9
2023-12-12,1.9,1.89,10000,1.9,1.89
2023-12-13,1.75,1.79,76000,1.79,1.75
2023-12-14,1.65,1.7,54000,1.7,1.65
2023-12-15,1.97,1.83,329500,1.97,1.83
2023-12-18,2.52,2.25,1395000,2.52,2.25
2023-12-19,2.16,2.55,159000,2.55,2.16
2023-12-20,2.24,2.2,83500,2.24,2.2
2023-12-21,2.27,2.29,10000,2.29,2.27
2023-12-22,2.16,2.03,33000,2.16,2.03
2023-12-26,1.93,2.01,31500,2.01,1.93
2023-12-27,2.09,1.99,22500,2.09,1.99
2023-12-28,1.9,1.9,41000,1.9,1.9
2024-01-01,1.99,2.0,49500,2.0,1.99
2024-01-02,2.0,1.91,9000,2.0,1.91
2024-01-03,2.04,2.0,6500,2.04,2.0
2024-01-04,1.99,2.05,42000,2.05,1.99
2024-01-05,2.04,1.96,8000,2.04,1.96
2024-01-08,1.94,1.81,255500,1.94,1.81
2024-01-09,2.0,2.1,60500,2.1,2.0
2024-01-10,2.0,2.01,1000,2.01,2.0
2024-01-11,2.04,1.81,26000,2.04,1.81
2024-01-12,2.04,2.05,23000,2.05,2.04
2024-01-15,2.0,1.9,4500,2.0,1.9
2024-01-16,2.0,2.0,1000,2.0,2.0
2024-01-17,1.9,1.83,76500,1.9,1.83
2024-01-22,1.97,1.62,21000,1.97,1.62
2024-01-23,1.85,1.81,1000,1.85,1.81
2024-01-24,1.98,1.8,5500,1.98,1.8
2024-01-25,1.95,1.8,2000,1.95,1.8
2024-01-31,1.8,1.8,500,1.8,1.8
2024-02-01,1.8,1.8,2500,1.8,1.8
2024-02-06,1.85,1.7,5000,1.85,1.7
2024-02-07,1.85,1.85,500,1.85,1.85
2024-02-09,1.84,1.7,11500,1.84,1.7
2024-02-12,1.78,1.6,11500,1.78,1.6
2024-02-13,1.77,1.78,1500,1.78,1.77
2024-02-14,1.77,1.77,13000,1.77,1.77
2024-02-15,1.94,1.98,8000,1.98,1.94
2024-02-16,1.7,1.94,11000,1.94,1.7
2024-02-19,1.9,1.84,11500,1.9,1.84
2024-02-20,1.97,1.8,29500,1.97,1.8
2024-02-21,1.83,2.17,8500,2.17,1.83
2024-02-22,1.74,1.83,37500,1.83,1.74
2024-02-23,1.8,1.8,136000,1.8,1.8
2024-02-26,1.7,1.85,8000,1.85,1.7
2024-02-27,1.76,1.7,39000,1.76,1.7
2024-02-28,1.7,1.8,5000,1.8,1.7
2024-02-29,1.8,1.7,14500,1.8,1.7
2024-03-01,1.8,1.95,65500,1.95,1.8
2024-03-04,1.74,1.9,12000,1.9,1.74
2024-03-05,1.71,1.75,32000,1.75,1.71
2024-03-06,1.74,1.75,6000,1.75,1.74
2024-03-07,1.75,1.8,28500,1.8,1.75
2024-03-08,1.7,1.74,5500,1.74,1.7
2024-03-11,1.75,1.72,16500,1.75,1.72
2024-03-13,1.6,1.63,2500,1.63,1.6
2024-03-14,1.7,1.52,1500,1.7,1.52
2024-03-15,1.61,1.6,12500,1.61,1.6
2024-03-18,1.73,1.69,2000,1.73,1.69
2024-03-19,1.65,1.68,1500,1.68,1.65
2024-03-20,1.67,1.67,500,1.67,1.67
2024-03-21,1.6,1.6,7000,1.6,1.6
2024-03-22,1.7,1.61,3500,1.7,1.61
2024-03-25,1.74,1.8,2000,1.8,1.74
2024-03-26,1.89,1.66,20500,1.89,1.66
2024-03-27,1.75,1.7,1500,1.75,1.7
2024-03-28,1.79,1.75,9500,1.79,1.75
2024-03-29,1.75,1.75,500,1.75,1.75
2024-04-01,1.7,1.7,20500,1.7,1.7
2024-04-02,1.7,1.7,6000,1.7,1.7
2024-04-03,1.7,1.75,1500,1.75,1.7
2024-04-04,1.68,1.86,14500,1.86,1.68
2024-04-08,1.72,1.66,3000,1.72,1.66
2024-04-09,1.7,1.75,27500,1.75,1.7
2024-04-15,1.72,1.7,4000,1.72,1.7
2024-04-16,1.71,1.81,2000,1.81,1.71
2024-04-17,1.78,1.9,14000,1.9,1.78
2024-04-22,1.67,1.67,8500,1.67,1.67
2024-04-23,1.76,1.79,1500,1.79,1.76
2024-04-24,1.68,1.84,12500,1.84,1.68
2024-04-25,1.75,1.86,13000,1.86,1.75
2024-04-26,1.6,1.66,191500,1.66,1.6
2024-04-29,1.69,1.62,3000,1.69,1.62
2024-04-30,1.63,1.56,23500,1.63,1.56
2024-05-02,1.6,1.63,110000,1.63,1.6
2024-05-03,1.59,1.6,18000,1.6,1.59
2024-05-06,1.6,1.59,12500,1.6,1.59
2024-05-07,1.65,1.6,61000,1.65,1.6
2024-05-08,1.62,1.63,13000,1.63,1.62
2024-05-09,1.62,1.76,17000,1.76,1.62
2024-05-10,1.73,1.62,10500,1.73,1.62
2024-05-13,1.64,1.69,52500,1.69,1.64
2024-05-14,1.68,1.51,19000,1.68,1.51
2024-05-15,1.56,1.56,7000,1.56,1.56
2024-05-16,1.43,1.69,293500,1.69,1.43
2024-05-17,1.41,1.5,52500,1.5,1.41
2024-05-20,1.5,1.42,28500,1.5,1.42
2024-05-21,1.38,1.5,392500,1.5,1.38
2024-05-22,1.43,1.46,30000,1.46,1.43
2024-05-23,1.42,1.48,54000,1.48,1.42
2024-05-24,1.46,1.47,15000,1.47,1.46
2024-05-27,1.47,1.45,16832,1.47,1.45
2024-05-29,1.45,1.48,13002,1.48,1.45
2024-05-30,1.47,1.69,15125,1.69,1.47
