date,close,open,volume,high,low
2023-08-10,3.46,3.53,22500,3.53,3.46
2023-08-11,3.5,3.5,500,3.5,3.5
2023-08-15,3.5,3.53,1500,3.53,3.5
2023-08-16,3.5,3.3,7500,3.5,3.3
2023-08-18,3.5,3.4,9500,3.5,3.4
2023-08-21,3.5,3.69,17000,3.69,3.5
2023-08-22,3.55,3.5,12000,3.55,3.5
2023-08-23,3.65,3.69,1500,3.69,3.65
2023-08-24,3.65,3.65,3000,3.65,3.65
2023-08-25,3.7,3.7,500,3.7,3.7
2023-08-28,3.9,3.85,5000,3.9,3.85
2023-08-29,3.61,3.7,5500,3.7,3.61
2023-08-30,3.73,3.6,16000,3.73,3.6
2023-08-31,3.5,3.69,13500,3.69,3.5
2023-09-01,3.53,3.5,42500,3.53,3.5
2023-09-04,3.7,3.7,10500,3.7,3.7
2023-09-08,3.8,3.8,500,3.8,3.8
2023-09-14,3.81,4.3,4000,4.3,3.81
2023-09-15,3.61,3.61,1000,3.61,3.61
2023-09-18,3.5,3.5,500,3.5,3.5
2023-09-19,3.89,3.7,13000,3.89,3.7
2023-09-20,3.89,3.89,1000,3.89,3.89
2023-09-28,3.65,3.5,2500,3.65,3.5
2023-10-06,3.7,3.7,5000,3.7,3.7
2023-10-10,4.16,3.7,11000,4.16,3.7
2023-10-11,3.7,3.85,10000,3.85,3.7
2023-10-19,3.5,3.5,5000,3.5,3.5
2023-10-20,3.6,3.42,5000,3.6,3.42
2023-10-23,3.75,3.75,500,3.75,3.75
2023-10-24,3.65,3.7,1000,3.7,3.65
2023-10-26,3.53,3.53,500,3.53,3.53
2023-10-27,3.66,3.7,150500,3.7,3.66
2023-10-30,3.74,3.74,500,3.74,3.74
2023-10-31,3.88,3.88,41000,3.88,3.88
2023-11-02,3.88,3.88,500,3.88,3.88
2023-11-07,3.7,3.61,2000,3.7,3.61
2023-11-08,3.65,3.65,1500,3.65,3.65
2023-11-10,3.7,3.6,48500,3.7,3.6
2023-11-13,4.0,3.7,5000,4.0,3.7
2023-11-14,3.6,3.6,500,3.6,3.6
2023-11-15,3.6,3.6,2000,3.6,3.6
2023-11-16,3.65,3.5,7000,3.65,3.5
2023-11-17,3.65,3.65,1000,3.65,3.65
2023-11-20,3.55,3.55,500,3.55,3.55
2023-11-21,3.6,3.55,17000,3.6,3.55
2023-11-22,3.98,3.75,59000,3.98,3.75
2023-11-23,3.71,3.71,1000,3.71,3.71
2023-11-24,3.55,3.5,16000,3.55,3.5
2023-11-27,3.51,3.51,2000,3.51,3.51
2023-11-30,3.75,3.51,74000,3.75,3.51
2023-12-01,3.74,3.75,124500,3.75,3.74
2023-12-04,3.85,3.9,15000,3.9,3.85
2023-12-05,3.88,3.61,16500,3.88,3.61
2023-12-06,4.07,3.86,250500,4.07,3.86
2023-12-07,4.09,4.38,206000,4.38,4.09
2023-12-08,4.48,4.25,300000,4.48,4.25
2023-12-11,4.26,4.55,80500,4.55,4.26
2023-12-12,5.27,4.5,437500,5.27,4.5
2023-12-13,6.27,5.78,800000,6.27,5.78
2023-12-14,7.27,6.95,1129500,7.27,6.95
2023-12-15,8.27,8.27,297000,8.27,8.27
2023-12-18,8.82,9.27,1765500,9.27,8.82
2023-12-19,7.82,8.59,641500,8.59,7.82
2023-12-20,6.82,7.8,502000,7.8,6.82
2023-12-21,6.17,6.52,663000,6.52,6.17
2023-12-22,6.01,6.4,99000,6.4,6.01
2023-12-26,5.52,5.82,127000,5.82,5.52
2023-12-27,5.66,5.8,77000,5.8,5.66
2023-12-28,5.98,5.61,269000,5.98,5.61
2023-12-29,5.81,5.9,18500,5.9,5.81
2024-01-01,5.87,5.9,38000,5.9,5.87
2024-01-02,5.7,5.75,70000,5.75,5.7
2024-01-03,5.75,5.61,16500,5.75,5.61
2024-01-04,5.75,5.88,22000,5.88,5.75
2024-01-05,5.64,5.6,64500,5.64,5.6
2024-01-08,5.4,5.66,148500,5.66,5.4
2024-01-09,5.13,5.2,228000,5.2,5.13
2024-01-10,5.04,5.06,234500,5.06,5.04
2024-01-11,5.58,5.01,219000,5.58,5.01
2024-01-12,5.21,5.77,83000,5.77,5.21
2024-01-15,5.15,5.4,23500,5.4,5.15
2024-01-16,5.11,5.11,25000,5.11,5.11
2024-01-17,6.11,5.4,1082500,6.11,5.4
2024-01-18,7.11,6.7,523500,7.11,6.7
2024-01-19,6.61,8.11,1566500,8.11,6.61
2024-01-22,6.35,6.8,101000,6.8,6.35
2024-01-23,6.32,6.5,112500,6.5,6.32
2024-01-24,6.12,6.35,69000,6.35,6.12
2024-01-25,5.99,6.06,579000,6.06,5.99
2024-01-26,6.99,6.0,846000,6.99,6.0
2024-01-29,7.99,7.28,1735500,7.99,7.28
2024-01-30,6.99,7.99,1228500,7.99,6.99
2024-01-31,6.63,7.15,151500,7.15,6.63
2024-02-01,6.7,6.8,127500,6.8,6.7
2024-02-02,6.75,6.95,149500,6.95,6.75
2024-02-06,6.8,6.61,29500,6.8,6.61
2024-02-07,7.25,7.05,408500,7.25,7.05
2024-02-09,6.87,7.37,175500,7.37,6.87
2024-02-12,6.57,6.61,316000,6.61,6.57
2024-02-13,6.67,6.51,201000,6.67,6.51
2024-02-14,6.5,6.89,80000,6.89,6.5
2024-02-15,6.13,6.45,163500,6.45,6.13
2024-02-16,6.04,6.2,52000,6.2,6.04
2024-02-19,6.14,6.2,36500,6.2,6.14
2024-02-20,6.11,6.44,56000,6.44,6.11
2024-02-21,6.18,6.11,78000,6.18,6.11
2024-02-22,6.11,6.23,76000,6.23,6.11
2024-02-23,6.09,6.2,70000,6.2,6.09
2024-02-26,6.11,6.12,69500,6.12,6.11
2024-02-27,5.92,6.11,68500,6.11,5.92
2024-02-28,5.92,6.0,93500,6.0,5.92
2024-02-29,6.25,5.9,517500,6.25,5.9
2024-03-01,6.42,6.1,440500,6.42,6.1
2024-03-04,6.61,6.53,529500,6.61,6.53
2024-03-05,6.2,6.57,310500,6.57,6.2
2024-03-06,5.98,6.25,172000,6.25,5.98
2024-03-07,6.0,5.98,29500,6.0,5.98
2024-03-08,5.94,6.01,76000,6.01,5.94
2024-03-11,5.92,5.95,84500,5.95,5.92
2024-03-12,5.61,5.85,62000,5.85,5.61
2024-03-13,5.67,5.79,13000,5.79,5.67
2024-03-14,5.69,5.95,10000,5.95,5.69
2024-03-15,5.64,5.89,89000,5.89,5.64
2024-03-18,5.55,5.6,13500,5.6,5.55
