date,close,open,volume,high,low
2021-02-25,113.46,113.87,510500,113.87,113.46
2021-02-26,108.13,113.0,828000,113.0,108.13
2021-03-01,106.27,108.13,523500,108.13,106.27
2021-03-02,113.98,107.5,1254500,113.98,107.5
2021-03-03,115.46,115.1,745000,115.46,115.1
2021-03-04,110.52,110.75,891500,110.75,110.52
2021-03-05,110.69,112.2,426000,112.2,110.69
2021-03-08,108.83,114.0,465000,114.0,108.83
2021-03-09,101.62,107.8,724000,107.8,101.62
2021-03-10,95.69,102.0,939500,102.0,95.69
2021-03-11,88.55,95.0,873000,95.0,88.55
2021-03-12,93.8,88.0,737000,93.8,88.0
2021-03-15,100.83,97.45,740000,100.83,97.45
2021-03-16,100.87,102.78,587500,102.78,100.87
2021-03-17,108.43,104.0,1177000,108.43,104.0
2021-03-18,102.8,108.5,937000,108.5,102.8
2021-03-19,104.24,101.05,662500,104.24,101.05
2021-03-22,103.41,102.0,674000,103.41,102.0
2021-03-24,103.64,104.7,315000,104.7,103.64
2021-03-25,103.85,104.5,939000,104.5,103.85
2021-03-26,103.19,103.95,507500,103.95,103.19
2021-03-29,95.72,102.55,764500,102.55,95.72
2021-03-30,97.98,93.66,689500,97.98,93.66
2021-03-31,101.03,100.0,1094500,101.03,100.0
2021-04-01,96.29,102.49,547000,102.49,96.29
2021-04-02,95.85,96.0,289000,96.0,95.85
2021-04-05,89.89,95.5,539500,95.5,89.89
2021-04-06,95.2,91.79,537000,95.2,91.79
2021-04-07,92.55,96.27,447000,96.27,92.55
2021-04-08,95.57,92.5,484500,95.57,92.5
2021-04-09,99.88,96.95,1173000,99.88,96.95
2021-04-12,97.35,100.1,374000,100.1,97.35
2021-04-13,104.45,97.3,1848500,104.45,97.3
2021-04-14,105.25,105.0,1518000,105.25,105.0
2021-04-15,101.88,104.5,419000,104.5,101.88
2021-04-16,102.26,102.22,201000,102.26,102.22
2021-04-19,98.88,100.0,522500,100.0,98.88
2021-04-20,103.58,100.99,760500,103.58,100.99
2021-04-21,99.43,103.3,398500,103.3,99.43
2021-04-22,96.34,99.0,291500,99.0,96.34
2021-04-23,96.65,95.19,278500,96.65,95.19
2021-04-26,96.44,95.07,213500,96.44,95.07
2021-04-27,99.23,97.49,713000,99.23,97.49
2021-04-28,100.44,98.99,626000,100.44,98.99
2021-04-29,97.81,100.44,180000,100.44,97.81
2021-04-30,93.0,98.88,355500,98.88,93.0
