date,close,open,volume,high,low
2023-07-11,5.0,5.0,3000,5.0,5.0
2023-07-12,4.63,4.72,7000,4.72,4.63
2023-07-13,4.68,5.3,6500,5.3,4.68
2023-07-14,4.95,4.65,13000,4.95,4.65
2023-07-17,4.94,4.93,1000,4.94,4.93
2023-07-18,4.98,5.28,1500,5.28,4.98
2023-07-19,4.83,4.98,1500,4.98,4.83
2023-07-20,4.98,4.81,3000,4.98,4.81
2023-07-21,5.2,4.66,1500,5.2,4.66
2023-07-24,4.99,4.99,1000,4.99,4.99
2023-07-25,5.41,4.99,6000,5.41,4.99
2023-07-26,5.8,5.68,2500,5.8,5.68
2023-07-27,5.49,5.21,9000,5.49,5.21
2023-07-31,5.25,5.2,4500,5.25,5.2
2023-08-01,5.4,5.02,1000,5.4,5.02
2023-08-03,5.35,5.0,11500,5.35,5.0
2023-08-04,5.99,4.8,7000,5.99,4.8
2023-08-07,5.35,5.5,3500,5.5,5.35
2023-08-08,5.4,5.11,5500,5.4,5.11
2023-08-09,5.3,5.0,2500,5.3,5.0
2023-08-10,5.01,5.01,1000,5.01,5.01
2023-08-11,5.76,5.76,500,5.76,5.76
2023-08-16,5.24,5.01,3000,5.24,5.01
2023-08-17,5.48,4.99,1500,5.48,4.99
2023-08-18,4.9,4.9,500,4.9,4.9
2023-08-21,5.19,5.19,500,5.19,5.19
2023-08-23,5.85,5.2,16500,5.85,5.2
2023-08-24,6.5,6.6,3000,6.6,6.5
2023-08-25,6.7,6.7,1500,6.7,6.7
2023-08-28,5.75,5.72,26000,5.75,5.72
2023-08-29,5.95,5.95,500,5.95,5.95
2023-08-30,5.57,5.25,4000,5.57,5.25
2023-08-31,4.63,5.06,38000,5.06,4.63
2023-09-01,4.87,4.8,9500,4.87,4.8
2023-09-04,4.76,4.53,3000,4.76,4.53
2023-09-05,5.15,4.9,15500,5.15,4.9
2023-09-06,5.49,5.49,1000,5.49,5.49
2023-09-07,6.49,4.76,213000,6.49,4.76
2023-09-08,7.49,6.49,342000,7.49,6.49
2023-09-11,7.48,7.55,127000,7.55,7.48
2023-09-12,7.4,6.62,6500,7.4,6.62
2023-09-13,6.53,7.69,26000,7.69,6.53
2023-09-14,6.94,6.94,2000,6.94,6.94
2023-09-15,7.13,7.0,3500,7.13,7.0
2023-09-18,6.78,6.42,104000,6.78,6.42
2023-09-19,6.55,6.83,15000,6.83,6.55
2023-09-20,6.82,6.92,7500,6.92,6.82
2023-09-21,6.45,6.46,2500,6.46,6.45
2023-09-22,6.5,6.59,6000,6.59,6.5
2023-09-25,7.17,7.24,88500,7.24,7.17
2023-09-26,7.09,6.47,33000,7.09,6.47
2023-09-27,7.25,7.25,8500,7.25,7.25
2023-09-28,7.03,7.4,8000,7.4,7.03
2023-10-02,7.02,7.4,19000,7.4,7.02
2023-10-03,7.05,7.0,6000,7.05,7.0
2023-10-04,7.24,7.8,5000,7.8,7.24
2023-10-05,8.24,7.48,215000,8.24,7.48
2023-10-06,9.24,8.97,314500,9.24,8.97
2023-10-09,9.59,10.14,133000,10.14,9.59
2023-10-10,10.59,8.65,353000,10.59,8.65
2023-10-11,11.59,11.0,143000,11.59,11.0
2023-10-12,11.72,11.62,110000,11.72,11.62
2023-10-13,11.08,11.5,143500,11.5,11.08
2023-10-16,11.57,11.87,130500,11.87,11.57
2023-10-17,12.57,11.97,114500,12.57,11.97
2023-10-18,13.12,13.45,63500,13.45,13.12
2023-10-19,14.12,14.0,370500,14.12,14.0
2023-10-20,14.44,14.89,153500,14.89,14.44
2023-10-23,13.38,14.8,51500,14.8,13.38
2023-10-24,13.46,12.54,67500,13.46,12.54
2023-10-25,13.5,13.8,88500,13.8,13.5
2023-10-26,14.27,12.6,368000,14.27,12.6
2023-10-27,14.25,14.35,127000,14.35,14.25
2023-10-30,15.32,13.53,181000,15.32,13.53
2023-10-31,16.47,16.47,12500,16.47,16.47
2023-11-01,16.98,17.71,167500,17.71,16.98
2023-11-02,15.75,15.85,32000,15.85,15.75
2023-11-03,14.66,15.75,10000,15.75,14.66
2023-11-06,13.58,13.8,81000,13.8,13.58
2023-11-07,13.7,13.77,19000,13.77,13.7
2023-11-10,14.26,14.26,1500,14.26,14.26
2023-11-13,14.25,13.3,2000,14.25,13.3
2023-11-14,15.01,13.26,312500,15.01,13.26
2023-11-15,15.5,14.06,3000,15.5,14.06
2023-11-16,15.0,14.52,9500,15.0,14.52
2023-11-17,14.68,14.55,5000,14.68,14.55
2023-11-20,14.6,14.25,2500,14.6,14.25
2023-11-21,14.6,0.0,1000,14.6,0.0
2023-11-22,14.08,14.6,9000,14.6,14.08
2023-11-23,13.75,13.75,500,13.75,13.75
2023-11-24,13.35,13.15,3500,13.35,13.15
2023-11-27,13.02,12.9,3000,13.02,12.9
2023-11-28,13.0,13.7,26500,13.7,13.0
2023-11-29,13.39,13.32,1500,13.39,13.32
2023-11-30,12.9,12.9,500,12.9,12.9
2023-12-01,13.5,13.5,500,13.5,13.5
2023-12-04,13.95,12.67,14500,13.95,12.67
2023-12-05,14.18,13.25,13500,14.18,13.25
2023-12-06,14.11,14.45,13000,14.45,14.11
2023-12-07,15.0,13.8,316500,15.0,13.8
