date,close,open,volume,high,low
2021-02-26,52.25,54.1,2803500,54.1,52.25
2021-03-01,50.64,52.25,1063000,52.25,50.64
2021-03-02,52.09,50.99,1950000,52.09,50.99
2021-03-03,51.85,52.09,857000,52.09,51.85
2021-03-04,50.7,49.0,1916000,50.7,49.0
2021-03-05,51.25,51.47,1128500,51.47,51.25
2021-03-08,50.05,52.5,747000,52.5,50.05
2021-03-09,46.88,49.9,3218500,49.9,46.88
2021-03-10,43.92,46.25,1606000,46.25,43.92
2021-03-11,41.79,43.1,1434500,43.1,41.79
2021-03-12,45.06,40.7,1922500,45.06,40.7
2021-03-15,48.52,48.58,2359500,48.58,48.52
2021-03-16,47.95,48.66,1800000,48.66,47.95
2021-03-17,48.0,48.88,1541000,48.88,48.0
2021-03-18,46.19,48.5,2358500,48.5,46.19
2021-03-19,44.4,45.0,2700000,45.0,44.4
2021-03-22,44.61,44.25,1039000,44.61,44.25
2021-03-24,44.83,45.09,391500,45.09,44.83
2021-03-25,44.6,45.1,1439000,45.1,44.6
2021-03-26,44.78,44.7,1458500,44.78,44.7
2021-03-29,43.44,44.58,950000,44.58,43.44
2021-03-30,43.98,43.0,677000,43.98,43.0
2021-03-31,45.3,44.5,4324500,45.3,44.5
2021-04-01,46.19,45.65,3552000,46.19,45.65
2021-04-02,45.75,46.25,816000,46.25,45.75
2021-04-05,44.78,45.15,926000,45.15,44.78
2021-04-06,45.91,44.65,918000,45.91,44.65
2021-04-07,45.65,46.85,1216000,46.85,45.65
2021-04-08,46.74,45.57,393500,46.74,45.57
2021-04-09,48.37,47.65,2088500,48.37,47.65
2021-04-12,47.73,48.2,802000,48.2,47.73
2021-04-13,47.02,47.49,406000,47.49,47.02
2021-04-14,46.71,47.04,486500,47.04,46.71
2021-04-15,47.33,46.61,579500,47.33,46.61
2021-04-16,47.55,46.9,511000,47.55,46.9
2021-04-19,46.26,46.55,556000,46.55,46.26
2021-04-20,48.03,47.0,1040500,48.03,47.0
2021-04-21,47.83,48.9,838500,48.9,47.83
2021-04-22,46.05,48.0,1417500,48.0,46.05
2021-04-23,45.55,46.29,196500,46.29,45.55
2021-04-26,47.17,45.2,1529500,47.17,45.2
2021-04-27,46.96,47.05,660000,47.05,46.96
2021-04-28,47.48,49.5,4019000,49.5,47.48
2021-04-29,47.82,48.0,1114000,48.0,47.82
2021-04-30,46.74,47.55,1326500,47.55,46.74
2021-05-03,43.28,45.11,2155000,45.11,43.28
2021-05-04,44.55,44.19,537500,44.55,44.19
2021-05-05,44.37,45.4,469500,45.4,44.37
2021-05-06,45.43,44.42,866500,45.43,44.42
2021-05-17,47.09,46.06,1687500,47.09,46.06
2021-05-18,47.47,48.09,978500,48.09,47.47
2021-05-19,47.96,47.47,720500,47.96,47.47
2021-05-20,47.71,47.71,605000,47.71,47.71
2021-05-21,47.81,47.73,633000,47.81,47.73
2021-05-24,47.85,48.01,736500,48.01,47.85
2021-05-25,48.32,47.68,439000,48.32,47.68
2021-05-26,49.42,48.52,2080500,49.42,48.52
2021-05-27,49.5,49.6,1105000,49.6,49.5
2021-05-28,51.52,49.25,2217500,51.52,49.25
2021-05-31,53.76,52.01,2209000,53.76,52.01
2021-06-01,52.55,54.5,1691500,54.5,52.55
2021-06-02,52.62,52.54,1936000,52.62,52.54
2021-06-03,52.88,53.0,1654000,53.0,52.88
2021-06-04,53.07,53.28,2570000,53.28,53.07
2021-06-07,54.54,53.5,2798000,54.54,53.5
2021-06-08,55.14,54.89,2255000,55.14,54.89
2021-06-09,55.14,55.55,2816000,55.55,55.14
2021-06-10,46.08,46.8,3557000,46.8,46.08
2021-06-11,46.73,47.1,2019000,47.1,46.73
2021-06-14,46.09,47.47,1456500,47.47,46.09
