date,close,open,volume,high,low
2023-09-25,5.89,5.78,470000,5.89,5.78
2023-09-26,5.83,5.89,1141500,5.89,5.83
2023-09-27,5.83,5.93,591500,5.93,5.83
2023-09-28,5.78,5.9,244000,5.9,5.78
2023-10-02,5.73,5.75,229000,5.75,5.73
2023-10-03,5.75,5.88,133000,5.88,5.75
2023-10-04,5.69,5.76,263500,5.76,5.69
2023-10-05,5.79,5.78,1051000,5.79,5.78
2023-10-06,5.85,5.82,672000,5.85,5.82
2023-10-09,5.85,5.73,111500,5.85,5.73
2023-10-10,6.15,5.89,1792000,6.15,5.89
2023-10-11,6.16,6.16,729000,6.16,6.16
2023-10-12,6.04,6.25,659500,6.25,6.04
2023-10-13,6.25,6.05,1221500,6.25,6.05
2023-10-16,6.3,6.33,1049000,6.33,6.3
2023-10-17,6.69,6.38,6686000,6.69,6.38
2023-10-18,6.39,6.65,1026000,6.65,6.39
2023-10-19,6.42,6.29,445500,6.42,6.29
2023-10-20,6.77,6.5,4931000,6.77,6.5
2023-10-23,6.88,6.8,3003000,6.88,6.8
2023-10-24,6.7,7.0,692000,7.0,6.7
2023-10-25,6.65,6.7,1803000,6.7,6.65
2023-10-26,6.32,6.61,893000,6.61,6.32
2023-10-27,6.27,6.49,418000,6.49,6.27
2023-10-30,6.24,6.15,672500,6.24,6.15
2023-10-31,6.34,6.25,1809000,6.34,6.25
2023-11-01,6.73,6.45,2680000,6.73,6.45
2023-11-02,7.0,6.8,3817500,7.0,6.8
2023-11-03,6.81,7.05,1244500,7.05,6.81
2023-11-06,6.78,6.79,1192500,6.79,6.78
2023-11-07,6.68,6.86,1413000,6.86,6.68
2023-11-08,6.7,6.72,433000,6.72,6.7
2023-11-10,6.72,6.67,933000,6.72,6.67
2023-11-13,6.81,6.72,1396500,6.81,6.72
2023-11-14,7.09,6.82,3609500,7.09,6.82
2023-11-15,7.16,7.2,2004500,7.2,7.16
2023-11-16,7.25,7.31,3692500,7.31,7.25
2023-11-17,7.45,7.26,3199500,7.45,7.26
2023-11-20,8.35,7.5,11787000,8.35,7.5
2023-11-21,8.22,8.6,4261500,8.6,8.22
2023-11-22,8.11,8.27,1427000,8.27,8.11
2023-11-23,7.99,8.12,1968000,8.12,7.99
2023-11-24,7.98,8.1,2158000,8.1,7.98
2023-11-27,7.98,8.01,1528500,8.01,7.98
2023-11-28,7.91,8.09,2568000,8.09,7.91
2023-11-29,7.64,8.09,1125000,8.09,7.64
2023-11-30,7.51,7.64,1135500,7.64,7.51
2023-12-01,7.74,7.4,647500,7.74,7.4
2023-12-04,7.88,7.8,1204500,7.88,7.8
2023-12-05,7.87,7.88,701500,7.88,7.87
2023-12-06,8.44,8.02,8020000,8.44,8.02
2023-12-07,8.27,8.59,4445000,8.59,8.27
2023-12-08,8.26,8.3,1615500,8.3,8.26
2023-12-11,8.15,8.25,1505000,8.25,8.15
2023-12-12,8.18,8.18,2051000,8.18,8.18
2023-12-13,7.79,8.29,2611000,8.29,7.79
2023-12-14,7.69,7.79,1206500,7.79,7.69
2023-12-15,7.98,7.86,1465500,7.98,7.86
2023-12-18,7.84,8.06,1334500,8.06,7.84
2023-12-19,7.16,7.8,1941000,7.8,7.16
2023-12-20,6.96,7.49,1294000,7.49,6.96
2023-12-21,7.15,7.04,647000,7.15,7.04
2023-12-22,6.91,7.2,359000,7.2,6.91
2023-12-26,6.52,6.86,668500,6.86,6.52
2023-12-27,6.71,6.41,399500,6.71,6.41
2023-12-28,6.74,6.79,1118500,6.79,6.74
2023-12-29,6.72,6.79,445500,6.79,6.72
2024-01-01,7.16,6.81,1568500,7.16,6.81
2024-01-02,7.17,7.3,1736500,7.3,7.17
2024-01-03,7.31,7.29,500000,7.31,7.29
2024-01-04,7.18,7.21,381000,7.21,7.18
2024-01-05,7.15,7.27,423000,7.27,7.15
2024-01-08,7.01,7.25,207500,7.25,7.01
2024-01-09,7.13,7.05,603000,7.13,7.05
2024-01-10,7.03,7.05,98000,7.05,7.03
2024-01-11,7.01,7.14,277500,7.14,7.01
2024-01-12,6.93,7.09,1977000,7.09,6.93
2024-01-15,6.78,7.0,248500,7.0,6.78
2024-01-16,6.73,6.72,223500,6.73,6.72
2024-01-17,6.71,6.64,254500,6.71,6.64
2024-01-18,6.55,6.64,488500,6.64,6.55
2024-01-19,6.59,6.75,406000,6.75,6.59
2024-01-22,6.46,6.6,144500,6.6,6.46
2024-01-23,6.45,6.45,363000,6.45,6.45
2024-01-24,6.48,6.55,383500,6.55,6.48
2024-01-25,6.45,6.6,165000,6.6,6.45
2024-01-26,6.34,6.36,419000,6.36,6.34
2024-01-29,6.19,6.4,301000,6.4,6.19
2024-01-30,6.06,6.24,254500,6.24,6.06
2024-01-31,6.02,6.06,424000,6.06,6.02
2024-02-01,6.03,6.02,258500,6.03,6.02
2024-02-02,6.1,6.1,76000,6.1,6.1
2024-02-06,6.43,6.16,726500,6.43,6.16
2024-02-07,6.41,6.44,300500,6.44,6.41
2024-02-09,6.3,6.0,220500,6.3,6.0
2024-02-12,5.99,6.3,188000,6.3,5.99
2024-02-13,5.97,5.9,394500,5.97,5.9
2024-02-14,6.09,6.08,294000,6.09,6.08
2024-02-15,5.9,6.04,141500,6.04,5.9
2024-02-16,5.67,5.9,590000,5.9,5.67
2024-02-19,5.72,5.67,516500,5.72,5.67
2024-02-20,5.61,5.66,504500,5.66,5.61
2024-02-21,5.84,5.84,221500,5.84,5.84
2024-02-22,5.93,5.85,393000,5.93,5.85
2024-02-23,6.0,5.9,266500,6.0,5.9
2024-02-26,6.05,6.08,90000,6.08,6.05
2024-02-27,6.0,6.05,47500,6.05,6.0
2024-02-28,6.2,6.0,936500,6.2,6.0
2024-02-29,6.0,6.35,414000,6.35,6.0
2024-03-01,5.99,5.96,479000,5.99,5.96
2024-03-04,6.0,6.2,893000,6.2,6.0
2024-03-05,5.85,6.0,515500,6.0,5.85
2024-03-06,5.86,5.94,194500,5.94,5.86
2024-03-07,5.82,5.9,217000,5.9,5.82
2024-03-08,5.99,5.9,595500,5.99,5.9
2024-03-11,6.27,6.0,3991000,6.27,6.0
2024-03-12,6.03,6.25,405000,6.25,6.03
2024-03-13,5.94,6.15,242000,6.15,5.94
2024-03-14,6.04,6.1,272500,6.1,6.04
2024-03-15,6.03,6.18,61500,6.18,6.03
2024-03-18,5.97,6.0,249500,6.0,5.97
2024-03-19,6.04,6.0,290500,6.04,6.0
2024-03-20,6.0,6.15,304000,6.15,6.0
2024-03-21,6.01,5.95,249000,6.01,5.95
2024-03-22,6.0,6.0,121500,6.0,6.0
2024-03-25,6.0,6.0,94500,6.0,6.0
2024-03-26,5.94,5.94,125000,5.94,5.94
2024-03-27,5.79,6.1,736500,6.1,5.79
