date,close,open,volume,high,low
2021-02-26,15.07,14.83,4739000,15.07,14.83
2021-03-01,16.12,15.13,17555500,16.12,15.13
2021-03-02,16.52,16.13,14201500,16.52,16.13
2021-03-03,17.75,16.6,12648000,17.75,16.6
2021-03-04,18.67,17.25,28669500,18.67,17.25
2021-03-05,19.96,19.01,17334500,19.96,19.01
2021-03-08,21.45,20.59,17732000,21.45,20.59
2021-03-09,22.84,22.0,41233500,22.84,22.0
2021-03-10,23.93,23.25,19176000,23.93,23.25
2021-03-11,22.14,24.2,10975000,24.2,22.14
2021-03-12,20.53,21.26,15089500,21.26,20.53
2021-03-15,22.06,21.05,9796000,22.06,21.05
2021-03-16,22.72,22.66,23420000,22.72,22.66
2021-03-17,22.03,23.0,21723000,23.0,22.03
2021-03-18,21.27,22.3,20461500,22.3,21.27
2021-03-19,21.92,21.35,7165500,21.92,21.35
2021-03-22,21.54,21.9,3422000,21.9,21.54
2021-03-24,22.68,21.52,10799500,22.68,21.52
2021-03-25,23.05,23.0,14140000,23.05,23.0
2021-03-26,23.34,23.07,17417000,23.34,23.07
2021-03-29,21.65,23.49,10446000,23.49,21.65
2021-03-30,21.99,21.29,5422000,21.99,21.29
2021-03-31,23.62,22.26,16135500,23.62,22.26
2021-04-01,25.39,24.0,17929000,25.39,24.0
2021-04-02,24.94,26.05,12325500,26.05,24.94
2021-04-05,23.1,25.01,12797000,25.01,23.1
2021-04-06,24.8,23.15,10416000,24.8,23.15
2021-04-07,26.66,25.15,16177500,26.66,25.15
2021-04-08,28.59,27.2,35911500,28.59,27.2
2021-04-09,28.34,28.43,23493500,28.43,28.34
2021-04-12,30.19,28.4,38841500,30.19,28.4
2021-04-13,32.27,30.2,18439000,32.27,30.2
2021-04-14,33.61,32.8,19479500,33.61,32.8
2021-04-15,31.36,33.62,13081500,33.62,31.36
2021-04-16,33.71,31.05,21518500,33.71,31.05
2021-04-19,31.46,33.41,23232500,33.41,31.46
2021-04-20,31.27,32.5,24647000,32.5,31.27
2021-04-21,31.05,31.29,31314500,31.29,31.05
2021-04-22,33.36,32.0,36375000,33.36,32.0
2021-04-23,35.01,33.2,38784000,35.01,33.2
2021-04-26,37.63,35.6,15154500,37.63,35.6
2021-04-27,40.45,39.0,6919500,40.45,39.0
2021-04-28,43.48,42.55,2525000,43.48,42.55
2021-04-29,40.38,45.0,32638000,45.0,40.38
2021-04-30,38.68,39.54,34820000,39.54,38.68
2021-05-03,35.97,38.0,23140000,38.0,35.97
2021-05-04,38.14,35.25,23573000,38.14,35.25
2021-05-05,38.06,39.0,23081000,39.0,38.06
2021-05-06,38.77,38.06,10716500,38.77,38.06
2021-05-17,39.81,39.3,35965000,39.81,39.3
2021-05-18,42.56,40.0,47233000,42.56,40.0
2021-05-19,41.62,41.99,24747000,41.99,41.62
2021-05-20,41.01,41.9,20920500,41.9,41.01
2021-05-21,40.98,41.01,13960000,41.01,40.98
2021-05-24,40.78,41.25,8150000,41.25,40.78
2021-05-25,41.07,40.8,10508000,41.07,40.8
2021-05-26,41.45,41.48,12889000,41.48,41.45
2021-05-27,42.02,41.7,29690500,42.02,41.7
2021-05-28,41.89,42.1,16475500,42.1,41.89
2021-05-31,43.25,42.61,44827000,43.25,42.61
2021-06-01,44.02,43.41,34033000,44.02,43.41
2021-06-02,47.28,44.25,30323000,47.28,44.25
2021-06-03,45.11,45.0,16863500,45.11,45.0
2021-06-04,47.52,45.6,21745500,47.52,45.6
2021-06-07,46.7,48.0,5721500,48.0,46.7
2021-06-08,44.71,47.01,5050500,47.01,44.71
2021-06-09,42.44,44.75,7896000,44.75,42.44
2021-06-10,43.41,42.6,19335000,43.41,42.6
2021-06-11,46.66,44.5,27846000,46.66,44.5
2021-06-14,50.04,48.0,28921500,50.04,48.0
2021-06-15,50.01,49.7,26119000,50.01,49.7
2021-06-16,50.24,50.33,29227500,50.33,50.24
2021-06-17,49.26,50.34,13827500,50.34,49.26
2021-06-18,49.02,49.5,8102500,49.5,49.02
2021-06-21,49.17,49.11,9116500,49.17,49.11
2021-06-22,48.91,49.75,6026000,49.75,48.91
2021-06-23,49.12,49.0,10097500,49.12,49.0
2021-06-24,51.41,49.4,18365000,51.41,49.4
2021-06-25,50.83,51.6,17715500,51.6,50.83
2021-06-28,49.08,50.11,4877500,50.11,49.08
2021-06-29,49.46,48.71,10306000,49.46,48.71
2021-06-30,49.64,50.05,24841000,50.05,49.64
2021-07-01,49.4,49.75,6735000,49.75,49.4
2021-07-02,48.56,49.6,20805500,49.6,48.56
2021-07-05,48.64,48.41,14590500,48.64,48.41
2021-07-06,48.64,49.25,19176500,49.25,48.64
2021-07-07,48.15,48.9,3347000,48.9,48.15
2021-07-08,48.89,48.5,4237500,48.89,48.5
2021-07-09,48.72,48.99,9716500,48.99,48.72
2021-07-12,48.8,49.1,6454000,49.1,48.8
2021-07-13,49.6,48.8,8866500,49.6,48.8
2021-07-14,48.76,49.81,4805500,49.81,48.76
2021-07-15,48.26,48.8,1617000,48.8,48.26
2021-07-16,48.7,48.5,5607500,48.7,48.5
2021-07-19,48.28,48.7,1607500,48.7,48.28
2021-07-23,46.86,48.9,1988500,48.9,46.86
2021-07-26,46.99,46.9,3542500,46.99,46.9
2021-07-27,47.04,47.0,3495500,47.04,47.0
2021-07-28,45.92,47.15,3429000,47.15,45.92
2021-07-29,43.85,46.0,3760500,46.0,43.85
2021-07-30,41.63,44.2,4483500,44.2,41.63
2021-08-02,42.45,41.63,2691000,42.45,41.63
2021-08-03,45.57,42.98,8037000,45.57,42.98
2021-08-04,46.14,46.39,11319500,46.39,46.14
2021-08-05,46.1,46.14,28922500,46.14,46.1
2021-08-06,42.65,46.49,14024500,46.49,42.65
2021-08-09,39.5,42.3,17334000,42.3,39.5
2021-08-10,42.46,39.15,15415000,42.46,39.15
2021-08-11,43.43,43.0,27600000,43.43,43.0
2021-08-12,43.42,43.64,15077500,43.64,43.42
2021-08-13,44.39,43.5,23911000,44.39,43.5
2021-08-16,43.76,44.24,3232500,44.24,43.76
2021-08-17,45.01,43.7,16972500,45.01,43.7
2021-08-20,46.93,44.79,21637000,46.93,44.79
2021-08-23,47.64,46.9,19880500,47.64,46.9
2021-08-24,48.27,47.5,25683500,48.27,47.5
2021-08-25,45.72,49.3,22053000,49.3,45.72
2021-08-26,42.34,46.0,25109000,46.0,42.34
2021-08-27,42.4,42.45,10939500,42.45,42.4
2021-08-30,40.04,42.5,29887500,42.5,40.04
