date,close,open,volume,high,low,MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,MA5_10_cross,MA10_20_cross,MA20_50_cross,EMA_cross,RSI,RSI_slope,price_slope,RSI_divergence,MACD,MACD_signal,MACD_hist,BB_middle,BB_std,BB_upper,BB_lower,BB_width,BB_B,volatility_10,volatility_20,volatility_ratio,price_roc_5,price_roc_10,price_roc_20,tr,atr,plus_dm,minus_dm,plus_di,minus_di,dx,ADX,volume_ma10,volume_ma20,volume_ratio,OBV,momentum_5,momentum_10,CMF,%K,%D,CCI,price_vol_corr,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,TEMA,DEMA,MOM,PPO,HT_DCPERIOD,CDL_DOJI,CDL_HAMMER,CDL_ENGULFING,day_of_week,month,quarter
2023-09-25,9.52,9.32,1900939,9.52,9.32,9.442,9.453999999999999,9.795,10.9368,10.631703296703297,9.52,9.52,9.52,0.012000000000000455,0.3409999999999993,1.3282000000000007,0.0,59.6590908616348,15.340909099186057,-0.1399999999999988,0,0.0,0.0,0.0,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,-1.4705882352941013,3.99159663865547,7.983193277310918,0.1999999999999993,0.18642857142857125,0.0,0.0,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,0.0,-0.1399999999999988,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,11.05,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,0,9,3
2023-09-26,9.6,9.55,4732672,9.6,9.55,9.442,9.453999999999999,9.795,10.9368,10.631703296703297,9.534545454545453,9.527619047619048,9.523137254901961,0.012000000000000455,0.3409999999999993,1.3282000000000007,0.006926406926405448,59.6590908616348,15.340909099186057,-0.1399999999999988,0,0.006381766381766241,0.0012763532763532483,0.005105413105412992,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,-1.4705882352941013,3.99159663865547,7.983193277310918,0.08000000000000007,0.18642857142857125,0.08000000000000007,0.0,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,4732672.0,-0.1399999999999988,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,11.36,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,1,9,3
2023-09-27,9.47,9.61,1335284,9.61,9.47,9.442,9.453999999999999,9.795,10.9368,10.631703296703297,9.52280991735537,9.522131519274376,9.521053440984238,0.012000000000000455,0.3409999999999993,1.3282000000000007,0.0006783980809945689,59.6590908616348,15.340909099186057,-0.1399999999999988,0,0.0009386287448958086,0.0012088083700617605,-0.00027017962516595194,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,-1.4705882352941013,3.99159663865547,7.983193277310918,0.1399999999999988,0.18642857142857125,0.0,0.08000000000000007,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,3397388.0,-0.1399999999999988,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,11.12,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,-100,2,9,3
2023-09-28,9.27,9.55,1591386,9.55,9.27,9.442,9.453999999999999,9.795,10.9368,10.631703296703297,9.476844477836211,9.498118993629197,9.511208208004463,0.012000000000000455,0.3409999999999993,1.3282000000000007,-0.021274515792985227,59.6590908616348,15.340909099186057,-0.1399999999999988,0,-0.0192910503580066,-0.002891163375551912,-0.01639988698245469,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,-1.4705882352941013,3.99159663865547,7.983193277310918,0.28000000000000114,0.18642857142857125,0.0,0.20000000000000107,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,1806002.0,-0.1399999999999988,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,11.12,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,3,9,3
2023-10-02,9.35,9.4,891292,9.4,9.35,9.442,9.453999999999999,9.795,10.9368,10.631703296703297,9.453781845502354,9.48401242280737,9.504886317494485,0.012000000000000455,0.3409999999999993,1.3282000000000007,-0.03023057730501577,59.6590908616348,15.340909099186057,-0.1399999999999988,0,-0.028538906631130345,-0.008020712026667598,-0.020518194604462747,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,-1.4705882352941013,3.99159663865547,7.983193277310918,0.13000000000000078,0.18642857142857125,0.0,0.0,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,2697294.0,-0.1399999999999988,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,10.64,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,0,10,4
2023-10-03,9.38,9.44,1018344,9.44,9.38,9.413999999999998,9.453999999999999,9.795,10.9368,10.631703296703297,9.440366964501925,9.474106477778095,9.499988814847642,0.012000000000000455,0.3409999999999993,1.3282000000000007,-0.03373951327617064,59.6590908616348,15.340909099186057,-0.1399999999999988,0,-0.033065985971827416,-0.013029766815699562,-0.020036219156127855,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,-1.4705882352941013,3.99159663865547,7.983193277310918,0.08999999999999986,0.18642857142857125,0.03999999999999915,0.0,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,3715638.0,-0.1399999999999988,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,10.65,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,1,10,4
2023-10-04,9.36,9.31,894058,9.36,9.31,9.366,9.453999999999999,9.795,10.9368,10.631703296703297,9.425754789137937,9.463239194180181,9.494499057402637,0.012000000000000455,0.3409999999999993,1.3282000000000007,-0.03748440504224426,59.6590908616348,15.340909099186057,-0.2400000000000002,0,-0.03783146424762229,-0.01799010630208411,-0.019841357945538183,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,-2.500000000000002,3.99159663865547,7.983193277310918,0.07000000000000028,0.18642857142857125,0.0,0.07000000000000028,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,2821580.0,-0.2400000000000002,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,10.86,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,2,10,4
2023-10-05,9.53,9.4,1517129,9.53,9.4,9.378,9.453999999999999,9.795,10.9368,10.631703296703297,9.44470846384013,9.46959736616302,9.495891251229985,0.012000000000000455,0.3409999999999993,1.3282000000000007,-0.02488890232289087,59.6590908616348,15.340909099186057,0.05999999999999872,0,-0.027572719714440197,-0.01990662898455533,-0.007666090729884868,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,0.6335797254487741,3.99159663865547,7.983193277310918,0.16999999999999993,0.18642857142857125,0.16999999999999993,0.0,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,4338709.0,0.05999999999999872,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,10.96,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,3,10,4
2023-10-06,9.5,9.6,1149767,9.6,9.5,9.424,9.453999999999999,9.795,10.9368,10.631703296703297,9.45476147041465,9.472492855099876,9.496052378632731,0.012000000000000455,0.3409999999999993,1.3282000000000007,-0.017731384685225393,59.6590908616348,15.340909099186057,0.23000000000000043,0,-0.021614185168905564,-0.020248140221425376,-0.0013660449474801883,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,2.481121898597638,3.99159663865547,7.983193277310918,0.09999999999999964,0.18642857142857125,0.07000000000000028,0.0,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,3188942.0,0.23000000000000043,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,11.3,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,4,10,4
2023-10-09,9.56,9.32,1685267,9.56,9.32,9.466,9.453999999999999,9.795,10.9368,10.631703296703297,9.473895748521077,9.480826868899888,9.498560128490272,0.012000000000000455,0.3409999999999993,1.3282000000000007,-0.006931120378810718,59.6590908616348,15.340909099186057,0.21000000000000085,0,-0.011913177360650451,-0.01858114764927039,0.006667970288619939,9.795,0.430403727238802,10.655807454477603,8.934192545522397,0.17576466655820627,0.8804567423904642,0.10751744044572521,0.430403727238802,0.8085817577962755,2.2459893048128343,3.99159663865547,7.983193277310918,0.2400000000000002,0.18642857142857125,0.0,0.17999999999999972,30.651340979727237,29.50191569298756,1.9108280254743724,27.28702790162986,1671613.8,4148977.05,1.0081676760505327,4874209.0,0.21000000000000085,0.3800000000000008,0.5500544643121665,80.82191779714762,93.60730592605866,180.79961855286754,0.5853814254042128,9.44,10.0,10.145,11.705,11.74,13.524965320124556,11.945776787102343,0.3800000000000008,3.918019385729263,15.646696015449795,0,0,0,0,10,4
