date,close,open,volume,high,low
2021-02-26,40.5,41.35,216500,41.35,40.5
2021-03-01,39.31,40.05,320000,40.05,39.31
2021-03-02,40.04,39.5,137500,40.04,39.5
2021-03-03,39.92,39.82,220000,39.92,39.82
2021-03-04,38.3,36.76,308500,38.3,36.76
2021-03-05,38.44,38.01,207000,38.44,38.01
2021-03-08,38.84,39.99,162500,39.99,38.84
2021-03-09,36.97,37.8,157000,37.8,36.97
2021-03-10,36.23,37.49,177500,37.49,36.23
2021-03-11,34.34,36.0,337000,36.0,34.34
2021-03-12,37.44,34.5,275000,37.44,34.5
2021-03-15,38.08,37.59,237000,38.08,37.59
2021-03-16,37.51,37.81,147500,37.81,37.51
2021-03-17,38.33,38.1,392500,38.33,38.1
2021-03-18,37.58,37.8,70000,37.8,37.58
2021-03-19,37.49,37.5,296500,37.5,37.49
2021-03-22,36.69,37.21,264000,37.21,36.69
2021-03-24,36.47,36.3,95500,36.47,36.3
2021-03-25,36.05,36.5,237000,36.5,36.05
2021-03-26,36.02,36.05,109500,36.05,36.02
2021-03-29,35.72,36.02,511500,36.02,35.72
2021-03-30,36.0,35.01,289500,36.0,35.01
2021-03-31,38.48,36.25,927000,38.48,36.25
2021-04-01,38.2,38.2,394500,38.2,38.2
2021-04-02,37.41,38.2,71500,38.2,37.41
2021-04-05,35.8,37.05,160500,37.05,35.8
2021-04-06,36.5,36.0,73500,36.5,36.0
2021-04-07,38.38,36.49,477000,38.38,36.49
2021-04-08,38.5,38.5,145500,38.5,38.5
2021-04-09,38.3,38.2,260000,38.3,38.2
2021-04-12,37.7,38.0,90500,38.0,37.7
2021-04-13,37.77,37.51,83500,37.77,37.51
2021-04-14,37.87,37.52,69000,37.87,37.52
2021-04-15,37.33,37.87,171000,37.87,37.33
2021-04-16,37.31,37.1,33000,37.31,37.1
2021-04-19,36.71,36.1,81000,36.71,36.1
2021-04-20,37.61,37.39,72500,37.61,37.39
2021-04-21,37.57,37.56,29500,37.57,37.56
2021-04-22,37.46,37.51,109500,37.51,37.46
2021-04-23,37.56,37.02,144500,37.56,37.02
2021-04-26,37.54,37.03,248500,37.54,37.03
2021-04-27,38.41,38.43,358500,38.43,38.41
2021-04-28,38.6,38.75,228000,38.75,38.6
2021-04-29,38.48,38.55,143000,38.55,38.48
2021-04-30,38.42,38.06,98500,38.42,38.06
2021-05-03,38.63,38.01,150500,38.63,38.01
2021-05-04,38.46,38.63,94000,38.63,38.46
2021-05-05,37.92,38.01,223000,38.01,37.92
2021-05-06,37.56,37.52,26500,37.56,37.52
2021-05-17,40.04,38.75,258000,40.04,38.75
2021-05-18,40.42,40.3,220000,40.42,40.3
2021-05-19,41.35,40.2,618000,41.35,40.2
2021-05-20,42.12,41.36,776000,42.12,41.36
2021-05-21,42.06,42.0,303500,42.06,42.0
2021-05-24,42.38,41.63,291000,42.38,41.63
2021-05-25,42.2,42.95,46500,42.95,42.2
2021-05-26,41.75,42.48,390500,42.48,41.75
