date,close,open,volume,high,low
2021-02-26,279.22,292.5,786800,292.5,279.22
2021-03-01,270.58,279.0,546400,279.0,270.58
2021-03-02,289.95,270.05,915500,289.95,270.05
2021-03-03,292.63,292.99,779700,292.99,292.63
2021-03-04,279.52,275.01,591000,279.52,275.01
2021-03-05,280.92,283.0,278100,283.0,280.92
2021-03-08,275.14,288.0,301200,288.0,275.14
2021-03-09,255.06,274.01,597600,274.01,255.06
2021-03-10,239.16,256.95,781800,256.95,239.16
2021-03-11,221.25,238.05,563100,238.05,221.25
2021-03-12,230.8,217.0,817900,230.8,217.0
2021-03-15,248.11,238.0,674900,248.11,238.0
2021-03-16,249.66,254.99,504800,254.99,249.66
2021-03-17,268.38,254.9,879600,268.38,254.9
2021-03-18,252.49,270.25,893200,270.25,252.49
2021-03-19,260.18,250.01,580200,260.18,250.01
2021-03-22,258.63,255.0,598600,258.63,255.0
2021-03-24,258.08,258.03,280700,258.08,258.03
2021-03-25,262.66,261.0,1071900,262.66,261.0
2021-03-26,258.83,263.5,702000,263.5,258.83
2021-03-29,239.51,258.5,591500,258.5,239.51
2021-03-30,243.63,234.02,827600,243.63,234.02
2021-03-31,252.27,247.25,1685900,252.27,247.25
2021-04-01,239.86,255.0,694400,255.0,239.86
2021-04-02,240.1,241.0,479900,241.0,240.1
2021-04-05,223.65,241.0,679500,241.0,223.65
2021-04-06,236.47,224.9,501400,236.47,224.9
2021-04-07,230.67,238.89,344900,238.89,230.67
2021-04-08,238.34,230.1,427500,238.34,230.1
2021-04-09,248.13,239.2,890300,248.13,239.2
2021-04-12,240.49,247.99,418700,247.99,240.49
2021-04-13,258.52,238.0,1412900,258.52,238.0
2021-04-14,268.04,269.0,1318900,269.0,268.04
2021-04-15,261.75,268.97,463300,268.97,261.75
2021-04-16,263.02,263.5,378300,263.5,263.02
2021-04-19,256.38,256.11,556300,256.38,256.11
2021-04-20,271.35,260.0,1001100,271.35,260.0
2021-04-21,259.17,272.0,988100,272.0,259.17
2021-04-22,249.0,258.0,781200,258.0,249.0
2021-04-23,250.14,247.3,477000,250.14,247.3
2021-04-26,250.8,249.01,325200,250.8,249.01
2021-04-27,257.97,253.0,797700,257.97,253.0
2021-04-28,265.33,257.97,1345000,265.33,257.97
2021-04-29,258.88,262.01,196300,262.01,258.88
2021-04-30,245.85,258.88,351800,258.88,245.85
2021-05-03,240.18,247.42,321100,247.42,240.18
2021-05-04,243.2,242.5,264900,243.2,242.5
2021-05-05,247.37,246.45,253100,247.37,246.45
2021-05-06,247.7,248.82,176100,248.82,247.7
2021-05-17,254.4,252.0,925300,254.4,252.0
2021-05-18,250.13,254.49,408300,254.49,250.13
