date,close,open,volume,high,low
2021-02-25,90.03,90.13,559000,90.13,90.03
2021-02-26,86.42,88.35,313000,88.35,86.42
2021-03-01,85.17,84.83,218500,85.17,84.83
2021-03-02,85.96,85.63,213500,85.96,85.63
2021-03-03,89.00999999999999,86.38,329000,89.00999999999999,86.38
2021-03-04,84.17999999999999,83.28,385000,84.17999999999999,83.28
2021-03-05,84.92,85.22999999999999,297500,85.22999999999999,84.92
2021-03-08,82.64,87.03,216500,87.03,82.64
2021-03-09,82.64999999999999,81.13,229500,82.64999999999999,81.13
2021-03-10,83.31,81.14,296000,83.31,81.14
2021-03-11,78.77,81.22999999999999,221000,81.22999999999999,78.77
2021-03-12,80.86,78.77,209500,80.86,78.77
2021-03-15,87.05,82.13,663000,87.05,82.13
2021-03-16,87.21,88.22999999999999,254500,88.22999999999999,87.21
2021-03-17,86.94999999999999,88.13,451000,88.13,86.94999999999999
2021-03-18,83.96,86.17999999999999,191000,86.17999999999999,83.96
2021-03-19,84.33,83.63,167500,84.33,83.63
2021-03-22,85.88,82.42999999999999,191000,85.88,82.42999999999999
2021-03-24,85.6,86.13,185000,86.13,85.6
2021-03-25,85.36999999999999,85.19,183000,85.36999999999999,85.19
2021-03-26,84.64,85.38,177000,85.38,84.64
2021-03-29,79.21,83.56,98000,83.56,79.21
2021-03-30,80.47,80.11,37000,80.47,80.11
2021-03-31,82.75999999999999,81.33999999999999,205500,82.75999999999999,81.33999999999999
2021-04-01,79.69,82.17999999999999,87500,82.17999999999999,79.69
2021-04-02,79.53999999999999,79.13,45500,79.53999999999999,79.13
2021-04-05,77.55,79.64,59500,79.64,77.55
2021-04-06,81.92999999999999,78.61999999999999,91500,81.92999999999999,78.61999999999999
2021-04-07,81.08,81.27,71500,81.27,81.08
2021-04-08,82.14999999999999,81.33,49000,82.14999999999999,81.33
2021-04-09,81.17999999999999,81.38,139500,81.38,81.17999999999999
2021-04-12,80.19,82.11,228500,82.11,80.19
