date,close,open,volume,high,low
2023-09-20,16.32,16.49,2500,16.49,16.32
2023-09-21,16.52,16.11,11000,16.52,16.11
2023-09-22,16.25,16.5,33500,16.5,16.25
2023-09-25,16.32,17.1,38500,17.1,16.32
2023-09-26,16.78,16.5,19000,16.78,16.5
2023-09-27,16.69,16.7,6000,16.7,16.69
2023-09-28,15.99,15.6,489000,15.99,15.6
2023-10-02,15.88,16.18,42000,16.18,15.88
2023-10-03,15.71,15.99,91000,15.99,15.71
2023-10-04,16.71,15.71,1239000,16.71,15.71
2023-10-05,17.41,17.01,505500,17.41,17.01
2023-10-06,17.23,16.66,99500,17.23,16.66
2023-10-09,17.2,17.72,34500,17.72,17.2
2023-10-10,17.1,17.4,70000,17.4,17.1
2023-10-11,16.85,17.1,55500,17.1,16.85
2023-10-12,16.38,16.68,60500,16.68,16.38
2023-10-13,16.55,16.4,328500,16.55,16.4
2023-10-16,17.45,17.26,237500,17.45,17.26
2023-10-17,17.3,17.5,208000,17.5,17.3
2023-10-18,17.02,17.49,69000,17.49,17.02
2023-10-19,16.96,17.05,144000,17.05,16.96
2023-10-20,17.12,17.0,394500,17.12,17.0
2023-10-23,16.94,16.85,31000,16.94,16.85
2023-10-24,16.68,16.86,36500,16.86,16.68
2023-10-25,17.0,16.97,252500,17.0,16.97
2023-10-26,16.8,17.29,31000,17.29,16.8
2023-10-27,16.98,16.99,104000,16.99,16.98
2023-10-30,17.0,16.87,54500,17.0,16.87
2023-10-31,16.8,16.8,119500,16.8,16.8
2023-11-01,16.8,16.8,134000,16.8,16.8
2023-11-02,16.87,16.97,112500,16.97,16.87
2023-11-03,16.72,16.9,61000,16.9,16.72
2023-11-06,17.43,16.69,397000,17.43,16.69
2023-11-07,17.25,17.7,149000,17.7,17.25
2023-11-08,17.41,17.22,50000,17.41,17.22
2023-11-10,17.43,17.2,177500,17.43,17.2
2023-11-13,18.04,17.69,717000,18.04,17.69
2023-11-14,19.39,18.2,654000,19.39,18.2
2023-11-15,20.84,19.9,937500,20.84,19.9
2023-11-16,22.28,22.3,1313500,22.3,22.28
2023-11-17,21.11,22.49,328000,22.49,21.11
2023-11-20,20.65,20.8,503000,20.8,20.65
2023-11-21,20.7,20.76,1069500,20.76,20.7
2023-11-22,20.53,20.81,168000,20.81,20.53
2023-11-23,20.75,20.51,242500,20.75,20.51
2023-11-24,20.44,21.15,334500,21.15,20.44
2023-11-27,21.24,20.62,87000,21.24,20.62
2023-11-28,22.83,21.5,1031000,22.83,21.5
2023-11-29,24.47,24.44,714500,24.47,24.44
2023-11-30,26.31,25.0,1117000,26.31,25.0
2023-12-01,26.96,26.54,999500,26.96,26.54
2023-12-04,26.48,27.45,377500,27.45,26.48
2023-12-05,26.01,26.0,210500,26.01,26.0
2023-12-06,26.29,25.55,349500,26.29,25.55
2023-12-07,27.02,26.72,1107000,27.02,26.72
2023-12-08,26.57,27.0,241000,27.0,26.57
2023-12-11,26.3,26.25,314500,26.3,26.25
2023-12-12,26.24,26.3,343000,26.3,26.24
2023-12-13,25.32,26.5,328000,26.5,25.32
2023-12-14,25.01,24.85,22000,25.01,24.85
2023-12-15,23.95,25.05,28500,25.05,23.95
2023-12-18,25.0,24.01,1040500,25.0,24.01
2023-12-19,25.04,24.26,1251000,25.04,24.26
2023-12-20,23.33,24.14,209500,24.14,23.33
2023-12-21,25.08,23.2,737500,25.08,23.2
2023-12-22,25.95,25.49,544500,25.95,25.49
2023-12-26,27.9,25.75,2009500,27.9,25.75
2023-12-27,28.38,28.99,428500,28.99,28.38
2023-12-28,29.17,28.62,222500,29.17,28.62
2023-12-29,28.98,30.8,183000,30.8,28.98
2024-01-01,29.01,28.98,260000,29.01,28.98
2024-01-02,28.04,29.44,226000,29.44,28.04
2024-01-03,27.72,27.7,90500,27.72,27.7
2024-01-04,26.94,27.5,27000,27.5,26.94
2024-01-05,26.83,26.87,49500,26.87,26.83
2024-01-08,26.5,26.83,15000,26.83,26.5
2024-01-09,26.35,26.51,312500,26.51,26.35
2024-01-10,28.33,26.26,917500,28.33,26.26
2024-01-11,28.4,28.53,387000,28.53,28.4
2024-01-12,28.29,28.09,206000,28.29,28.09
2024-01-15,28.37,28.07,134500,28.37,28.07
2024-01-16,28.13,28.51,153500,28.51,28.13
2024-01-17,28.5,28.13,32500,28.5,28.13
2024-01-18,28.0,28.0,62500,28.0,28.0
2024-01-19,28.12,28.05,11000,28.12,28.05
2024-01-22,28.5,28.5,3000,28.5,28.5
2024-01-23,27.1,27.65,45500,27.65,27.1
2024-01-24,27.48,27.02,29000,27.48,27.02
2024-01-25,27.01,27.01,1505000,27.01,27.01
2024-01-26,27.33,27.01,1026500,27.33,27.01
2024-01-29,27.45,27.01,1000,27.45,27.01
2024-01-30,25.65,26.52,20000,26.52,25.65
2024-01-31,25.2,26.35,145500,26.35,25.2
2024-02-01,24.13,25.0,275000,25.0,24.13
2024-02-02,24.0,24.99,417000,24.99,24.0
2024-02-06,24.71,24.1,245500,24.71,24.1
2024-02-07,24.5,24.8,188000,24.8,24.5
2024-02-09,24.15,23.79,96500,24.15,23.79
2024-02-12,24.0,24.0,288000,24.0,24.0
2024-02-13,23.66,23.89,12000,23.89,23.66
2024-02-14,24.65,24.0,330500,24.65,24.0
2024-02-15,24.63,25.5,47000,25.5,24.63
2024-02-16,24.0,25.35,131500,25.35,24.0
2024-02-19,23.88,23.99,12500,23.99,23.88
2024-02-20,24.0,23.98,4500,24.0,23.98
2024-02-21,24.0,24.24,38000,24.24,24.0
2024-02-23,23.98,24.0,6500,24.0,23.98
2024-02-27,23.25,23.5,32500,23.5,23.25
2024-02-28,23.9,23.5,34000,23.9,23.5
2024-02-29,23.52,23.91,80000,23.91,23.52
2024-03-01,23.48,23.1,82000,23.48,23.1
2024-03-04,22.21,23.07,229500,23.07,22.21
2024-03-05,22.32,22.5,182000,22.5,22.32
2024-03-06,23.09,22.89,111500,23.09,22.89
2024-03-07,24.32,23.0,1092000,24.32,23.0
2024-03-08,24.95,24.82,450000,24.95,24.82
2024-03-11,25.08,25.0,333000,25.08,25.0
2024-03-12,23.8,23.25,16500,23.8,23.25
2024-03-13,23.71,23.19,1500,23.71,23.19
2024-03-14,24.0,23.85,16000,24.0,23.85
2024-03-15,23.99,23.99,4000,23.99,23.99
2024-03-18,23.73,23.4,17000,23.73,23.4
2024-03-19,23.69,23.99,2500,23.99,23.69
2024-03-20,23.0,23.7,69000,23.7,23.0
2024-03-21,22.33,22.94,41500,22.94,22.33
2024-03-22,22.07,22.35,115000,22.35,22.07
2024-03-25,22.22,22.93,30500,22.93,22.22
2024-03-26,22.71,22.05,80000,22.71,22.05
2024-03-27,23.24,22.43,24500,23.24,22.43
2024-03-28,23.4,23.39,4500,23.4,23.39
2024-03-29,22.8,23.0,7500,23.0,22.8
2024-04-01,22.75,23.32,1500,23.32,22.75
2024-04-03,24.06,22.75,411500,24.06,22.75
2024-04-04,23.17,23.94,54500,23.94,23.17
2024-04-08,23.08,24.75,35000,24.75,23.08
2024-04-09,23.15,23.55,14000,23.55,23.15
2024-04-15,23.18,22.61,62000,23.18,22.61
2024-04-16,22.63,22.76,49500,22.76,22.63
2024-04-17,22.94,22.41,30500,22.94,22.41
2024-04-18,22.99,22.5,164500,22.99,22.5
2024-04-19,22.81,22.61,24000,22.81,22.61
2024-04-22,23.65,23.0,663000,23.65,23.0
2024-04-23,23.9,23.51,237000,23.9,23.51
2024-04-24,24.17,23.94,452000,24.17,23.94
2024-04-25,23.44,24.2,285500,24.2,23.44
2024-04-26,24.34,23.52,286000,24.34,23.52
2024-04-29,23.66,24.7,97500,24.7,23.66
2024-04-30,23.46,23.55,59000,23.55,23.46
2024-05-02,23.52,23.52,210000,23.52,23.52
2024-05-03,24.11,23.5,420500,24.11,23.5
2024-05-06,24.32,24.2,325000,24.32,24.2
2024-05-07,24.5,25.49,148500,25.49,24.5
2024-05-08,24.5,24.79,95500,24.79,24.5
2024-05-09,25.21,24.51,745000,25.21,24.51
2024-05-10,27.1,25.5,1924500,27.1,25.5
2024-05-13,29.13,29.13,304000,29.13,29.13
2024-05-14,31.31,31.31,3264000,31.31,31.31
2024-05-15,33.54,33.6,2847000,33.6,33.54
2024-05-16,32.43,34.99,3130000,34.99,32.43
2024-05-17,34.86,32.5,2610500,34.86,32.5
2024-05-20,32.4,36.67,2434000,36.67,32.4
2024-05-21,32.15,31.55,3551500,32.15,31.55
2024-05-22,29.9,32.5,1815500,32.5,29.9
2024-05-23,29.48,28.85,587000,29.48,28.85
2024-05-24,30.19,30.45,358000,30.45,30.19
2024-05-27,29.51,30.5,188798,30.5,29.51
2024-05-29,28.11,29.2,467140,29.2,28.11
2024-05-30,30.07,28.49,1818415,30.07,28.49
2024-05-31,30.21,30.5,1055854,30.5,30.21
2024-06-03,30.63,30.0,880842,30.63,30.0
2024-06-04,30.77,31.0,1020742,31.0,30.77
2024-06-05,30.64,31.0,575338,31.0,30.64
2024-06-06,29.92,30.95,545772,30.95,29.92
2024-06-07,32.31,29.69,1913278,32.31,29.69
2024-06-10,32.22,34.49,1370246,34.49,32.22
2024-06-11,32.61,32.99,1269967,32.99,32.61
2024-06-12,32.07,32.3,172208,32.3,32.07
2024-06-13,34.79,32.16,2563526,34.79,32.16
2024-06-14,33.47,35.69,486311,35.69,33.47
2024-06-20,32.18,34.0,457604,34.0,32.18
2024-06-21,31.61,33.02,717349,33.02,31.61
2024-06-24,30.62,31.15,615317,31.15,30.62
2024-06-25,30.01,30.11,436974,30.11,30.01
2024-06-26,29.89,30.1,296180,30.1,29.89
2024-06-27,28.59,30.39,877713,30.39,28.59
2024-06-28,30.98,28.99,1180292,30.98,28.99
2024-07-01,31.23,31.44,1096391,31.44,31.23
2024-07-02,31.3,31.49,467905,31.49,31.3
2024-07-03,30.9,31.68,329084,31.68,30.9
2024-07-04,30.83,30.99,177825,30.99,30.83
2024-07-05,30.09,30.22,120353,30.22,30.09
2024-07-08,30.73,30.12,209467,30.73,30.12
2024-07-09,31.02,30.9,268323,31.02,30.9
2024-07-10,30.17,30.87,190705,30.87,30.17
2024-07-11,29.48,30.23,458054,30.23,29.48
2024-07-12,29.01,29.5,337495,29.5,29.01
2024-07-15,30.65,29.5,802279,30.65,29.5
2024-07-18,31.28,31.4,982642,31.4,31.28
2024-07-19,31.24,31.3,836955,31.3,31.24
2024-07-22,30.84,31.33,460231,31.33,30.84
2024-07-23,30.41,31.3,687329,31.3,30.41
2024-07-24,30.24,30.48,131550,30.48,30.24
2024-07-25,30.32,30.49,185469,30.49,30.32
2024-07-26,30.24,30.0,177481,30.24,30.0
2024-07-29,30.95,30.01,210644,30.95,30.01
2024-07-30,29.7,31.2,483447,31.2,29.7
2024-07-31,28.6,29.5,198588,29.5,28.6
2024-08-01,29.54,29.0,189501,29.54,29.0
2024-08-02,28.32,29.0,411235,29.0,28.32
2024-08-05,27.87,28.83,126910,28.83,27.87
2024-08-06,27.64,28.6,142780,28.6,27.64
2024-08-07,28.3,27.5,517915,28.3,27.5
2024-08-08,28.29,28.8,97170,28.8,28.29
2024-08-09,28.63,28.65,202371,28.65,28.63
2024-08-12,27.76,29.1,112592,29.1,27.76
2024-08-13,27.23,27.55,418426,27.55,27.23
2024-08-15,27.74,27.79,235770,27.79,27.74
2024-08-16,29.04,27.52,1700460,29.04,27.52
2024-08-19,28.58,29.04,390860,29.04,28.58
2024-08-20,28.6,28.21,211315,28.6,28.21
2024-08-21,29.69,29.0,582601,29.69,29.0
2024-08-22,30.34,30.49,810111,30.49,30.34
2024-08-23,29.64,30.06,713204,30.06,29.64
2024-08-26,29.08,29.99,228477,29.99,29.08
2024-08-27,28.25,29.0,404046,29.0,28.25
2024-08-28,28.14,28.5,197498,28.5,28.14
2024-08-29,28.38,28.01,239289,28.38,28.01
2024-08-30,28.06,28.5,211557,28.5,28.06
2024-09-02,27.84,27.91,136834,27.91,27.84
2024-09-03,27.9,28.0,200816,28.0,27.9
2024-09-04,28.66,28.35,2741090,28.66,28.35
2024-09-05,28.22,28.99,586801,28.99,28.22
2024-09-06,27.4,28.22,462812,28.22,27.4
2024-09-09,27.06,27.21,500867,27.21,27.06
2024-09-10,28.0,27.99,1608714,28.0,27.99
2024-09-11,27.83,28.39,334322,28.39,27.83
2024-09-12,28.41,27.9,881444,28.41,27.9
2024-09-13,27.85,29.5,1513418,29.5,27.85
2024-09-16,27.77,27.99,259858,27.99,27.77
2024-09-18,27.63,27.52,139555,27.63,27.52
2024-09-19,27.41,27.8,402496,27.8,27.41
2024-09-20,27.08,27.7,521295,27.7,27.08
2024-09-23,27.16,27.25,451555,27.25,27.16
2024-09-24,27.16,27.25,316117,27.25,27.16
2024-09-25,27.49,27.18,418422,27.49,27.18
2024-09-26,25.49,27.85,1109780,27.85,25.49
2024-09-27,24.36,25.11,483065,25.11,24.36
2024-09-30,24.96,24.66,209850,24.96,24.66
2024-10-01,26.1,25.24,489136,26.1,25.24
2024-10-02,25.93,26.35,280758,26.35,25.93
2024-10-03,26.69,25.57,1186494,26.69,25.57
2024-10-04,26.3,26.76,431281,26.76,26.3
2024-10-07,26.51,25.86,275570,26.51,25.86
2024-10-08,26.53,26.25,474253,26.53,26.25
2024-10-09,26.61,27.1,214807,27.1,26.61
2024-10-10,26.11,26.53,275523,26.53,26.11
2024-10-11,25.97,26.02,520789,26.02,25.97
2024-10-14,25.95,25.83,158444,25.95,25.83
2024-10-15,26.0,25.52,92911,26.0,25.52
2024-10-16,25.76,26.1,257802,26.1,25.76
2024-10-17,25.69,25.8,189439,25.8,25.69
2024-10-18,27.99,26.28,2649384,27.99,26.28
2024-10-21,30.79,29.05,3190897,30.79,29.05
2024-10-22,29.19,31.95,5755856,31.95,29.19
2024-10-23,32.11,29.45,4199818,32.11,29.45
2024-10-24,35.32,33.9,5765636,35.32,33.9
2024-10-25,38.77,36.15,11200050,38.77,36.15
2024-10-28,41.65,39.0,5247792,41.65,39.0
2024-10-29,40.01,42.97,4810796,42.97,40.01
2024-10-30,39.03,40.47,4642617,40.47,39.03
2024-10-31,38.0,39.7,2070957,39.7,38.0
2024-11-01,40.69,38.7,1966938,40.69,38.7
2024-11-04,44.53,41.5,8156849,44.53,41.5
2024-11-05,45.83,46.38,5101152,46.38,45.83
2024-11-06,42.21,46.0,2579172,46.0,42.21
2024-11-07,41.37,41.6,2048463,41.6,41.37
2024-11-08,42.12,41.75,1974153,42.12,41.75
2024-11-11,41.63,42.31,586944,42.31,41.63
2024-11-12,40.94,41.66,687502,41.66,40.94
2024-11-13,41.11,41.2,1308539,41.2,41.11
2024-11-14,40.44,41.5,701651,41.5,40.44
2024-11-15,39.29,40.98,1263602,40.98,39.29
2024-11-18,38.47,39.1,469310,39.1,38.47
2024-11-19,41.64,38.99,2443506,41.64,38.99
2024-11-20,41.01,42.0,1432030,42.0,41.01
2024-11-21,40.44,40.99,886080,40.99,40.44
2024-11-22,40.07,40.2,820645,40.2,40.07
2024-11-25,39.53,40.08,363813,40.08,39.53
2024-11-26,35.65,39.6,1471369,39.6,35.65
2024-11-27,37.95,37.49,1105400,37.95,37.49
2024-11-28,39.65,38.02,1792071,39.65,38.02
2024-11-29,39.11,40.0,5763381,40.0,39.11
2024-12-02,40.79,39.85,5619101,40.79,39.85
2024-12-03,40.07,41.0,5889251,41.0,40.07
2024-12-04,40.14,40.48,2140158,40.48,40.14
2024-12-05,42.17,40.75,6253932,42.17,40.75
2024-12-06,42.31,42.95,2735525,42.95,42.31
2024-12-09,43.15,42.9,2707819,43.15,42.9
2024-12-10,41.96,43.49,5097694,43.49,41.96
2024-12-11,46.16,42.5,6772432,46.16,42.5
2024-12-12,50.78,48.49,1564498,50.78,48.49
2024-12-13,54.51,55.86,9021162,55.86,54.51
2024-12-16,54.58,54.75,5501413,54.75,54.58
2024-12-17,51.44,54.58,2586232,54.58,51.44
2024-12-18,48.16,52.0,2235390,52.0,48.16
2024-12-19,46.74,46.99,3390742,46.99,46.74
2024-12-20,50.68,46.0,2326680,50.68,46.0
2024-12-23,51.36,52.88,2778342,52.88,51.36
2024-12-24,48.43,51.8,1511531,51.8,48.43
2024-12-26,46.6,48.44,1265018,48.44,46.6
