date,close,open,volume,high,low
2020-01-07,4.2,4.2,500,4.2,4.2
2020-01-08,4.0,4.04,3500,4.04,4.0
2020-01-09,4.99,4.4,30000,4.99,4.4
2020-01-10,5.99,5.9,19500,5.99,5.9
2020-01-13,6.99,6.99,7500,6.99,6.99
2020-01-14,7.99,7.99,2500,7.99,7.99
2020-01-15,6.99,8.99,233500,8.99,6.99
2020-01-16,6.5,6.9,10000,6.9,6.5
2020-01-21,5.5,5.76,13500,5.76,5.5
2020-01-24,5.2,4.85,3000,5.2,4.85
2020-01-27,4.88,4.67,7000,4.88,4.67
2020-01-29,4.79,4.73,1000,4.79,4.73
2020-01-31,4.9,4.61,3500,4.9,4.61
2020-02-03,5.25,4.62,2000,5.25,4.62
2020-02-04,5.5,4.65,2500,5.5,4.65
2020-02-06,5.27,5.27,500,5.27,5.27
2020-02-10,4.62,4.62,3000,4.62,4.62
2020-11-16,5.62,5.62,1500,5.62,5.62
2020-11-17,6.62,6.62,2500,6.62,6.62
2020-11-18,7.62,7.62,173500,7.62,7.62
2020-11-19,8.61,7.99,116500,8.61,7.99
2020-11-20,7.66,9.62,200500,9.62,7.66
2020-11-23,7.27,7.7,32500,7.7,7.27
2020-11-24,7.06,7.3,18000,7.3,7.06
2020-11-25,6.54,7.01,26000,7.01,6.54
2020-11-26,7.52,6.75,32000,7.52,6.75
2020-11-27,7.59,7.89,17500,7.89,7.59
2020-11-30,7.01,7.01,500,7.01,7.01
2020-12-01,6.9,7.01,10000,7.01,6.9
2020-12-02,6.81,6.71,2500,6.81,6.71
2020-12-03,7.15,7.5,8000,7.5,7.15
2020-12-04,7.0,7.0,2000,7.0,7.0
2020-12-07,7.3,7.12,2000,7.3,7.12
2020-12-08,7.0,7.3,16500,7.3,7.0
2020-12-09,7.09,7.3,12000,7.3,7.09
2020-12-10,7.0,7.15,7000,7.15,7.0
2020-12-11,6.89,7.28,7000,7.28,6.89
2020-12-14,6.32,6.51,39000,6.51,6.32
2020-12-15,6.36,6.36,1500,6.36,6.36
2020-12-16,6.1,6.1,500,6.1,6.1
2020-12-17,7.1,6.01,47500,7.1,6.01
2020-12-18,7.72,7.5,49000,7.72,7.5
2020-12-21,7.5,7.5,11500,7.5,7.5
2020-12-22,7.0,7.1,22500,7.1,7.0
2020-12-23,7.25,7.3,4500,7.3,7.25
2020-12-24,7.3,7.1,3500,7.3,7.1
2020-12-28,7.3,7.25,7500,7.3,7.25
2020-12-29,7.01,7.01,4500,7.01,7.01
2020-12-30,7.25,7.05,11500,7.25,7.05
2020-12-31,7.3,7.38,5500,7.38,7.3
2021-01-01,7.3,7.4,4500,7.4,7.3
2021-01-04,7.13,7.2,3500,7.2,7.13
2021-01-05,7.25,7.25,2000,7.25,7.25
2021-01-07,7.5,7.25,10500,7.5,7.25
2021-01-11,7.02,7.11,22000,7.11,7.02
2021-01-12,7.22,7.16,1000,7.22,7.16
2021-01-13,7.82,7.28,15500,7.82,7.28
2021-01-14,7.8,7.5,10000,7.8,7.5
2021-01-15,7.25,7.5,9000,7.5,7.25
2021-01-18,7.6,7.3,10500,7.6,7.3
2021-01-19,8.6,7.5,58000,8.6,7.5
2021-01-20,9.6,9.49,132500,9.6,9.49
2021-01-21,10.6,10.5,89000,10.6,10.5
2021-01-22,11.6,11.49,43000,11.6,11.49
2021-01-25,10.66,12.6,237000,12.6,10.66
2021-01-26,10.24,10.66,152000,10.66,10.24
2021-01-27,10.61,10.66,65000,10.66,10.61
2021-01-28,10.05,10.0,11000,10.05,10.0
2021-01-29,10.1,10.0,4000,10.1,10.0
2021-02-01,9.41,9.92,17000,9.92,9.41
2021-02-02,9.5,9.6,6000,9.6,9.5
2021-02-03,9.22,9.16,3500,9.22,9.16
2021-02-04,9.05,9.03,6000,9.05,9.03
2021-02-08,9.26,9.03,7000,9.26,9.03
2021-02-09,9.02,8.76,10500,9.02,8.76
2021-02-10,9.57,8.77,9500,9.57,8.77
2021-02-11,9.57,8.57,9500,9.57,8.57
2021-02-12,9.64,8.7,1500,9.64,8.7
2021-02-15,9.09,8.72,1500,9.09,8.72
2021-02-16,8.6,8.52,6000,8.6,8.52
2021-02-17,9.6,9.0,48500,9.6,9.0
2021-02-18,10.6,10.6,34000,10.6,10.6
2021-02-19,10.77,11.2,43000,11.2,10.77
2021-02-22,10.6,10.8,16500,10.8,10.6
2021-02-23,10.58,11.0,23000,11.0,10.58
2021-02-24,10.24,10.56,8000,10.56,10.24
2021-03-01,10.28,9.26,10500,10.28,9.26
2021-03-02,9.38,9.41,2000,9.41,9.38
2021-03-04,9.5,8.61,4500,9.5,8.61
2021-03-05,10.4,10.25,3500,10.4,10.25
2021-03-08,10.35,9.51,2000,10.35,9.51
2021-03-09,9.61,9.61,1000,9.61,9.61
2021-03-10,9.59,9.59,1000,9.59,9.59
2021-03-11,9.65,8.61,2500,9.65,8.61
2021-03-12,9.0,9.88,1500,9.88,9.0
2021-03-15,9.85,8.2,8000,9.85,8.2
2021-03-16,9.69,9.0,2000,9.69,9.0
2021-03-17,9.08,9.01,14000,9.08,9.01
2021-03-24,8.6,8.6,9500,8.6,8.6
2021-03-25,9.0,9.0,1000,9.0,9.0
2021-03-30,8.85,8.01,1500,8.85,8.01
2021-03-31,9.14,8.5,1500,9.14,8.5
2021-04-02,9.0,9.0,1500,9.0,9.0
2021-04-05,8.75,8.9,1500,8.9,8.75
2021-04-06,8.5,8.75,2500,8.75,8.5
2021-04-07,9.43,9.43,500,9.43,9.43
2021-04-09,8.44,8.51,21500,8.51,8.44
2021-04-13,8.3,8.31,9500,8.31,8.3
2021-04-15,8.49,8.49,1500,8.49,8.49
2021-04-20,8.98,8.98,500,8.98,8.98
2021-04-22,9.5,8.99,30500,9.5,8.99
2021-04-23,9.0,9.0,17500,9.0,9.0
2021-04-26,9.15,9.0,24500,9.15,9.0
2021-04-27,9.5,9.48,1500,9.5,9.48
2021-05-04,9.17,8.51,2500,9.17,8.51
2021-05-05,9.34,9.34,500,9.34,9.34
2021-05-17,9.0,9.34,3500,9.34,9.0
2021-05-18,10.0,9.01,233000,10.0,9.01
2021-05-19,9.6,10.6,151500,10.6,9.6
2021-05-20,9.99,10.0,237500,10.0,9.99
2021-05-21,9.44,10.25,50500,10.25,9.44
2021-05-24,9.4,9.79,3000,9.79,9.4
2021-05-25,9.36,9.3,21000,9.36,9.3
2021-05-26,9.02,9.5,23000,9.5,9.02
2021-05-27,9.24,9.0,23000,9.24,9.0
2021-05-28,9.0,9.24,6000,9.24,9.0
2021-05-31,9.59,9.25,54000,9.59,9.25
2021-06-01,10.26,9.7,44500,10.26,9.7
2021-06-02,9.76,10.4,8500,10.4,9.76
2021-06-03,10.0,9.5,9000,10.0,9.5
2021-06-04,10.86,10.25,269000,10.86,10.25
2021-06-07,10.35,10.95,33000,10.95,10.35
2021-06-08,10.02,10.38,16000,10.38,10.02
2021-06-09,9.92,9.99,13000,9.99,9.92
2021-06-10,10.06,10.1,34000,10.1,10.06
2021-06-11,10.19,10.26,2500,10.26,10.19
2021-06-14,10.08,10.4,3500,10.4,10.08
2021-06-15,10.0,9.51,1500,10.0,9.51
2021-06-16,10.03,10.25,6000,10.25,10.03
2021-06-17,10.05,10.25,5000,10.25,10.05
2021-06-18,10.1,10.4,4000,10.4,10.1
2021-06-21,10.68,10.25,71000,10.68,10.25
2021-06-22,10.5,10.8,16000,10.8,10.5
2021-06-23,10.8,10.5,21000,10.8,10.5
2021-06-24,10.85,10.95,10000,10.95,10.85
2021-06-25,11.1,11.0,34500,11.1,11.0
2021-06-28,10.56,10.75,34000,10.75,10.56
2021-06-29,10.62,10.6,2500,10.62,10.6
2021-06-30,10.57,11.4,61500,11.4,10.57
2021-07-01,11.15,11.15,500,11.15,11.15
2021-07-02,10.85,10.85,2000,10.85,10.85
2021-07-05,10.06,10.06,1000,10.06,10.06
2021-07-06,10.1,10.1,2500,10.1,10.1
2021-07-07,10.49,10.49,500,10.49,10.49
2021-07-08,10.7,10.75,2000,10.75,10.7
2021-07-09,10.75,11.1,3500,11.1,10.75
2021-07-12,10.21,10.21,500,10.21,10.21
2021-07-13,10.01,10.01,500,10.01,10.01
2021-07-14,10.37,10.7,113000,10.7,10.37
2021-07-16,10.05,10.43,6000,10.43,10.05
2021-07-28,9.75,9.75,3000,9.75,9.75
2021-07-30,10.0,10.0,500,10.0,10.0
2021-08-02,10.0,10.25,1500,10.25,10.0
2021-08-04,10.45,10.45,500,10.45,10.45
2021-08-05,10.4,9.9,109000,10.4,9.9
2021-08-09,9.77,10.6,2000,10.6,9.77
2021-08-10,9.5,9.5,500,9.5,9.5
2021-08-13,9.99,9.9,1500,9.99,9.9
2021-08-16,9.31,9.5,4000,9.5,9.31
2021-08-17,9.89,9.5,19500,9.89,9.5
2021-08-20,9.44,9.4,10500,9.44,9.4
2021-08-23,9.49,9.5,3500,9.5,9.49
2021-08-24,9.67,9.5,2500,9.67,9.5
2021-08-25,9.5,9.74,2000,9.74,9.5
2021-08-26,9.55,9.5,6000,9.55,9.5
2021-08-31,9.5,9.5,10500,9.5,9.5
2021-09-01,10.23,9.75,24500,10.23,9.75
2021-09-02,10.3,10.49,9000,10.49,10.3
2021-09-03,10.7,10.7,500,10.7,10.7
2021-09-06,10.45,10.45,500,10.45,10.45
2021-09-07,10.3,10.9,2000,10.9,10.3
2021-09-08,10.0,10.9,1000,10.9,10.0
2021-09-09,10.39,10.39,500,10.39,10.39
2021-09-10,9.94,10.8,9500,10.8,9.94
2021-09-13,10.55,9.53,2500,10.55,9.53
2021-09-14,10.41,11.1,4500,11.1,10.41
2021-09-15,9.77,11.14,2500,11.14,9.77
2021-09-16,10.0,10.0,13000,10.0,10.0
2021-09-17,10.9,10.9,500,10.9,10.9
2021-09-20,9.98,9.9,11000,9.98,9.9
2021-09-22,9.89,10.2,6500,10.2,9.89
2021-09-23,10.39,9.85,1500,10.39,9.85
2021-09-24,9.41,9.39,2500,9.41,9.39
2021-09-27,10.17,10.17,1000,10.17,10.17
2021-09-28,10.23,9.17,2000,10.23,9.17
2021-09-29,9.8,9.8,500,9.8,9.8
2021-09-30,10.48,10.75,1500,10.75,10.48
2021-10-01,9.5,9.5,2000,9.5,9.5
2021-10-04,9.65,10.45,1500,10.45,9.65
2021-10-05,10.15,10.6,3500,10.6,10.15
2021-10-06,11.14,10.14,19500,11.14,10.14
2021-10-07,10.14,10.14,1000,10.14,10.14
