date,close,open,volume,high,low
2021-02-26,263.6,269.98,71700,269.98,263.6
2021-03-01,255.46000000000004,259.0,129800,259.0,255.46000000000004
2021-03-02,275.29,255.98000000000002,359500,275.29,255.98000000000002
2021-03-03,283.83000000000004,277.99,432700,283.83000000000004,277.99
2021-03-04,272.06,267.08000000000004,134300,272.06,267.08000000000004
2021-03-05,270.42,272.48,54500,272.48,270.42
2021-03-08,266.70000000000005,274.48,73500,274.48,266.70000000000005
2021-03-09,250.11,262.5,144800,262.5,250.11
2021-03-10,233.0,251.48000000000002,156700,251.48000000000002,233.0
2021-03-11,217.36999999999998,232.07999999999998,123600,232.07999999999998,217.36999999999998
2021-03-12,230.26,211.98,182900,230.26,211.98
2021-03-15,248.53000000000003,237.98,248700,248.53000000000003,237.98
2021-03-16,247.55,253.98000000000002,119900,253.98000000000002,247.55
2021-03-17,257.1,255.97000000000003,259700,257.1,255.97000000000003
2021-03-18,242.87,257.1,176000,257.1,242.87
2021-03-19,247.60000000000002,248.98000000000002,140800,248.98000000000002,247.60000000000002
2021-03-22,247.5,247.58000000000004,140700,247.58000000000004,247.5
2021-03-24,248.5,247.33000000000004,150500,248.5,247.33000000000004
2021-03-25,259.52000000000004,249.98000000000002,607300,259.52000000000004,249.98000000000002
2021-03-26,256.71000000000004,258.98,165400,258.98,256.71000000000004
2021-03-29,242.79000000000002,256.09000000000003,123800,256.09000000000003,242.79000000000002
2021-03-30,247.64000000000004,239.98,138200,247.64000000000004,239.98
2021-03-31,254.75,251.98000000000002,649500,254.75,251.98000000000002
2021-04-01,250.18,260.45000000000005,127800,260.45000000000005,250.18
2021-04-02,262.5,256.93,502000,262.5,256.93
2021-04-05,264.42,265.97,584800,265.97,264.42
2021-04-06,271.29,264.42,385700,271.29,264.42
2021-04-07,260.52000000000004,272.0,220200,272.0,260.52000000000004
2021-04-08,270.3,264.48,218700,270.3,264.48
2021-04-09,270.68,273.48,173400,273.48,270.68
2021-04-12,269.42,268.53000000000003,76700,269.42,268.53000000000003
2021-04-13,270.43,265.98,331400,270.43,265.98
2021-04-14,281.27000000000004,274.98,360800,281.27000000000004,274.98
2021-04-15,281.83000000000004,283.18,274900,283.18,281.83000000000004
2021-04-16,282.93,280.98,246800,282.93,280.98
2021-04-19,293.56,276.98,535200,293.56,276.98
2021-04-20,298.84000000000003,295.47,279500,298.84000000000003,295.47
2021-04-21,290.81,297.98,147900,297.98,290.81
2021-04-22,277.03000000000003,286.99,76800,286.99,277.03000000000003
2021-04-23,275.87,274.98,124100,275.87,274.98
2021-04-26,272.81,269.99,69700,272.81,269.99
2021-04-27,271.25,271.98,39700,271.98,271.25
2021-04-28,270.84000000000003,271.3,45500,271.3,270.84000000000003
2021-04-29,266.81,270.84000000000003,24100,270.84000000000003,266.81
2021-04-30,263.22,268.48,28100,268.48,263.22
2021-05-03,262.46000000000004,262.98,56300,262.98,262.46000000000004
2021-05-04,279.70000000000005,267.98,176200,279.70000000000005,267.98
2021-05-05,280.99,283.48,61200,283.48,280.99
2021-05-06,279.58000000000004,281.98,13700,281.98,279.58000000000004
2021-05-17,289.92,289.98,142500,289.98,289.92
2021-05-18,288.46000000000004,289.98,111600,289.98,288.46000000000004
2021-05-19,289.93,288.98,206800,289.93,288.98
2021-05-20,290.23,291.98,115500,291.98,290.23
