date,close,open,volume,high,low
2023-09-25,22.18,22.11,642500,22.18,22.11
2023-09-26,22.22,22.15,89500,22.22,22.15
2023-09-27,22.24,22.5,107000,22.5,22.24
2023-09-28,21.88,22.21,301000,22.21,21.88
2023-10-02,21.7,22.01,310000,22.01,21.7
2023-10-03,21.67,21.5,75000,21.67,21.5
2023-10-04,21.67,21.79,60500,21.79,21.67
2023-10-05,22.13,21.83,460000,22.13,21.83
2023-10-06,22.48,22.39,128500,22.48,22.39
2023-10-09,23.31,22.45,703500,23.31,22.45
2023-10-10,23.1,23.26,331500,23.26,23.1
2023-10-11,24.11,23.17,1622000,24.11,23.17
2023-10-12,24.01,24.25,625000,24.25,24.01
2023-10-13,24.2,23.53,619000,24.2,23.53
2023-10-16,25.22,24.99,806000,25.22,24.99
2023-10-17,25.23,26.16,823000,26.16,25.23
2023-10-18,24.96,25.45,140000,25.45,24.96
2023-10-19,25.42,25.0,768500,25.42,25.0
2023-10-20,24.97,25.56,516500,25.56,24.97
2023-10-23,25.32,25.4,893500,25.4,25.32
2023-10-24,26.24,25.65,1025000,26.24,25.65
2023-10-25,26.23,26.37,1111500,26.37,26.23
2023-10-26,25.66,26.1,333500,26.1,25.66
2023-10-27,24.97,25.65,265000,25.65,24.97
2023-10-30,24.02,24.63,500000,24.63,24.02
2023-10-31,24.12,24.0,409500,24.12,24.0
2023-11-01,24.34,24.59,247500,24.59,24.34
2023-11-02,25.18,24.6,2889000,25.18,24.6
2023-11-03,25.23,25.4,667500,25.4,25.23
2023-11-06,26.6,25.45,1538500,26.6,25.45
2023-11-07,24.78,26.7,3962500,26.7,24.78
2023-11-08,24.62,24.62,513500,24.62,24.62
2023-11-10,25.16,24.93,642500,25.16,24.93
2023-11-13,27.05,25.5,3805000,27.05,25.5
2023-11-14,27.65,27.39,3951500,27.65,27.39
2023-11-15,28.17,27.75,1770000,28.17,27.75
2023-11-16,28.85,28.5,3888500,28.85,28.5
2023-11-17,28.95,28.84,2832500,28.95,28.84
2023-11-20,29.17,28.99,2261500,29.17,28.99
2023-11-21,29.87,29.5,2751000,29.87,29.5
2023-11-22,29.97,29.91,2036000,29.97,29.91
2023-11-23,29.66,30.2,1478500,30.2,29.66
2023-11-24,28.53,29.95,1704500,29.95,28.53
2023-11-27,28.85,28.61,759500,28.85,28.61
2023-11-28,28.84,29.0,855500,29.0,28.84
2023-11-29,28.34,28.9,810000,28.9,28.34
2023-11-30,27.92,28.09,429000,28.09,27.92
2023-12-01,28.72,27.9,357000,28.72,27.9
2023-12-04,28.98,29.39,1252000,29.39,28.98
2023-12-05,29.12,29.25,1204500,29.25,29.12
2023-12-06,29.37,29.3,1459500,29.37,29.3
2023-12-07,30.75,29.55,5276500,30.75,29.55
2023-12-08,30.73,30.9,1424000,30.9,30.73
2023-12-11,30.06,30.98,1287000,30.98,30.06
2023-12-12,30.11,30.39,552500,30.39,30.11
2023-12-13,29.74,30.4,3256000,30.4,29.74
2023-12-14,29.94,29.51,728000,29.94,29.51
2023-12-15,30.14,30.39,1248500,30.39,30.14
2023-12-18,30.04,30.49,714000,30.49,30.04
2023-12-19,27.87,29.32,914000,29.32,27.87
2023-12-20,26.34,27.72,1091000,27.72,26.34
2023-12-21,27.05,26.15,437000,27.05,26.15
2023-12-22,26.87,27.2,228500,27.2,26.87
2023-12-26,24.92,26.12,383000,26.12,24.92
2023-12-27,25.69,25.49,451000,25.69,25.49
2023-12-28,26.0,25.75,432000,26.0,25.75
2023-12-29,26.19,25.65,265000,26.19,25.65
2024-01-01,27.48,26.5,701000,27.48,26.5
2024-01-02,29.54,27.99,2020500,29.54,27.99
2024-01-03,29.17,30.59,3028500,30.59,29.17
2024-01-04,29.29,29.47,1175000,29.47,29.29
2024-01-05,28.19,29.5,1347500,29.5,28.19
2024-01-08,26.89,28.5,560500,28.5,26.89
2024-01-09,27.24,28.5,1019500,28.5,27.24
2024-01-10,27.15,27.08,174500,27.15,27.08
2024-01-11,26.56,27.39,1336500,27.39,26.56
2024-01-12,26.26,26.7,417000,26.7,26.26
2024-01-15,26.05,26.01,230000,26.05,26.01
2024-01-16,26.47,26.0,202000,26.47,26.0
2024-01-17,26.5,26.55,177000,26.55,26.5
2024-01-18,25.76,26.15,111000,26.15,25.76
2024-01-19,25.81,26.23,104000,26.23,25.81
2024-01-22,26.19,26.15,194000,26.19,26.15
2024-01-23,26.18,26.21,357500,26.21,26.18
2024-01-24,26.14,26.11,383000,26.14,26.11
2024-01-25,25.48,26.28,333000,26.28,25.48
2024-01-26,25.4,25.3,77500,25.4,25.3
2024-01-29,24.81,25.26,167500,25.26,24.81
2024-01-30,24.0,24.81,257000,24.81,24.0
2024-01-31,24.08,24.05,100000,24.08,24.05
2024-02-01,23.97,24.11,55500,24.11,23.97
2024-02-02,24.14,24.0,49500,24.14,24.0
2024-02-06,24.52,24.08,200500,24.52,24.08
2024-02-07,24.92,24.75,251500,24.92,24.75
2024-02-09,24.26,24.48,91500,24.48,24.26
2024-02-12,23.07,23.88,137000,23.88,23.07
2024-02-13,23.18,23.07,178500,23.18,23.07
2024-02-14,23.47,23.9,262000,23.9,23.47
2024-02-15,23.74,23.5,325000,23.74,23.5
2024-02-16,22.49,23.62,336000,23.62,22.49
2024-02-19,22.96,22.09,91000,22.96,22.09
2024-02-20,23.21,23.0,125500,23.21,23.0
2024-02-21,24.06,23.85,180000,24.06,23.85
2024-02-22,23.9,23.93,110000,23.93,23.9
2024-02-23,24.08,23.9,134500,24.08,23.9
2024-02-26,23.94,23.62,179000,23.94,23.62
2024-02-27,23.3,23.91,117000,23.91,23.3
2024-02-28,23.41,23.25,346500,23.41,23.25
2024-02-29,23.7,23.21,614000,23.7,23.21
2024-03-01,23.26,23.27,400500,23.27,23.26
2024-03-04,23.34,23.73,123000,23.73,23.34
2024-03-05,22.89,23.6,286000,23.6,22.89
2024-03-06,22.89,23.0,263000,23.0,22.89
2024-03-07,22.77,23.0,81500,23.0,22.77
