date,close,open,volume,high,low
2023-09-25,34.02,34.11,23000,34.11,34.02
2023-09-26,33.83,34.06,132000,34.06,33.83
2023-09-27,32.45,33.78,233500,33.78,32.45
2023-09-28,32.5,32.46,231000,32.5,32.46
2023-10-02,32.5,32.61,57000,32.61,32.5
2023-10-03,32.5,32.65,42000,32.65,32.5
2023-10-04,32.49,32.01,76500,32.49,32.01
2023-10-05,32.67,32.75,260500,32.75,32.67
2023-10-06,33.97,33.0,335000,33.97,33.0
2023-10-09,34.25,33.63,146000,34.25,33.63
2023-10-10,34.03,34.5,116000,34.5,34.03
2023-10-11,34.09,34.8,166000,34.8,34.09
2023-10-12,34.02,33.82,180000,34.02,33.82
2023-10-13,34.67,34.29,309000,34.67,34.29
2023-10-16,34.45,35.1,126500,35.1,34.45
2023-10-17,34.01,34.75,133000,34.75,34.01
2023-10-18,34.74,34.4,178500,34.74,34.4
2023-10-19,31.12,29.9,200500,31.12,29.9
2023-10-20,30.99,31.14,166000,31.14,30.99
2023-10-23,31.16,31.01,141000,31.16,31.01
2023-10-24,31.08,31.4,72000,31.4,31.08
2023-10-25,31.03,31.01,137500,31.03,31.01
2023-10-26,30.49,31.1,169000,31.1,30.49
2023-10-27,30.2,31.48,34500,31.48,30.2
2023-10-30,30.81,29.51,14500,30.81,29.51
2023-10-31,30.9,30.94,9000,30.94,30.9
2023-11-01,30.75,31.0,48500,31.0,30.75
2023-11-02,30.93,30.95,53500,30.95,30.93
2023-11-03,32.0,30.7,301500,32.0,30.7
2023-11-06,33.15,32.2,392000,33.15,32.2
2023-11-07,34.22,33.0,785500,34.22,33.0
2023-11-08,35.38,34.67,188000,35.38,34.67
2023-11-10,35.39,37.75,343500,37.75,35.39
2023-11-13,35.27,35.5,263500,35.5,35.27
2023-11-14,35.92,35.5,706500,35.92,35.5
2023-11-15,38.47,37.99,705000,38.47,37.99
2023-11-16,37.0,38.5,424500,38.5,37.0
2023-11-17,37.19,36.35,169000,37.19,36.35
2023-11-20,37.74,38.0,301000,38.0,37.74
2023-11-21,37.04,38.19,422000,38.19,37.04
2023-11-22,37.07,37.49,424000,37.49,37.07
2023-11-23,36.75,37.2,203000,37.2,36.75
2023-11-24,36.49,36.75,231500,36.75,36.49
2023-11-27,36.35,36.01,152500,36.35,36.01
2023-11-28,36.65,36.75,409500,36.75,36.65
2023-11-29,37.15,36.6,767500,37.15,36.6
2023-11-30,39.95,37.75,1517500,39.95,37.75
2023-12-01,40.72,42.0,780500,42.0,40.72
2023-12-04,40.31,40.8,501500,40.8,40.31
2023-12-05,41.01,40.39,489000,41.01,40.39
2023-12-06,42.72,41.35,517000,42.72,41.35
2023-12-07,41.23,42.75,560000,42.75,41.23
2023-12-08,41.38,41.05,267500,41.38,41.05
2023-12-11,42.51,41.5,887500,42.51,41.5
2023-12-12,42.54,42.69,426500,42.69,42.54
2023-12-13,40.76,42.3,301000,42.3,40.76
2023-12-14,41.45,40.61,203000,41.45,40.61
2023-12-15,41.64,42.25,690500,42.25,41.64
2023-12-18,40.21,42.24,125500,42.24,40.21
2023-12-19,37.42,40.76,179500,40.76,37.42
2023-12-20,36.17,37.42,293000,37.42,36.17
2023-12-21,36.4,36.31,186000,36.4,36.31
2023-12-22,35.83,36.5,151000,36.5,35.83
2023-12-26,34.57,35.5,71000,35.5,34.57
2023-12-27,35.29,33.1,212000,35.29,33.1
2023-12-28,36.18,35.5,295500,36.18,35.5
2023-12-29,36.22,35.75,36500,36.22,35.75
2024-01-01,37.36,37.63,133000,37.63,37.36
2024-01-02,36.15,37.0,115000,37.0,36.15
2024-01-03,36.0,36.17,186500,36.17,36.0
2024-01-04,35.25,36.0,91000,36.0,35.25
2024-01-05,35.24,36.0,991000,36.0,35.24
2024-01-08,35.21,35.97,430000,35.97,35.21
2024-01-09,34.72,35.02,206500,35.02,34.72
2024-01-10,34.06,34.5,191000,34.5,34.06
2024-01-11,34.47,34.67,96500,34.67,34.47
2024-01-12,34.28,34.64,215500,34.64,34.28
2024-01-15,33.99,34.2,100500,34.2,33.99
2024-01-16,33.43,33.89,74000,33.89,33.43
2024-01-17,33.15,33.5,52000,33.5,33.15
2024-01-18,32.19,32.65,126500,32.65,32.19
2024-01-19,32.6,32.89,20000,32.89,32.6
2024-01-22,32.19,32.5,67000,32.5,32.19
2024-01-23,32.71,32.0,126000,32.71,32.0
2024-01-24,33.2,33.49,91000,33.49,33.2
2024-01-25,32.63,33.0,21500,33.0,32.63
2024-01-26,32.61,32.42,33500,32.61,32.42
2024-01-29,32.53,32.8,65000,32.8,32.53
2024-01-30,31.7,32.0,41500,32.0,31.7
2024-01-31,31.82,32.0,29500,32.0,31.82
2024-02-01,31.64,31.52,26000,31.64,31.52
2024-02-02,31.99,32.0,55000,32.0,31.99
2024-02-06,32.22,32.02,29000,32.22,32.02
2024-02-07,32.4,32.99,34000,32.99,32.4
2024-02-09,32.4,30.7,23000,32.4,30.7
2024-02-12,30.7,31.27,42000,31.27,30.7
2024-02-13,30.25,30.1,63000,30.25,30.1
2024-02-14,30.67,30.53,22500,30.67,30.53
2024-02-15,30.35,30.61,22500,30.61,30.35
2024-02-16,29.37,30.55,40000,30.55,29.37
2024-02-19,30.02,29.6,11500,30.02,29.6
2024-02-20,32.22,31.3,267500,32.22,31.3
2024-02-21,32.74,32.99,347000,32.99,32.74
2024-02-22,31.95,32.5,129000,32.5,31.95
2024-02-23,31.91,32.0,28500,32.0,31.91
2024-02-26,31.92,31.3,70500,31.92,31.3
2024-02-27,31.58,31.51,46500,31.58,31.51
2024-02-28,31.61,31.75,12500,31.75,31.61
2024-02-29,31.23,31.25,82000,31.25,31.23
2024-03-01,31.2,31.16,51500,31.2,31.16
2024-03-04,31.22,31.99,33500,31.99,31.22
2024-03-05,31.51,31.35,50000,31.51,31.35
2024-03-06,31.65,31.7,3000,31.7,31.65
2024-03-07,31.81,31.69,53500,31.81,31.69
2024-03-08,31.6,31.55,18000,31.6,31.55
2024-03-11,33.08,31.99,267000,33.08,31.99
2024-03-12,31.96,33.0,30500,33.0,31.96
2024-03-13,31.5,32.0,37000,32.0,31.5
2024-03-14,31.91,32.0,34000,32.0,31.91
2024-03-15,31.5,31.51,7000,31.51,31.5
2024-03-18,31.8,31.8,1000,31.8,31.8
2024-03-19,31.5,31.99,3000,31.99,31.5
2024-03-20,31.3,31.37,17000,31.37,31.3
2024-03-21,31.5,32.0,26000,32.0,31.5
2024-03-22,31.4,31.3,58500,31.4,31.3
2024-03-25,31.01,31.03,22000,31.03,31.01
2024-03-26,30.85,31.0,42000,31.0,30.85
2024-03-27,30.66,30.6,38500,30.66,30.6
2024-03-28,31.0,31.49,17500,31.49,31.0
2024-03-29,30.36,30.67,201000,30.67,30.36
2024-04-01,30.84,30.26,83000,30.84,30.26
2024-04-02,30.95,31.39,20500,31.39,30.95
2024-04-03,31.42,30.8,89500,31.42,30.8
2024-04-04,32.75,33.0,222500,33.0,32.75
2024-04-08,33.04,33.5,168000,33.5,33.04
2024-04-09,32.21,33.3,46000,33.3,32.21
2024-04-15,32.0,32.2,52500,32.2,32.0
2024-04-16,31.46,32.4,28000,32.4,31.46
2024-04-17,31.36,31.99,50000,31.99,31.36
2024-04-18,31.42,31.31,42000,31.42,31.31
2024-04-19,31.62,31.31,50500,31.62,31.31
2024-04-22,32.06,31.85,112000,32.06,31.85
2024-04-23,31.64,32.05,126000,32.05,31.64
2024-04-24,31.89,31.7,42000,31.89,31.7
2024-04-25,31.47,31.99,85000,31.99,31.47
2024-04-26,31.5,31.32,71000,31.5,31.32
2024-04-29,31.17,31.45,121000,31.45,31.17
2024-04-30,31.21,31.22,13000,31.22,31.21
