date,close,open,volume,high,low
2023-09-25,11.68,11.6,224500,11.68,11.6
2023-09-26,11.55,11.61,139500,11.61,11.55
2023-09-27,11.89,11.25,219500,11.89,11.25
2023-09-28,11.28,11.6,4549000,11.6,11.28
2023-10-02,10.98,11.3,480500,11.3,10.98
2023-10-03,11.44,10.9,756000,11.44,10.9
2023-10-04,11.16,11.42,567000,11.42,11.16
2023-10-05,11.29,11.27,133500,11.29,11.27
2023-10-06,11.41,11.25,369000,11.41,11.25
2023-10-09,11.25,11.2,224000,11.25,11.2
2023-10-10,11.5,11.22,831500,11.5,11.22
2023-10-11,11.45,11.5,2665500,11.5,11.45
2023-10-12,11.3,11.45,411000,11.45,11.3
2023-10-13,11.6,11.15,1505500,11.6,11.15
2023-10-16,11.9,11.7,1086500,11.9,11.7
2023-10-17,11.96,11.98,485500,11.98,11.96
2023-10-18,12.03,11.75,1140500,12.03,11.75
2023-10-19,10.72,10.73,305500,10.73,10.72
2023-10-20,12.74,12.15,1584000,12.74,12.15
2023-10-23,12.53,12.65,695000,12.65,12.53
2023-10-24,12.4,12.51,153000,12.51,12.4
2023-10-25,12.73,12.34,645500,12.73,12.34
2023-10-26,12.63,12.7,337000,12.7,12.63
2023-10-27,12.59,12.55,273500,12.59,12.55
2023-10-30,13.1,12.6,1430500,13.1,12.6
2023-10-31,13.24,13.24,2303000,13.24,13.24
2023-11-01,14.24,13.26,4204000,14.24,13.26
2023-11-02,14.5,14.5,2088500,14.5,14.5
2023-11-03,14.63,14.45,2545000,14.63,14.45
2023-11-06,15.17,14.54,4288000,15.17,14.54
2023-11-07,15.46,15.29,5132000,15.46,15.29
2023-11-08,16.5,16.1,5408500,16.5,16.1
2023-11-10,17.67,16.55,5051500,17.67,16.55
2023-11-13,17.66,17.8,2898500,17.8,17.66
2023-11-14,17.25,17.9,1307000,17.9,17.25
2023-11-15,17.07,17.5,749000,17.5,17.07
2023-11-16,17.57,17.09,2793500,17.57,17.09
2023-11-17,17.0,17.65,3061500,17.65,17.0
