date,close,open,volume,high,low
2023-09-25,82.75,82.58,25092,82.75,82.58
2023-09-26,81.28,82.6,77026,82.6,81.28
2023-09-27,82.22,81.05,139445,82.22,81.05
2023-09-28,82.27,82.8,34229,82.8,82.27
2023-10-02,82.2,82.99,37532,82.99,82.2
2023-10-03,82.03,83.2,26862,83.2,82.03
2023-10-04,81.4,82.48,99147,82.48,81.4
2023-10-05,86.06,82.35,563732,86.06,82.35
2023-10-06,88.79,87.6,246246,88.79,87.6
2023-10-09,86.96,87.0,33656,87.0,86.96
2023-10-10,90.32,86.3,381556,90.32,86.3
2023-10-11,88.68,90.45,84102,90.45,88.68
2023-10-12,89.63,88.68,442648,89.63,88.68
2023-10-13,94.84,90.24,1696134,94.84,90.24
2023-10-16,102.37,98.5,1422699,102.37,98.5
2023-10-17,101.78,103.65,1199557,103.65,101.78
2023-10-18,99.73,98.8,683575,99.73,98.8
2023-10-19,102.62,99.6,573437,102.62,99.6
2023-10-20,105.62,103.48,1500138,105.62,103.48
2023-10-23,102.28,105.5,419161,105.5,102.28
2023-10-24,101.02,101.4,360737,101.4,101.02
2023-10-25,101.96,102.4,334012,102.4,101.96
2023-10-26,100.21,102.5,175168,102.5,100.21
2023-10-27,96.29,100.5,360617,100.5,96.29
2023-10-30,99.17,96.2,450890,99.17,96.2
2023-10-31,99.53,98.55,401003,99.53,98.55
2023-11-01,101.95,100.5,999834,101.95,100.5
2023-11-02,102.24,102.79,398813,102.79,102.24
2023-11-03,103.04,102.5,827737,103.04,102.5
2023-11-06,107.83,103.9,1894156,107.83,103.9
2023-11-07,104.61,108.49,1469027,108.49,104.61
2023-11-08,107.69,105.0,1324532,107.69,105.0
2023-11-10,109.14,108.0,1534292,109.14,108.0
2023-11-13,107.4,109.5,803025,109.5,107.4
2023-11-14,107.02,107.5,940386,107.5,107.02
2023-11-15,107.5,107.05,609901,107.5,107.05
2023-11-16,111.93,109.48,1457147,111.93,109.48
2023-11-17,109.03,112.95,831310,112.95,109.03
2023-11-20,106.37,109.5,604965,109.5,106.37
2023-11-21,107.3,107.8,790810,107.8,107.3
2023-11-22,106.94,108.3,550400,108.3,106.94
2023-11-23,108.16,107.99,1283556,108.16,107.99
2023-11-24,106.93,108.5,374054,108.5,106.93
2023-11-27,109.21,108.1,438662,109.21,108.1
2023-11-28,110.55,110.0,939501,110.55,110.0
2023-11-29,111.94,110.99,1383589,111.94,110.99
2023-11-30,109.02,112.0,295970,112.0,109.02
2023-12-01,114.21,109.6,843667,114.21,109.6
2023-12-04,118.69,115.49,1880608,118.69,115.49
2023-12-05,119.55,118.9,1035438,119.55,118.9
2023-12-06,124.49000000000001,119.02,1264104,124.49000000000001,119.02
2023-12-07,128.31,126.5,2256240,128.31,126.5
2023-12-08,131.76,128.5,1127551,131.76,128.5
2023-12-11,132.9,129.61,791708,132.9,129.61
2023-12-12,134.82,134.24,592574,134.82,134.24
2023-12-13,133.66,135.49,1237099,135.49,133.66
2023-12-14,137.21,134.45,774447,137.21,134.45
2023-12-15,138.47,137.51,654625,138.47,137.51
2023-12-18,135.08,137.5,175903,137.5,135.08
2023-12-19,129.38,137.2,484865,137.2,129.38
2023-12-20,134.52,129.8,2353021,134.52,129.8
2023-12-21,135.6,133.5,355863,135.6,133.5
2023-12-22,132.9,134.5,243597,134.5,132.9
2023-12-26,128.46,132.8,418241,132.8,128.46
2023-12-27,131.63,130.49,424621,131.63,130.49
2023-12-28,135.63,132.41,1396305,135.63,132.41
2023-12-29,133.37,136.2,121041,136.2,133.37
2024-01-01,137.05,132.51,574071,137.05,132.51
2024-01-02,134.54,137.99,721343,137.99,134.54
2024-01-03,145.04,134.52,865318,145.04,134.52
2024-01-04,142.21,147.5,1234326,147.5,142.21
