date,close,open,volume,high,low
2024-06-03,24.6,25.5,6672023,25.5,24.6
2024-06-04,24.18,24.5,1073644,24.5,24.18
2024-06-05,23.83,24.15,409413,24.15,23.83
2024-06-06,24.17,24.0,484666,24.17,24.0
2024-06-07,23.53,23.87,931952,23.87,23.53
2024-06-10,23.85,23.97,234789,23.97,23.85
2024-06-11,23.98,24.5,1086549,24.5,23.98
2024-06-12,23.93,23.65,176108,23.93,23.65
2024-06-13,24.24,24.0,1753688,24.24,24.0
2024-06-14,24.23,24.7,474810,24.7,24.23
2024-06-20,25.04,24.25,1167539,25.04,24.25
2024-06-21,24.48,25.08,188231,25.08,24.48
2024-06-24,24.33,24.11,127693,24.33,24.11
2024-06-25,24.21,24.49,137123,24.49,24.21
2024-06-26,24.05,24.2,95215,24.2,24.05
2024-06-27,23.65,24.15,212725,24.15,23.65
2024-06-28,23.6,23.76,70380,23.76,23.6
2024-07-01,23.84,23.99,126292,23.99,23.84
2024-07-02,23.8,23.99,64691,23.99,23.8
2024-07-03,23.69,23.94,106635,23.94,23.69
2024-07-04,23.7,23.69,248902,23.7,23.69
2024-07-05,23.71,23.71,57543,23.71,23.71
2024-07-08,23.5,23.99,187378,23.99,23.5
2024-07-09,23.01,23.31,187737,23.31,23.01
2024-07-10,23.08,23.05,38953,23.08,23.05
2024-07-11,23.02,23.02,329696,23.02,23.02
2024-07-12,22.85,23.01,177058,23.01,22.85
2024-07-15,22.99,23.25,253292,23.25,22.99
2024-07-18,23.16,23.0,351342,23.16,23.0
2024-07-19,22.72,23.39,443686,23.39,22.72
2024-07-22,22.85,23.34,255101,23.34,22.85
2024-07-23,23.02,22.7,149656,23.02,22.7
2024-07-24,22.62,22.99,154671,22.99,22.62
2024-07-25,22.51,22.8,24377,22.8,22.51
2024-07-26,22.34,22.26,98290,22.34,22.26
2024-07-29,22.5,22.99,200630,22.99,22.5
2024-07-30,22.45,22.79,34145,22.79,22.45
2024-07-31,22.25,22.31,71193,22.31,22.25
2024-08-01,21.99,22.45,232321,22.45,21.99
2024-08-02,22.09,22.48,27600,22.48,22.09
2024-08-05,22.45,22.44,152513,22.45,22.44
2024-08-06,22.35,22.4,176281,22.4,22.35
2024-08-07,22.23,22.58,675366,22.58,22.23
2024-08-08,22.47,22.39,120940,22.47,22.39
2024-08-09,22.03,22.22,224189,22.22,22.03
2024-08-12,22.11,22.03,166311,22.11,22.03
2024-08-13,22.0,22.01,127949,22.01,22.0
2024-08-15,22.16,22.47,185573,22.47,22.16
2024-08-16,22.22,22.39,170692,22.39,22.22
2024-08-19,22.08,21.81,168384,22.08,21.81
2024-08-20,22.04,22.2,228885,22.2,22.04
2024-08-21,22.1,22.0,16190,22.1,22.0
2024-08-22,22.56,22.1,135823,22.56,22.1
2024-08-23,22.48,22.69,95109,22.69,22.48
2024-08-26,22.65,22.6,32507,22.65,22.6
2024-08-27,22.26,22.36,136783,22.36,22.26
2024-08-28,22.2,22.61,521228,22.61,22.2
2024-08-29,22.38,22.49,516621,22.49,22.38
2024-08-30,22.61,22.49,946315,22.61,22.49
2024-09-02,22.51,22.7,253679,22.7,22.51
2024-09-03,22.7,22.69,172180,22.7,22.69
2024-09-04,22.67,22.79,78929,22.79,22.67
2024-09-05,23.92,22.84,617822,23.92,22.84
2024-09-06,23.34,24.39,683976,24.39,23.34
2024-09-09,23.25,23.15,43630,23.25,23.15
2024-09-10,22.23,23.89,472473,23.89,22.23
2024-09-11,22.14,22.0,182233,22.14,22.0
2024-09-12,22.02,22.37,153637,22.37,22.02
2024-09-13,22.05,22.44,180579,22.44,22.05
2024-09-16,22.11,22.1,145914,22.11,22.1
2024-09-18,22.69,22.06,190042,22.69,22.06
2024-09-19,23.0,22.41,152424,23.0,22.41
2024-09-20,22.72,23.05,276487,23.05,22.72
2024-09-23,22.97,22.65,75235,22.97,22.65
2024-09-24,22.72,22.88,129191,22.88,22.72
2024-09-25,22.76,22.75,123826,22.76,22.75
2024-09-26,22.61,23.2,52026,23.2,22.61
2024-09-27,22.69,22.8,393080,22.8,22.69
2024-09-30,22.99,22.6,23173,22.99,22.6
2024-10-01,22.69,22.75,51873,22.75,22.69
2024-10-02,22.52,22.56,51360,22.56,22.52
2024-10-03,22.55,22.43,318924,22.55,22.43
2024-10-04,22.37,22.51,51839,22.51,22.37
2024-10-07,22.25,22.49,67247,22.49,22.25
2024-10-08,22.12,22.12,49237,22.12,22.12
2024-10-09,22.09,22.01,31920,22.09,22.01
2024-10-10,22.5,22.2,76259,22.5,22.2
2024-10-11,22.02,22.04,123422,22.04,22.02
2024-10-14,21.86,22.01,44484,22.01,21.86
2024-10-15,22.18,22.01,6700,22.18,22.01
2024-10-16,22.1,22.2,45957,22.2,22.1
