date,close,open,volume,high,low
2021-02-26,63.849999999999994,65.4,2764423,65.4,63.849999999999994
2021-03-01,61.84,63.5,1979729,63.5,61.84
2021-03-02,64.82,61.510000000000005,2516717,64.82,61.510000000000005
2021-03-03,66.26,64.82,2840170,66.26,64.82
2021-03-04,62.72,61.0,1704263,62.72,61.0
2021-03-05,63.72,63.480000000000004,956454,63.72,63.480000000000004
2021-03-08,60.56999999999999,66.4,3052190,66.4,60.56999999999999
2021-03-09,57.19,60.5,3603160,60.5,57.19
2021-03-10,55.709999999999994,58.3,1943488,58.3,55.709999999999994
2021-03-11,50.730000000000004,55.0,2875143,55.0,50.730000000000004
2021-03-12,56.599999999999994,50.510000000000005,2488271,56.599999999999994,50.510000000000005
2021-03-15,63.31,62.349999999999994,5567099,63.31,62.349999999999994
2021-03-16,62.3,63.61,979894,63.61,62.3
2021-03-17,62.8,63.75,1395264,63.75,62.8
2021-03-18,60.349999999999994,62.75,1252661,62.75,60.349999999999994
2021-03-19,63.31,58.75,1451949,63.31,58.75
2021-03-22,63.19,62.5,1119052,63.19,62.5
2021-03-24,62.97,63.25,645727,63.25,62.97
2021-03-25,62.94,63.120000000000005,1038767,63.120000000000005,62.94
2021-03-26,61.41,63.5,1628360,63.5,61.41
2021-03-29,58.879999999999995,60.55,2485617,60.55,58.879999999999995
2021-03-30,59.81,59.5,1233948,59.81,59.5
2021-03-31,61.08,60.599999999999994,1752043,61.08,60.599999999999994
2021-04-01,59.040000000000006,61.06999999999999,751656,61.06999999999999,59.040000000000006
2021-04-02,59.230000000000004,59.040000000000006,1174359,59.230000000000004,59.040000000000006
2021-04-05,57.730000000000004,59.5,1350400,59.5,57.730000000000004
2021-04-06,58.67,57.599999999999994,1914525,58.67,57.599999999999994
2021-04-07,61.760000000000005,59.019999999999996,3703035,61.760000000000005,59.019999999999996
2021-04-08,67.42,62.05,7615746,67.42,62.05
2021-04-09,67.64,68.51,6038179,68.51,67.64
2021-04-12,65.75,67.5,2081487,67.5,65.75
2021-04-13,65.85,66.45,1586471,66.45,65.85
2021-04-14,67.38,66.39,1686509,67.38,66.39
2021-04-15,67.32,68.0,1021909,68.0,67.32
2021-04-16,67.53,67.9,651822,67.9,67.53
2021-04-19,66.95,67.25,1358282,67.25,66.95
2021-04-20,66.42,68.5,4051106,68.5,66.42
2021-04-21,62.2,66.96,4544840,66.96,62.2
2021-04-22,59.150000000000006,61.5,1932778,61.5,59.150000000000006
2021-04-23,60.260000000000005,58.5,1063831,60.260000000000005,58.5
2021-04-26,61.22,60.040000000000006,1972068,61.22,60.040000000000006
2021-04-27,60.61,61.5,1409258,61.5,60.61
2021-04-28,59.0,60.06,922193,60.06,59.0
2021-04-29,57.92,59.900000000000006,893477,59.900000000000006,57.92
2021-04-30,55.11,59.0,1597367,59.0,55.11
2021-05-03,54.55,56.5,2385339,56.5,54.55
2021-05-04,56.0,55.480000000000004,1068833,56.0,55.480000000000004
2021-05-05,57.44,56.5,701596,57.44,56.5
2021-05-06,56.17,57.5,817711,57.5,56.17
2021-05-17,61.459999999999994,58.0,2353586,61.459999999999994,58.0
2021-05-18,61.36,62.0,1969493,62.0,61.36
2021-05-19,60.61,60.0,1047943,60.61,60.0
2021-05-20,59.72,60.510000000000005,867315,60.510000000000005,59.72
2021-05-21,60.730000000000004,60.0,1015467,60.730000000000004,60.0
2021-05-24,60.75,61.730000000000004,1265159,61.730000000000004,60.75
2021-05-25,62.16,61.05,1521590,62.16,61.05
2021-05-26,63.45,63.489999999999995,2875464,63.489999999999995,63.45
2021-05-27,61.59,64.0,1505514,64.0,61.59
2021-05-28,61.81999999999999,61.59,1176205,61.81999999999999,61.59
2021-05-31,65.56,63.0,3224043,65.56,63.0
2021-06-01,66.73,66.5,3853421,66.73,66.5
2021-06-02,67.0,66.7,1402624,67.0,66.7
2021-06-03,68.5,67.5,2759491,68.5,67.5
2021-06-04,68.88,69.0,2033837,69.0,68.88
2021-06-07,68.41,69.9,1198110,69.9,68.41
2021-06-08,66.76,68.0,838632,68.0,66.76
2021-06-09,65.7,67.0,664433,67.0,65.7
2021-06-10,67.36,65.8,1065711,67.36,65.8
2021-06-11,66.99,67.9,764630,67.9,66.99
2021-06-14,73.85,73.68,12761522,73.85,73.68
2021-06-15,75.86,74.5,6958676,75.86,74.5
2021-06-16,74.49,76.86,3091465,76.86,74.49
2021-06-17,71.82,73.9,2700886,73.9,71.82
2021-06-18,72.62,72.0,656467,72.62,72.0
2021-06-21,72.03,72.65,653111,72.65,72.03
2021-06-22,70.76,72.0,704487,72.0,70.76
2021-06-23,69.7,70.51,611374,70.51,69.7
2021-06-24,69.8,69.6,639608,69.8,69.6
2021-06-25,70.35,69.7,2093727,70.35,69.7
2021-06-28,68.27,70.25,1333271,70.25,68.27
2021-06-29,68.6,68.55,528035,68.6,68.55
2021-06-30,68.91,68.65,207647,68.91,68.65
2021-07-01,68.88,69.1,1037323,69.1,68.88
2021-07-02,68.8,68.66,495337,68.8,68.66
2021-07-05,67.37,68.5,581159,68.5,67.37
2021-07-06,66.97,67.41,272983,67.41,66.97
2021-07-07,67.06,66.8,290965,67.06,66.8
2021-07-08,68.87,67.48,495071,68.87,67.48
2021-07-09,66.55,68.9,1077872,68.9,66.55
2021-07-12,64.74,66.5,947975,66.5,64.74
2021-07-13,64.92,64.9,465182,64.92,64.9
2021-07-14,65.32,65.5,325210,65.5,65.32
2021-07-15,65.9,65.32,913891,65.9,65.32
2021-07-16,66.52,66.46,362387,66.52,66.46
2021-07-19,66.05,66.0,297000,66.05,66.0
2021-07-23,65.27,67.0,489193,67.0,65.27
2021-07-26,65.51,65.69,443999,65.69,65.51
2021-07-27,65.05,65.49,300021,65.49,65.05
2021-07-28,64.48,66.1,781229,66.1,64.48
2021-07-29,64.34,65.25,786198,65.25,64.34
