date,close,open,volume,high,low
2023-09-18,5.09,4.96,76000,5.09,4.96
2023-09-19,5.05,5.14,10000,5.14,5.05
2023-09-20,4.97,5.01,13000,5.01,4.97
2023-09-21,4.94,4.9,26500,4.94,4.9
2023-09-22,5.81,4.95,3936000,5.81,4.95
2023-09-25,5.71,6.0,1915000,6.0,5.71
2023-09-26,5.83,5.61,628000,5.83,5.61
2023-09-27,5.67,5.89,2770000,5.89,5.67
2023-09-28,5.64,5.71,585000,5.71,5.64
2023-10-02,5.36,5.6,212500,5.6,5.36
2023-10-03,5.31,5.4,296000,5.4,5.31
2023-10-04,5.52,5.4,1475500,5.52,5.4
2023-10-05,5.75,5.51,1061000,5.75,5.51
2023-10-06,5.64,5.75,478000,5.75,5.64
2023-10-09,5.55,5.58,317000,5.58,5.55
2023-10-10,5.86,5.59,3203000,5.86,5.59
2023-10-11,5.69,5.88,202000,5.88,5.69
2023-10-12,5.61,5.78,140000,5.78,5.61
2023-10-13,5.99,5.72,1671500,5.99,5.72
2023-10-16,6.11,5.99,1754500,6.11,5.99
2023-10-17,6.4,6.19,3667500,6.4,6.19
2023-10-18,6.61,6.49,2598500,6.61,6.49
2023-10-19,6.74,6.65,2314500,6.74,6.65
2023-10-20,6.67,6.77,1928000,6.77,6.67
2023-10-23,6.99,6.88,3166500,6.99,6.88
2023-10-24,6.68,7.06,3732000,7.06,6.68
2023-10-25,6.51,6.75,1206000,6.75,6.51
2023-10-26,6.38,6.56,344000,6.56,6.38
2023-10-27,6.24,6.33,848500,6.33,6.24
2023-10-30,6.35,6.24,410000,6.35,6.24
2023-10-31,6.45,6.38,1219500,6.45,6.38
2023-11-01,6.43,6.58,625500,6.58,6.43
2023-11-02,6.51,6.4,919000,6.51,6.4
2023-11-03,6.44,6.42,427500,6.44,6.42
2023-11-06,6.63,6.44,1062500,6.63,6.44
2023-11-07,6.35,6.7,1007500,6.7,6.35
2023-11-08,6.4,6.33,476500,6.4,6.33
2023-11-10,6.5,6.45,451500,6.5,6.45
2023-11-13,6.53,6.45,565500,6.53,6.45
2023-11-14,6.46,6.53,1128000,6.53,6.46
2023-11-15,6.54,6.5,1503000,6.54,6.5
2023-11-16,6.75,6.66,2642000,6.75,6.66
2023-11-17,7.62,6.71,8014500,7.62,6.71
2023-11-20,7.4,7.4,1267000,7.4,7.4
2023-11-21,7.76,7.4,8097500,7.76,7.4
2023-11-22,8.38,7.95,6276000,8.38,7.95
2023-11-23,8.51,8.52,6507000,8.52,8.51
2023-11-24,8.22,8.61,1295000,8.61,8.22
2023-11-27,8.34,8.3,807000,8.34,8.3
2023-11-28,8.01,8.38,1239000,8.38,8.01
2023-11-29,7.84,8.0,1705000,8.0,7.84
2023-11-30,7.67,8.0,1349500,8.0,7.67
2023-12-01,7.76,7.75,1198500,7.76,7.75
2023-12-04,7.87,7.85,2049000,7.87,7.85
2023-12-05,7.91,7.72,810000,7.91,7.72
2023-12-06,7.97,8.0,816500,8.0,7.97
2023-12-07,7.99,8.09,3467000,8.09,7.99
2023-12-08,8.15,8.01,1412000,8.15,8.01
2023-12-11,8.23,8.05,3306500,8.23,8.05
2023-12-12,8.25,8.34,3254500,8.34,8.25
2023-12-13,8.11,8.39,2529000,8.39,8.11
2023-12-14,8.27,8.35,882500,8.35,8.27
2023-12-15,8.61,8.3,4381500,8.61,8.3
2023-12-18,8.48,8.99,1303500,8.99,8.48
2023-12-19,7.77,8.4,1236500,8.4,7.77
2023-12-20,7.51,7.99,559500,7.99,7.51
2023-12-21,8.05,7.99,5052000,8.05,7.99
2023-12-22,7.95,8.1,1289000,8.1,7.95
2023-12-26,7.53,7.8,424000,7.8,7.53
2023-12-27,7.94,7.36,208500,7.94,7.36
2023-12-28,7.88,7.99,897500,7.99,7.88
2023-12-29,7.79,7.85,309500,7.85,7.79
2024-01-01,8.19,7.8,1735500,8.19,7.8
2024-01-02,8.01,8.3,379500,8.3,8.01
2024-01-03,7.98,8.02,815000,8.02,7.98
2024-01-04,8.08,7.96,487500,8.08,7.96
2024-01-05,8.03,8.15,645000,8.15,8.03
2024-01-08,7.85,8.01,280000,8.01,7.85
2024-01-09,7.82,7.91,201500,7.91,7.82
2024-01-10,7.8,8.09,119500,8.09,7.8
2024-01-11,7.75,7.8,1200000,7.8,7.75
2024-01-12,7.78,7.98,38000,7.98,7.78
2024-01-15,7.67,7.8,122000,7.8,7.67
2024-01-16,7.52,7.6,78500,7.6,7.52
2024-01-17,7.65,7.45,77000,7.65,7.45
2024-01-18,7.58,7.79,152000,7.79,7.58
2024-01-19,7.31,7.66,50500,7.66,7.31
2024-01-22,7.21,7.35,32000,7.35,7.21
2024-01-23,7.18,7.24,92500,7.24,7.18
2024-01-24,7.4,7.2,162500,7.4,7.2
2024-01-25,7.29,7.5,12500,7.5,7.29
2024-01-26,7.23,7.2,31000,7.23,7.2
2024-01-29,7.2,7.16,61000,7.2,7.16
2024-01-30,7.21,7.1,89000,7.21,7.1
2024-01-31,7.18,7.35,36500,7.35,7.18
2024-02-01,7.15,7.32,29000,7.32,7.15
2024-02-02,7.24,7.25,83000,7.25,7.24
2024-02-06,7.37,7.41,40000,7.41,7.37
2024-02-07,7.53,7.56,160500,7.56,7.53
2024-02-09,7.05,7.35,178500,7.35,7.05
2024-02-12,6.94,7.03,40000,7.03,6.94
2024-02-13,6.98,6.61,25000,6.98,6.61
2024-02-14,7.24,7.24,24500,7.24,7.24
2024-02-15,6.73,7.02,153000,7.02,6.73
2024-02-16,6.43,6.53,99500,6.53,6.43
2024-02-19,6.32,6.4,19000,6.4,6.32
2024-02-20,6.27,6.49,72500,6.49,6.27
2024-02-21,6.45,6.86,247500,6.86,6.45
2024-02-22,6.44,6.62,95000,6.62,6.44
2024-02-23,6.64,6.49,113500,6.64,6.49
2024-02-26,6.42,6.54,219000,6.54,6.42
2024-02-27,6.33,6.59,58000,6.59,6.33
2024-02-28,6.44,6.39,93000,6.44,6.39
2024-02-29,6.48,6.4,65000,6.48,6.4
2024-03-01,6.34,6.39,41500,6.39,6.34
2024-03-04,6.48,6.46,164500,6.48,6.46
2024-03-05,6.39,6.6,100500,6.6,6.39
2024-03-06,6.25,6.4,248000,6.4,6.25
2024-03-07,6.35,6.25,77000,6.35,6.25
2024-03-08,6.49,6.31,126500,6.49,6.31
2024-03-11,6.95,6.64,1407000,6.95,6.64
2024-03-12,6.72,6.89,66000,6.89,6.72
2024-03-13,6.56,6.44,34000,6.56,6.44
2024-03-14,6.64,6.88,287500,6.88,6.64
2024-03-15,6.6,6.79,107500,6.79,6.6
2024-03-18,6.43,6.52,24000,6.52,6.43
2024-03-19,6.44,6.58,51000,6.58,6.44
2024-03-20,6.5,6.6,79500,6.6,6.5
2024-03-21,6.47,6.5,27500,6.5,6.47
2024-03-22,6.55,6.45,139500,6.55,6.45
2024-03-25,6.29,6.58,329500,6.58,6.29
2024-03-26,6.3,6.5,29500,6.5,6.3
2024-03-27,6.25,6.34,63500,6.34,6.25
2024-03-28,6.21,6.38,159500,6.38,6.21
2024-03-29,6.1,6.19,1608000,6.19,6.1
2024-04-01,6.16,6.18,268500,6.18,6.16
2024-04-02,6.23,6.19,69000,6.23,6.19
2024-04-03,6.26,6.16,131000,6.26,6.16
2024-04-04,6.16,6.28,96000,6.28,6.16
2024-04-08,6.11,6.01,453500,6.11,6.01
2024-04-09,6.2,6.15,72000,6.2,6.15
2024-04-15,6.0,6.15,861000,6.15,6.0
2024-04-16,6.41,6.06,5054000,6.41,6.06
2024-04-17,6.39,6.49,1963000,6.49,6.39
2024-04-18,6.3,6.38,782500,6.38,6.3
2024-04-19,6.2,6.3,105000,6.3,6.2
2024-04-22,6.26,6.3,684000,6.3,6.26
2024-04-23,6.28,6.25,681000,6.28,6.25
2024-04-24,6.23,6.48,1051000,6.48,6.23
2024-04-25,6.13,6.26,783500,6.26,6.13
2024-04-26,6.12,6.24,115500,6.24,6.12
2024-04-29,6.04,6.11,230000,6.11,6.04
2024-04-30,5.9,6.05,451500,6.05,5.9
2024-05-02,5.9,6.14,111000,6.14,5.9
2024-05-03,5.97,5.9,110000,5.97,5.9
2024-05-06,6.03,5.91,579000,6.03,5.91
2024-05-07,6.18,6.09,483000,6.18,6.09
2024-05-08,6.12,6.2,471000,6.2,6.12
2024-05-09,6.08,6.23,238500,6.23,6.08
2024-05-10,6.34,6.22,624500,6.34,6.22
2024-05-13,7.02,6.45,6799000,7.02,6.45
2024-05-14,6.66,7.18,1232000,7.18,6.66
2024-05-15,6.42,6.66,750000,6.66,6.42
2024-05-16,6.56,6.5,696500,6.56,6.5
2024-05-17,6.84,6.72,1508500,6.84,6.72
2024-05-20,6.69,6.85,407158,6.85,6.69
2024-05-21,6.63,6.82,206591,6.82,6.63
2024-05-22,6.4,6.61,951060,6.61,6.4
2024-05-23,6.43,6.32,159606,6.43,6.32
2024-05-24,6.47,6.3,672361,6.47,6.3
2024-05-27,6.31,6.54,253937,6.54,6.31
2024-05-29,6.36,6.35,118449,6.36,6.35
2024-05-30,6.39,6.4,232610,6.4,6.39
2024-05-31,6.64,6.4,540846,6.64,6.4
2024-06-03,6.8,6.6,749723,6.8,6.6
2024-06-04,6.45,6.75,343284,6.75,6.45
2024-06-05,6.32,6.49,79813,6.49,6.32
2024-06-06,6.1,6.5,404552,6.5,6.1
2024-06-07,6.24,6.11,351805,6.24,6.11
2024-06-10,6.39,6.26,110916,6.39,6.26
2024-06-11,6.23,6.8,68033,6.8,6.23
2024-06-12,6.3,6.41,55136,6.41,6.3
2024-06-13,6.51,6.6,908624,6.6,6.51
2024-06-14,6.31,6.58,236564,6.58,6.31
2024-06-20,6.23,6.27,219897,6.27,6.23
2024-06-21,6.19,6.3,874572,6.3,6.19
2024-06-24,6.13,6.19,110535,6.19,6.13
2024-06-25,6.03,6.1,296271,6.1,6.03
2024-06-26,5.95,6.1,859390,6.1,5.95
2024-06-27,6.0,6.0,42743,6.0,6.0
2024-06-28,6.08,5.98,59788,6.08,5.98
2024-07-01,6.0,6.1,85264,6.1,6.0
2024-07-02,6.19,6.1,122474,6.19,6.1
2024-07-03,6.17,6.2,67771,6.2,6.17
2024-07-04,6.14,6.25,87236,6.25,6.14
2024-07-05,6.13,6.16,135534,6.16,6.13
2024-07-08,6.09,6.21,23222,6.21,6.09
2024-07-09,6.1,6.18,90521,6.18,6.1
2024-07-10,6.01,6.16,171653,6.16,6.01
2024-07-11,6.03,6.24,42011,6.24,6.03
2024-07-12,6.06,6.1,45478,6.1,6.06
2024-07-15,6.01,6.23,83127,6.23,6.01
2024-07-18,5.94,6.1,157790,6.1,5.94
2024-07-19,5.82,5.94,96947,5.94,5.82
2024-07-22,5.6,5.67,132308,5.67,5.6
2024-07-23,5.76,5.62,81864,5.76,5.62
2024-07-24,5.67,5.96,63700,5.96,5.67
2024-07-25,5.64,6.05,148635,6.05,5.64
2024-07-26,5.53,5.7,47419,5.7,5.53
2024-07-29,5.59,5.69,54542,5.69,5.59
2024-07-30,5.64,5.52,51003,5.64,5.52
2024-07-31,5.46,5.76,143368,5.76,5.46
2024-08-01,5.49,5.58,38475,5.58,5.49
2024-08-02,5.55,5.55,64142,5.55,5.55
2024-08-05,5.59,5.4,203417,5.59,5.4
2024-08-06,5.62,5.79,489849,5.79,5.62
2024-08-07,5.62,5.7,74625,5.7,5.62
2024-08-08,5.51,5.47,125060,5.51,5.47
2024-08-09,5.51,5.64,69719,5.64,5.51
2024-08-12,5.47,5.55,235860,5.55,5.47
2024-08-13,5.6,5.55,89114,5.6,5.55
2024-08-15,5.55,5.51,83656,5.55,5.51
2024-08-16,5.54,5.58,69971,5.58,5.54
2024-08-19,5.5,5.69,42762,5.69,5.5
2024-08-20,5.41,5.56,45431,5.56,5.41
2024-08-21,5.59,5.47,210156,5.59,5.47
2024-08-22,6.59,5.64,4531096,6.59,5.64
2024-08-23,6.51,6.88,4273491,6.88,6.51
2024-08-26,6.17,6.5,383495,6.5,6.17
2024-08-27,6.45,6.4,1508041,6.45,6.4
2024-08-28,6.6,6.6,2811948,6.6,6.6
2024-08-29,6.7,6.7,945849,6.7,6.7
2024-08-30,6.53,6.7,500154,6.7,6.53
2024-09-02,6.03,6.61,247622,6.61,6.03
2024-09-03,6.4,6.25,289236,6.4,6.25
2024-09-04,6.41,6.44,265509,6.44,6.41
2024-09-05,6.36,6.5,96907,6.5,6.36
2024-09-06,6.27,6.31,76759,6.31,6.27
2024-09-09,6.17,6.4,107301,6.4,6.17
2024-09-10,6.21,6.23,57841,6.23,6.21
2024-09-11,6.14,6.28,287050,6.28,6.14
2024-09-12,6.3,6.12,568224,6.3,6.12
2024-09-13,6.3,6.45,389333,6.45,6.3
2024-09-16,6.15,6.69,137530,6.69,6.15
2024-09-18,6.18,6.15,108775,6.18,6.15
2024-09-19,6.04,6.2,169354,6.2,6.04
2024-09-20,6.08,6.2,29717,6.2,6.08
2024-09-23,6.13,6.08,22410,6.13,6.08
2024-09-24,6.05,6.22,69575,6.22,6.05
2024-09-25,6.06,6.2,215839,6.2,6.06
2024-09-26,5.86,6.06,42593,6.06,5.86
2024-09-27,5.91,6.09,55855,6.09,5.91
2024-09-30,5.6,5.99,395410,5.99,5.6
2024-10-01,5.98,5.7,157470,5.98,5.7
2024-10-02,5.52,5.9,464140,5.9,5.52
2024-10-03,5.66,5.75,25061,5.75,5.66
2024-10-04,5.52,5.7,37508,5.7,5.52
2024-10-07,5.6,5.74,56139,5.74,5.6
2024-10-08,5.59,5.8,32860,5.8,5.59
2024-10-09,5.61,5.78,36162,5.78,5.61
2024-10-10,5.5,5.51,253291,5.51,5.5
2024-10-11,5.4,5.42,96377,5.42,5.4
2024-10-14,5.58,5.62,130715,5.62,5.58
2024-10-15,5.51,5.63,170890,5.63,5.51
2024-10-16,5.42,5.43,104795,5.43,5.42
2024-10-17,5.48,5.6,146950,5.6,5.48
2024-10-18,5.4,5.6,57938,5.6,5.4
2024-10-21,5.5,5.59,42245,5.59,5.5
2024-10-22,5.59,5.58,386137,5.59,5.58
2024-10-23,5.7,5.55,407580,5.7,5.55
2024-10-24,5.7,5.71,198490,5.71,5.7
2024-10-25,5.52,5.73,273674,5.73,5.52
2024-10-28,5.52,5.51,176870,5.52,5.51
2024-10-29,5.52,5.59,92456,5.59,5.52
2024-10-30,5.45,5.52,98465,5.52,5.45
2024-10-31,5.5,5.48,170371,5.5,5.48
2024-11-01,5.47,5.5,103336,5.5,5.47
2024-11-04,5.8,5.68,1280975,5.8,5.68
2024-11-05,5.85,6.0,192701,6.0,5.85
2024-11-06,6.12,5.99,2160087,6.12,5.99
2024-11-07,6.1,6.14,466624,6.14,6.1
