date,close,open,volume,high,low
2023-08-03,30.5,30.5,2500,30.5,30.5
2023-08-04,30.5,30.990000000000002,11000,30.990000000000002,30.5
2023-08-08,29.5,30.0,2500,30.0,29.5
2023-08-09,29.0,29.0,9000,29.0,29.0
2023-08-10,28.0,28.0,3000,28.0,28.0
2023-08-11,28.0,28.0,1000,28.0,28.0
2023-08-15,28.020000000000003,28.020000000000003,500,28.020000000000003,28.020000000000003
2023-08-17,29.4,29.4,1000,29.4,29.4
2023-08-18,29.4,-10.0,500,29.4,-10.0
2023-08-21,29.4,-10.0,500,29.4,-10.0
2023-08-24,28.0,28.1,7500,28.1,28.0
2023-08-28,28.0,28.0,500,28.0,28.0
2023-08-29,27.5,27.5,5000,27.5,27.5
2023-09-04,28.0,28.0,1000,28.0,28.0
2023-09-05,28.5,28.0,8500,28.5,28.0
2023-09-06,28.0,28.0,5000,28.0,28.0
2023-09-11,28.0,28.0,1000,28.0,28.0
2023-09-12,28.0,28.0,7500,28.0,28.0
2023-09-13,28.0,28.0,5000,28.0,28.0
2023-09-14,28.0,27.299999999999997,1500,28.0,27.299999999999997
2023-09-18,28.0,-10.0,1000,28.0,-10.0
2023-09-19,28.0,-10.0,500,28.0,-10.0
2023-09-20,28.54,28.549999999999997,500,28.549999999999997,28.54
2023-09-22,30.0,30.0,1000,30.0,30.0
2023-09-25,33.0,33.0,457500,33.0,33.0
2023-09-26,31.240000000000002,33.88,460500,33.88,31.240000000000002
2023-09-27,31.979999999999997,32.65,147500,32.65,31.979999999999997
2023-09-28,31.979999999999997,32.25,43000,32.25,31.979999999999997
2023-10-02,32.45,31.799999999999997,8000,32.45,31.799999999999997
2023-10-03,32.27,32.5,5500,32.5,32.27
2023-10-04,32.92,32.9,20500,32.92,32.9
2023-10-05,33.2,32.75,13000,33.2,32.75
2023-10-06,33.45,33.0,8500,33.45,33.0
2023-10-09,32.5,33.0,229000,33.0,32.5
2023-10-10,32.75,32.98,16500,32.98,32.75
2023-10-11,32.8,32.5,105500,32.8,32.5
2023-10-12,32.6,32.99,4500,32.99,32.6
