date,close,open,volume,high,low
2023-09-18,1.89,1.85,1666232,1.89,1.85
2023-09-19,1.9,1.92,2344710,1.92,1.9
2023-09-20,1.89,1.91,2552545,1.91,1.89
2023-09-21,1.9,1.88,1064500,1.9,1.88
2023-09-22,1.89,1.93,7220289,1.93,1.89
2023-09-25,1.91,1.93,3764596,1.93,1.91
2023-09-26,1.96,1.9,11090355,1.96,1.9
2023-09-27,2.0,1.97,2329782,2.0,1.97
2023-09-28,1.96,2.01,3883777,2.01,1.96
2023-10-02,1.9,1.99,2505123,1.99,1.9
2023-10-03,1.96,1.91,6049235,1.96,1.91
2023-10-04,1.97,1.96,4069993,1.97,1.96
2023-10-05,2.21,2.04,52233286,2.21,2.04
2023-10-06,2.29,2.28,28155875,2.29,2.28
2023-10-09,2.29,2.26,38535527,2.29,2.26
2023-10-10,2.46,2.3,33899306,2.46,2.3
2023-10-11,2.75,2.42,145136304,2.75,2.42
2023-10-12,2.85,2.75,112985840,2.85,2.75
2023-10-13,3.13,2.85,134871750,3.13,2.85
2023-10-16,3.15,3.15,98168338,3.15,3.15
2023-10-17,3.11,3.12,65958036,3.12,3.11
2023-10-18,3.08,3.14,37461346,3.14,3.08
2023-10-19,3.37,3.07,83163817,3.37,3.07
2023-10-20,3.26,3.4,35749829,3.4,3.26
2023-10-23,3.29,3.23,15974597,3.29,3.23
2023-10-24,3.23,3.29,13640879,3.29,3.23
2023-10-25,3.24,3.21,13241494,3.24,3.21
2023-10-26,3.23,3.27,20802432,3.27,3.23
2023-10-27,3.24,3.23,45278652,3.24,3.23
2023-10-30,3.24,3.29,4212531,3.29,3.24
2023-10-31,3.33,3.24,11383750,3.33,3.24
2023-11-01,3.23,3.3,15395316,3.3,3.23
2023-11-02,3.18,3.21,8233075,3.21,3.18
2023-11-03,3.09,3.19,11758658,3.19,3.09
2023-11-06,3.1,3.15,11017865,3.15,3.1
2023-11-07,3.07,3.12,12686776,3.12,3.07
2023-11-08,3.15,3.08,29919963,3.15,3.08
2023-11-10,3.26,3.14,26467333,3.26,3.14
2023-11-13,3.13,3.22,7706958,3.22,3.13
2023-11-14,3.19,3.14,9045379,3.19,3.14
2023-11-15,3.14,3.15,14915857,3.15,3.14
2023-11-16,3.21,3.2,13197760,3.21,3.2
2023-11-17,3.29,3.23,76300648,3.29,3.23
2023-11-20,3.55,3.34,89794643,3.55,3.34
2023-11-21,3.51,3.6,63355766,3.6,3.51
2023-11-22,3.43,3.46,19602441,3.46,3.43
2023-11-23,3.38,3.5,18306325,3.5,3.38
2023-11-24,3.28,3.39,16748465,3.39,3.28
2023-11-27,3.32,3.28,6304504,3.32,3.28
2023-11-28,3.32,3.31,11713168,3.32,3.31
2023-11-29,3.25,3.3,7861342,3.3,3.25
2023-11-30,3.26,3.39,8891918,3.39,3.26
2023-12-01,3.29,3.33,10296343,3.33,3.29
2023-12-04,3.27,3.3,7782001,3.3,3.27
2023-12-05,3.35,3.3,8689473,3.35,3.3
2023-12-06,3.52,3.35,143664783,3.52,3.35
2023-12-07,3.97,3.55,246006787,3.97,3.55
2023-12-08,4.43,4.16,342535258,4.43,4.16
2023-12-11,4.49,4.45,164643140,4.49,4.45
2023-12-12,4.54,4.42,66712445,4.54,4.42
2023-12-13,4.51,4.6,90068235,4.6,4.51
2023-12-14,4.5,4.46,48049791,4.5,4.46
2023-12-15,5.24,4.52,385378290,5.24,4.52
2023-12-18,5.83,5.5,392747456,5.83,5.5
2023-12-19,5.3,5.8,341067706,5.8,5.3
2023-12-20,5.77,5.5,280811788,5.77,5.5
2023-12-21,5.6,6.01,209399163,6.01,5.6
2023-12-22,5.18,5.55,113995869,5.55,5.18
2023-12-26,4.44,5.1,97358482,5.1,4.44
2023-12-27,4.88,4.3,102249598,4.88,4.3
2023-12-28,4.76,4.91,62885046,4.91,4.76
2023-12-29,5.26,4.88,141792931,5.26,4.88
2024-01-01,5.44,5.35,76430706,5.44,5.35
2024-01-02,5.3,5.5,79854616,5.5,5.3
2024-01-03,5.47,5.5,127794515,5.5,5.47
2024-01-04,5.65,5.55,154661017,5.65,5.55
2024-01-05,6.12,5.66,481119880,6.12,5.66
2024-01-08,5.9,6.15,168810077,6.15,5.9
2024-01-09,5.75,5.96,113954346,5.96,5.75
2024-01-10,5.72,5.8,151248373,5.8,5.72
2024-01-11,6.01,5.8,198544259,6.01,5.8
2024-01-12,6.03,6.07,142506004,6.07,6.03
2024-01-15,5.85,6.08,55031681,6.08,5.85
2024-01-16,5.79,5.83,50782057,5.83,5.79
2024-01-17,5.59,5.71,41567872,5.71,5.59
2024-01-18,5.47,5.59,59720141,5.59,5.47
2024-01-19,5.44,5.55,49814334,5.55,5.44
2024-01-22,5.57,5.71,97700790,5.71,5.57
2024-01-23,5.46,5.51,28442175,5.51,5.46
2024-01-24,5.42,5.45,67844221,5.45,5.42
2024-01-25,5.26,5.5,48974614,5.5,5.26
2024-01-26,5.15,5.2,47105158,5.2,5.15
2024-01-29,4.84,5.2,46691829,5.2,4.84
2024-01-30,4.65,4.83,52895427,4.83,4.65
2024-01-31,4.54,4.6,36273372,4.6,4.54
2024-02-01,4.46,4.5,33965773,4.5,4.46
2024-02-02,4.68,4.52,26580417,4.68,4.52
2024-02-06,4.75,4.7,17934799,4.75,4.7
2024-02-07,4.86,4.75,44379925,4.86,4.75
2024-02-09,4.65,4.79,20541848,4.79,4.65
2024-02-12,4.21,4.61,50348573,4.61,4.21
2024-02-13,4.15,4.11,65824727,4.15,4.11
2024-02-14,4.47,4.2,33417936,4.47,4.2
2024-02-15,4.33,4.5,33326471,4.5,4.33
2024-02-16,4.09,4.3,41835629,4.3,4.09
2024-02-19,4.3,4.03,13203430,4.3,4.03
2024-02-20,4.26,4.3,19168663,4.3,4.26
2024-02-21,4.3,4.46,28619621,4.46,4.3
2024-02-22,4.2,4.29,16202575,4.29,4.2
2024-02-23,4.38,4.2,26534263,4.38,4.2
2024-02-26,4.44,4.42,54064451,4.44,4.42
2024-02-27,4.51,4.5,40638138,4.51,4.5
2024-02-28,4.79,4.56,45494078,4.79,4.56
2024-02-29,4.9,4.85,54958235,4.9,4.85
