date,close,open,volume,high,low
2023-09-18,164.16,166.99,15008,166.99,164.16
2023-09-19,164.17,165.6,2917,165.6,164.17
2023-09-20,162.65,165.7,8778,165.7,162.65
2023-09-21,165.01,164.0,78309,165.01,164.0
2023-09-22,163.27,166.3,3645,166.3,163.27
2023-09-25,163.55,166.3,14016,166.3,163.55
2023-09-26,165.27,166.0,34524,166.0,165.27
2023-09-27,169.78,166.0,38756,169.78,166.0
2023-09-28,169.24,170.97,29533,170.97,169.24
2023-10-02,171.47,168.75,56105,171.47,168.75
2023-10-03,170.95,172.3,27325,172.3,170.95
2023-10-04,169.75,171.49,29481,171.49,169.75
2023-10-05,176.07,171.49,342057,176.07,171.49
2023-10-06,174.97,177.0,51080,177.0,174.97
2023-10-09,173.58,174.94,36753,174.94,173.58
2023-10-10,173.46,173.0,45235,173.46,173.0
2023-10-11,175.32,176.0,16082,176.0,175.32
2023-10-12,177.03,162.5,128819,177.03,162.5
2023-10-13,176.55,177.78,107382,177.78,176.55
2023-10-16,177.47,177.98,18285,177.98,177.47
2023-10-17,178.07,178.0,55589,178.07,178.0
2023-10-18,178.0,179.0,10250,179.0,178.0
2023-10-19,180.0,179.89,22359,180.0,179.89
2023-10-20,175.15,178.75,9832,178.75,175.15
2023-10-23,181.12,179.89,113400,181.12,179.89
2023-10-24,181.15,181.0,93857,181.15,181.0
2023-10-25,186.13,183.0,41520,186.13,183.0
2023-10-26,183.96,187.0,25460,187.0,183.96
2023-10-27,179.04,185.0,75153,185.0,179.04
2023-10-30,179.91,183.0,23983,183.0,179.91
2023-10-31,175.02,181.98,124081,181.98,175.02
2023-11-01,179.18,179.95,23968,179.95,179.18
2023-11-02,184.41,179.7,64825,184.41,179.7
2023-11-03,181.63,185.0,41184,185.0,181.63
2023-11-06,192.37,183.99,124853,192.37,183.99
2023-11-07,191.17,196.9,43086,196.9,191.17
2023-11-08,198.35,193.0,88377,198.35,193.0
2023-11-10,212.91,200.0,203995,212.91,200.0
2023-11-13,221.79,217.65,67504,221.79,217.65
2023-11-14,219.02,219.5,62006,219.5,219.02
2023-11-15,215.19,219.5,94701,219.5,215.19
2023-11-16,220.0,216.98,97922,220.0,216.98
2023-11-17,220.41,222.8,272238,222.8,220.41
2023-11-20,215.72,222.98,11480,222.98,215.72
2023-11-21,214.46,219.99,69818,219.99,214.46
2023-11-22,216.27,217.7,29321,217.7,216.27
2023-11-23,216.93,217.0,61628,217.0,216.93
2023-11-24,214.04,219.9,52716,219.9,214.04
2023-11-27,218.55,215.0,44853,218.55,215.0
2023-11-28,216.36,222.0,197152,222.0,216.36
2023-11-29,216.75,218.0,187599,218.0,216.75
