date,close,open,volume,high,low
2021-02-25,-9.740000000000002,-10.259999999999998,80000,-9.740000000000002,-10.259999999999998
2021-02-26,-9.770000000000003,-9.5,96500,-9.5,-9.770000000000003
2021-03-01,-9.979999999999997,-10.229999999999997,120000,-9.979999999999997,-10.229999999999997
2021-03-02,-10.079999999999998,-9.75,137500,-9.75,-10.079999999999998
2021-03-03,-4.759999999999998,-3.950000000000003,295500,-3.950000000000003,-4.759999999999998
2021-03-04,-12.259999999999998,-13.490000000000002,140500,-12.259999999999998,-13.490000000000002
2021-03-05,-12.89,-13.0,70500,-12.89,-13.0
2021-03-08,-13.61,-11.810000000000002,54000,-11.810000000000002,-13.61
2021-03-09,-15.39,-12.950000000000003,81000,-12.950000000000003,-15.39
2021-03-10,-14.649999999999999,-14.75,59500,-14.649999999999999,-14.75
2021-03-11,-15.600000000000001,-14.75,60000,-14.75,-15.600000000000001
2021-03-12,-14.96,-15.590000000000003,10500,-14.96,-15.590000000000003
2021-03-15,-15.0,-15.049999999999997,20000,-15.0,-15.049999999999997
2021-03-16,-15.21,-13.86,3000,-13.86,-15.21
2021-03-17,-15.149999999999999,-15.200000000000003,6500,-15.149999999999999,-15.200000000000003
2021-03-18,-15.719999999999999,-15.200000000000003,14000,-15.200000000000003,-15.719999999999999
2021-03-19,-15.25,-16.69,26000,-15.25,-16.69
2021-03-22,-15.850000000000001,-14.950000000000003,46500,-14.950000000000003,-15.850000000000001
2021-03-24,-15.049999999999997,-15.259999999999998,6000,-15.049999999999997,-15.259999999999998
2021-03-25,-15.149999999999999,-15.149999999999999,9500,-15.149999999999999,-15.149999999999999
2021-03-26,-15.240000000000002,-14.899999999999999,78000,-14.899999999999999,-15.240000000000002
2021-03-29,-16.08,-15.240000000000002,13000,-15.240000000000002,-16.08
2021-03-30,-15.350000000000001,-16.73,21500,-15.350000000000001,-16.73
2021-03-31,-15.25,-14.950000000000003,12500,-14.950000000000003,-15.25
2021-04-01,-14.649999999999999,-15.049999999999997,14500,-14.649999999999999,-15.049999999999997
2021-04-02,-14.310000000000002,-14.310000000000002,500,-14.310000000000002,-14.310000000000002
2021-04-05,-15.399999999999999,-14.25,45000,-14.25,-15.399999999999999
2021-04-06,-14.409999999999997,-15.940000000000001,4500,-14.409999999999997,-15.940000000000001
2021-04-07,-14.469999999999999,-14.36,6000,-14.36,-14.469999999999999
2021-04-08,-14.75,-14.350000000000001,105000,-14.350000000000001,-14.75
2021-04-09,-14.25,-14.740000000000002,23500,-14.25,-14.740000000000002
2021-04-12,-14.25,-13.36,12000,-13.36,-14.25
2021-04-13,-14.25,-14.490000000000002,52500,-14.25,-14.490000000000002
2021-04-14,-14.54,-15.200000000000003,5500,-14.54,-15.200000000000003
2021-04-15,-14.600000000000001,-14.5,1000,-14.5,-14.600000000000001
2021-04-16,-13.009999999999998,-13.850000000000001,59500,-13.009999999999998,-13.850000000000001
2021-04-19,-12.64,-13.149999999999999,23500,-12.64,-13.149999999999999
2021-04-20,-12.75,-12.740000000000002,15000,-12.740000000000002,-12.75
2021-04-21,-12.75,-12.75,17000,-12.75,-12.75
2021-04-23,-13.75,-13.75,15000,-13.75,-13.75
2021-04-26,-12.560000000000002,-13.96,174000,-12.560000000000002,-13.96
2021-04-27,-9.93,-9.950000000000003,160500,-9.93,-9.950000000000003
2021-04-28,-7.350000000000001,-7.549999999999997,324000,-7.350000000000001,-7.549999999999997
2021-04-29,-8.25,-7.75,172500,-7.75,-8.25
2021-04-30,-8.600000000000001,-7.759999999999998,108500,-7.759999999999998,-8.600000000000001
2021-05-03,-8.329999999999998,-9.64,217500,-8.329999999999998,-9.64
2021-05-04,-7.979999999999997,-8.25,246000,-7.979999999999997,-8.25
2021-05-05,-12.810000000000002,-11.25,80500,-11.25,-12.810000000000002
2021-05-06,-12.869999999999997,-13.240000000000002,31500,-12.869999999999997,-13.240000000000002
2021-05-17,-13.240000000000002,-12.990000000000002,19000,-12.990000000000002,-13.240000000000002
2021-05-18,-8.5,-8.5,65500,-8.5,-8.5
2021-05-19,-8.75,-9.149999999999999,6500,-8.75,-9.149999999999999
2021-05-20,-8.75,-9.049999999999997,37000,-8.75,-9.049999999999997
2021-05-21,-8.409999999999997,-8.75,36500,-8.409999999999997,-8.75
2021-05-24,-9.25,-8.25,28500,-8.25,-9.25
2021-05-25,-8.049999999999997,-8.75,29000,-8.049999999999997,-8.75
2021-05-26,-7.509999999999998,-8.25,32000,-7.509999999999998,-8.25
2021-05-27,-8.5,-8.25,11500,-8.25,-8.5
2021-05-28,-8.689999999999998,-8.5,47000,-8.5,-8.689999999999998
2021-05-31,-8.299999999999997,-8.149999999999999,129500,-8.149999999999999,-8.299999999999997
2021-06-01,-7.960000000000001,-8.439999999999998,9000,-7.960000000000001,-8.439999999999998
2021-06-02,-8.149999999999999,-8.149999999999999,40000,-8.149999999999999,-8.149999999999999
2021-06-03,-7.659999999999997,-7.75,32000,-7.659999999999997,-7.75
2021-06-04,-7.159999999999997,-7.700000000000003,5000,-7.159999999999997,-7.700000000000003
2021-06-07,-6.780000000000001,-5.799999999999997,143000,-5.799999999999997,-6.780000000000001
2021-06-08,-7.25,-7.399999999999999,5000,-7.25,-7.399999999999999
2021-06-09,-7.289999999999999,-7.549999999999997,14000,-7.289999999999999,-7.549999999999997
2021-06-10,-7.460000000000001,-7.5,7500,-7.460000000000001,-7.5
2021-06-11,-6.350000000000001,-7.75,8000,-6.350000000000001,-7.75
2021-06-14,-6.649999999999999,-6.950000000000003,6500,-6.649999999999999,-6.950000000000003
2021-06-15,-7.670000000000002,-6.950000000000003,12000,-6.950000000000003,-7.670000000000002
2021-06-16,-7.240000000000002,-7.299999999999997,9500,-7.240000000000002,-7.299999999999997
2021-06-17,-7.649999999999999,-7.75,17500,-7.649999999999999,-7.75
2021-06-18,-7.75,-6.950000000000003,5000,-6.950000000000003,-7.75
2021-06-21,-7.719999999999999,-7.740000000000002,2500,-7.719999999999999,-7.740000000000002
2021-06-22,-7.350000000000001,-7.729999999999997,5000,-7.350000000000001,-7.729999999999997
2021-06-23,-7.740000000000002,-7.5,36000,-7.5,-7.740000000000002
2021-06-24,-7.460000000000001,-7.25,68000,-7.25,-7.460000000000001
2021-06-25,-7.210000000000001,-7.149999999999999,5000,-7.149999999999999,-7.210000000000001
2021-06-28,-7.640000000000001,-7.600000000000001,6000,-7.600000000000001,-7.640000000000001
2021-06-29,-7.75,-7.659999999999997,11000,-7.659999999999997,-7.75
2021-06-30,-7.75,-8.149999999999999,42500,-7.75,-8.149999999999999
2021-07-01,-7.25,-6.859999999999999,5500,-6.859999999999999,-7.25
2021-07-02,-7.25,-8.200000000000003,8500,-7.25,-8.200000000000003
2021-07-05,-6.799999999999997,-7.990000000000002,3000,-6.799999999999997,-7.990000000000002
2021-07-06,-7.600000000000001,-7.539999999999999,3500,-7.539999999999999,-7.600000000000001
2021-07-07,-7.350000000000001,-7.850000000000001,6000,-7.350000000000001,-7.850000000000001
2021-07-08,-7.350000000000001,-7.350000000000001,3000,-7.350000000000001,-7.350000000000001
2021-07-09,-5.759999999999998,-7.350000000000001,2500,-5.759999999999998,-7.350000000000001
2021-07-12,-6.759999999999998,-6.350000000000001,6000,-6.350000000000001,-6.759999999999998
2021-07-13,-7.25,-7.490000000000002,23000,-7.25,-7.490000000000002
2021-07-14,-7.740000000000002,-7.710000000000001,12500,-7.710000000000001,-7.740000000000002
2021-07-15,-7.719999999999999,-7.350000000000001,8500,-7.350000000000001,-7.719999999999999
2021-07-16,-7.710000000000001,-7.700000000000003,1000,-7.700000000000003,-7.710000000000001
2021-07-19,-7.420000000000002,-6.909999999999997,5500,-6.909999999999997,-7.420000000000002
2021-07-23,-7.240000000000002,-6.950000000000003,5500,-6.950000000000003,-7.240000000000002
2021-07-26,-7.25,-7.490000000000002,19000,-7.25,-7.490000000000002
2021-07-27,-7.490000000000002,-7.490000000000002,10500,-7.490000000000002,-7.490000000000002
2021-07-28,-7.5,-7.5,7500,-7.5,-7.5
2021-07-29,-7.490000000000002,-7.5,4500,-7.490000000000002,-7.5
2021-07-30,-7.619999999999997,-6.299999999999997,3500,-6.299999999999997,-7.619999999999997
2021-08-02,-7.740000000000002,-7.700000000000003,16500,-7.700000000000003,-7.740000000000002
2021-08-03,-7.619999999999997,-7.689999999999998,17500,-7.619999999999997,-7.689999999999998
2021-08-04,-6.810000000000002,-7.259999999999998,12500,-6.810000000000002,-7.259999999999998
2021-08-05,-6.75,-6.350000000000001,12000,-6.350000000000001,-6.75
2021-08-06,-6.600000000000001,-6.75,9500,-6.600000000000001,-6.75
2021-08-09,-6.75,-6.75,19500,-6.75,-6.75
2021-08-10,-7.0,-6.75,30000,-6.75,-7.0
2021-08-11,-7.219999999999999,-7.240000000000002,6000,-7.219999999999999,-7.240000000000002
2021-08-12,-7.399999999999999,-7.549999999999997,3500,-7.399999999999999,-7.549999999999997
2021-08-13,-7.509999999999998,-7.049999999999997,1500,-7.049999999999997,-7.509999999999998
