date,close,open,volume,high,low
2020-07-10,158.55,-1.35,200,158.55,-1.35
2020-07-13,156.59,158.65,20500,158.65,156.59
2020-07-14,158.17000000000002,158.65,700,158.65,158.17000000000002
2020-07-15,158.17000000000002,158.17000000000002,100,158.17000000000002,158.17000000000002
2020-07-16,158.65,158.17000000000002,2500,158.65,158.17000000000002
2020-07-17,161.15,158.65,5100,161.15,158.65
2020-07-20,162.67000000000002,159.65,12800,162.67000000000002,159.65
2020-07-21,159.74,159.65,600,159.74,159.65
2020-07-22,161.75,159.75,2300,161.75,159.75
2020-07-23,169.36,167.65,108000,169.36,167.65
2020-07-24,168.55,168.55,500,168.55,168.55
2020-07-27,163.65,167.65,7800,167.65,163.65
2020-07-28,161.65,166.65,1700,166.65,161.65
2020-07-29,161.65,161.65,100,161.65,161.65
2020-07-30,166.27,166.1,300,166.27,166.1
2020-08-03,170.65,170.65,200,170.65,170.65
2020-08-04,163.65,168.35,18800,168.35,163.65
2020-08-06,158.66,159.75,900,159.75,158.66
2020-08-07,160.65,158.66,500,160.65,158.66
2020-08-10,156.66,159.65,2700,159.65,156.66
2020-08-11,165.16,165.55,1700,165.55,165.16
2020-08-12,161.65,162.65,300,162.65,161.65
2020-08-13,158.62,156.65,3200,158.62,156.65
2020-08-17,165.15,163.54,5400,165.15,163.54
2020-08-18,168.65,171.37,7500,171.37,168.65
2020-08-19,160.75,168.65,3800,168.65,160.75
2020-08-20,161.20000000000002,153.65,1800,161.20000000000002,153.65
2020-08-24,158.28,152.65,11500,158.28,152.65
2020-08-25,158.65,156.65,5000,158.65,156.65
2020-08-26,163.65,163.65,3000,163.65,163.65
2020-08-27,163.70000000000002,163.65,1900,163.70000000000002,163.65
2020-08-28,173.65,175.65,700,175.65,173.65
2020-08-31,168.65,173.65,3700,173.65,168.65
2020-09-01,162.51000000000002,166.70000000000002,1700,166.70000000000002,162.51000000000002
2020-09-02,162.06,162.66,5100,162.66,162.06
2020-09-03,164.4,164.65,3900,164.65,164.4
2020-09-04,169.98000000000002,164.4,16300,169.98000000000002,164.4
2020-09-07,182.82,173.65,55400,182.82,173.65
2020-09-08,196.62,196.63,88300,196.63,196.62
2020-09-09,201.65,202.65,36000,202.65,201.65
2020-09-10,216.87,200.64000000000001,154300,216.87,200.64000000000001
2020-09-11,233.23000000000002,216.87,41600,233.23000000000002,216.87
2020-09-14,250.82,243.65,98800,250.82,243.65
2020-09-15,269.72999999999996,258.65,144400,269.72999999999996,258.65
2020-09-16,282.06,290.04999999999995,35000,290.04999999999995,282.06
2020-09-17,260.81,282.06,54500,282.06,260.81
2020-09-18,252.37,241.15,33300,252.37,241.15
2020-09-21,248.25,240.65,11600,248.25,240.65
2020-09-22,265.88,240.67000000000002,73800,265.88,240.67000000000002
2020-09-23,285.25,285.65,171100,285.65,285.25
2020-09-24,306.72999999999996,284.65,101800,306.72999999999996,284.65
2020-09-25,323.66999999999996,313.65,81200,323.66999999999996,313.65
2020-09-28,299.41999999999996,308.66999999999996,82600,308.66999999999996,299.41999999999996
2020-09-29,304.01,288.65,44400,304.01,288.65
2020-09-30,314.84999999999997,313.65,45800,314.84999999999997,313.65
2020-10-01,326.98999999999995,313.65,36400,326.98999999999995,313.65
2020-10-02,326.81,328.64,57500,328.64,326.81
2020-10-05,303.4,318.64,7100,318.64,303.4
2020-10-06,288.82,293.65,3400,293.65,288.82
2020-10-07,299.97999999999996,288.9,13000,299.97999999999996,288.9
2020-10-08,301.76,283.65,25400,301.76,283.65
2020-10-09,316.45,285.9,35100,316.45,285.9
2020-10-12,318.57,306.2,15500,318.57,306.2
2020-10-13,319.46999999999997,318.65,14500,319.46999999999997,318.65
2020-10-14,327.72999999999996,319.46999999999997,19400,327.72999999999996,319.46999999999997
2020-10-15,335.64,320.25,18000,335.64,320.25
2020-10-16,352.08,330.65,14800,352.08,330.65
2020-10-19,363.28,353.65,5200,363.28,353.65
2020-10-20,365.87,363.65,4100,365.87,363.65
2020-10-21,365.54999999999995,359.65,6800,365.54999999999995,359.65
2020-10-22,373.65,365.54999999999995,45500,373.65,365.54999999999995
2020-10-23,377.58,373.65,7400,377.58,373.65
2020-10-26,387.54999999999995,373.65,18700,387.54999999999995,373.65
2020-10-27,388.67999999999995,388.65,9300,388.67999999999995,388.65
2020-10-28,381.26,381.91999999999996,8800,381.91999999999996,381.26
2020-10-29,356.35999999999996,368.65,5400,368.65,356.35999999999996
2020-11-02,357.84,329.81,4300,357.84,329.81
2020-11-03,371.85999999999996,368.65,2700,371.85999999999996,368.65
2020-11-04,368.65,368.65,100,368.65,368.65
2020-11-05,374.32,368.65,1800,374.32,368.65
2020-11-06,384.15,388.15999999999997,22400,388.15999999999997,384.15
2020-11-09,392.59,383.64,7300,392.59,383.64
2020-11-10,393.65,393.65,6000,393.65,393.65
2020-11-12,393.28,378.65999999999997,9900,393.28,378.65999999999997
2020-11-13,391.71,388.65,15200,391.71,388.65
2020-11-16,383.65,383.65,100,383.65,383.65
2020-11-17,378.65,378.65,200,378.65,378.65
2020-11-18,378.65,378.65,100,378.65,378.65
2020-11-24,378.65,373.65,1700,378.65,373.65
2020-11-26,378.65,378.65,300,378.65,378.65
2020-11-27,388.34,371.90999999999997,11600,388.34,371.90999999999997
2020-11-30,390.40999999999997,383.64,16000,390.40999999999997,383.64
2020-12-01,390.15,393.65,8900,393.65,390.15
2020-12-02,395.83,389.65,13700,395.83,389.65
2020-12-03,398.13,381.9,13100,398.13,381.9
2020-12-04,400.64,398.65,15900,400.64,398.65
2020-12-07,400.82,398.65,11500,400.82,398.65
2020-12-08,389.65,388.7,400,389.65,388.7
2020-12-09,387.65,385.65,800,387.65,385.65
2020-12-10,397.40999999999997,388.65,3800,397.40999999999997,388.65
2020-12-11,388.65,390.65,300,390.65,388.65
2020-12-16,379.65,379.65,100,379.65,379.65
2020-12-18,395.65,382.25,800,395.65,382.25
2020-12-23,395.65,-1.35,8800,395.65,-1.35
2020-12-24,371.95,371.95,100,371.95,371.95
2020-12-28,377.65,371.95,1000,377.65,371.95
2020-12-29,387.91999999999996,388.65,15200,388.65,387.91999999999996
2020-12-30,383.01,380.65,5100,383.01,380.65
2020-12-31,387.09999999999997,382.65,12500,387.09999999999997,382.65
2021-01-01,391.96999999999997,376.65999999999997,8700,391.96999999999997,376.65999999999997
2021-01-11,385.65,397.65,45700,397.65,385.65
2021-01-12,385.65,385.65,200,385.65,385.65
2021-01-13,386.65,383.65,104700,386.65,383.65
2021-01-14,383.65,383.65,3000,383.65,383.65
2021-01-15,402.65999999999997,383.65,28100,402.65999999999997,383.65
2021-01-18,422.04999999999995,413.65,1300,422.04999999999995,413.65
2021-01-19,433.45,407.15,1200,433.45,407.15
2021-01-20,438.65,423.71,17600,438.65,423.71
2021-01-21,448.32,433.65,17400,448.32,433.65
2021-01-22,458.65,458.54999999999995,10000,458.65,458.54999999999995
2021-01-25,468.23999999999995,463.65,23700,468.23999999999995,463.65
2021-01-29,453.97999999999996,463.65,300,463.65,453.97999999999996
2021-02-01,453.97999999999996,453.65,200,453.97999999999996,453.65
2021-02-02,448.65,448.65,400,448.65,448.65
2021-02-03,420.38,420.66999999999996,1100,420.66999999999996,420.38
2021-02-04,391.82,400.65,4100,400.65,391.82
2021-02-08,378.65,378.65,400,378.65,378.65
2021-02-09,378.65,378.65,100,378.65,378.65
2021-02-12,350.15,351.65,3700,351.65,350.15
2021-02-17,324.15999999999997,324.15,5200,324.15999999999997,324.15
2021-02-18,337.54999999999995,303.65,400,337.54999999999995,303.65
2021-02-19,317.15999999999997,313.75,6300,317.15999999999997,313.75
2021-02-22,308.65,294.65,900,308.65,294.65
2021-02-23,308.65,308.65,300,308.65,308.65
2021-02-26,298.65,308.65,500,308.65,298.65
2021-03-02,297.59999999999997,288.65,600,297.59999999999997,288.65
2021-03-03,308.65,308.65,100,308.65,308.65
2021-03-04,302.65,285.4,300,302.65,285.4
2021-03-08,298.65,298.65,100,298.65,298.65
2021-03-09,298.65,298.65,100,298.65,298.65
2021-03-10,289.15,289.15,100,289.15,289.15
2021-03-17,267.37,278.65,1300,278.65,267.37
2021-03-18,258.37,247.65,34200,258.37,247.65
2021-03-19,253.65,248.65,900,253.65,248.65
2021-03-22,248.65,248.65,208000,248.65,248.65
2021-03-24,251.15,249.1,2200,251.15,249.1
2021-03-25,241.77,241.15,300,241.77,241.15
2021-03-26,238.0,238.9,300,238.9,238.0
2021-03-29,231.65,235.65,800,235.65,231.65
2021-03-31,237.58,237.55,200,237.58,237.55
2021-04-01,224.17000000000002,237.58,600,237.58,224.17000000000002
2021-04-02,224.17000000000002,228.65,100,228.65,224.17000000000002
2021-04-12,219.08,219.15,700,219.15,219.08
2021-04-16,218.65,218.65,300,218.65,218.65
2021-04-28,229.15,229.15,500,229.15,229.15
2021-05-04,215.52,234.15,1000,234.15,215.52
2021-05-05,215.52,-0.85,100,215.52,-0.85
2021-05-06,211.65,209.15,200,211.65,209.15
2021-05-17,209.0,211.65,200,211.65,209.0
2021-05-18,204.4,198.65,500,204.4,198.65
2021-05-19,214.15,209.15,1400,214.15,209.15
2021-05-24,223.35,214.15,4200,223.35,214.15
2021-05-25,239.15,240.13,3100,240.13,239.15
2021-05-26,244.9,245.28,2800,245.28,244.9
2021-05-27,244.9,244.9,500,244.9,244.9
2021-05-28,240.65,249.15,600,249.15,240.65
2021-06-01,242.15,242.15,3400,242.15,242.15
2021-06-02,239.89000000000001,240.41,1400,240.41,239.89000000000001
2021-06-03,243.15,243.15,500,243.15,243.15
2021-06-07,244.15,244.16,2600,244.16,244.15
2021-06-08,234.15,244.15,3700,244.15,234.15
2021-06-09,228.67000000000002,239.15,3100,239.15,228.67000000000002
2021-06-10,238.15,239.01000000000002,900,239.01000000000002,238.15
2021-06-11,238.15,229.15,100,238.15,229.15
